[[0, 0.01039117, -0.2870245, 2.963574, 1], [1, 0.0002672508, 0.003675345, 2.970346, 1], [2, -0.008225613, 0.2872443, 2.964284, 1], [3, -0.0117027, 0.4166393, 2.955981, 1], [4, -0.1727271, 0.1879543, 2.948883, 1], [5, -0.2233775, -0.02671573, 2.945884, 1], [6, -0.163412, -0.1234517, 2.749727, 1], [7, -0.1161064, -0.1495323, 2.668943, 1], [8, 0.1636334, 0.1953826, 2.969476, 1], [9, 0.2232922, -0.01694879, 2.964123, 1], [10, 0.1942022, -0.1129904, 2.760519, 1], [11, 0.1691408, -0.1519996, 2.684912, 1], [12, -0.07806168, -0.2863118, 2.921226, 1], [13, -0.1237174, -0.2472437, 2.595613, 1], [14, -0.1286749, -0.6046104, 2.672318, 1], [15, -0.1126673, -0.683726, 2.580378, 1], [16, 0.09812529, -0.2806845, 2.93222, 1], [17, 0.2164207, -0.2483885, 2.616423, 1], [18, 0.1862132, -0.6123692, 2.65465, 1], [19, 0.1841193, -0.6977576, 2.562207, 1], [20, -0.006542425, 0.2172306, 2.968155, 1], [21, -0.105563, -0.1904897, 2.595734, 1], [22, -0.1656496, -0.1465672, 2.650722, 1], [23, 0.1840724, -0.1923005, 2.616219, 1], [24, 0.1273603, -0.1693868, 2.67485, 1]]
[[0, 0.009718903, -0.2870985, 2.963379, 1], [1, 0.0003143833, 0.003679418, 2.970273, 1], [2, -0.007341604, 0.2874216, 2.964001, 1], [3, -0.01013732, 0.4169416, 2.956473, 1], [4, -0.1724828, 0.1877996, 2.948862, 1], [5, -0.2233941, -0.02660017, 2.945797, 1], [6, -0.1623807, -0.1203156, 2.748443, 1], [7, -0.1161783, -0.1491367, 2.665225, 1], [8, 0.1638721, 0.1953612, 2.96938, 1], [9, 0.2232696, -0.01702138, 2.964199, 1], [10, 0.1948123, -0.112701, 2.760325, 1], [11, 0.1707819, -0.1518668, 2.685241, 1], [12, -0.07879131, -0.2861684, 2.921029, 1], [13, -0.1241902, -0.2467659, 2.595278, 1], [14, -0.1290979, -0.6043527, 2.671143, 1], [15, -0.1151855, -0.6849935, 2.570507, 1], [16, 0.09755678, -0.2809485, 2.931998, 1], [17, 0.2163856, -0.2481921, 2.616409, 1], [18, 0.1862103, -0.6121773, 2.65463, 1], [19, 0.18421, -0.6977947, 2.56193, 1], [20, -0.005886331, 0.2173512, 2.967925, 1], [21, -0.1074847, -0.1886589, 2.586792, 1], [22, -0.1605786, -0.1361591, 2.651517, 1], [23, 0.1818235, -0.1935324, 2.612339, 1], [24, 0.1154218, -0.1456518, 2.700875, 1]]
[[0, 0.009323482, -0.2870561, 2.963215, 1], [1, 0.000369906, 0.003749489, 2.970236, 1], [2, -0.006717225, 0.2877932, 2.96402, 1], [3, -0.007400617, 0.4170857, 2.956767, 1], [4, -0.1723024, 0.1874633, 2.949238, 1], [5, -0.2231513, -0.02668642, 2.945988, 1], [6, -0.163297, -0.1202253, 2.726051, 1], [7, -0.1208992, -0.1584464, 2.652938, 1], [8, 0.1655237, 0.1947036, 2.969511, 1], [9, 0.2235471, -0.01755049, 2.964957, 1], [10, 0.1939189, -0.1139748, 2.761622, 1], [11, 0.1690715, -0.1506926, 2.690525, 1], [12, -0.0793338, -0.2858993, 2.920666, 1], [13, -0.1246429, -0.2467216, 2.595234, 1], [14, -0.1300795, -0.606487, 2.662067, 1], [15, -0.1196268, -0.6886315, 2.559834, 1], [16, 0.09729344, -0.2810442, 2.931947, 1], [17, 0.2163139, -0.2482344, 2.6164, 1], [18, 0.1858795, -0.6120797, 2.655432, 1], [19, 0.1846273, -0.6967704, 2.562015, 1], [20, -0.005386962, 0.2176473, 2.967918, 1], [21, -0.1072331, -0.2003233, 2.567214, 1], [22, -0.1982005, -0.1974113, 2.624857, 1], [23, 0.1745073, -0.1955051, 2.619045, 1], [24, 0.1155872, -0.1468053, 2.700192, 1]]
[[0, 0.008323669, -0.2868556, 2.963064, 1], [1, 0.0004396827, 0.003859502, 2.970208, 1], [2, -0.005378933, 0.2882937, 2.964042, 1], [3, -0.00512121, 0.417516, 2.95635, 1], [4, -0.1700061, 0.1897081, 2.947782, 1], [5, -0.2368148, -0.03254591, 2.934682, 1], [6, -0.1632469, -0.1199946, 2.725906, 1], [7, -0.1251196, -0.1454018, 2.658499, 1], [8, 0.1663085, 0.1940989, 2.969019, 1], [9, 0.2238865, -0.0182328, 2.964551, 1], [10, 0.1935265, -0.1141224, 2.761063, 1], [11, 0.167932, -0.1502438, 2.688325, 1], [12, -0.08046291, -0.285189, 2.920743, 1], [13, -0.1255649, -0.2462195, 2.594146, 1], [14, -0.1316187, -0.6089952, 2.64642, 1], [15, -0.1258331, -0.6868497, 2.544451, 1], [16, 0.09635703, -0.2812721, 2.931561, 1], [17, 0.216302, -0.2482019, 2.616395, 1], [18, 0.1858951, -0.6120242, 2.655597, 1], [19, 0.1845769, -0.6966603, 2.561757, 1], [20, -0.004414326, 0.2180526, 2.96792, 1], [21, -0.1028895, -0.1881966, 2.586187, 1], [22, -0.1614811, -0.1640297, 2.614556, 1], [23, 0.1776434, -0.1921786, 2.6188, 1], [24, 0.1266572, -0.1707344, 2.6643, 1]]
[[0, 0.008101476, -0.2867335, 2.962943, 1], [1, 0.0007689378, 0.004155315, 2.970309, 1], [2, -0.003825205, 0.2891161, 2.964824, 1], [3, -0.003875488, 0.4175445, 2.956415, 1], [4, -0.1701105, 0.1891416, 2.94787, 1], [5, -0.2309315, -0.02967552, 2.940259, 1], [6, -0.1632599, -0.1199783, 2.725936, 1], [7, -0.1216159, -0.1561396, 2.653206, 1], [8, 0.1668373, 0.1939276, 2.968925, 1], [9, 0.2239125, -0.01830381, 2.964522, 1], [10, 0.1901724, -0.1140338, 2.7615, 1], [11, 0.1649237, -0.1513956, 2.688944, 1], [12, -0.08074883, -0.2849391, 2.920499, 1], [13, -0.1265384, -0.2457196, 2.592243, 1], [14, -0.1364475, -0.6102324, 2.633822, 1], [15, -0.1350271, -0.686686, 2.535871, 1], [16, 0.09623874, -0.2812461, 2.931523, 1], [17, 0.2162448, -0.2482034, 2.616471, 1], [18, 0.1858554, -0.6120336, 2.655629, 1], [19, 0.1848146, -0.6963856, 2.561448, 1], [20, -0.003115205, 0.2187591, 2.968509, 1], [21, -0.1015634, -0.200196, 2.565515, 1], [22, -0.2012392, -0.2024884, 2.624715, 1], [23, 0.1773204, -0.192867, 2.618423, 1], [24, 0.1132472, -0.1534826, 2.6968, 1]]
[[0, 0.007749373, -0.2864435, 2.962688, 1], [1, 0.0008713468, 0.004384588, 2.970341, 1], [2, -0.003403053, 0.289445, 2.96519, 1], [3, -0.003224667, 0.4174765, 2.956455, 1], [4, -0.1688943, 0.1903713, 2.947064, 1], [5, -0.2274102, -0.02621926, 2.943665, 1], [6, -0.1586018, -0.1069221, 2.742969, 1], [7, -0.1185104, -0.1350735, 2.680884, 1], [8, 0.167221, 0.193887, 2.968855, 1], [9, 0.2238146, -0.01946514, 2.965028, 1], [10, 0.1896898, -0.1131632, 2.761086, 1], [11, 0.1630378, -0.1511855, 2.686683, 1], [12, -0.08117446, -0.2842761, 2.920038, 1], [13, -0.1292355, -0.2446519, 2.588973, 1], [14, -0.1409607, -0.610952, 2.617065, 1], [15, -0.1454809, -0.6865851, 2.519655, 1], [16, 0.09600702, -0.2812025, 2.931404, 1], [17, 0.2160658, -0.2481759, 2.616454, 1], [18, 0.1858335, -0.6120144, 2.655642, 1], [19, 0.1850004, -0.6963047, 2.560512, 1], [20, -0.002735026, 0.2190786, 2.968786, 1], [21, -0.1054615, -0.1683528, 2.612083, 1], [22, -0.1589814, -0.146229, 2.629875, 1], [23, 0.1745844, -0.1932809, 2.617567, 1], [24, 0.1262027, -0.1710801, 2.659857, 1]]
[[0, 0.007233815, -0.2863882, 2.962353, 1], [1, 0.001113488, 0.004490839, 2.970195, 1], [2, -0.002000533, 0.2896693, 2.965017, 1], [3, -0.001770081, 0.4175776, 2.956508, 1], [4, -0.1688919, 0.1901605, 2.947361, 1], [5, -0.2248248, -0.02405993, 2.946804, 1], [6, -0.1604868, -0.1062552, 2.745209, 1], [7, -0.1162525, -0.1422135, 2.666594, 1], [8, 0.1683132, 0.1933444, 2.968427, 1], [9, 0.223695, -0.01990113, 2.965098, 1], [10, 0.1880659, -0.1128476, 2.76106, 1], [11, 0.1645596, -0.1507419, 2.687621, 1], [12, -0.08178235, -0.2839663, 2.919373, 1], [13, -0.1314472, -0.2432901, 2.584624, 1], [14, -0.144534, -0.6109118, 2.598785, 1], [15, -0.1560266, -0.6831849, 2.492735, 1], [16, 0.09559446, -0.2813449, 2.931287, 1], [17, 0.2158681, -0.2481966, 2.616568, 1], [18, 0.1857355, -0.6120669, 2.655592, 1], [19, 0.1861646, -0.6970026, 2.566857, 1], [20, -0.001612729, 0.2192826, 2.968611, 1], [21, -0.1060992, -0.181662, 2.593439, 1], [22, -0.1607715, -0.1371055, 2.643037, 1], [23, 0.1797103, -0.1922992, 2.61611, 1], [24, 0.1126972, -0.1461404, 2.708616, 1]]
[[0, 0.006589042, -0.2863877, 2.962049, 1], [1, 0.00132181, 0.00459703, 2.970146, 1], [2, -0.0005148132, 0.2900357, 2.965207, 1], [3, 0.0002915676, 0.4178073, 2.957161, 1], [4, -0.1689063, 0.1899669, 2.947441, 1], [5, -0.2246923, -0.02403956, 2.947055, 1], [6, -0.1600157, -0.1047391, 2.744941, 1], [7, -0.1236777, -0.1471334, 2.646744, 1], [8, 0.1685375, 0.1928218, 2.968179, 1], [9, 0.2233678, -0.0201168, 2.965619, 1], [10, 0.1893185, -0.1132069, 2.761374, 1], [11, 0.164632, -0.1503973, 2.689941, 1], [12, -0.08246265, -0.2837727, 2.919017, 1], [13, -0.1339543, -0.2424671, 2.579451, 1], [14, -0.149193, -0.6104409, 2.587437, 1], [15, -0.1783304, -0.6864724, 2.474462, 1], [16, 0.09504886, -0.2815514, 2.931047, 1], [17, 0.215912, -0.2482242, 2.61645, 1], [18, 0.1856343, -0.612073, 2.655541, 1], [19, 0.1860105, -0.6963374, 2.563821, 1], [20, -0.0004498315, 0.2195855, 2.968723, 1], [21, -0.1108782, -0.1872526, 2.562741, 1], [22, -0.1735976, -0.1582479, 2.62075, 1], [23, 0.1733969, -0.1917456, 2.619293, 1], [24, 0.1083393, -0.1484622, 2.706084, 1]]
[[0, 0.005723059, -0.286083, 2.961537, 1], [1, 0.001432594, 0.004632611, 2.97013, 1], [2, 0.0006073086, 0.2897628, 2.965653, 1], [3, 0.001474449, 0.4180812, 2.95725, 1], [4, -0.1678862, 0.1912397, 2.946937, 1], [5, -0.2243145, -0.02347594, 2.947187, 1], [6, -0.1604799, -0.1042765, 2.744838, 1], [7, -0.1188326, -0.1576047, 2.643721, 1], [8, 0.1689656, 0.1927151, 2.968363, 1], [9, 0.2231703, -0.02101333, 2.965908, 1], [10, 0.1946684, -0.1204291, 2.763925, 1], [11, 0.1671185, -0.147949, 2.691635, 1], [12, -0.08318327, -0.2830987, 2.918399, 1], [13, -0.136718, -0.2440671, 2.5757, 1], [14, -0.1637758, -0.6119268, 2.554384, 1], [15, -0.1836535, -0.6841085, 2.456589, 1], [16, 0.094064, -0.2816302, 2.930618, 1], [17, 0.2158661, -0.2481807, 2.616441, 1], [18, 0.1858165, -0.6120536, 2.655494, 1], [19, 0.186079, -0.6962371, 2.563853, 1], [20, 0.0004039887, 0.2194336, 2.969013, 1], [21, -0.1036317, -0.1989522, 2.54739, 1], [22, -0.1960892, -0.1932309, 2.624091, 1], [23, 0.1752804, -0.1882914, 2.620752, 1], [24, 0.1326862, -0.1816884, 2.6533, 1]]
[[0, 0.005631929, -0.2860765, 2.96152, 1], [1, 0.00143933, 0.004705667, 2.970038, 1], [2, 0.0005288546, 0.2899037, 2.965378, 1], [3, 0.002392575, 0.4182516, 2.957449, 1], [4, -0.1678769, 0.1910399, 2.947048, 1], [5, -0.2231664, -0.0200423, 2.949594, 1], [6, -0.1617542, -0.1034511, 2.747574, 1], [7, -0.1169367, -0.1375018, 2.669303, 1], [8, 0.1696466, 0.1924733, 2.968572, 1], [9, 0.223138, -0.02110418, 2.965902, 1], [10, 0.1941276, -0.1205069, 2.763986, 1], [11, 0.1676546, -0.1480957, 2.688855, 1], [12, -0.08328877, -0.2830456, 2.918308, 1], [13, -0.1404731, -0.2448255, 2.571661, 1], [14, -0.1694897, -0.6125972, 2.555013, 1], [15, -0.1985569, -0.6808949, 2.441536, 1], [16, 0.09397475, -0.281676, 2.930668, 1], [17, 0.2157726, -0.2483552, 2.616425, 1], [18, 0.1858035, -0.6122311, 2.655493, 1], [19, 0.1858983, -0.6954533, 2.561264, 1], [20, 0.0003839104, 0.2195449, 2.968818, 1], [21, -0.1114802, -0.1730733, 2.588212, 1], [22, -0.1653129, -0.1480731, 2.626134, 1], [23, 0.1771091, -0.1856519, 2.623032, 1], [24, 0.1329669, -0.1820441, 2.651183, 1]]
[[0, 0.005276117, -0.2859263, 2.96139, 1], [1, 0.001598183, 0.004881832, 2.97001, 1], [2, 0.001145815, 0.2901776, 2.965462, 1], [3, 0.003689371, 0.4188563, 2.957658, 1], [4, -0.1674833, 0.1905665, 2.947475, 1], [5, -0.223556, -0.0203492, 2.949538, 1], [6, -0.1619673, -0.1034278, 2.74743, 1], [7, -0.1184052, -0.1379344, 2.67167, 1], [8, 0.1700486, 0.1923449, 2.968713, 1], [9, 0.2231045, -0.02109156, 2.965975, 1], [10, 0.1939922, -0.1203269, 2.763988, 1], [11, 0.1695124, -0.1512723, 2.68855, 1], [12, -0.08363459, -0.2827939, 2.918211, 1], [13, -0.1469743, -0.2483369, 2.569239, 1], [14, -0.2042847, -0.6119886, 2.532506, 1], [15, -0.2235573, -0.6760209, 2.43131, 1], [16, 0.09367012, -0.2816489, 2.930528, 1], [17, 0.215823, -0.2484073, 2.616416, 1], [18, 0.1859429, -0.6122814, 2.655542, 1], [19, 0.1859671, -0.6957012, 2.560364, 1], [20, 0.0009225066, 0.2198042, 2.968878, 1], [21, -0.1099115, -0.1783579, 2.592963, 1], [22, -0.1594651, -0.1393666, 2.634889, 1], [23, 0.1767894, -0.1910064, 2.627435, 1], [24, 0.1328672, -0.1818114, 2.652564, 1]]
