[['2, k, 0', [-0.1999727, -0.1118183, 1.0]], ['2, k, 1', [-0.2017263, 0.1968983, 1.0]], ['2, k, 2', [-0.202726, 0.4939745, 1.0]], ['2, k, 3', [-0.2237872, 0.6205189, 1.0]], ['2, k, 4', [-0.3734791, 0.3630585, 1.0]], ['2, k, 5', [-0.4127777, 0.1045243, 1.0]], ['2, k, 6', [-0.4115573, -0.108031, 1.0]], ['2, k, 7', [-0.4033312, -0.1539655, 1.0]], ['2, k, 8', [-0.05161756, 0.3830652, 1.0]], ['2, k, 9', [0.00966847, 0.1339828, 1.0]], ['2, k, 10', [0.008710803, -0.07464657, 1.0]], ['2, k, 11', [-0.02351444, -0.1177787, 1.0]], ['2, k, 12', [-0.2732883, -0.1106206, 1.0]], ['2, k, 13', [-0.272324, -0.4600852, 1.0]], ['2, k, 14', [-0.2296663, -0.7720994, 1.0]], ['2, k, 15', [-0.2658098, -0.6978802, 1.0]], ['2, k, 16', [-0.1195495, -0.1090357, 1.0]], ['2, k, 17', [-0.06714382, -0.4854566, 1.0]], ['2, k, 18', [0.05905468, -0.7588683, 1.0]], ['2, k, 19', [0.003886718, -0.7158233, 1.0]], ['2, k, 20', [-0.2026678, 0.4213154, 1.0]], ['2, k, 21', [-0.3899538, -0.2299093, 1.0]], ['2, k, 22', [-0.4223124, -0.1508894, 1.0]], ['2, k, 23', [-0.02870081, -0.1636628, 1.0]], ['2, k, 24', [0.01392593, -0.1535405, 1.0]]]
[['2, k, 0', [-0.2000415, -0.1118615, 1.0]], ['2, k, 1', [-0.2017853, 0.1969051, 1.0]], ['2, k, 2', [-0.202765, 0.4940329, 1.0]], ['2, k, 3', [-0.2238742, 0.6206943, 1.0]], ['2, k, 4', [-0.373544, 0.3630424, 1.0]], ['2, k, 5', [-0.4130915, 0.1028947, 1.0]], ['2, k, 6', [-0.4129778, -0.1094676, 1.0]], ['2, k, 7', [-0.4040093, -0.152213, 1.0]], ['2, k, 8', [-0.05190538, 0.3829079, 1.0]], ['2, k, 9', [0.009560954, 0.1341265, 1.0]], ['2, k, 10', [0.008716886, -0.07454058, 1.0]], ['2, k, 11', [-0.02356113, -0.1160295, 1.0]], ['2, k, 12', [-0.2733895, -0.1106791, 1.0]], ['2, k, 13', [-0.2723708, -0.4650284, 1.0]], ['2, k, 14', [-0.2285647, -0.7767936, 1.0]], ['2, k, 15', [-0.2635111, -0.7011067, 1.0]], ['2, k, 16', [-0.1195884, -0.1090643, 1.0]], ['2, k, 17', [-0.06760653, -0.484533, 1.0]], ['2, k, 18', [0.0595215, -0.75754, 1.0]], ['2, k, 19', [0.004121564, -0.7168912, 1.0]], ['2, k, 20', [-0.202712, 0.4213584, 1.0]], ['2, k, 21', [-0.4019379, -0.2230608, 1.0]], ['2, k, 22', [-0.4607373, -0.1020078, 1.0]], ['2, k, 23', [-0.03398063, -0.1622352, 1.0]], ['2, k, 24', [0.01697396, -0.1471798, 1.0]]]
[['2, k, 0', [-0.2000599, -0.1117654, 1.0]], ['2, k, 1', [-0.2018233, 0.1969757, 1.0]], ['2, k, 2', [-0.2028052, 0.4941132, 1.0]], ['2, k, 3', [-0.2239113, 0.6207514, 1.0]], ['2, k, 4', [-0.37163, 0.3671243, 1.0]], ['2, k, 5', [-0.4128737, 0.1006632, 1.0]], ['2, k, 6', [-0.4140226, -0.1112541, 1.0]], ['2, k, 7', [-0.405582, -0.1520157, 1.0]], ['2, k, 8', [-0.05196287, 0.3829786, 1.0]], ['2, k, 9', [0.009435757, 0.1343221, 1.0]], ['2, k, 10', [0.008735983, -0.07436771, 1.0]], ['2, k, 11', [-0.02427996, -0.1161845, 1.0]], ['2, k, 12', [-0.2734224, -0.1105821, 1.0]], ['2, k, 13', [-0.2720578, -0.4656518, 1.0]], ['2, k, 14', [-0.2284389, -0.777404, 1.0]], ['2, k, 15', [-0.2632075, -0.7015884, 1.0]], ['2, k, 16', [-0.1195829, -0.1089601, 1.0]], ['2, k, 17', [-0.06717494, -0.4860989, 1.0]], ['2, k, 18', [0.04940455, -0.7675511, 1.0]], ['2, k, 19', [0.005585324, -0.7049795, 1.0]], ['2, k, 20', [-0.2027528, 0.4214343, 1.0]], ['2, k, 21', [-0.4055863, -0.2212415, 1.0]], ['2, k, 22', [-0.441485, -0.1450289, 1.0]], ['2, k, 23', [-0.03230245, -0.1621659, 1.0]], ['2, k, 24', [0.01196207, -0.1525802, 1.0]]]
[['2, k, 0', [-0.2000667, -0.1117901, 1.0]], ['2, k, 1', [-0.2018285, 0.196989, 1.0]], ['2, k, 2', [-0.2027934, 0.4941815, 1.0]], ['2, k, 3', [-0.2238473, 0.6208832, 1.0]], ['2, k, 4', [-0.3718853, 0.3670578, 1.0]], ['2, k, 5', [-0.4118158, 0.1006359, 1.0]], ['2, k, 6', [-0.4141558, -0.1102653, 1.0]], ['2, k, 7', [-0.4235592, -0.143201, 1.0]], ['2, k, 8', [-0.05195568, 0.3826795, 1.0]], ['2, k, 9', [0.009402985, 0.1341856, 1.0]], ['2, k, 10', [0.008730875, -0.07452086, 1.0]], ['2, k, 11', [-0.02418258, -0.1163548, 1.0]], ['2, k, 12', [-0.2734288, -0.1106233, 1.0]], ['2, k, 13', [-0.2718412, -0.4663196, 1.0]], ['2, k, 14', [-0.2285987, -0.778094, 1.0]], ['2, k, 15', [-0.2629383, -0.7020192, 1.0]], ['2, k, 16', [-0.1195852, -0.1089679, 1.0]], ['2, k, 17', [-0.06665155, -0.4870801, 1.0]], ['2, k, 18', [0.04824366, -0.7694311, 1.0]], ['2, k, 19', [0.006851479, -0.7043745, 1.0]], ['2, k, 20', [-0.2027494, 0.4214782, 1.0]], ['2, k, 21', [-0.4308034, -0.2120925, 1.0]], ['2, k, 22', [-0.4495747, -0.151758, 1.0]], ['2, k, 23', [-0.03379268, -0.1619681, 1.0]], ['2, k, 24', [0.01604278, -0.1480585, 1.0]]]
[['2, k, 0', [-0.2000422, -0.1117847, 1.0]], ['2, k, 1', [-0.201865, 0.1969596, 1.0]], ['2, k, 2', [-0.2029194, 0.4940678, 1.0]], ['2, k, 3', [-0.2238588, 0.6208811, 1.0]], ['2, k, 4', [-0.3698848, 0.3687876, 1.0]], ['2, k, 5', [-0.4109991, 0.1012957, 1.0]], ['2, k, 6', [-0.4153245, -0.1080492, 1.0]], ['2, k, 7', [-0.4236899, -0.1396174, 1.0]], ['2, k, 8', [-0.05208357, 0.3827813, 1.0]], ['2, k, 9', [0.009334246, 0.1342682, 1.0]], ['2, k, 10', [0.008767355, -0.07447771, 1.0]], ['2, k, 11', [-0.02320978, -0.1164443, 1.0]], ['2, k, 12', [-0.2734102, -0.1105842, 1.0]], ['2, k, 13', [-0.2716945, -0.4667033, 1.0]], ['2, k, 14', [-0.2290401, -0.7785639, 1.0]], ['2, k, 15', [-0.2627999, -0.702215, 1.0]], ['2, k, 16', [-0.119561, -0.1089776, 1.0]], ['2, k, 17', [-0.0667934, -0.4866833, 1.0]], ['2, k, 18', [0.05001571, -0.7665692, 1.0]], ['2, k, 19', [0.007547975, -0.7080597, 1.0]], ['2, k, 20', [-0.2028471, 0.4213946, 1.0]], ['2, k, 21', [-0.4318672, -0.2083234, 1.0]], ['2, k, 22', [-0.44976, -0.1102602, 1.0]], ['2, k, 23', [-0.03217905, -0.1636375, 1.0]], ['2, k, 24', [0.01875135, -0.1413176, 1.0]]]
[['2, k, 0', [-0.1999775, -0.111661, 1.0]], ['2, k, 1', [-0.2018303, 0.1970519, 1.0]], ['2, k, 2', [-0.202829, 0.4942395, 1.0]], ['2, k, 3', [-0.2236376, 0.6210515, 1.0]], ['2, k, 4', [-0.3693871, 0.3695268, 1.0]], ['2, k, 5', [-0.4096033, 0.1021855, 1.0]], ['2, k, 6', [-0.4174619, -0.1047405, 1.0]], ['2, k, 7', [-0.4270225, -0.1322106, 1.0]], ['2, k, 8', [-0.05208394, 0.3827667, 1.0]], ['2, k, 9', [0.009318605, 0.1343134, 1.0]], ['2, k, 10', [0.008773253, -0.0744335, 1.0]], ['2, k, 11', [-0.02172479, -0.1166467, 1.0]], ['2, k, 12', [-0.2733182, -0.1103489, 1.0]], ['2, k, 13', [-0.2716022, -0.4668605, 1.0]], ['2, k, 14', [-0.2287541, -0.7787724, 1.0]], ['2, k, 15', [-0.2626546, -0.7023711, 1.0]], ['2, k, 16', [-0.1195199, -0.1089307, 1.0]], ['2, k, 17', [-0.06686618, -0.4870918, 1.0]], ['2, k, 18', [0.05534859, -0.7639631, 1.0]], ['2, k, 19', [0.007465325, -0.7124665, 1.0]], ['2, k, 20', [-0.2027785, 0.421542, 1.0]], ['2, k, 21', [-0.4342864, -0.2034861, 1.0]], ['2, k, 22', [-0.4547255, -0.1236163, 1.0]], ['2, k, 23', [-0.03279285, -0.1638633, 1.0]], ['2, k, 24', [0.01792217, -0.1476907, 1.0]]]
[['2, k, 0', [-0.1997155, -0.1114724, 1.0]], ['2, k, 1', [-0.2017791, 0.1971413, 1.0]], ['2, k, 2', [-0.2028546, 0.4942984, 1.0]], ['2, k, 3', [-0.2234014, 0.6212158, 1.0]], ['2, k, 4', [-0.3686268, 0.3699401, 1.0]], ['2, k, 5', [-0.4085406, 0.1080844, 1.0]], ['2, k, 6', [-0.4183421, -0.09681871, 1.0]], ['2, k, 7', [-0.4291498, -0.1262527, 1.0]], ['2, k, 8', [-0.05205525, 0.3828299, 1.0]], ['2, k, 9', [0.009329569, 0.1343079, 1.0]], ['2, k, 10', [0.008923134, -0.07447031, 1.0]], ['2, k, 11', [-0.02104052, -0.1160684, 1.0]], ['2, k, 12', [-0.2730523, -0.1101193, 1.0]], ['2, k, 13', [-0.2715562, -0.4669887, 1.0]], ['2, k, 14', [-0.2292041, -0.7790411, 1.0]], ['2, k, 15', [-0.2626124, -0.7023612, 1.0]], ['2, k, 16', [-0.119225, -0.1087668, 1.0]], ['2, k, 17', [-0.06651167, -0.4881554, 1.0]], ['2, k, 18', [0.04070724, -0.7728331, 1.0]], ['2, k, 19', [0.01401637, -0.7045546, 1.0]], ['2, k, 20', [-0.2027878, 0.4216065, 1.0]], ['2, k, 21', [-0.4404173, -0.1963515, 1.0]], ['2, k, 22', [-0.4610921, -0.1156505, 1.0]], ['2, k, 23', [-0.0316615, -0.1640819, 1.0]], ['2, k, 24', [0.01710456, -0.1499027, 1.0]]]
[['2, k, 0', [-0.199721, -0.1113238, 1.0]], ['2, k, 1', [-0.2019128, 0.1972383, 1.0]], ['2, k, 2', [-0.2032086, 0.4942935, 1.0]], ['2, k, 3', [-0.2228114, 0.6215128, 1.0]], ['2, k, 4', [-0.3684567, 0.3701007, 1.0]], ['2, k, 5', [-0.4074509, 0.1119939, 1.0]], ['2, k, 6', [-0.4206558, -0.08946442, 1.0]], ['2, k, 7', [-0.4323243, -0.1192627, 1.0]], ['2, k, 8', [-0.05178827, 0.3829999, 1.0]], ['2, k, 9', [0.009323189, 0.1342793, 1.0]], ['2, k, 10', [0.009070419, -0.07453468, 1.0]], ['2, k, 11', [-0.01990871, -0.1171524, 1.0]], ['2, k, 12', [-0.2730572, -0.1099472, 1.0]], ['2, k, 13', [-0.2715418, -0.4682286, 1.0]], ['2, k, 14', [-0.2290927, -0.7802786, 1.0]], ['2, k, 15', [-0.2621642, -0.7033949, 1.0]], ['2, k, 16', [-0.119235, -0.1085414, 1.0]], ['2, k, 17', [-0.06690112, -0.4864444, 1.0]], ['2, k, 18', [0.03598872, -0.7732865, 1.0]], ['2, k, 19', [0.01559539, -0.701665, 1.0]], ['2, k, 20', [-0.203082, 0.4216389, 1.0]], ['2, k, 21', [-0.4438591, -0.1886242, 1.0]], ['2, k, 22', [-0.4678463, -0.106685, 1.0]], ['2, k, 23', [-0.03090643, -0.1640097, 1.0]], ['2, k, 24', [0.01889919, -0.1452495, 1.0]]]
[['2, k, 0', [-0.1993072, -0.1110738, 1.0]], ['2, k, 1', [-0.201786, 0.1973689, 1.0]], ['2, k, 2', [-0.203234, 0.4943538, 1.0]], ['2, k, 3', [-0.2226793, 0.6216573, 1.0]], ['2, k, 4', [-0.3671117, 0.3693467, 1.0]], ['2, k, 5', [-0.4056717, 0.1167218, 1.0]], ['2, k, 6', [-0.4200404, -0.08186225, 1.0]], ['2, k, 7', [-0.4363115, -0.113068, 1.0]], ['2, k, 8', [-0.05087758, 0.3837243, 1.0]], ['2, k, 9', [0.009344894, 0.1343774, 1.0]], ['2, k, 10', [0.009279682, -0.07443358, 1.0]], ['2, k, 11', [-0.02015528, -0.1166662, 1.0]], ['2, k, 12', [-0.2727466, -0.1097649, 1.0]], ['2, k, 13', [-0.2715377, -0.468423, 1.0]], ['2, k, 14', [-0.2293167, -0.7805622, 1.0]], ['2, k, 15', [-0.2622505, -0.7035612, 1.0]], ['2, k, 16', [-0.118644, -0.1082016, 1.0]], ['2, k, 17', [-0.06701984, -0.4860859, 1.0]], ['2, k, 18', [0.03715664, -0.7726614, 1.0]], ['2, k, 19', [0.01405789, -0.7017619, 1.0]], ['2, k, 20', [-0.2030742, 0.4217159, 1.0]], ['2, k, 21', [-0.4493735, -0.1827677, 1.0]], ['2, k, 22', [-0.466135, -0.08767675, 1.0]], ['2, k, 23', [-0.03092796, -0.1641068, 1.0]], ['2, k, 24', [0.01722542, -0.1459511, 1.0]]]
[['2, k, 0', [-0.1989127, -0.1108933, 1.0]], ['2, k, 1', [-0.2016854, 0.1974363, 1.0]], ['2, k, 2', [-0.2033841, 0.4943112, 1.0]], ['2, k, 3', [-0.2220858, 0.6219992, 1.0]], ['2, k, 4', [-0.366445, 0.3687703, 1.0]], ['2, k, 5', [-0.4041062, 0.1199542, 1.0]], ['2, k, 6', [-0.4232784, -0.07290547, 1.0]], ['2, k, 7', [-0.4405418, -0.1028085, 1.0]], ['2, k, 8', [-0.05090078, 0.3837628, 1.0]], ['2, k, 9', [0.009392972, 0.1349458, 1.0]], ['2, k, 10', [0.009363367, -0.07387119, 1.0]], ['2, k, 11', [-0.02048441, -0.1160855, 1.0]], ['2, k, 12', [-0.2724898, -0.1096534, 1.0]], ['2, k, 13', [-0.2715322, -0.4686562, 1.0]], ['2, k, 14', [-0.2298959, -0.7809451, 1.0]], ['2, k, 15', [-0.2623383, -0.7035832, 1.0]], ['2, k, 16', [-0.1179732, -0.1079081, 1.0]], ['2, k, 17', [-0.0667109, -0.4866495, 1.0]], ['2, k, 18', [0.05354586, -0.7644153, 1.0]], ['2, k, 19', [0.007182505, -0.7128211, 1.0]], ['2, k, 20', [-0.2031531, 0.4217067, 1.0]], ['2, k, 21', [-0.4576441, -0.1714206, 1.0]], ['2, k, 22', [-0.4739199, -0.07955945, 1.0]], ['2, k, 23', [-0.03135881, -0.1640805, 1.0]], ['2, k, 24', [0.01748228, -0.1466463, 1.0]]]
[['2, k, 0', [-0.1987602, -0.1108961, 1.0]], ['2, k, 1', [-0.2016531, 0.1974668, 1.0]], ['2, k, 2', [-0.2034819, 0.494393, 1.0]], ['2, k, 3', [-0.2217228, 0.6221344, 1.0]], ['2, k, 4', [-0.3671736, 0.3674021, 1.0]], ['2, k, 5', [-0.4012045, 0.1240104, 1.0]], ['2, k, 6', [-0.4252663, -0.06243703, 1.0]], ['2, k, 7', [-0.4434529, -0.09686922, 1.0]], ['2, k, 8', [-0.05085244, 0.3836693, 1.0]], ['2, k, 9', [0.009460663, 0.1350943, 1.0]], ['2, k, 10', [0.009763049, -0.07378237, 1.0]], ['2, k, 11', [-0.01860685, -0.1161405, 1.0]], ['2, k, 12', [-0.2723293, -0.1096771, 1.0]], ['2, k, 13', [-0.2727453, -0.4370535, 1.0]], ['2, k, 14', [-0.2346457, -0.7499406, 1.0]], ['2, k, 15', [-0.2802603, -0.6884232, 1.0]], ['2, k, 16', [-0.1177086, -0.1079073, 1.0]], ['2, k, 17', [-0.06706773, -0.4861943, 1.0]], ['2, k, 18', [0.04951934, -0.7676861, 1.0]], ['2, k, 19', [0.005926564, -0.7078843, 1.0]], ['2, k, 20', [-0.2032157, 0.4217735, 1.0]], ['2, k, 21', [-0.4566966, -0.1645313, 1.0]], ['2, k, 22', [-0.4808902, -0.08123481, 1.0]], ['2, k, 23', [-0.02804937, -0.1643886, 1.0]], ['2, k, 24', [0.02029962, -0.152074, 1.0]]]
