[['2, k, 0', [-0.0009470826, -0.110218, 1.0]], ['2, k, 1', [0.008299632, 0.1962023, 1.0]], ['2, k, 2', [0.01646993, 0.4909675, 1.0]], ['2, k, 3', [0.02531053, 0.619659, 1.0]], ['2, k, 4', [-0.1540076, 0.3824924, 1.0]], ['2, k, 5', [-0.2625157, 0.1546346, 1.0]], ['2, k, 6', [-0.3373914, -0.04214922, 1.0]], ['2, k, 7', [-0.3845508, -0.1266962, 1.0]], ['2, k, 8', [0.1705179, 0.3645908, 1.0]], ['2, k, 9', [0.2105937, 0.1137443, 1.0]], ['2, k, 10', [0.21309, -0.1059924, 1.0]], ['2, k, 11', [0.2075002, -0.1575392, 1.0]], ['2, k, 12', [-0.07309299, -0.1048921, 1.0]], ['2, k, 13', [-0.08317268, -0.407535, 1.0]], ['2, k, 14', [-0.07996567, -0.6830308, 1.0]], ['2, k, 15', [-0.05684875, -0.7146848, 1.0]], ['2, k, 16', [0.07108388, -0.1114847, 1.0]], ['2, k, 17', [0.06720517, -0.4128962, 1.0]], ['2, k, 18', [0.07086167, -0.6772636, 1.0]], ['2, k, 19', [0.08543198, -0.7452986, 1.0]], ['2, k, 20', [0.01453282, 0.4188676, 1.0]], ['2, k, 21', [-0.3988208, -0.1920492, 1.0]], ['2, k, 22', [-0.3809939, -0.1426372, 1.0]], ['2, k, 23', [0.2123279, -0.2048096, 1.0]], ['2, k, 24', [0.1632216, -0.150305, 1.0]]]
[['2, k, 0', [-0.001302898, -0.1099739, 1.0]], ['2, k, 1', [0.007572685, 0.196627, 1.0]], ['2, k, 2', [0.01532447, 0.4916519, 1.0]], ['2, k, 3', [0.02353196, 0.6202591, 1.0]], ['2, k, 4', [-0.1550025, 0.3826271, 1.0]], ['2, k, 5', [-0.2725923, 0.169872, 1.0]], ['2, k, 6', [-0.3498562, -0.04479969, 1.0]], ['2, k, 7', [-0.3782951, -0.1068698, 1.0]], ['2, k, 8', [0.1696655, 0.365041, 1.0]], ['2, k, 9', [0.2110019, 0.1141081, 1.0]], ['2, k, 10', [0.2160499, -0.1055547, 1.0]], ['2, k, 11', [0.21139, -0.1367369, 1.0]], ['2, k, 12', [-0.07351837, -0.1047102, 1.0]], ['2, k, 13', [-0.08425943, -0.4086441, 1.0]], ['2, k, 14', [-0.07990498, -0.683158, 1.0]], ['2, k, 15', [-0.0570914, -0.7148262, 1.0]], ['2, k, 16', [0.07081005, -0.1112032, 1.0]], ['2, k, 17', [0.06766055, -0.412845, 1.0]], ['2, k, 18', [0.07072772, -0.6769078, 1.0]], ['2, k, 19', [0.0854692, -0.745044, 1.0]], ['2, k, 20', [0.01348946, 0.4194842, 1.0]], ['2, k, 21', [-0.3964387, -0.1609033, 1.0]], ['2, k, 22', [-0.3794332, -0.1346409, 1.0]], ['2, k, 23', [0.2157569, -0.2082901, 1.0]], ['2, k, 24', [0.161129, -0.1391291, 1.0]]]
[['2, k, 0', [-0.001627741, -0.1095534, 1.0]], ['2, k, 1', [0.006926936, 0.1971015, 1.0]], ['2, k, 2', [0.01439837, 0.4921627, 1.0]], ['2, k, 3', [0.02171632, 0.6209476, 1.0]], ['2, k, 4', [-0.1560648, 0.3830847, 1.0]], ['2, k, 5', [-0.2726983, 0.1699609, 1.0]], ['2, k, 6', [-0.3497419, -0.04476608, 1.0]], ['2, k, 7', [-0.3859181, -0.13158, 1.0]], ['2, k, 8', [0.1692727, 0.3655056, 1.0]], ['2, k, 9', [0.2117997, 0.115197, 1.0]], ['2, k, 10', [0.2217535, -0.1039272, 1.0]], ['2, k, 11', [0.2207658, -0.1336839, 1.0]], ['2, k, 12', [-0.0739022, -0.104348, 1.0]], ['2, k, 13', [-0.08432966, -0.4086556, 1.0]], ['2, k, 14', [-0.0799829, -0.683147, 1.0]], ['2, k, 15', [-0.05745208, -0.7148277, 1.0]], ['2, k, 16', [0.07055996, -0.1107451, 1.0]], ['2, k, 17', [0.06779109, -0.4127203, 1.0]], ['2, k, 18', [0.06939816, -0.6779027, 1.0]], ['2, k, 19', [0.08547272, -0.7450466, 1.0]], ['2, k, 20', [0.0126254, 0.419991, 1.0]], ['2, k, 21', [-0.4001499, -0.1896642, 1.0]], ['2, k, 22', [-0.381486, -0.154493, 1.0]], ['2, k, 23', [0.2299554, -0.2041613, 1.0]], ['2, k, 24', [0.1710077, -0.1457699, 1.0]]]
[['2, k, 0', [-0.001572489, -0.109262, 1.0]], ['2, k, 1', [0.006571151, 0.197503, 1.0]], ['2, k, 2', [0.01334894, 0.4928323, 1.0]], ['2, k, 3', [0.02014733, 0.6216046, 1.0]], ['2, k, 4', [-0.156287, 0.3830861, 1.0]], ['2, k, 5', [-0.2728241, 0.1696711, 1.0]], ['2, k, 6', [-0.3345371, -0.001753081, 1.0]], ['2, k, 7', [-0.3655906, -0.07760104, 1.0]], ['2, k, 8', [0.1687415, 0.3658978, 1.0]], ['2, k, 9', [0.2133023, 0.1172931, 1.0]], ['2, k, 10', [0.2336048, -0.1006099, 1.0]], ['2, k, 11', [0.2403725, -0.1303396, 1.0]], ['2, k, 12', [-0.07387889, -0.1040343, 1.0]], ['2, k, 13', [-0.08510099, -0.4093346, 1.0]], ['2, k, 14', [-0.08003426, -0.6831725, 1.0]], ['2, k, 15', [-0.111971, -0.7552297, 1.0]], ['2, k, 16', [0.07064732, -0.1104884, 1.0]], ['2, k, 17', [0.06779401, -0.4127187, 1.0]], ['2, k, 18', [0.06960201, -0.67824, 1.0]], ['2, k, 19', [0.08605775, -0.7451395, 1.0]], ['2, k, 20', [0.01177468, 0.4205903, 1.0]], ['2, k, 21', [-0.3931704, -0.1450723, 1.0]], ['2, k, 22', [-0.3763417, -0.1200283, 1.0]], ['2, k, 23', [0.2431703, -0.1989225, 1.0]], ['2, k, 24', [0.2082491, -0.1471995, 1.0]]]
[['2, k, 0', [-0.002141463, -0.1082866, 1.0]], ['2, k, 1', [0.005441436, 0.1985597, 1.0]], ['2, k, 2', [0.01181986, 0.493855, 1.0]], ['2, k, 3', [0.01897351, 0.6222458, 1.0]], ['2, k, 4', [-0.157288, 0.3834391, 1.0]], ['2, k, 5', [-0.2639319, 0.1544639, 1.0]], ['2, k, 6', [-0.3377158, -0.04158443, 1.0]], ['2, k, 7', [-0.3850127, -0.1276118, 1.0]], ['2, k, 8', [0.1678271, 0.367559, 1.0]], ['2, k, 9', [0.215623, 0.1198957, 1.0]], ['2, k, 10', [0.2449265, -0.09649401, 1.0]], ['2, k, 11', [0.2566687, -0.1471635, 1.0]], ['2, k, 12', [-0.07450187, -0.1031642, 1.0]], ['2, k, 13', [-0.0848717, -0.4102311, 1.0]], ['2, k, 14', [-0.07992663, -0.6832063, 1.0]], ['2, k, 15', [-0.1096409, -0.7547238, 1.0]], ['2, k, 16', [0.07016349, -0.1094453, 1.0]], ['2, k, 17', [0.06681426, -0.4130602, 1.0]], ['2, k, 18', [0.07014224, -0.6780939, 1.0]], ['2, k, 19', [0.08625812, -0.7452496, 1.0]], ['2, k, 20', [0.01032591, 0.4216316, 1.0]], ['2, k, 21', [-0.3985167, -0.191833, 1.0]], ['2, k, 22', [-0.3794499, -0.1360762, 1.0]], ['2, k, 23', [0.256297, -0.1964106, 1.0]], ['2, k, 24', [0.2231638, -0.1393915, 1.0]]]
[['2, k, 0', [-0.002112362, -0.1078065, 1.0]], ['2, k, 1', [0.004990489, 0.199244, 1.0]], ['2, k, 2', [0.01075442, 0.4948452, 1.0]], ['2, k, 3', [0.01785598, 0.6228908, 1.0]], ['2, k, 4', [-0.1576996, 0.3835225, 1.0]], ['2, k, 5', [-0.2734666, 0.1693677, 1.0]], ['2, k, 6', [-0.3412168, 0.003047844, 1.0]], ['2, k, 7', [-0.3640307, -0.07256416, 1.0]], ['2, k, 8', [0.1670538, 0.3694766, 1.0]], ['2, k, 9', [0.2177908, 0.1233653, 1.0]], ['2, k, 10', [0.259109, -0.09010379, 1.0]], ['2, k, 11', [0.268946, -0.1414259, 1.0]], ['2, k, 12', [-0.07446123, -0.1027008, 1.0]], ['2, k, 13', [-0.08505174, -0.4101408, 1.0]], ['2, k, 14', [-0.07978103, -0.68315, 1.0]], ['2, k, 15', [-0.05780327, -0.7148416, 1.0]], ['2, k, 16', [0.07018827, -0.1089668, 1.0]], ['2, k, 17', [0.06672011, -0.4130268, 1.0]], ['2, k, 18', [0.07035861, -0.6776892, 1.0]], ['2, k, 19', [0.08652798, -0.7451994, 1.0]], ['2, k, 20', [0.009423246, 0.422543, 1.0]], ['2, k, 21', [-0.3913137, -0.1379934, 1.0]], ['2, k, 22', [-0.3767233, -0.1168908, 1.0]], ['2, k, 23', [0.2666969, -0.1937863, 1.0]], ['2, k, 24', [0.2370036, -0.1337364, 1.0]]]
[['2, k, 0', [-0.00267425, -0.1071598, 1.0]], ['2, k, 1', [0.003558201, 0.2000875, 1.0]], ['2, k, 2', [0.008476995, 0.4957445, 1.0]], ['2, k, 3', [0.0157368, 0.6238319, 1.0]], ['2, k, 4', [-0.1583548, 0.3839391, 1.0]], ['2, k, 5', [-0.2740654, 0.1679943, 1.0]], ['2, k, 6', [-0.3524909, -0.05082816, 1.0]], ['2, k, 7', [-0.3869216, -0.1351647, 1.0]], ['2, k, 8', [0.166237, 0.3703118, 1.0]], ['2, k, 9', [0.2207109, 0.1277528, 1.0]], ['2, k, 10', [0.2683905, -0.08416574, 1.0]], ['2, k, 11', [0.2795179, -0.1342159, 1.0]], ['2, k, 12', [-0.07510383, -0.1020561, 1.0]], ['2, k, 13', [-0.08510371, -0.4101638, 1.0]], ['2, k, 14', [-0.07979289, -0.6831154, 1.0]], ['2, k, 15', [-0.05808954, -0.7148055, 1.0]], ['2, k, 16', [0.06973109, -0.1083504, 1.0]], ['2, k, 17', [0.06711534, -0.4120795, 1.0]], ['2, k, 18', [0.07040016, -0.6777593, 1.0]], ['2, k, 19', [0.08630577, -0.745147, 1.0]], ['2, k, 20', [0.007345388, 0.4234394, 1.0]], ['2, k, 21', [-0.3994894, -0.1949479, 1.0]], ['2, k, 22', [-0.381485, -0.148302, 1.0]], ['2, k, 23', [0.2846359, -0.1843316, 1.0]], ['2, k, 24', [0.2462582, -0.1243154, 1.0]]]
[['2, k, 0', [-0.003522831, -0.1061132, 1.0]], ['2, k, 1', [0.002228553, 0.2010023, 1.0]], ['2, k, 2', [0.0068976, 0.4964294, 1.0]], ['2, k, 3', [0.01407467, 0.6244367, 1.0]], ['2, k, 4', [-0.1593064, 0.3845766, 1.0]], ['2, k, 5', [-0.2742807, 0.167969, 1.0]], ['2, k, 6', [-0.3511273, -0.04905179, 1.0]], ['2, k, 7', [-0.3873481, -0.1354635, 1.0]], ['2, k, 8', [0.1655022, 0.3714007, 1.0]], ['2, k, 9', [0.2256668, 0.132675, 1.0]], ['2, k, 10', [0.2833654, -0.07495816, 1.0]], ['2, k, 11', [0.2908224, -0.1250932, 1.0]], ['2, k, 12', [-0.0760145, -0.1010708, 1.0]], ['2, k, 13', [-0.08517168, -0.4102084, 1.0]], ['2, k, 14', [-0.07993606, -0.6827257, 1.0]], ['2, k, 15', [-0.05848405, -0.7144282, 1.0]], ['2, k, 16', [0.06896555, -0.1072612, 1.0]], ['2, k, 17', [0.06679083, -0.4122305, 1.0]], ['2, k, 18', [0.07086077, -0.6774322, 1.0]], ['2, k, 19', [0.08619062, -0.7451456, 1.0]], ['2, k, 20', [0.005809209, 0.4241863, 1.0]], ['2, k, 21', [-0.4006045, -0.1948678, 1.0]], ['2, k, 22', [-0.3812946, -0.1471093, 1.0]], ['2, k, 23', [0.2953271, -0.1798797, 1.0]], ['2, k, 24', [0.2564794, -0.1197105, 1.0]]]
[['2, k, 0', [-0.004065082, -0.1055638, 1.0]], ['2, k, 1', [0.0009229793, 0.2017577, 1.0]], ['2, k, 2', [0.004832838, 0.4973309, 1.0]], ['2, k, 3', [0.01257601, 0.6249959, 1.0]], ['2, k, 4', [-0.1602052, 0.3850464, 1.0]], ['2, k, 5', [-0.2743429, 0.1680138, 1.0]], ['2, k, 6', [-0.3483902, -0.04352903, 1.0]], ['2, k, 7', [-0.3857356, -0.1288439, 1.0]], ['2, k, 8', [0.1636586, 0.3745779, 1.0]], ['2, k, 9', [0.2293705, 0.1381275, 1.0]], ['2, k, 10', [0.2901609, -0.06733567, 1.0]], ['2, k, 11', [0.3021218, -0.1150576, 1.0]], ['2, k, 12', [-0.07658061, -0.1006463, 1.0]], ['2, k, 13', [-0.08513632, -0.410219, 1.0]], ['2, k, 14', [-0.080135, -0.6830364, 1.0]], ['2, k, 15', [-0.05900179, -0.7147393, 1.0]], ['2, k, 16', [0.06843088, -0.106537, 1.0]], ['2, k, 17', [0.06721337, -0.4117317, 1.0]], ['2, k, 18', [0.07092673, -0.6770993, 1.0]], ['2, k, 19', [0.08463814, -0.7451401, 1.0]], ['2, k, 20', [0.00392914, 0.4250553, 1.0]], ['2, k, 21', [-0.3999289, -0.188472, 1.0]], ['2, k, 22', [-0.3852617, -0.1624198, 1.0]], ['2, k, 23', [0.3096569, -0.1664029, 1.0]], ['2, k, 24', [0.2770219, -0.1321393, 1.0]]]
[['2, k, 0', [-0.004613396, -0.1048718, 1.0]], ['2, k, 1', [-8.710338e-05, 0.2025908, 1.0]], ['2, k, 2', [0.003470797, 0.4982648, 1.0]], ['2, k, 3', [0.01093438, 0.6257733, 1.0]], ['2, k, 4', [-0.1615123, 0.3857198, 1.0]], ['2, k, 5', [-0.2659806, 0.1551105, 1.0]], ['2, k, 6', [-0.3384007, -0.0420756, 1.0]], ['2, k, 7', [-0.3845653, -0.125951, 1.0]], ['2, k, 8', [0.1631965, 0.3758064, 1.0]], ['2, k, 9', [0.2336144, 0.142747, 1.0]], ['2, k, 10', [0.3085893, -0.05453453, 1.0]], ['2, k, 11', [0.3139566, -0.1028013, 1.0]], ['2, k, 12', [-0.07718903, -0.1000246, 1.0]], ['2, k, 13', [-0.08530126, -0.4100395, 1.0]], ['2, k, 14', [-0.08012936, -0.6830029, 1.0]], ['2, k, 15', [-0.05923555, -0.7147028, 1.0]], ['2, k, 16', [0.06795002, -0.1057768, 1.0]], ['2, k, 17', [0.06803113, -0.410709, 1.0]], ['2, k, 18', [0.0713611, -0.6769277, 1.0]], ['2, k, 19', [0.08478683, -0.7451389, 1.0]], ['2, k, 20', [0.002646015, 0.4259655, 1.0]], ['2, k, 21', [-0.4010309, -0.193932, 1.0]], ['2, k, 22', [-0.3817231, -0.1396145, 1.0]], ['2, k, 23', [0.3241757, -0.1530051, 1.0]], ['2, k, 24', [0.2909535, -0.1125102, 1.0]]]
[['2, k, 0', [-0.005055454, -0.104411, 1.0]], ['2, k, 1', [-0.001184734, 0.2032688, 1.0]], ['2, k, 2', [0.001709132, 0.4991375, 1.0]], ['2, k, 3', [0.009389138, 0.6265253, 1.0]], ['2, k, 4', [-0.1620037, 0.3860387, 1.0]], ['2, k, 5', [-0.2745767, 0.1690926, 1.0]], ['2, k, 6', [-0.3480643, -0.04335159, 1.0]], ['2, k, 7', [-0.3860089, -0.1299846, 1.0]], ['2, k, 8', [0.1630053, 0.3762724, 1.0]], ['2, k, 9', [0.2374069, 0.1469909, 1.0]], ['2, k, 10', [0.3209345, -0.04394428, 1.0]], ['2, k, 11', [0.3260491, -0.09195162, 1.0]], ['2, k, 12', [-0.07766949, -0.09954504, 1.0]], ['2, k, 13', [-0.08529492, -0.4100421, 1.0]], ['2, k, 14', [-0.08015073, -0.6830772, 1.0]], ['2, k, 15', [-0.05934527, -0.7147737, 1.0]], ['2, k, 16', [0.06757411, -0.1053672, 1.0]], ['2, k, 17', [0.06906594, -0.4084387, 1.0]], ['2, k, 18', [0.07127161, -0.6765517, 1.0]], ['2, k, 19', [0.08474804, -0.74501, 1.0]], ['2, k, 20', [0.001047565, 0.4267908, 1.0]], ['2, k, 21', [-0.4004495, -0.1898255, 1.0]], ['2, k, 22', [-0.382521, -0.1484356, 1.0]], ['2, k, 23', [0.3307996, -0.1441998, 1.0]], ['2, k, 24', [0.3372001, -0.1507904, 1.0]]]
