[['2, k, 0', [-0.1752016, -0.1291343, 1.0]], ['2, k, 1', [-0.1764055, 0.1176139, 1.0]], ['2, k, 2', [-0.176819, 0.3583751, 1.0]], ['2, k, 3', [-0.1662857, 0.4849998, 1.0]], ['2, k, 4', [-0.3148325, 0.2510451, 1.0]], ['2, k, 5', [-0.3811466, 0.007616721, 1.0]], ['2, k, 6', [-0.3967097, -0.1864787, 1.0]], ['2, k, 7', [-0.4119357, -0.2356543, 1.0]], ['2, k, 8', [-0.02020514, 0.2507922, 1.0]], ['2, k, 9', [0.02904074, 0.0338561, 1.0]], ['2, k, 10', [-0.002983388, -0.1189438, 1.0]], ['2, k, 11', [-0.02100005, -0.1671518, 1.0]], ['2, k, 12', [-0.2417227, -0.1272779, 1.0]], ['2, k, 13', [-0.2677442, -0.2669664, 1.0]], ['2, k, 14', [-0.2531966, -0.6038011, 1.0]], ['2, k, 15', [-0.2480898, -0.6649625, 1.0]], ['2, k, 16', [-0.1050239, -0.1285148, 1.0]], ['2, k, 17', [0.02168087, -0.2515889, 1.0]], ['2, k, 18', [0.01379462, -0.6011773, 1.0]], ['2, k, 19', [0.02461736, -0.6633236, 1.0]], ['2, k, 20', [-0.1769352, 0.2989383, 1.0]], ['2, k, 21', [-0.4299414, -0.3104662, 1.0]], ['2, k, 22', [-0.3710585, -0.2283696, 1.0]], ['2, k, 23', [-0.03039853, -0.2230144, 1.0]], ['2, k, 24', [0.02085008, -0.1649035, 1.0]]]
[['2, k, 0', [-0.1752398, -0.129135, 1.0]], ['2, k, 1', [-0.1764067, 0.1176106, 1.0]], ['2, k, 2', [-0.1767544, 0.3583968, 1.0]], ['2, k, 3', [-0.1658035, 0.4852574, 1.0]], ['2, k, 4', [-0.3142087, 0.2512647, 1.0]], ['2, k, 5', [-0.3798606, 0.006624171, 1.0]], ['2, k, 6', [-0.3983596, -0.1903167, 1.0]], ['2, k, 7', [-0.4155502, -0.2383801, 1.0]], ['2, k, 8', [-0.02014552, 0.2510967, 1.0]], ['2, k, 9', [0.02883646, 0.03394189, 1.0]], ['2, k, 10', [-0.002922115, -0.1196219, 1.0]], ['2, k, 11', [-0.02146024, -0.1525204, 1.0]], ['2, k, 12', [-0.2417818, -0.1272276, 1.0]], ['2, k, 13', [-0.267648, -0.2672258, 1.0]], ['2, k, 14', [-0.2532778, -0.6040301, 1.0]], ['2, k, 15', [-0.2481082, -0.6650504, 1.0]], ['2, k, 16', [-0.1051517, -0.1285519, 1.0]], ['2, k, 17', [0.02146656, -0.2508413, 1.0]], ['2, k, 18', [0.01378091, -0.600244, 1.0]], ['2, k, 19', [0.02451028, -0.6628494, 1.0]], ['2, k, 20', [-0.1768879, 0.2989515, 1.0]], ['2, k, 21', [-0.4270878, -0.3160438, 1.0]], ['2, k, 22', [-0.3701508, -0.2297577, 1.0]], ['2, k, 23', [-0.03623566, -0.2073113, 1.0]], ['2, k, 24', [0.01380133, -0.1548861, 1.0]]]
[['2, k, 0', [-0.1756169, -0.1291526, 1.0]], ['2, k, 1', [-0.1765285, 0.1176444, 1.0]], ['2, k, 2', [-0.1767948, 0.3584927, 1.0]], ['2, k, 3', [-0.16534, 0.4855486, 1.0]], ['2, k, 4', [-0.3131055, 0.251017, 1.0]], ['2, k, 5', [-0.37824, 0.007746306, 1.0]], ['2, k, 6', [-0.4030263, -0.1793607, 1.0]], ['2, k, 7', [-0.4161958, -0.2345529, 1.0]], ['2, k, 8', [-0.02018562, 0.2511223, 1.0]], ['2, k, 9', [0.02845627, 0.03432655, 1.0]], ['2, k, 10', [0.0003313315, -0.1185786, 1.0]], ['2, k, 11', [-0.02018868, -0.1602214, 1.0]], ['2, k, 12', [-0.2421072, -0.1271592, 1.0]], ['2, k, 13', [-0.2675433, -0.2675304, 1.0]], ['2, k, 14', [-0.253171, -0.6039291, 1.0]], ['2, k, 15', [-0.2482976, -0.6656261, 1.0]], ['2, k, 16', [-0.1055429, -0.1286409, 1.0]], ['2, k, 17', [0.02158358, -0.250393, 1.0]], ['2, k, 18', [0.01376754, -0.6002657, 1.0]], ['2, k, 19', [0.0239544, -0.6619268, 1.0]], ['2, k, 20', [-0.1769369, 0.2990246, 1.0]], ['2, k, 21', [-0.4309505, -0.3029743, 1.0]], ['2, k, 22', [-0.3849671, -0.2462759, 1.0]], ['2, k, 23', [-0.03594755, -0.2153226, 1.0]], ['2, k, 24', [0.01712423, -0.1584091, 1.0]]]
[['2, k, 0', [-0.1759401, -0.1292075, 1.0]], ['2, k, 1', [-0.1773077, 0.1178143, 1.0]], ['2, k, 2', [-0.178306, 0.3592522, 1.0]], ['2, k, 3', [-0.1650062, 0.4853784, 1.0]], ['2, k, 4', [-0.3124711, 0.251601, 1.0]], ['2, k, 5', [-0.3798494, 0.02138321, 1.0]], ['2, k, 6', [-0.4125961, -0.1616432, 1.0]], ['2, k, 7', [-0.4230607, -0.2178465, 1.0]], ['2, k, 8', [-0.02001074, 0.251311, 1.0]], ['2, k, 9', [0.02833441, 0.03439504, 1.0]], ['2, k, 10', [0.001350187, -0.1187577, 1.0]], ['2, k, 11', [-0.01952443, -0.1611097, 1.0]], ['2, k, 12', [-0.2424613, -0.1270654, 1.0]], ['2, k, 13', [-0.2675222, -0.2676745, 1.0]], ['2, k, 14', [-0.2531171, -0.6035454, 1.0]], ['2, k, 15', [-0.2487389, -0.6652427, 1.0]], ['2, k, 16', [-0.1057999, -0.1288298, 1.0]], ['2, k, 17', [0.02157046, -0.2501656, 1.0]], ['2, k, 18', [0.01341996, -0.6018131, 1.0]], ['2, k, 19', [0.02310669, -0.6622895, 1.0]], ['2, k, 20', [-0.1782144, 0.2996039, 1.0]], ['2, k, 21', [-0.4345358, -0.2835314, 1.0]], ['2, k, 22', [-0.3867216, -0.2113785, 1.0]], ['2, k, 23', [-0.0308148, -0.2153406, 1.0]], ['2, k, 24', [0.0181208, -0.16255, 1.0]]]
[['2, k, 0', [-0.1761013, -0.129099, 1.0]], ['2, k, 1', [-0.1772547, 0.1178701, 1.0]], ['2, k, 2', [-0.177968, 0.3592993, 1.0]], ['2, k, 3', [-0.1648828, 0.4856021, 1.0]], ['2, k, 4', [-0.3111973, 0.252814, 1.0]], ['2, k, 5', [-0.3803891, 0.03686241, 1.0]], ['2, k, 6', [-0.4147252, -0.1436003, 1.0]], ['2, k, 7', [-0.4251952, -0.1974163, 1.0]], ['2, k, 8', [-0.01996449, 0.251677, 1.0]], ['2, k, 9', [0.02817552, 0.03476182, 1.0]], ['2, k, 10', [0.0018525, -0.1193414, 1.0]], ['2, k, 11', [-0.02066822, -0.1559969, 1.0]], ['2, k, 12', [-0.2425764, -0.1268483, 1.0]], ['2, k, 13', [-0.2674485, -0.2678994, 1.0]], ['2, k, 14', [-0.2523143, -0.6016948, 1.0]], ['2, k, 15', [-0.2485616, -0.6649988, 1.0]], ['2, k, 16', [-0.1059878, -0.128813, 1.0]], ['2, k, 17', [0.02164186, -0.2500578, 1.0]], ['2, k, 18', [0.01329937, -0.6014571, 1.0]], ['2, k, 19', [0.02318062, -0.6606458, 1.0]], ['2, k, 20', [-0.1779622, 0.2996571, 1.0]], ['2, k, 21', [-0.4395177, -0.259339, 1.0]], ['2, k, 22', [-0.3942332, -0.1935686, 1.0]], ['2, k, 23', [-0.03095212, -0.2081986, 1.0]], ['2, k, 24', [0.01978112, -0.1523778, 1.0]]]
[['2, k, 0', [-0.1764525, -0.1289267, 1.0]], ['2, k, 1', [-0.1776261, 0.1179866, 1.0]], ['2, k, 2', [-0.1783132, 0.3593885, 1.0]], ['2, k, 3', [-0.1645646, 0.4856519, 1.0]], ['2, k, 4', [-0.309661, 0.25531, 1.0]], ['2, k, 5', [-0.3825404, 0.06127195, 1.0]], ['2, k, 6', [-0.4198323, -0.1156631, 1.0]], ['2, k, 7', [-0.4278184, -0.1608233, 1.0]], ['2, k, 8', [-0.02008083, 0.2515609, 1.0]], ['2, k, 9', [0.02780703, 0.03504514, 1.0]], ['2, k, 10', [0.001726693, -0.1192611, 1.0]], ['2, k, 11', [-0.02024135, -0.1547406, 1.0]], ['2, k, 12', [-0.2429773, -0.1263938, 1.0]], ['2, k, 13', [-0.2674312, -0.2678938, 1.0]], ['2, k, 14', [-0.2527908, -0.6017741, 1.0]], ['2, k, 15', [-0.2476887, -0.6651381, 1.0]], ['2, k, 16', [-0.1062647, -0.1288683, 1.0]], ['2, k, 17', [0.02166286, -0.250116, 1.0]], ['2, k, 18', [0.01352504, -0.6009086, 1.0]], ['2, k, 19', [0.02376618, -0.6607085, 1.0]], ['2, k, 20', [-0.1783083, 0.2997562, 1.0]], ['2, k, 21', [-0.4504231, -0.2168281, 1.0]], ['2, k, 22', [-0.4090271, -0.1802711, 1.0]], ['2, k, 23', [-0.03560844, -0.2092892, 1.0]], ['2, k, 24', [0.01951145, -0.1567331, 1.0]]]
[['2, k, 0', [-0.1768409, -0.1289334, 1.0]], ['2, k, 1', [-0.1779678, 0.11796, 1.0]], ['2, k, 2', [-0.1785383, 0.3593619, 1.0]], ['2, k, 3', [-0.1642487, 0.4846289, 1.0]], ['2, k, 4', [-0.3071191, 0.258061, 1.0]], ['2, k, 5', [-0.3801048, 0.0915329, 1.0]], ['2, k, 6', [-0.4149522, -0.06399026, 1.0]], ['2, k, 7', [-0.4264699, -0.1132816, 1.0]], ['2, k, 8', [-0.02015725, 0.2515057, 1.0]], ['2, k, 9', [0.02776763, 0.0350652, 1.0]], ['2, k, 10', [0.002901393, -0.119623, 1.0]], ['2, k, 11', [-0.01931452, -0.1598901, 1.0]], ['2, k, 12', [-0.2434304, -0.1261594, 1.0]], ['2, k, 13', [-0.267432, -0.2682311, 1.0]], ['2, k, 14', [-0.2527926, -0.601774, 1.0]], ['2, k, 15', [-0.2475179, -0.6651294, 1.0]], ['2, k, 16', [-0.1065604, -0.1290702, 1.0]], ['2, k, 17', [0.02165958, -0.2501106, 1.0]], ['2, k, 18', [0.01374369, -0.6011632, 1.0]], ['2, k, 19', [0.02557766, -0.6624174, 1.0]], ['2, k, 20', [-0.17856, 0.299736, 1.0]], ['2, k, 21', [-0.4476497, -0.1601773, 1.0]], ['2, k, 22', [-0.3906274, -0.126303, 1.0]], ['2, k, 23', [-0.03312722, -0.2130816, 1.0]], ['2, k, 24', [0.0198425, -0.1601852, 1.0]]]
[['2, k, 0', [-0.177123, -0.1285921, 1.0]], ['2, k, 1', [-0.1783275, 0.1183755, 1.0]], ['2, k, 2', [-0.1789615, 0.3598663, 1.0]], ['2, k, 3', [-0.1642046, 0.4845623, 1.0]], ['2, k, 4', [-0.3040979, 0.2615548, 1.0]], ['2, k, 5', [-0.3771738, 0.1251329, 1.0]], ['2, k, 6', [-0.413489, -0.0005661675, 1.0]], ['2, k, 7', [-0.4250004, -0.06182517, 1.0]], ['2, k, 8', [-0.02042706, 0.2518139, 1.0]], ['2, k, 9', [0.02749227, 0.0354771, 1.0]], ['2, k, 10', [0.002780602, -0.11872, 1.0]], ['2, k, 11', [-0.02013196, -0.1562948, 1.0]], ['2, k, 12', [-0.2437813, -0.1254068, 1.0]], ['2, k, 13', [-0.2674431, -0.2682312, 1.0]], ['2, k, 14', [-0.2523133, -0.6015121, 1.0]], ['2, k, 15', [-0.2469156, -0.6648183, 1.0]], ['2, k, 16', [-0.1067761, -0.1289651, 1.0]], ['2, k, 17', [0.02165452, -0.2500186, 1.0]], ['2, k, 18', [0.01326237, -0.6020041, 1.0]], ['2, k, 19', [0.01508152, -0.66436, 1.0]], ['2, k, 20', [-0.1789641, 0.3002228, 1.0]], ['2, k, 21', [-0.4469929, -0.1110799, 1.0]], ['2, k, 22', [-0.3908274, -0.0735073, 1.0]], ['2, k, 23', [-0.03529912, -0.2098169, 1.0]], ['2, k, 24', [0.02072228, -0.158776, 1.0]]]
[['2, k, 0', [-0.1783509, -0.1285555, 1.0]], ['2, k, 1', [-0.1790493, 0.1185878, 1.0]], ['2, k, 2', [-0.1792629, 0.360341, 1.0]], ['2, k, 3', [-0.1634864, 0.4841934, 1.0]], ['2, k, 4', [-0.3025167, 0.2630013, 1.0]], ['2, k, 5', [-0.3847201, 0.1568263, 1.0]], ['2, k, 6', [-0.4129973, 0.04954407, 1.0]], ['2, k, 7', [-0.4214883, -0.001141032, 1.0]], ['2, k, 8', [-0.02048394, 0.2517107, 1.0]], ['2, k, 9', [0.02746138, 0.03578566, 1.0]], ['2, k, 10', [0.003572372, -0.1201657, 1.0]], ['2, k, 11', [-0.02168907, -0.156558, 1.0]], ['2, k, 12', [-0.2450909, -0.1248915, 1.0]], ['2, k, 13', [-0.267521, -0.2681915, 1.0]], ['2, k, 14', [-0.2522865, -0.6018028, 1.0]], ['2, k, 15', [-0.2468369, -0.6648431, 1.0]], ['2, k, 16', [-0.107958, -0.129384, 1.0]], ['2, k, 17', [0.02173362, -0.2498766, 1.0]], ['2, k, 18', [0.01365897, -0.6012272, 1.0]], ['2, k, 19', [0.01533727, -0.6639353, 1.0]], ['2, k, 20', [-0.1793743, 0.3006248, 1.0]], ['2, k, 21', [-0.426905, -0.03720828, 1.0]], ['2, k, 22', [-0.3940126, 0.0002773305, 1.0]], ['2, k, 23', [-0.03124527, -0.2089996, 1.0]], ['2, k, 24', [0.01976771, -0.1582371, 1.0]]]
[['2, k, 0', [-0.17857, -0.1282476, 1.0]], ['2, k, 1', [-0.1792647, 0.1189016, 1.0]], ['2, k, 2', [-0.1794386, 0.3606381, 1.0]], ['2, k, 3', [-0.163594, 0.4848828, 1.0]], ['2, k, 4', [-0.3026758, 0.2635293, 1.0]], ['2, k, 5', [-0.3843099, 0.176566, 1.0]], ['2, k, 6', [-0.4006031, 0.1028115, 1.0]], ['2, k, 7', [-0.4154514, 0.05827365, 1.0]], ['2, k, 8', [-0.02086267, 0.2516307, 1.0]], ['2, k, 9', [0.02735994, 0.03570833, 1.0]], ['2, k, 10', [0.003743638, -0.1200929, 1.0]], ['2, k, 11', [-0.02004905, -0.1543918, 1.0]], ['2, k, 12', [-0.2453464, -0.1244974, 1.0]], ['2, k, 13', [-0.2678829, -0.2673153, 1.0]], ['2, k, 14', [-0.2521348, -0.6020741, 1.0]], ['2, k, 15', [-0.2470038, -0.664689, 1.0]], ['2, k, 16', [-0.1081054, -0.1291735, 1.0]], ['2, k, 17', [0.02172972, -0.2498208, 1.0]], ['2, k, 18', [0.01387003, -0.6011156, 1.0]], ['2, k, 19', [0.01972581, -0.6633115, 1.0]], ['2, k, 20', [-0.1795577, 0.3009326, 1.0]], ['2, k, 21', [-0.4321181, 0.02867006, 1.0]], ['2, k, 22', [-0.3821572, 0.05113846, 1.0]], ['2, k, 23', [-0.03487374, -0.206332, 1.0]], ['2, k, 24', [0.01821599, -0.1581406, 1.0]]]
[['2, k, 0', [-0.1788164, -0.127939, 1.0]], ['2, k, 1', [-0.17959, 0.1191887, 1.0]], ['2, k, 2', [-0.1798034, 0.3609039, 1.0]], ['2, k, 3', [-0.1634816, 0.4859479, 1.0]], ['2, k, 4', [-0.3026055, 0.2637386, 1.0]], ['2, k, 5', [-0.3827592, 0.210724, 1.0]], ['2, k, 6', [-0.396533, 0.1582668, 1.0]], ['2, k, 7', [-0.4072695, 0.1395876, 1.0]], ['2, k, 8', [-0.02095594, 0.2516203, 1.0]], ['2, k, 9', [0.02679299, 0.03650862, 1.0]], ['2, k, 10', [0.003819876, -0.1193083, 1.0]], ['2, k, 11', [-0.02058979, -0.1528679, 1.0]], ['2, k, 12', [-0.2456614, -0.1240562, 1.0]], ['2, k, 13', [-0.2681624, -0.2670822, 1.0]], ['2, k, 14', [-0.2523026, -0.6018729, 1.0]], ['2, k, 15', [-0.2469818, -0.6646242, 1.0]], ['2, k, 16', [-0.1082549, -0.1289923, 1.0]], ['2, k, 17', [0.02166917, -0.2495686, 1.0]], ['2, k, 18', [0.01396025, -0.6011214, 1.0]], ['2, k, 19', [0.02098599, -0.6630335, 1.0]], ['2, k, 20', [-0.1799101, 0.3012066, 1.0]], ['2, k, 21', [-0.417515, 0.1096218, 1.0]], ['2, k, 22', [-0.3819687, 0.1109332, 1.0]], ['2, k, 23', [-0.03708025, -0.203931, 1.0]], ['2, k, 24', [0.02009442, -0.1585521, 1.0]]]
