[['2, k, 0', [-0.05869945, -0.2156582, 1.0]], ['2, k, 1', [-0.06564461, 0.03875199, 1.0]], ['2, k, 2', [-0.06737226, 0.2864912, 1.0]], ['2, k, 3', [-0.05696398, 0.4144846, 1.0]], ['2, k, 4', [-0.2370974, 0.1893365, 1.0]], ['2, k, 5', [-0.2966967, -0.003256302, 1.0]], ['2, k, 6', [-0.2376805, -0.1455385, 1.0]], ['2, k, 7', [-0.2062435, -0.1943976, 1.0]], ['2, k, 8', [0.1039554, 0.1828047, 1.0]], ['2, k, 9', [0.1589833, -0.004699746, 1.0]], ['2, k, 10', [0.08380178, -0.145549, 1.0]], ['2, k, 11', [0.06341747, -0.1929646, 1.0]], ['2, k, 12', [-0.1430945, -0.2146806, 1.0]], ['2, k, 13', [-0.2183545, -0.3602723, 1.0]], ['2, k, 14', [-0.1928261, -0.6603205, 1.0]], ['2, k, 15', [-0.2221587, -0.7126628, 1.0]], ['2, k, 16', [0.02687292, -0.2110273, 1.0]], ['2, k, 17', [0.07707977, -0.3498592, 1.0]], ['2, k, 18', [-0.007860373, -0.660525, 1.0]], ['2, k, 19', [0.03433941, -0.7032995, 1.0]], ['2, k, 20', [-0.06736758, 0.2253934, 1.0]], ['2, k, 21', [-0.1824976, -0.2407446, 1.0]], ['2, k, 22', [-0.2460049, -0.2142441, 1.0]], ['2, k, 23', [0.04742281, -0.2388612, 1.0]], ['2, k, 24', [0.02968468, -0.180113, 1.0]]]
[['2, k, 0', [-0.05866637, -0.2158225, 1.0]], ['2, k, 1', [-0.06471195, 0.03852077, 1.0]], ['2, k, 2', [-0.06628568, 0.2863343, 1.0]], ['2, k, 3', [-0.05405274, 0.4134485, 1.0]], ['2, k, 4', [-0.2350201, 0.1897223, 1.0]], ['2, k, 5', [-0.2959462, -0.002857357, 1.0]], ['2, k, 6', [-0.2301538, -0.1573174, 1.0]], ['2, k, 7', [-0.200664, -0.2063338, 1.0]], ['2, k, 8', [0.1057429, 0.1818696, 1.0]], ['2, k, 9', [0.158932, -0.005346153, 1.0]], ['2, k, 10', [0.1052936, -0.1481499, 1.0]], ['2, k, 11', [0.08155502, -0.1856647, 1.0]], ['2, k, 12', [-0.1430431, -0.21471, 1.0]], ['2, k, 13', [-0.2176205, -0.3610444, 1.0]], ['2, k, 14', [-0.1927366, -0.6601877, 1.0]], ['2, k, 15', [-0.197876, -0.7021484, 1.0]], ['2, k, 16', [0.02692002, -0.2113557, 1.0]], ['2, k, 17', [0.07535035, -0.3500253, 1.0]], ['2, k, 18', [-0.008280032, -0.6609044, 1.0]], ['2, k, 19', [0.03383415, -0.7034358, 1.0]], ['2, k, 20', [-0.06623662, 0.225213, 1.0]], ['2, k, 21', [-0.1785814, -0.2543682, 1.0]], ['2, k, 22', [-0.2424389, -0.221315, 1.0]], ['2, k, 23', [0.06743512, -0.2330935, 1.0]], ['2, k, 24', [0.04883294, -0.1622821, 1.0]]]
[['2, k, 0', [-0.05820788, -0.2164187, 1.0]], ['2, k, 1', [-0.06355439, 0.03791726, 1.0]], ['2, k, 2', [-0.06528059, 0.2859097, 1.0]], ['2, k, 3', [-0.05193005, 0.4127288, 1.0]], ['2, k, 4', [-0.232893, 0.1896731, 1.0]], ['2, k, 5', [-0.2945993, -0.003834729, 1.0]], ['2, k, 6', [-0.2229926, -0.1564673, 1.0]], ['2, k, 7', [-0.1875111, -0.2389244, 1.0]], ['2, k, 8', [0.1066015, 0.1811187, 1.0]], ['2, k, 9', [0.1594689, -0.006060604, 1.0]], ['2, k, 10', [0.1070016, -0.1446963, 1.0]], ['2, k, 11', [0.08376341, -0.1858464, 1.0]], ['2, k, 12', [-0.142585, -0.2151667, 1.0]], ['2, k, 13', [-0.2176729, -0.3626792, 1.0]], ['2, k, 14', [-0.1927122, -0.6602721, 1.0]], ['2, k, 15', [-0.1978952, -0.7021099, 1.0]], ['2, k, 16', [0.02742608, -0.2120991, 1.0]], ['2, k, 17', [0.07462889, -0.3504551, 1.0]], ['2, k, 18', [-0.009220594, -0.6618044, 1.0]], ['2, k, 19', [0.03379639, -0.7040789, 1.0]], ['2, k, 20', [-0.06513549, 0.22474, 1.0]], ['2, k, 21', [-0.1672808, -0.2945334, 1.0]], ['2, k, 22', [-0.2221665, -0.2452738, 1.0]], ['2, k, 23', [0.06845355, -0.2335865, 1.0]], ['2, k, 24', [0.04799664, -0.1712442, 1.0]]]
[['2, k, 0', [-0.0581636, -0.2164359, 1.0]], ['2, k, 1', [-0.06296297, 0.03778853, 1.0]], ['2, k, 2', [-0.06439443, 0.285678, 1.0]], ['2, k, 3', [-0.05048363, 0.4126062, 1.0]], ['2, k, 4', [-0.2309727, 0.190001, 1.0]], ['2, k, 5', [-0.2950504, -0.003106391, 1.0]], ['2, k, 6', [-0.225543, -0.1602835, 1.0]], ['2, k, 7', [-0.1951555, -0.2227783, 1.0]], ['2, k, 8', [0.1078939, 0.1811617, 1.0]], ['2, k, 9', [0.1595936, -0.006284337, 1.0]], ['2, k, 10', [0.1067674, -0.1441709, 1.0]], ['2, k, 11', [0.08366854, -0.1863705, 1.0]], ['2, k, 12', [-0.1425309, -0.2150646, 1.0]], ['2, k, 13', [-0.2176584, -0.3628274, 1.0]], ['2, k, 14', [-0.1924936, -0.6600185, 1.0]], ['2, k, 15', [-0.1986757, -0.7018865, 1.0]], ['2, k, 16', [0.02749887, -0.2123377, 1.0]], ['2, k, 17', [0.07467251, -0.3505898, 1.0]], ['2, k, 18', [-0.009217549, -0.6620985, 1.0]], ['2, k, 19', [0.03382356, -0.7044904, 1.0]], ['2, k, 20', [-0.06427605, 0.2245313, 1.0]], ['2, k, 21', [-0.1747814, -0.2733541, 1.0]], ['2, k, 22', [-0.2382216, -0.2267892, 1.0]], ['2, k, 23', [0.07233219, -0.2351193, 1.0]], ['2, k, 24', [0.04834616, -0.1724706, 1.0]]]
[['2, k, 0', [-0.05804929, -0.2165155, 1.0]], ['2, k, 1', [-0.06219733, 0.03760113, 1.0]], ['2, k, 2', [-0.0633898, 0.2855005, 1.0]], ['2, k, 3', [-0.04883703, 0.4124542, 1.0]], ['2, k, 4', [-0.2305677, 0.1899992, 1.0]], ['2, k, 5', [-0.2934543, -0.001698967, 1.0]], ['2, k, 6', [-0.2396466, -0.1364483, 1.0]], ['2, k, 7', [-0.202747, -0.1913927, 1.0]], ['2, k, 8', [0.1088932, 0.1809813, 1.0]], ['2, k, 9', [0.1602343, -0.00660315, 1.0]], ['2, k, 10', [0.1064929, -0.1434214, 1.0]], ['2, k, 11', [0.08268108, -0.1849894, 1.0]], ['2, k, 12', [-0.1424167, -0.2150984, 1.0]], ['2, k, 13', [-0.2172438, -0.3623734, 1.0]], ['2, k, 14', [-0.1930654, -0.6600487, 1.0]], ['2, k, 15', [-0.198574, -0.702011, 1.0]], ['2, k, 16', [0.02763059, -0.2124732, 1.0]], ['2, k, 17', [0.07492682, -0.3504351, 1.0]], ['2, k, 18', [-0.009568346, -0.6625582, 1.0]], ['2, k, 19', [0.031878, -0.704189, 1.0]], ['2, k, 20', [-0.06328849, 0.2243477, 1.0]], ['2, k, 21', [-0.1769585, -0.238465, 1.0]], ['2, k, 22', [-0.2658923, -0.2255848, 1.0]], ['2, k, 23', [0.06744815, -0.2322359, 1.0]], ['2, k, 24', [0.04866463, -0.1706882, 1.0]]]
[['2, k, 0', [-0.05518695, -0.2170537, 1.0]], ['2, k, 1', [-0.05883627, 0.03695645, 1.0]], ['2, k, 2', [-0.06075588, 0.2849105, 1.0]], ['2, k, 3', [-0.04742375, 0.41227, 1.0]], ['2, k, 4', [-0.2291958, 0.1896647, 1.0]], ['2, k, 5', [-0.2916459, -0.003751236, 1.0]], ['2, k, 6', [-0.2395855, -0.1377973, 1.0]], ['2, k, 7', [-0.2016936, -0.1901662, 1.0]], ['2, k, 8', [0.1096311, 0.1809706, 1.0]], ['2, k, 9', [0.1604654, -0.006698465, 1.0]], ['2, k, 10', [0.1054116, -0.1468139, 1.0]], ['2, k, 11', [0.08321025, -0.1895188, 1.0]], ['2, k, 12', [-0.1394886, -0.215785, 1.0]], ['2, k, 13', [-0.2184222, -0.3614237, 1.0]], ['2, k, 14', [-0.1930263, -0.6601343, 1.0]], ['2, k, 15', [-0.1986304, -0.702374, 1.0]], ['2, k, 16', [0.0304905, -0.2128572, 1.0]], ['2, k, 17', [0.07404563, -0.3493934, 1.0]], ['2, k, 18', [-0.01012038, -0.6629769, 1.0]], ['2, k, 19', [0.03194306, -0.7045521, 1.0]], ['2, k, 20', [-0.06041421, 0.2237384, 1.0]], ['2, k, 21', [-0.1787843, -0.2393384, 1.0]], ['2, k, 22', [-0.2666562, -0.2291731, 1.0]], ['2, k, 23', [0.07218108, -0.238334, 1.0]], ['2, k, 24', [0.04532299, -0.1723251, 1.0]]]
[['2, k, 0', [-0.05510235, -0.2170752, 1.0]], ['2, k, 1', [-0.05809864, 0.03680455, 1.0]], ['2, k, 2', [-0.05923749, 0.2845655, 1.0]], ['2, k, 3', [-0.04596482, 0.4120722, 1.0]], ['2, k, 4', [-0.2277824, 0.1896968, 1.0]], ['2, k, 5', [-0.2916591, -0.003343141, 1.0]], ['2, k, 6', [-0.2396235, -0.1377615, 1.0]], ['2, k, 7', [-0.2059821, -0.1870271, 1.0]], ['2, k, 8', [0.1110661, 0.1810853, 1.0]], ['2, k, 9', [0.1617547, -0.00735419, 1.0]], ['2, k, 10', [0.1056696, -0.1472708, 1.0]], ['2, k, 11', [0.08193118, -0.1897871, 1.0]], ['2, k, 12', [-0.1393603, -0.2157054, 1.0]], ['2, k, 13', [-0.2187835, -0.3605486, 1.0]], ['2, k, 14', [-0.1933143, -0.6607382, 1.0]], ['2, k, 15', [-0.217308, -0.7075675, 1.0]], ['2, k, 16', [0.03058887, -0.2130005, 1.0]], ['2, k, 17', [0.07474721, -0.3495427, 1.0]], ['2, k, 18', [-0.01036496, -0.6631948, 1.0]], ['2, k, 19', [0.03156095, -0.7047654, 1.0]], ['2, k, 20', [-0.05908902, 0.2234479, 1.0]], ['2, k, 21', [-0.1845382, -0.2318136, 1.0]], ['2, k, 22', [-0.2703665, -0.2335012, 1.0]], ['2, k, 23', [0.06377557, -0.2373802, 1.0]], ['2, k, 24', [0.04569271, -0.1727284, 1.0]]]
[['2, k, 0', [-0.05509945, -0.2170997, 1.0]], ['2, k, 1', [-0.05733945, 0.03675694, 1.0]], ['2, k, 2', [-0.05703229, 0.284589, 1.0]], ['2, k, 3', [-0.04345285, 0.4119665, 1.0]], ['2, k, 4', [-0.2265484, 0.1901685, 1.0]], ['2, k, 5', [-0.2907061, -0.004043256, 1.0]], ['2, k, 6', [-0.2411923, -0.1410827, 1.0]], ['2, k, 7', [-0.2019346, -0.1922159, 1.0]], ['2, k, 8', [0.1122661, 0.1809366, 1.0]], ['2, k, 9', [0.16309, -0.008689539, 1.0]], ['2, k, 10', [0.1083506, -0.1530653, 1.0]], ['2, k, 11', [0.08095416, -0.1941059, 1.0]], ['2, k, 12', [-0.1393625, -0.2156595, 1.0]], ['2, k, 13', [-0.2201791, -0.3601659, 1.0]], ['2, k, 14', [-0.1917983, -0.6605896, 1.0]], ['2, k, 15', [-0.2053617, -0.7033591, 1.0]], ['2, k, 16', [0.03059976, -0.2131393, 1.0]], ['2, k, 17', [0.07636911, -0.3488825, 1.0]], ['2, k, 18', [-0.01036228, -0.663255, 1.0]], ['2, k, 19', [0.03129812, -0.704861, 1.0]], ['2, k, 20', [-0.05727825, 0.2234471, 1.0]], ['2, k, 21', [-0.1818911, -0.2390312, 1.0]], ['2, k, 22', [-0.2686729, -0.2299467, 1.0]], ['2, k, 23', [0.06536463, -0.2430763, 1.0]], ['2, k, 24', [0.04618151, -0.1757728, 1.0]]]
[['2, k, 0', [-0.05487251, -0.2171161, 1.0]], ['2, k, 1', [-0.05610396, 0.0366886, 1.0]], ['2, k, 2', [-0.05491755, 0.2844535, 1.0]], ['2, k, 3', [-0.03938619, 0.4119358, 1.0]], ['2, k, 4', [-0.2241439, 0.1902361, 1.0]], ['2, k, 5', [-0.2917866, -0.004893889, 1.0]], ['2, k, 6', [-0.2413085, -0.1415, 1.0]], ['2, k, 7', [-0.2067526, -0.1910964, 1.0]], ['2, k, 8', [0.1143672, 0.1810832, 1.0]], ['2, k, 9', [0.1636931, -0.008528035, 1.0]], ['2, k, 10', [0.1096035, -0.1508714, 1.0]], ['2, k, 11', [0.08231743, -0.1928229, 1.0]], ['2, k, 12', [-0.1390598, -0.215477, 1.0]], ['2, k, 13', [-0.2243832, -0.358895, 1.0]], ['2, k, 14', [-0.1954862, -0.6599156, 1.0]], ['2, k, 15', [-0.2152814, -0.7024578, 1.0]], ['2, k, 16', [0.03081371, -0.2133091, 1.0]], ['2, k, 17', [0.07814264, -0.347704, 1.0]], ['2, k, 18', [-0.01036288, -0.6632451, 1.0]], ['2, k, 19', [0.03036634, -0.7049702, 1.0]], ['2, k, 20', [-0.05535429, 0.2233313, 1.0]], ['2, k, 21', [-0.1799018, -0.2414605, 1.0]], ['2, k, 22', [-0.2430695, -0.2060703, 1.0]], ['2, k, 23', [0.06205772, -0.242302, 1.0]], ['2, k, 24', [0.0411833, -0.187029, 1.0]]]
[['2, k, 0', [-0.05482917, -0.2170962, 1.0]], ['2, k, 1', [-0.05465794, 0.03677018, 1.0]], ['2, k, 2', [-0.05122301, 0.2845818, 1.0]], ['2, k, 3', [-0.03680808, 0.4116955, 1.0]], ['2, k, 4', [-0.2234211, 0.1903565, 1.0]], ['2, k, 5', [-0.2897386, -0.006535379, 1.0]], ['2, k, 6', [-0.2410114, -0.1418423, 1.0]], ['2, k, 7', [-0.198743, -0.1958139, 1.0]], ['2, k, 8', [0.1154677, 0.1816206, 1.0]], ['2, k, 9', [0.1657915, -0.007983302, 1.0]], ['2, k, 10', [0.109397, -0.150628, 1.0]], ['2, k, 11', [0.081637, -0.1917605, 1.0]], ['2, k, 12', [-0.1390269, -0.215426, 1.0]], ['2, k, 13', [-0.2335362, -0.3530277, 1.0]], ['2, k, 14', [-0.2025786, -0.6619658, 1.0]], ['2, k, 15', [-0.224821, -0.7046809, 1.0]], ['2, k, 16', [0.03087407, -0.2133272, 1.0]], ['2, k, 17', [0.07944295, -0.3472403, 1.0]], ['2, k, 18', [-0.009332887, -0.6631926, 1.0]], ['2, k, 19', [0.03060888, -0.705696, 1.0]], ['2, k, 20', [-0.05226324, 0.2234516, 1.0]], ['2, k, 21', [-0.1878017, -0.2447447, 1.0]], ['2, k, 22', [-0.2578295, -0.2164312, 1.0]], ['2, k, 23', [0.06079809, -0.2412169, 1.0]], ['2, k, 24', [0.04656483, -0.1794519, 1.0]]]
[['2, k, 0', [-0.05462353, -0.2170424, 1.0]], ['2, k, 1', [-0.05255126, 0.03682783, 1.0]], ['2, k, 2', [-0.04684335, 0.2846078, 1.0]], ['2, k, 3', [-0.03439765, 0.4111498, 1.0]], ['2, k, 4', [-0.2209547, 0.1911884, 1.0]], ['2, k, 5', [-0.2905307, -0.005844159, 1.0]], ['2, k, 6', [-0.2412453, -0.1424529, 1.0]], ['2, k, 7', [-0.1990375, -0.1961259, 1.0]], ['2, k, 8', [0.1161547, 0.1819022, 1.0]], ['2, k, 9', [0.1692154, -0.007547816, 1.0]], ['2, k, 10', [0.1093377, -0.1506274, 1.0]], ['2, k, 11', [0.08291304, -0.1930431, 1.0]], ['2, k, 12', [-0.1388604, -0.2152466, 1.0]], ['2, k, 13', [-0.24186, -0.3489842, 1.0]], ['2, k, 14', [-0.2372819, -0.6626961, 1.0]], ['2, k, 15', [-0.2428232, -0.7022067, 1.0]], ['2, k, 16', [0.0311155, -0.2134238, 1.0]], ['2, k, 17', [0.08113585, -0.3458496, 1.0]], ['2, k, 18', [-0.01139725, -0.6659673, 1.0]], ['2, k, 19', [0.02952108, -0.7056699, 1.0]], ['2, k, 20', [-0.04844848, 0.2234903, 1.0]], ['2, k, 21', [-0.1891642, -0.244772, 1.0]], ['2, k, 22', [-0.2589681, -0.2158536, 1.0]], ['2, k, 23', [0.06114662, -0.2406229, 1.0]], ['2, k, 24', [0.04483086, -0.1808114, 1.0]]]
