[['2, k, 0', [-0.007969327, -0.2822266, 1.0]], ['2, k, 1', [-0.00587643, 0.006125394, 1.0]], ['2, k, 2', [-0.003898006, 0.2879872, 1.0]], ['2, k, 3', [-0.004750262, 0.4171381, 1.0]], ['2, k, 4', [-0.1738801, 0.1886374, 1.0]], ['2, k, 5', [-0.2300954, -0.0399569, 1.0]], ['2, k, 6', [-0.1677732, -0.1816915, 1.0]], ['2, k, 7', [-0.1722327, -0.2751597, 1.0]], ['2, k, 8', [0.1603439, 0.197095, 1.0]], ['2, k, 9', [0.221806, -0.04387973, 1.0]], ['2, k, 10', [0.2823342, -0.2834068, 1.0]], ['2, k, 11', [0.296259, -0.3558013, 1.0]], ['2, k, 12', [-0.09570951, -0.2795502, 1.0]], ['2, k, 13', [-0.123052, -0.2684316, 1.0]], ['2, k, 14', [-0.1130124, -0.6206808, 1.0]], ['2, k, 15', [-0.1005181, -0.7077487, 1.0]], ['2, k, 16', [0.07991073, -0.2780933, 1.0]], ['2, k, 17', [0.178605, -0.2657651, 1.0]], ['2, k, 18', [0.1284935, -0.6145686, 1.0]], ['2, k, 19', [0.1274028, -0.6655916, 1.0]], ['2, k, 20', [-0.004356412, 0.2182728, 1.0]], ['2, k, 21', [-0.1598187, -0.3576153, 1.0]], ['2, k, 22', [-0.1791529, -0.2818324, 1.0]], ['2, k, 23', [0.3049403, -0.4233006, 1.0]], ['2, k, 24', [0.2809866, -0.4059691, 1.0]]]
[['2, k, 0', [-0.007967233, -0.2822314, 1.0]], ['2, k, 1', [-0.005896994, 0.006194552, 1.0]], ['2, k, 2', [-0.004029361, 0.2884227, 1.0]], ['2, k, 3', [-0.004946658, 0.4178781, 1.0]], ['2, k, 4', [-0.1740524, 0.1884609, 1.0]], ['2, k, 5', [-0.2297215, -0.04005423, 1.0]], ['2, k, 6', [-0.1679033, -0.1809979, 1.0]], ['2, k, 7', [-0.1723627, -0.2744657, 1.0]], ['2, k, 8', [0.1596758, 0.1967166, 1.0]], ['2, k, 9', [0.2232329, -0.04268684, 1.0]], ['2, k, 10', [0.2863442, -0.2616288, 1.0]], ['2, k, 11', [0.3072827, -0.3460507, 1.0]], ['2, k, 12', [-0.09574985, -0.2796046, 1.0]], ['2, k, 13', [-0.122517, -0.2679645, 1.0]], ['2, k, 14', [-0.1130485, -0.6204655, 1.0]], ['2, k, 15', [-0.1002408, -0.7081431, 1.0]], ['2, k, 16', [0.07996447, -0.2780745, 1.0]], ['2, k, 17', [0.1791976, -0.266094, 1.0]], ['2, k, 18', [0.1280298, -0.6149065, 1.0]], ['2, k, 19', [0.126235, -0.6659263, 1.0]], ['2, k, 20', [-0.004454201, 0.2186009, 1.0]], ['2, k, 21', [-0.1599484, -0.3569239, 1.0]], ['2, k, 22', [-0.1792286, -0.2810994, 1.0]], ['2, k, 23', [0.3261812, -0.4150018, 1.0]], ['2, k, 24', [0.2754847, -0.3445303, 1.0]]]
[['2, k, 0', [-0.007980064, -0.2822338, 1.0]], ['2, k, 1', [-0.005750412, 0.006393518, 1.0]], ['2, k, 2', [-0.003342642, 0.2891364, 1.0]], ['2, k, 3', [-0.004947102, 0.4183412, 1.0]], ['2, k, 4', [-0.1738729, 0.1886644, 1.0]], ['2, k, 5', [-0.2288518, -0.04078322, 1.0]], ['2, k, 6', [-0.1681467, -0.1814952, 1.0]], ['2, k, 7', [-0.172606, -0.2749625, 1.0]], ['2, k, 8', [0.1594591, 0.1975932, 1.0]], ['2, k, 9', [0.2373628, -0.02812502, 1.0]], ['2, k, 10', [0.3099057, -0.2458192, 1.0]], ['2, k, 11', [0.3294769, -0.3289254, 1.0]], ['2, k, 12', [-0.09588094, -0.2796053, 1.0]], ['2, k, 13', [-0.1225151, -0.2680477, 1.0]], ['2, k, 14', [-0.1133363, -0.619889, 1.0]], ['2, k, 15', [-0.1000647, -0.7063864, 1.0]], ['2, k, 16', [0.07998402, -0.2780731, 1.0]], ['2, k, 17', [0.179354, -0.26597, 1.0]], ['2, k, 18', [0.1280202, -0.615208, 1.0]], ['2, k, 19', [0.1241299, -0.6662236, 1.0]], ['2, k, 20', [-0.003939458, 0.2191816, 1.0]], ['2, k, 21', [-0.1601908, -0.3574188, 1.0]], ['2, k, 22', [-0.1794463, -0.2821042, 1.0]], ['2, k, 23', [0.3604317, -0.3986713, 1.0]], ['2, k, 24', [0.2867033, -0.3360349, 1.0]]]
[['2, k, 0', [-0.007968884, -0.2822787, 1.0]], ['2, k, 1', [-0.005718624, 0.006436364, 1.0]], ['2, k, 2', [-0.003265998, 0.2893173, 1.0]], ['2, k, 3', [-0.005378377, 0.4189477, 1.0]], ['2, k, 4', [-0.1738205, 0.1882368, 1.0]], ['2, k, 5', [-0.2283196, -0.04108234, 1.0]], ['2, k, 6', [-0.1683987, -0.1816211, 1.0]], ['2, k, 7', [-0.172858, -0.2750883, 1.0]], ['2, k, 8', [0.1587195, 0.1982536, 1.0]], ['2, k, 9', [0.2380775, -0.02705065, 1.0]], ['2, k, 10', [0.3251306, -0.2472498, 1.0]], ['2, k, 11', [0.3497039, -0.3201365, 1.0]], ['2, k, 12', [-0.09588955, -0.2799168, 1.0]], ['2, k, 13', [-0.1224866, -0.2680019, 1.0]], ['2, k, 14', [-0.1121179, -0.6194226, 1.0]], ['2, k, 15', [-0.1002202, -0.7050861, 1.0]], ['2, k, 16', [0.08004872, -0.2780507, 1.0]], ['2, k, 17', [0.1797438, -0.267654, 1.0]], ['2, k, 18', [0.1278225, -0.6167378, 1.0]], ['2, k, 19', [0.1222081, -0.6677343, 1.0]], ['2, k, 20', [-0.003873643, 0.2193343, 1.0]], ['2, k, 21', [-0.1604419, -0.3575442, 1.0]], ['2, k, 22', [-0.1796058, -0.2823331, 1.0]], ['2, k, 23', [0.3770442, -0.3895935, 1.0]], ['2, k, 24', [0.3013355, -0.3284715, 1.0]]]
[['2, k, 0', [-0.007978722, -0.2821635, 1.0]], ['2, k, 1', [-0.005500996, 0.006810545, 1.0]], ['2, k, 2', [-0.002622163, 0.2900045, 1.0]], ['2, k, 3', [-0.006007486, 0.4199053, 1.0]], ['2, k, 4', [-0.1738533, 0.1896943, 1.0]], ['2, k, 5', [-0.2287854, -0.04335414, 1.0]], ['2, k, 6', [-0.168266, -0.1818682, 1.0]], ['2, k, 7', [-0.1727253, -0.2753358, 1.0]], ['2, k, 8', [0.1565498, 0.2031306, 1.0]], ['2, k, 9', [0.2524098, 0.007149653, 1.0]], ['2, k, 10', [0.3441692, -0.1967209, 1.0]], ['2, k, 11', [0.3633687, -0.2457344, 1.0]], ['2, k, 12', [-0.09590882, -0.2798136, 1.0]], ['2, k, 13', [-0.1223647, -0.2685859, 1.0]], ['2, k, 14', [-0.1141309, -0.6207089, 1.0]], ['2, k, 15', [-0.09915933, -0.7066637, 1.0]], ['2, k, 16', [0.08004828, -0.2777801, 1.0]], ['2, k, 17', [0.1797713, -0.2695483, 1.0]], ['2, k, 18', [0.1272828, -0.6183472, 1.0]], ['2, k, 19', [0.1181388, -0.6693147, 1.0]], ['2, k, 20', [-0.003350305, 0.2199638, 1.0]], ['2, k, 21', [-0.1603094, -0.3577905, 1.0]], ['2, k, 22', [-0.1795385, -0.2827033, 1.0]], ['2, k, 23', [0.3850926, -0.3021449, 1.0]], ['2, k, 24', [0.3144056, -0.2610349, 1.0]]]
[['2, k, 0', [-0.007842365, -0.281732, 1.0]], ['2, k, 1', [-0.005357265, 0.007446919, 1.0]], ['2, k, 2', [-0.002529843, 0.2907461, 1.0]], ['2, k, 3', [-0.006702943, 0.421459, 1.0]], ['2, k, 4', [-0.1739382, 0.1896739, 1.0]], ['2, k, 5', [-0.2281536, -0.04357617, 1.0]], ['2, k, 6', [-0.1680794, -0.1820949, 1.0]], ['2, k, 7', [-0.1725387, -0.2755623, 1.0]], ['2, k, 8', [0.15425, 0.2094137, 1.0]], ['2, k, 9', [0.2423002, 0.0681508, 1.0]], ['2, k, 10', [0.3346685, -0.07929277, 1.0]], ['2, k, 11', [0.3612839, -0.1317416, 1.0]], ['2, k, 12', [-0.09576702, -0.2796281, 1.0]], ['2, k, 13', [-0.1224828, -0.2687489, 1.0]], ['2, k, 14', [-0.1145523, -0.6212708, 1.0]], ['2, k, 15', [-0.09895338, -0.7077909, 1.0]], ['2, k, 16', [0.08015364, -0.2769395, 1.0]], ['2, k, 17', [0.1797752, -0.2697191, 1.0]], ['2, k, 18', [0.1326893, -0.6195554, 1.0]], ['2, k, 19', [0.1207849, -0.6704901, 1.0]], ['2, k, 20', [-0.003240347, 0.2207124, 1.0]], ['2, k, 21', [-0.1601236, -0.3580163, 1.0]], ['2, k, 22', [-0.1794505, -0.2829363, 1.0]], ['2, k, 23', [0.3819415, -0.1773091, 1.0]], ['2, k, 24', [0.3254479, -0.1469233, 1.0]]]
[['2, k, 0', [-0.007771017, -0.2815813, 1.0]], ['2, k, 1', [-0.00528597, 0.007951297, 1.0]], ['2, k, 2', [-0.00256058, 0.2917627, 1.0]], ['2, k, 3', [-0.00744769, 0.4219193, 1.0]], ['2, k, 4', [-0.1741468, 0.1894414, 1.0]], ['2, k, 5', [-0.2283891, -0.04211438, 1.0]], ['2, k, 6', [-0.1689723, -0.1818848, 1.0]], ['2, k, 7', [-0.1734316, -0.2753526, 1.0]], ['2, k, 8', [0.1537675, 0.2096717, 1.0]], ['2, k, 9', [0.2433614, 0.0929906, 1.0]], ['2, k, 10', [0.3325121, -0.02516929, 1.0]], ['2, k, 11', [0.354634, -0.06202705, 1.0]], ['2, k, 12', [-0.09573377, -0.2795708, 1.0]], ['2, k, 13', [-0.1221937, -0.2684298, 1.0]], ['2, k, 14', [-0.1149863, -0.621147, 1.0]], ['2, k, 15', [-0.09781229, -0.7076507, 1.0]], ['2, k, 16', [0.08028575, -0.2766372, 1.0]], ['2, k, 17', [0.1800154, -0.2694801, 1.0]], ['2, k, 18', [0.1378184, -0.6198406, 1.0]], ['2, k, 19', [0.1252839, -0.670769, 1.0]], ['2, k, 20', [-0.003235197, 0.2216078, 1.0]], ['2, k, 21', [-0.1610135, -0.3578077, 1.0]], ['2, k, 22', [-0.1799081, -0.2825959, 1.0]], ['2, k, 23', [0.3813241, -0.100762, 1.0]], ['2, k, 24', [0.3153117, -0.07909869, 1.0]]]
[['2, k, 0', [-0.007760566, -0.2810848, 1.0]], ['2, k, 1', [-0.005084486, 0.008835922, 1.0]], ['2, k, 2', [-0.002147018, 0.2929156, 1.0]], ['2, k, 3', [-0.007736907, 0.4223272, 1.0]], ['2, k, 4', [-0.1740653, 0.1903506, 1.0]], ['2, k, 5', [-0.228658, -0.04121749, 1.0]], ['2, k, 6', [-0.1694338, -0.1809618, 1.0]], ['2, k, 7', [-0.1738931, -0.2744285, 1.0]], ['2, k, 8', [0.1526487, 0.2102305, 1.0]], ['2, k, 9', [0.2480288, 0.1225238, 1.0]], ['2, k, 10', [0.3119218, 0.05407178, 1.0]], ['2, k, 11', [0.3419814, 0.01274956, 1.0]], ['2, k, 12', [-0.09571532, -0.2791006, 1.0]], ['2, k, 13', [-0.1222198, -0.2684547, 1.0]], ['2, k, 14', [-0.1138695, -0.6206652, 1.0]], ['2, k, 15', [-0.09810554, -0.7068378, 1.0]], ['2, k, 16', [0.08029776, -0.276091, 1.0]], ['2, k, 17', [0.180296, -0.2686638, 1.0]], ['2, k, 18', [0.1397312, -0.6184818, 1.0]], ['2, k, 19', [0.1258989, -0.6694234, 1.0]], ['2, k, 20', [-0.002875683, 0.2227206, 1.0]], ['2, k, 21', [-0.1614736, -0.3568873, 1.0]], ['2, k, 22', [-0.180263, -0.2813902, 1.0]], ['2, k, 23', [0.3783537, -0.01564914, 1.0]], ['2, k, 24', [0.3094997, -0.00994244, 1.0]]]
[['2, k, 0', [-0.007742003, -0.2810587, 1.0]], ['2, k, 1', [-0.005208505, 0.009132098, 1.0]], ['2, k, 2', [-0.002709671, 0.2937059, 1.0]], ['2, k, 3', [-0.007972442, 0.4223687, 1.0]], ['2, k, 4', [-0.1740427, 0.1903649, 1.0]], ['2, k, 5', [-0.2286344, -0.04103182, 1.0]], ['2, k, 6', [-0.1697971, -0.1811088, 1.0]], ['2, k, 7', [-0.1742564, -0.2745753, 1.0]], ['2, k, 8', [0.1503577, 0.2096842, 1.0]], ['2, k, 9', [0.2406753, 0.1624033, 1.0]], ['2, k, 10', [0.2942526, 0.1365755, 1.0]], ['2, k, 11', [0.3311019, 0.0957956, 1.0]], ['2, k, 12', [-0.09571769, -0.2790782, 1.0]], ['2, k, 13', [-0.1222571, -0.2684394, 1.0]], ['2, k, 14', [-0.1152833, -0.6213014, 1.0]], ['2, k, 15', [-0.09616825, -0.7081167, 1.0]], ['2, k, 16', [0.08037221, -0.2760485, 1.0]], ['2, k, 17', [0.1804307, -0.2684509, 1.0]], ['2, k, 18', [0.1436482, -0.618485, 1.0]], ['2, k, 19', [0.1287228, -0.6694186, 1.0]], ['2, k, 20', [-0.003305264, 0.2233829, 1.0]], ['2, k, 21', [-0.1618356, -0.3570336, 1.0]], ['2, k, 22', [-0.1804856, -0.2814961, 1.0]], ['2, k, 23', [0.3660305, 0.08130475, 1.0]], ['2, k, 24', [0.294404, 0.07670931, 1.0]]]
[['2, k, 0', [-0.007667009, -0.2809467, 1.0]], ['2, k, 1', [-0.005136468, 0.009656601, 1.0]], ['2, k, 2', [-0.00269362, 0.2947459, 1.0]], ['2, k, 3', [-0.008027172, 0.4224951, 1.0]], ['2, k, 4', [-0.1734224, 0.1900694, 1.0]], ['2, k, 5', [-0.2288518, -0.03963472, 1.0]], ['2, k, 6', [-0.1706928, -0.1800393, 1.0]], ['2, k, 7', [-0.1751521, -0.2735055, 1.0]], ['2, k, 8', [0.1465636, 0.2115483, 1.0]], ['2, k, 9', [0.2562674, 0.1887498, 1.0]], ['2, k, 10', [0.2754174, 0.1878455, 1.0]], ['2, k, 11', [0.3157562, 0.1712812, 1.0]], ['2, k, 12', [-0.09571345, -0.2790575, 1.0]], ['2, k, 13', [-0.1223267, -0.2683337, 1.0]], ['2, k, 14', [-0.1149555, -0.6213859, 1.0]], ['2, k, 15', [-0.09589047, -0.7082697, 1.0]], ['2, k, 16', [0.08064104, -0.2757148, 1.0]], ['2, k, 17', [0.1801593, -0.268571, 1.0]], ['2, k, 18', [0.1434991, -0.6187762, 1.0]], ['2, k, 19', [0.1278961, -0.6696981, 1.0]], ['2, k, 20', [-0.003273587, 0.2243027, 1.0]], ['2, k, 21', [-0.1627284, -0.3559681, 1.0]], ['2, k, 22', [-0.1813767, -0.2797984, 1.0]], ['2, k, 23', [0.3473881, 0.165368, 1.0]], ['2, k, 24', [0.2829192, 0.1647397, 1.0]]]
[['2, k, 0', [-0.007541931, -0.2806237, 1.0]], ['2, k, 1', [-0.004995543, 0.0103297, 1.0]], ['2, k, 2', [-0.002561017, 0.2956021, 1.0]], ['2, k, 3', [-0.007879086, 0.4228918, 1.0]], ['2, k, 4', [-0.1730966, 0.1900634, 1.0]], ['2, k, 5', [-0.2296274, -0.03905429, 1.0]], ['2, k, 6', [-0.2450978, -0.2522296, 1.0]], ['2, k, 7', [-0.2528903, -0.3497582, 1.0]], ['2, k, 8', [0.1448675, 0.2131802, 1.0]], ['2, k, 9', [0.2474297, 0.2150233, 1.0]], ['2, k, 10', [0.2920729, 0.2372874, 1.0]], ['2, k, 11', [0.3109079, 0.2474202, 1.0]], ['2, k, 12', [-0.09567336, -0.2788841, 1.0]], ['2, k, 13', [-0.1223731, -0.2683568, 1.0]], ['2, k, 14', [-0.1123042, -0.6219613, 1.0]], ['2, k, 15', [-0.09672621, -0.7099699, 1.0]], ['2, k, 16', [0.08090141, -0.2751662, 1.0]], ['2, k, 17', [0.1803982, -0.269659, 1.0]], ['2, k, 18', [0.1427744, -0.6195326, 1.0]], ['2, k, 19', [0.1270063, -0.6704457, 1.0]], ['2, k, 20', [-0.003140054, 0.2251332, 1.0]], ['2, k, 21', [-0.253461, -0.4143375, 1.0]], ['2, k, 22', [-0.2652123, -0.3560205, 1.0]], ['2, k, 23', [0.3102053, 0.2616279, 1.0]], ['2, k, 24', [0.2621523, 0.2341926, 1.0]]]
