[['2, k, 0', [0.1572067, -0.02354748, 1.0]], ['2, k, 1', [0.1500566, 0.3024107, 1.0]], ['2, k, 2', [0.1416012, 0.6177316, 1.0]], ['2, k, 3', [0.1465264, 0.7670411, 1.0]], ['2, k, 4', [-0.03241618, 0.492163, 1.0]], ['2, k, 5', [-0.08107904, 0.2411069, 1.0]], ['2, k, 6', [-0.08852584, 0.03402943, 1.0]], ['2, k, 7', [-0.1014966, -0.03901574, 1.0]], ['2, k, 8', [0.3221995, 0.4842161, 1.0]], ['2, k, 9', [0.3791162, 0.236798, 1.0]], ['2, k, 10', [0.3903022, 0.04494803, 1.0]], ['2, k, 11', [0.3730291, -0.006949426, 1.0]], ['2, k, 12', [0.07640326, -0.02429383, 1.0]], ['2, k, 13', [0.027101, -0.3216236, 1.0]], ['2, k, 14', [-0.007195662, -0.6133443, 1.0]], ['2, k, 15', [-0.03307609, -0.67546, 1.0]], ['2, k, 16', [0.2332636, -0.02202464, 1.0]], ['2, k, 17', [0.2932102, -0.3213311, 1.0]], ['2, k, 18', [0.3134464, -0.6153754, 1.0]], ['2, k, 19', [0.3404821, -0.6737949, 1.0]], ['2, k, 20', [0.1438404, 0.5404199, 1.0]], ['2, k, 21', [-0.0965912, -0.09657938, 1.0]], ['2, k, 22', [-0.07998054, -0.05031034, 1.0]], ['2, k, 23', [0.3645408, -0.0865652, 1.0]], ['2, k, 24', [0.419738, 0.02915792, 1.0]]]
[['2, k, 0', [0.157136, -0.0235746, 1.0]], ['2, k, 1', [0.1500235, 0.3023622, 1.0]], ['2, k, 2', [0.1416045, 0.6176766, 1.0]], ['2, k, 3', [0.1462968, 0.7667662, 1.0]], ['2, k, 4', [-0.03252317, 0.4922563, 1.0]], ['2, k, 5', [-0.08227191, 0.2410353, 1.0]], ['2, k, 6', [-0.08805599, 0.06522238, 1.0]], ['2, k, 7', [-0.09801208, -0.009668735, 1.0]], ['2, k, 8', [0.3221461, 0.4842507, 1.0]], ['2, k, 9', [0.3786102, 0.2364895, 1.0]], ['2, k, 10', [0.3897773, 0.04718857, 1.0]], ['2, k, 11', [0.3732331, -0.005896134, 1.0]], ['2, k, 12', [0.07637667, -0.02434379, 1.0]], ['2, k, 13', [0.02744582, -0.3205776, 1.0]], ['2, k, 14', [-0.007230684, -0.6135054, 1.0]], ['2, k, 15', [-0.03270352, -0.6752819, 1.0]], ['2, k, 16', [0.2331459, -0.02197394, 1.0]], ['2, k, 17', [0.2931194, -0.3212946, 1.0]], ['2, k, 18', [0.3135086, -0.6152321, 1.0]], ['2, k, 19', [0.340427, -0.6737373, 1.0]], ['2, k, 20', [0.1438376, 0.5403834, 1.0]], ['2, k, 21', [-0.0992003, -0.06789124, 1.0]], ['2, k, 22', [-0.06462119, -0.06363462, 1.0]], ['2, k, 23', [0.3681362, -0.08109444, 1.0]], ['2, k, 24', [0.4187513, 0.02119041, 1.0]]]
[['2, k, 0', [0.1571534, -0.02364392, 1.0]], ['2, k, 1', [0.1500327, 0.3023532, 1.0]], ['2, k, 2', [0.1416955, 0.6176825, 1.0]], ['2, k, 3', [0.146167, 0.7667201, 1.0]], ['2, k, 4', [-0.03240555, 0.4922527, 1.0]], ['2, k, 5', [-0.08291459, 0.2465504, 1.0]], ['2, k, 6', [-0.08747152, 0.0837731, 1.0]], ['2, k, 7', [-0.1002715, 0.02260464, 1.0]], ['2, k, 8', [0.322096, 0.4841364, 1.0]], ['2, k, 9', [0.3799698, 0.236537, 1.0]], ['2, k, 10', [0.3897243, 0.04988486, 1.0]], ['2, k, 11', [0.372773, -0.005477394, 1.0]], ['2, k, 12', [0.07640602, -0.02444035, 1.0]], ['2, k, 13', [0.02763056, -0.3204153, 1.0]], ['2, k, 14', [-0.007074402, -0.6132708, 1.0]], ['2, k, 15', [-0.03268031, -0.6752994, 1.0]], ['2, k, 16', [0.233149, -0.02199485, 1.0]], ['2, k, 17', [0.2926467, -0.3224648, 1.0]], ['2, k, 18', [0.3134997, -0.6152902, 1.0]], ['2, k, 19', [0.3404286, -0.6737332, 1.0]], ['2, k, 20', [0.1438878, 0.5403795, 1.0]], ['2, k, 21', [-0.1041069, -0.02838704, 1.0]], ['2, k, 22', [-0.0686353, 0.00636145, 1.0]], ['2, k, 23', [0.363861, -0.08172506, 1.0]], ['2, k, 24', [0.4128838, 0.01604752, 1.0]]]
[['2, k, 0', [0.1572126, -0.02363324, 1.0]], ['2, k, 1', [0.1500252, 0.3023539, 1.0]], ['2, k, 2', [0.1416412, 0.6176875, 1.0]], ['2, k, 3', [0.146109, 0.7668077, 1.0]], ['2, k, 4', [-0.03235574, 0.4923074, 1.0]], ['2, k, 5', [-0.0829607, 0.2579938, 1.0]], ['2, k, 6', [-0.1025709, 0.1122543, 1.0]], ['2, k, 7', [-0.0967781, 0.07333194, 1.0]], ['2, k, 8', [0.3220876, 0.4840766, 1.0]], ['2, k, 9', [0.3782668, 0.2359565, 1.0]], ['2, k, 10', [0.3881042, 0.04404711, 1.0]], ['2, k, 11', [0.3727677, -0.006687991, 1.0]], ['2, k, 12', [0.07648247, -0.02450839, 1.0]], ['2, k, 13', [0.02769174, -0.3201376, 1.0]], ['2, k, 14', [-0.006189968, -0.6124368, 1.0]], ['2, k, 15', [-0.03221169, -0.6752988, 1.0]], ['2, k, 16', [0.2331951, -0.02194196, 1.0]], ['2, k, 17', [0.2927341, -0.3223599, 1.0]], ['2, k, 18', [0.3135025, -0.6152454, 1.0]], ['2, k, 19', [0.340373, -0.6737372, 1.0]], ['2, k, 20', [0.1438562, 0.5403805, 1.0]], ['2, k, 21', [-0.1061726, 0.03092677, 1.0]], ['2, k, 22', [-0.05742088, 0.04729856, 1.0]], ['2, k, 23', [0.365031, -0.08064387, 1.0]], ['2, k, 24', [0.4171871, 0.02328908, 1.0]]]
[['2, k, 0', [0.1571453, -0.02361993, 1.0]], ['2, k, 1', [0.1500108, 0.302355, 1.0]], ['2, k, 2', [0.1416333, 0.6176937, 1.0]], ['2, k, 3', [0.1460574, 0.7668495, 1.0]], ['2, k, 4', [-0.03223624, 0.4926994, 1.0]], ['2, k, 5', [-0.08258903, 0.268431, 1.0]], ['2, k, 6', [-0.08507875, 0.1557053, 1.0]], ['2, k, 7', [-0.0978608, 0.1348958, 1.0]], ['2, k, 8', [0.3220684, 0.4841105, 1.0]], ['2, k, 9', [0.3781956, 0.2359554, 1.0]], ['2, k, 10', [0.3879743, 0.04413154, 1.0]], ['2, k, 11', [0.3730824, -0.006127961, 1.0]], ['2, k, 12', [0.0764021, -0.02448964, 1.0]], ['2, k, 13', [0.02761734, -0.319673, 1.0]], ['2, k, 14', [-0.005997917, -0.612333, 1.0]], ['2, k, 15', [-0.03206298, -0.6753541, 1.0]], ['2, k, 16', [0.2331546, -0.02194315, 1.0]], ['2, k, 17', [0.2924062, -0.3225921, 1.0]], ['2, k, 18', [0.3129298, -0.6150293, 1.0]], ['2, k, 19', [0.3402886, -0.6737149, 1.0]], ['2, k, 20', [0.1438359, 0.5403823, 1.0]], ['2, k, 21', [-0.1118276, 0.11436, 1.0]], ['2, k, 22', [-0.05902537, 0.112251, 1.0]], ['2, k, 23', [0.3648784, -0.08104821, 1.0]], ['2, k, 24', [0.419508, 0.01908967, 1.0]]]
[['2, k, 0', [0.1571633, -0.02374142, 1.0]], ['2, k, 1', [0.1499918, 0.302331, 1.0]], ['2, k, 2', [0.1416234, 0.617704, 1.0]], ['2, k, 3', [0.1460578, 0.766728, 1.0]], ['2, k, 4', [-0.03192142, 0.4928195, 1.0]], ['2, k, 5', [-0.08311066, 0.294489, 1.0]], ['2, k, 6', [-0.08996902, 0.2091839, 1.0]], ['2, k, 7', [-0.09386556, 0.2035207, 1.0]], ['2, k, 8', [0.32185, 0.4840681, 1.0]], ['2, k, 9', [0.3784191, 0.2358874, 1.0]], ['2, k, 10', [0.3881609, 0.04477395, 1.0]], ['2, k, 11', [0.3726813, -0.005287634, 1.0]], ['2, k, 12', [0.07641445, -0.02462231, 1.0]], ['2, k, 13', [0.02771846, -0.3188914, 1.0]], ['2, k, 14', [-0.00587105, -0.6119243, 1.0]], ['2, k, 15', [-0.03203895, -0.675383, 1.0]], ['2, k, 16', [0.2331823, -0.02205076, 1.0]], ['2, k, 17', [0.2924628, -0.3226588, 1.0]], ['2, k, 18', [0.3127697, -0.6151078, 1.0]], ['2, k, 19', [0.3403114, -0.6738036, 1.0]], ['2, k, 20', [0.1438295, 0.5403852, 1.0]], ['2, k, 21', [-0.08563641, 0.1995572, 1.0]], ['2, k, 22', [-0.05503201, 0.1897098, 1.0]], ['2, k, 23', [0.3643032, -0.078215, 1.0]], ['2, k, 24', [0.4013927, -0.03442459, 1.0]]]
[['2, k, 0', [0.1572506, -0.02390274, 1.0]], ['2, k, 1', [0.1499513, 0.3023879, 1.0]], ['2, k, 2', [0.1415729, 0.6178425, 1.0]], ['2, k, 3', [0.1460576, 0.7667286, 1.0]], ['2, k, 4', [-0.03109863, 0.4936721, 1.0]], ['2, k, 5', [-0.0756013, 0.2503519, 1.0]], ['2, k, 6', [-0.09650511, 0.2893564, 1.0]], ['2, k, 7', [-0.08713684, 0.2743447, 1.0]], ['2, k, 8', [0.3218177, 0.4841127, 1.0]], ['2, k, 9', [0.3785489, 0.2359424, 1.0]], ['2, k, 10', [0.3880538, 0.04483255, 1.0]], ['2, k, 11', [0.3727726, -0.005163731, 1.0]], ['2, k, 12', [0.07644942, -0.02468686, 1.0]], ['2, k, 13', [0.02777321, -0.3187918, 1.0]], ['2, k, 14', [-0.005592211, -0.6115164, 1.0]], ['2, k, 15', [-0.0325533, -0.6759034, 1.0]], ['2, k, 16', [0.2333128, -0.02229128, 1.0]], ['2, k, 17', [0.2907827, -0.3202806, 1.0]], ['2, k, 18', [0.3127583, -0.6149502, 1.0]], ['2, k, 19', [0.3403634, -0.6738558, 1.0]], ['2, k, 20', [0.1437919, 0.5404789, 1.0]], ['2, k, 21', [-0.07825041, 0.2871484, 1.0]], ['2, k, 22', [-0.1401824, 0.3167812, 1.0]], ['2, k, 23', [0.3661507, -0.08145561, 1.0]], ['2, k, 24', [0.4111977, 0.008235063, 1.0]]]
[['2, k, 0', [0.1572495, -0.02383076, 1.0]], ['2, k, 1', [0.1499307, 0.3023466, 1.0]], ['2, k, 2', [0.1415819, 0.6177648, 1.0]], ['2, k, 3', [0.1461386, 0.7669538, 1.0]], ['2, k, 4', [-0.0251416, 0.4985667, 1.0]], ['2, k, 5', [-0.07866386, 0.2621172, 1.0]], ['2, k, 6', [-0.07080826, 0.3464078, 1.0]], ['2, k, 7', [-0.07756755, 0.3635869, 1.0]], ['2, k, 8', [0.3216498, 0.4840624, 1.0]], ['2, k, 9', [0.3784716, 0.2359253, 1.0]], ['2, k, 10', [0.3881312, 0.0455886, 1.0]], ['2, k, 11', [0.3719251, -0.007407247, 1.0]], ['2, k, 12', [0.07644239, -0.02457033, 1.0]], ['2, k, 13', [0.02781936, -0.3181596, 1.0]], ['2, k, 14', [-0.005234346, -0.6115502, 1.0]], ['2, k, 15', [-0.03290735, -0.6758928, 1.0]], ['2, k, 16', [0.2333217, -0.02226829, 1.0]], ['2, k, 17', [0.2912575, -0.3216069, 1.0]], ['2, k, 18', [0.3127102, -0.6149163, 1.0]], ['2, k, 19', [0.3403618, -0.6737795, 1.0]], ['2, k, 20', [0.1437945, 0.540406, 1.0]], ['2, k, 21', [-0.06920713, 0.382968, 1.0]], ['2, k, 22', [-0.1290781, 0.3829602, 1.0]], ['2, k, 23', [0.3637026, -0.08174497, 1.0]], ['2, k, 24', [0.4176775, 0.02431548, 1.0]]]
[['2, k, 0', [0.1575691, -0.02409611, 1.0]], ['2, k, 1', [0.1499646, 0.3023298, 1.0]], ['2, k, 2', [0.1415419, 0.6178546, 1.0]], ['2, k, 3', [0.1461114, 0.7670527, 1.0]], ['2, k, 4', [-0.009152804, 0.4975298, 1.0]], ['2, k, 5', [-0.08884361, 0.2846945, 1.0]], ['2, k, 6', [-0.06359635, 0.4051012, 1.0]], ['2, k, 7', [-0.06630556, 0.4371805, 1.0]], ['2, k, 8', [0.321629, 0.4840541, 1.0]], ['2, k, 9', [0.3782977, 0.235866, 1.0]], ['2, k, 10', [0.3885905, 0.04650798, 1.0]], ['2, k, 11', [0.3736072, -0.005920049, 1.0]], ['2, k, 12', [0.07664792, -0.02476155, 1.0]], ['2, k, 13', [0.02781036, -0.3181377, 1.0]], ['2, k, 14', [-0.005424876, -0.61174, 1.0]], ['2, k, 15', [-0.03292257, -0.6758809, 1.0]], ['2, k, 16', [0.2337824, -0.02262645, 1.0]], ['2, k, 17', [0.2913374, -0.3216127, 1.0]], ['2, k, 18', [0.3127231, -0.614929, 1.0]], ['2, k, 19', [0.3403372, -0.6737339, 1.0]], ['2, k, 20', [0.1437821, 0.5404453, 1.0]], ['2, k, 21', [-0.07081269, 0.4728174, 1.0]], ['2, k, 22', [-0.09540106, 0.4049619, 1.0]], ['2, k, 23', [0.3628412, -0.0808472, 1.0]], ['2, k, 24', [0.4191298, 0.02212506, 1.0]]]
[['2, k, 0', [0.1576764, -0.02417097, 1.0]], ['2, k, 1', [0.1500523, 0.3022645, 1.0]], ['2, k, 2', [0.1415984, 0.6178317, 1.0]], ['2, k, 3', [0.1458545, 0.7670918, 1.0]], ['2, k, 4', [-0.007623959, 0.4950363, 1.0]], ['2, k, 5', [-0.08982719, 0.2953569, 1.0]], ['2, k, 6', [-0.05213788, 0.4689017, 1.0]], ['2, k, 7', [-0.04200412, 0.5130377, 1.0]], ['2, k, 8', [0.3216524, 0.4840301, 1.0]], ['2, k, 9', [0.3783208, 0.2358712, 1.0]], ['2, k, 10', [0.3886527, 0.04631991, 1.0]], ['2, k, 11', [0.3719496, -0.008683569, 1.0]], ['2, k, 12', [0.07670597, -0.02485738, 1.0]], ['2, k, 13', [0.02756641, -0.3178053, 1.0]], ['2, k, 14', [-0.004514698, -0.6115248, 1.0]], ['2, k, 15', [-0.03180322, -0.6751277, 1.0]], ['2, k, 16', [0.2339113, -0.02268687, 1.0]], ['2, k, 17', [0.2912797, -0.3218449, 1.0]], ['2, k, 18', [0.3127146, -0.6147172, 1.0]], ['2, k, 19', [0.3401843, -0.6736048, 1.0]], ['2, k, 20', [0.143844, 0.5404158, 1.0]], ['2, k, 21', [-0.03033819, 0.568446, 1.0]], ['2, k, 22', [-0.08866619, 0.5048607, 1.0]], ['2, k, 23', [0.3617539, -0.0838, 1.0]], ['2, k, 24', [0.4141998, 0.01608202, 1.0]]]
[['2, k, 0', [0.157758, -0.02413285, 1.0]], ['2, k, 1', [0.1500268, 0.3023383, 1.0]], ['2, k, 2', [0.141522, 0.6179402, 1.0]], ['2, k, 3', [0.1459711, 0.7671863, 1.0]], ['2, k, 4', [-0.008251682, 0.4964068, 1.0]], ['2, k, 5', [-0.0918671, 0.2984941, 1.0]], ['2, k, 6', [-0.05145592, 0.4815511, 1.0]], ['2, k, 7', [-0.03949461, 0.5025026, 1.0]], ['2, k, 8', [0.3216759, 0.4840997, 1.0]], ['2, k, 9', [0.3783824, 0.235745, 1.0]], ['2, k, 10', [0.3887154, 0.04635285, 1.0]], ['2, k, 11', [0.3733447, -0.008691746, 1.0]], ['2, k, 12', [0.07671942, -0.024851, 1.0]], ['2, k, 13', [0.02751947, -0.3175302, 1.0]], ['2, k, 14', [-0.004796796, -0.6116722, 1.0]], ['2, k, 15', [-0.03198219, -0.6752006, 1.0]], ['2, k, 16', [0.2340671, -0.02262527, 1.0]], ['2, k, 17', [0.2902527, -0.3173437, 1.0]], ['2, k, 18', [0.3126737, -0.614702, 1.0]], ['2, k, 19', [0.3403269, -0.6737541, 1.0]], ['2, k, 20', [0.1437761, 0.5405187, 1.0]], ['2, k, 21', [-0.03243062, 0.5539727, 1.0]], ['2, k, 22', [-0.09133825, 0.5295385, 1.0]], ['2, k, 23', [0.3665283, -0.08137505, 1.0]], ['2, k, 24', [0.4161799, 0.01261416, 1.0]]]
