[[0, -0.0972923, -0.885206, 2.55985, 1.0], [1, -0.0897933, -0.58784, 2.51883, 1.0], [2, -0.0819435, -0.293548, 2.4643, 1.0], [3, -0.0811642, -0.151796, 2.44099, 1.0], [4, -0.259501, -0.361208, 2.43298, 1.0], [5, -0.193238, -0.561357, 2.33538, 1.0], [6, 0.0764687, -0.549019, 2.17847, 1.0], [7, 0.164959, -0.543111, 2.10646, 1.0], [8, 0.102711, -0.338548, 2.43914, 1.0], [9, 0.316498, -0.405306, 2.39022, 1.0], [10, 0.0487478, -0.469189, 2.24337, 1.0], [11, -0.0081928, -0.530648, 2.29212, 1.0], [12, -0.178429, -0.878885, 2.53068, 1.0], [13, -0.244956, -1.23021, 2.42307, 1.0], [14, -0.184937, -1.67713, 2.59166, 1.0], [15, -0.0713908, -1.67866, 2.64148, 1.0], [16, -0.0136349, -0.868737, 2.52312, 1.0], [17, 0.0613166, -1.22296, 2.44115, 1.0], [18, -0.0212338, -1.67136, 2.59669, 1.0], [19, -0.13889, -1.68207, 2.59389, 1.0], [20, -0.083972, -0.36674, 2.48034, 1.0], [21, 0.240784, -0.541913, 2.10021, 1.0], [22, 0.192257, -0.531706, 2.08319, 1.0], [23, 0.000604995, -0.538597, 2.09849, 1.0], [24, -0.00593156, -0.525473, 2.08368, 1.0]]
[[0, -0.0967605, -0.866232, 2.51717, 1.0], [1, -0.0898723, -0.583136, 2.50715, 1.0], [2, -0.0819413, -0.29346, 2.46332, 1.0], [3, -0.0810965, -0.151689, 2.43913, 1.0], [4, -0.259419, -0.360979, 2.43211, 1.0], [5, -0.196601, -0.550872, 2.3389, 1.0], [6, 0.0276583, -0.54598, 2.20552, 1.0], [7, 0.101769, -0.541591, 2.10484, 1.0], [8, 0.102674, -0.338428, 2.43826, 1.0], [9, 0.280616, -0.393421, 2.39487, 1.0], [10, 0.349079, -0.472353, 2.22918, 1.0], [11, 0.331348, -0.502004, 2.16965, 1.0], [12, -0.177939, -0.859876, 2.49005, 1.0], [13, -0.238539, -1.21914, 2.48492, 1.0], [14, -0.171338, -1.68885, 2.57661, 1.0], [15, -0.0767305, -1.72215, 2.47245, 1.0], [16, -0.0130713, -0.850299, 2.47947, 1.0], [17, 0.0530889, -1.20671, 2.49442, 1.0], [18, -0.0299252, -1.67179, 2.59467, 1.0], [19, -0.1242, -1.7022, 2.47907, 1.0], [20, -0.084031, -0.36639, 2.47856, 1.0], [21, 0.174345, -0.540412, 2.09602, 1.0], [22, 0.129813, -0.539288, 2.07558, 1.0], [23, 0.34316, -0.537643, 2.10107, 1.0], [24, 0.280367, -0.502479, 2.10775, 1.0]]
[[0, -0.095275, -0.85754, 2.5135, 1.0], [1, -0.088962, -0.575925, 2.50005, 1.0], [2, -0.0819281, -0.293204, 2.4626, 1.0], [3, -0.0810911, -0.151676, 2.43791, 1.0], [4, -0.259477, -0.360621, 2.43158, 1.0], [5, -0.196731, -0.550934, 2.33856, 1.0], [6, -0.335101, -0.533302, 2.18054, 1.0], [7, -0.403476, -0.519714, 2.1, 1.0], [8, 0.102223, -0.338646, 2.43728, 1.0], [9, 0.267446, -0.392065, 2.39684, 1.0], [10, 0.34029, -0.464948, 2.24578, 1.0], [11, 0.335767, -0.48872, 2.1997, 1.0], [12, -0.176357, -0.850159, 2.48536, 1.0], [13, -0.199405, -1.17893, 2.48095, 1.0], [14, -0.189683, -1.59925, 2.56426, 1.0], [15, -0.181048, -1.65747, 2.4425, 1.0], [16, -0.0117344, -0.842881, 2.47725, 1.0], [17, 0.0194694, -1.17042, 2.4802, 1.0], [18, -0.0166137, -1.58364, 2.58539, 1.0], [19, -0.0290962, -1.64589, 2.46942, 1.0], [20, -0.0839135, -0.36491, 2.47649, 1.0], [21, -0.433867, -0.526939, 2.0601, 1.0], [22, -0.449048, -0.533334, 2.07264, 1.0], [23, 0.346873, -0.535354, 2.10336, 1.0], [24, 0.319612, -0.497064, 2.15925, 1.0]]
[[0, -0.0952148, -0.851112, 2.5107, 1.0], [1, -0.0886802, -0.572049, 2.49659, 1.0], [2, -0.0818227, -0.292923, 2.46203, 1.0], [3, -0.0810767, -0.151645, 2.43708, 1.0], [4, -0.25944, -0.360495, 2.43119, 1.0], [5, -0.200755, -0.547325, 2.33737, 1.0], [6, -0.30633, -0.527804, 2.12645, 1.0], [7, -0.397188, -0.522642, 2.0856, 1.0], [8, 0.101844, -0.338676, 2.43675, 1.0], [9, 0.260619, -0.3902, 2.39774, 1.0], [10, 0.338869, -0.464636, 2.24672, 1.0], [11, 0.334295, -0.483648, 2.20752, 1.0], [12, -0.176321, -0.844257, 2.48244, 1.0], [13, -0.198004, -1.1601, 2.47892, 1.0], [14, -0.191619, -1.55539, 2.55247, 1.0], [15, -0.18603, -1.60812, 2.43021, 1.0], [16, -0.0116702, -0.836306, 2.47515, 1.0], [17, 0.017427, -1.14799, 2.47746, 1.0], [18, -0.011802, -1.53712, 2.57185, 1.0], [19, -0.0182324, -1.59756, 2.45462, 1.0], [20, -0.083665, -0.363625, 2.47493, 1.0], [21, -0.437601, -0.529217, 2.06494, 1.0], [22, -0.427033, -0.494091, 2.161, 1.0], [23, 0.342148, -0.51899, 2.1178, 1.0], [24, 0.321212, -0.494198, 2.16212, 1.0]]
[[0, -0.0949201, -0.85018, 2.50994, 1.0], [1, -0.0885899, -0.571204, 2.49535, 1.0], [2, -0.0818645, -0.29284, 2.46168, 1.0], [3, -0.0810947, -0.151687, 2.43638, 1.0], [4, -0.259429, -0.360375, 2.43095, 1.0], [5, -0.206264, -0.546341, 2.33978, 1.0], [6, -0.303548, -0.528178, 2.13403, 1.0], [7, -0.394421, -0.521749, 2.08393, 1.0], [8, 0.101411, -0.338724, 2.43638, 1.0], [9, 0.249256, -0.401145, 2.39766, 1.0], [10, 0.327511, -0.480615, 2.21561, 1.0], [11, 0.320282, -0.511986, 2.1421, 1.0], [12, -0.176029, -0.843438, 2.48174, 1.0], [13, -0.198034, -1.16031, 2.47872, 1.0], [14, -0.19144, -1.53191, 2.54435, 1.0], [15, -0.186044, -1.58237, 2.42274, 1.0], [16, -0.0113916, -0.835392, 2.47466, 1.0], [17, 0.0172716, -1.14717, 2.47759, 1.0], [18, -0.0108739, -1.51581, 2.56557, 1.0], [19, -0.016475, -1.57224, 2.44832, 1.0], [20, -0.0837276, -0.363195, 2.47408, 1.0], [21, -0.438317, -0.528151, 2.06001, 1.0], [22, -0.427857, -0.493164, 2.15785, 1.0], [23, 0.332023, -0.536875, 2.09198, 1.0], [24, 0.271983, -0.50699, 2.09875, 1.0]]
[[0, -0.0946862, -0.849279, 2.5095, 1.0], [1, -0.0886377, -0.570583, 2.49468, 1.0], [2, -0.0820244, -0.292754, 2.46151, 1.0], [3, -0.0810753, -0.151676, 2.43599, 1.0], [4, -0.259431, -0.360297, 2.43077, 1.0], [5, -0.215421, -0.546023, 2.35078, 1.0], [6, -0.30015, -0.528962, 2.14533, 1.0], [7, -0.394196, -0.521946, 2.082, 1.0], [8, 0.101351, -0.338709, 2.43619, 1.0], [9, 0.24645, -0.397337, 2.39881, 1.0], [10, 0.327219, -0.480761, 2.21542, 1.0], [11, 0.32015, -0.508358, 2.14713, 1.0], [12, -0.175792, -0.842649, 2.48121, 1.0], [13, -0.198145, -1.16142, 2.47887, 1.0], [14, -0.193162, -1.51606, 2.53924, 1.0], [15, -0.188224, -1.5653, 2.41815, 1.0], [16, -0.0111626, -0.834427, 2.47456, 1.0], [17, 0.0173106, -1.14714, 2.4775, 1.0], [18, -0.00833059, -1.49989, 2.56158, 1.0], [19, -0.013333, -1.55559, 2.44515, 1.0], [20, -0.0839027, -0.362892, 2.47366, 1.0], [21, -0.430818, -0.525617, 2.05289, 1.0], [22, -0.429886, -0.492796, 2.15724, 1.0], [23, 0.330233, -0.533048, 2.08845, 1.0], [24, 0.271676, -0.506234, 2.09752, 1.0]]
[[0, -0.0946102, -0.847567, 2.50877, 1.0], [1, -0.0887393, -0.569274, 2.4938, 1.0], [2, -0.0821836, -0.292389, 2.46138, 1.0], [3, -0.0810653, -0.151701, 2.43563, 1.0], [4, -0.259409, -0.360213, 2.4306, 1.0], [5, -0.214592, -0.546626, 2.34816, 1.0], [6, -0.283651, -0.531783, 2.14107, 1.0], [7, -0.375825, -0.524303, 2.06984, 1.0], [8, 0.100972, -0.339021, 2.4357, 1.0], [9, 0.241968, -0.39957, 2.39986, 1.0], [10, 0.326185, -0.480481, 2.2165, 1.0], [11, 0.321574, -0.50749, 2.14779, 1.0], [12, -0.175705, -0.840821, 2.48026, 1.0], [13, -0.198102, -1.16132, 2.47875, 1.0], [14, -0.194016, -1.50356, 2.53605, 1.0], [15, -0.189454, -1.55211, 2.41546, 1.0], [16, -0.0111078, -0.832925, 2.47421, 1.0], [17, 0.0172789, -1.14723, 2.47763, 1.0], [18, -0.00691244, -1.48814, 2.55796, 1.0], [19, -0.0116133, -1.54304, 2.4419, 1.0], [20, -0.0840785, -0.362112, 2.47318, 1.0], [21, -0.422653, -0.521449, 2.04378, 1.0], [22, -0.433158, -0.493789, 2.12642, 1.0], [23, 0.331938, -0.533912, 2.08891, 1.0], [24, 0.27186, -0.506792, 2.0983, 1.0]]
[[0, -0.0944723, -0.847174, 2.50845, 1.0], [1, -0.0886787, -0.568911, 2.49325, 1.0], [2, -0.0822138, -0.292325, 2.46119, 1.0], [3, -0.0809798, -0.151854, 2.4351, 1.0], [4, -0.259404, -0.360165, 2.43046, 1.0], [5, -0.215158, -0.546702, 2.34798, 1.0], [6, -0.281319, -0.531908, 2.14275, 1.0], [7, -0.376559, -0.523164, 2.06837, 1.0], [8, 0.100627, -0.339222, 2.43532, 1.0], [9, 0.241218, -0.395262, 2.39851, 1.0], [10, 0.325084, -0.479305, 2.21976, 1.0], [11, 0.321613, -0.50672, 2.14652, 1.0], [12, -0.175552, -0.840448, 2.4799, 1.0], [13, -0.198351, -1.1624, 2.47861, 1.0], [14, -0.193843, -1.49508, 2.53446, 1.0], [15, -0.189341, -1.54334, 2.41441, 1.0], [16, -0.0109884, -0.832561, 2.47406, 1.0], [17, 0.0173218, -1.14736, 2.4776, 1.0], [18, -0.00596094, -1.48017, 2.55519, 1.0], [19, -0.0104857, -1.53443, 2.43941, 1.0], [20, -0.0840973, -0.361871, 2.47273, 1.0], [21, -0.42307, -0.519229, 2.04473, 1.0], [22, -0.431254, -0.493357, 2.13171, 1.0], [23, 0.335094, -0.536005, 2.0876, 1.0], [24, 0.271574, -0.506009, 2.09695, 1.0]]
[[0, -0.0943001, -0.846742, 2.5081, 1.0], [1, -0.0885731, -0.568287, 2.49264, 1.0], [2, -0.0822518, -0.291919, 2.46095, 1.0], [3, -0.0810248, -0.151859, 2.43481, 1.0], [4, -0.259394, -0.360105, 2.43038, 1.0], [5, -0.216772, -0.544761, 2.34972, 1.0], [6, -0.279889, -0.53155, 2.14536, 1.0], [7, -0.377077, -0.522238, 2.0643, 1.0], [8, 0.100262, -0.339459, 2.43498, 1.0], [9, 0.240617, -0.391664, 2.39652, 1.0], [10, 0.322512, -0.478414, 2.22048, 1.0], [11, 0.323904, -0.504477, 2.15439, 1.0], [12, -0.175371, -0.840028, 2.47959, 1.0], [13, -0.198381, -1.16238, 2.47853, 1.0], [14, -0.192453, -1.48851, 2.53286, 1.0], [15, -0.187805, -1.53611, 2.41358, 1.0], [16, -0.01084, -0.832184, 2.47378, 1.0], [17, 0.0173605, -1.1472, 2.47758, 1.0], [18, -0.00541488, -1.47383, 2.5534, 1.0], [19, -0.0098541, -1.52737, 2.43832, 1.0], [20, -0.0840852, -0.361216, 2.4722, 1.0], [21, -0.422165, -0.520156, 2.04253, 1.0], [22, -0.396865, -0.531632, 2.07767, 1.0], [23, 0.334227, -0.533274, 2.08682, 1.0], [24, 0.270834, -0.505124, 2.09615, 1.0]]
[[0, -0.0942133, -0.846654, 2.50789, 1.0], [1, -0.0885229, -0.568076, 2.49229, 1.0], [2, -0.0823058, -0.291714, 2.46078, 1.0], [3, -0.0810497, -0.151868, 2.43463, 1.0], [4, -0.259389, -0.360068, 2.43029, 1.0], [5, -0.218686, -0.543577, 2.35061, 1.0], [6, -0.278414, -0.531593, 2.14726, 1.0], [7, -0.377958, -0.52497, 2.05719, 1.0], [8, 0.0999522, -0.339534, 2.43471, 1.0], [9, 0.238212, -0.393506, 2.39789, 1.0], [10, 0.320975, -0.477946, 2.2236, 1.0], [11, 0.324852, -0.50226, 2.15762, 1.0], [12, -0.175244, -0.839387, 2.47931, 1.0], [13, -0.198434, -1.16221, 2.47847, 1.0], [14, -0.191922, -1.48299, 2.53183, 1.0], [15, -0.187255, -1.53013, 2.41321, 1.0], [16, -0.0106199, -0.832486, 2.47361, 1.0], [17, 0.0172905, -1.1474, 2.47775, 1.0], [18, -0.00522846, -1.46944, 2.55215, 1.0], [19, -0.00961875, -1.52237, 2.43761, 1.0], [20, -0.0841087, -0.360907, 2.47186, 1.0], [21, -0.421155, -0.524509, 2.03835, 1.0], [22, -0.435774, -0.495019, 2.1056, 1.0], [23, 0.335882, -0.533355, 2.08761, 1.0], [24, 0.27162, -0.506632, 2.09836, 1.0]]
[[0, -0.0938593, -0.846585, 2.50773, 1.0], [1, -0.0884255, -0.567941, 2.49203, 1.0], [2, -0.0823958, -0.291572, 2.46064, 1.0], [3, -0.0811006, -0.151884, 2.43447, 1.0], [4, -0.259415, -0.359835, 2.42989, 1.0], [5, -0.210678, -0.543376, 2.3459, 1.0], [6, -0.276194, -0.531571, 2.14558, 1.0], [7, -0.379987, -0.523535, 2.05609, 1.0], [8, 0.0994669, -0.339786, 2.43417, 1.0], [9, 0.23776, -0.391319, 2.3971, 1.0], [10, 0.319923, -0.47707, 2.22457, 1.0], [11, 0.323425, -0.500169, 2.16334, 1.0], [12, -0.174791, -0.838921, 2.47915, 1.0], [13, -0.198599, -1.16247, 2.4784, 1.0], [14, -0.192041, -1.47861, 2.53071, 1.0], [15, -0.187445, -1.52532, 2.41258, 1.0], [16, -0.0101785, -0.832834, 2.47352, 1.0], [17, 0.0172689, -1.14751, 2.47775, 1.0], [18, -0.0048684, -1.46597, 2.5512, 1.0], [19, -0.00918658, -1.51847, 2.43716, 1.0], [20, -0.0841517, -0.360709, 2.4716, 1.0], [21, -0.42085, -0.522781, 2.03743, 1.0], [22, -0.429598, -0.496075, 2.1148, 1.0], [23, 0.337208, -0.534528, 2.08775, 1.0], [24, 0.270597, -0.505788, 2.09883, 1.0]]
