[['2, k, 0', [-0.105413, -0.893789, 1.0]], ['2, k, 1', [-0.0816465, -0.597425, 1.0]], ['2, k, 2', [-0.0579253, -0.304022, 1.0]], ['2, k, 3', [-0.0386188, -0.160284, 1.0]], ['2, k, 4', [-0.246985, -0.370851, 1.0]], ['2, k, 5', [-0.334698, -0.523862, 1.0]], ['2, k, 6', [-0.370699, -0.761493, 1.0]], ['2, k, 7', [-0.383567, -0.833677, 1.0]], ['2, k, 8', [0.119746, -0.398737, 1.0]], ['2, k, 9', [0.217932, -0.618155, 1.0]], ['2, k, 10', [0.219928, -0.807304, 1.0]], ['2, k, 11', [0.208346, -0.858615, 1.0]], ['2, k, 12', [-0.187496, -0.875943, 1.0]], ['2, k, 13', [-0.279153, -1.17103, 1.0]], ['2, k, 14', [-0.231043, -1.64349, 1.0]], ['2, k, 15', [-0.139089, -1.65491, 1.0]], ['2, k, 16', [-0.0206192, -0.888727, 1.0]], ['2, k, 17', [0.00408335, -1.19828, 1.0]], ['2, k, 18', [-0.044316, -1.66436, 1.0]], ['2, k, 19', [-0.111468, -1.71534, 1.0]], ['2, k, 20', [-0.0638605, -0.377009, 1.0]], ['2, k, 21', [-0.441335, -0.843017, 1.0]], ['2, k, 22', [-0.325719, -0.829501, 1.0]], ['2, k, 23', [0.19136, -0.902469, 1.0]], ['2, k, 24', [0.255773, -0.877802, 1.0]]]
[['2, k, 0', [-0.0866899, -0.873889, 1.0]], ['2, k, 1', [-0.0769386, -0.591559, 1.0]], ['2, k, 2', [-0.0579284, -0.30385, 1.0]], ['2, k, 3', [-0.0390079, -0.159982, 1.0]], ['2, k, 4', [-0.246969, -0.370692, 1.0]], ['2, k, 5', [-0.334616, -0.523738, 1.0]], ['2, k, 6', [-0.297306, -0.764334, 1.0]], ['2, k, 7', [-0.273074, -0.835883, 1.0]], ['2, k, 8', [0.119695, -0.398578, 1.0]], ['2, k, 9', [0.217996, -0.617879, 1.0]], ['2, k, 10', [0.2199, -0.806861, 1.0]], ['2, k, 11', [0.208202, -0.852698, 1.0]], ['2, k, 12', [-0.169031, -0.856295, 1.0]], ['2, k, 13', [-0.291844, -1.17358, 1.0]], ['2, k, 14', [-0.224682, -1.65298, 1.0]], ['2, k, 15', [-0.121257, -1.65884, 1.0]], ['2, k, 16', [-0.00212019, -0.869084, 1.0]], ['2, k, 17', [-0.0202408, -1.20419, 1.0]], ['2, k, 18', [-0.0448332, -1.68772, 1.0]], ['2, k, 19', [-0.0429793, -1.73371, 1.0]], ['2, k, 20', [-0.0636255, -0.37633, 1.0]], ['2, k, 21', [-0.263365, -0.919307, 1.0]], ['2, k, 22', [-0.225398, -0.818295, 1.0]], ['2, k, 23', [0.193629, -0.899026, 1.0]], ['2, k, 24', [0.259494, -0.875198, 1.0]]]
[['2, k, 0', [-0.104337, -0.858393, 1.0]], ['2, k, 1', [-0.0821503, -0.583063, 1.0]], ['2, k, 2', [-0.0585113, -0.303304, 1.0]], ['2, k, 3', [-0.0396567, -0.159631, 1.0]], ['2, k, 4', [-0.247014, -0.370649, 1.0]], ['2, k, 5', [-0.334375, -0.525299, 1.0]], ['2, k, 6', [-0.296984, -0.766202, 1.0]], ['2, k, 7', [-0.272536, -0.838117, 1.0]], ['2, k, 8', [0.118802, -0.397017, 1.0]], ['2, k, 9', [0.218384, -0.616103, 1.0]], ['2, k, 10', [0.220645, -0.803083, 1.0]], ['2, k, 11', [0.209416, -0.849926, 1.0]], ['2, k, 12', [-0.186213, -0.842754, 1.0]], ['2, k, 13', [-0.219414, -1.17782, 1.0]], ['2, k, 14', [-0.225773, -1.58176, 1.0]], ['2, k, 15', [-0.219677, -1.63519, 1.0]], ['2, k, 16', [-0.0199942, -0.852054, 1.0]], ['2, k, 17', [-0.00891219, -1.16929, 1.0]], ['2, k, 18', [-0.0500479, -1.58637, 1.0]], ['2, k, 19', [-0.0548947, -1.64251, 1.0]], ['2, k, 20', [-0.0648182, -0.374433, 1.0]], ['2, k, 21', [-0.26412, -0.924929, 1.0]], ['2, k, 22', [-0.225627, -0.81767, 1.0]], ['2, k, 23', [0.194564, -0.894376, 1.0]], ['2, k, 24', [0.260045, -0.869874, 1.0]]]
[['2, k, 0', [-0.10602, -0.856336, 1.0]], ['2, k, 1', [-0.0840418, -0.580357, 1.0]], ['2, k, 2', [-0.0600198, -0.302515, 1.0]], ['2, k, 3', [-0.0409892, -0.159155, 1.0]], ['2, k, 4', [-0.247623, -0.370731, 1.0]], ['2, k, 5', [-0.334082, -0.526622, 1.0]], ['2, k, 6', [-0.29667, -0.76778, 1.0]], ['2, k, 7', [-0.272258, -0.841108, 1.0]], ['2, k, 8', [0.117739, -0.395431, 1.0]], ['2, k, 9', [0.21839, -0.614474, 1.0]], ['2, k, 10', [0.221057, -0.800653, 1.0]], ['2, k, 11', [0.209323, -0.846268, 1.0]], ['2, k, 12', [-0.187902, -0.84101, 1.0]], ['2, k, 13', [-0.219278, -1.17756, 1.0]], ['2, k, 14', [-0.224988, -1.54323, 1.0]], ['2, k, 15', [-0.21922, -1.59596, 1.0]], ['2, k, 16', [-0.0215877, -0.849956, 1.0]], ['2, k, 17', [-0.00909131, -1.16284, 1.0]], ['2, k, 18', [-0.0442681, -1.54907, 1.0]], ['2, k, 19', [-0.0474027, -1.60349, 1.0]], ['2, k, 20', [-0.0663953, -0.372904, 1.0]], ['2, k, 21', [-0.261867, -0.931378, 1.0]], ['2, k, 22', [-0.22515, -0.81815, 1.0]], ['2, k, 23', [0.192972, -0.893353, 1.0]], ['2, k, 24', [0.259147, -0.867066, 1.0]]]
[['2, k, 0', [-0.107353, -0.854965, 1.0]], ['2, k, 1', [-0.0852577, -0.579295, 1.0]], ['2, k, 2', [-0.0612148, -0.302631, 1.0]], ['2, k, 3', [-0.0426314, -0.158848, 1.0]], ['2, k, 4', [-0.247675, -0.370726, 1.0]], ['2, k, 5', [-0.335055, -0.527643, 1.0]], ['2, k, 6', [-0.296393, -0.769079, 1.0]], ['2, k, 7', [-0.271131, -0.840718, 1.0]], ['2, k, 8', [0.116962, -0.394475, 1.0]], ['2, k, 9', [0.21858, -0.613462, 1.0]], ['2, k, 10', [0.221452, -0.797552, 1.0]], ['2, k, 11', [0.210275, -0.844449, 1.0]], ['2, k, 12', [-0.189245, -0.839785, 1.0]], ['2, k, 13', [-0.219235, -1.1775, 1.0]], ['2, k, 14', [-0.224072, -1.52007, 1.0]], ['2, k, 15', [-0.218366, -1.57271, 1.0]], ['2, k, 16', [-0.0228527, -0.848619, 1.0]], ['2, k, 17', [-0.00908642, -1.16178, 1.0]], ['2, k, 18', [-0.0404719, -1.52675, 1.0]], ['2, k, 19', [-0.0430159, -1.58021, 1.0]], ['2, k, 20', [-0.0675346, -0.372564, 1.0]], ['2, k, 21', [-0.260889, -0.930989, 1.0]], ['2, k, 22', [-0.220157, -0.826864, 1.0]], ['2, k, 23', [0.191044, -0.891393, 1.0]], ['2, k, 24', [0.261966, -0.863242, 1.0]]]
[['2, k, 0', [-0.107924, -0.854096, 1.0]], ['2, k, 1', [-0.0862068, -0.578312, 1.0]], ['2, k, 2', [-0.0626915, -0.302407, 1.0]], ['2, k, 3', [-0.0450073, -0.15853, 1.0]], ['2, k, 4', [-0.248527, -0.370737, 1.0]], ['2, k, 5', [-0.334945, -0.528048, 1.0]], ['2, k, 6', [-0.296081, -0.76973, 1.0]], ['2, k, 7', [-0.271804, -0.844962, 1.0]], ['2, k, 8', [0.11545, -0.392499, 1.0]], ['2, k, 9', [0.21856, -0.611108, 1.0]], ['2, k, 10', [0.221803, -0.794561, 1.0]], ['2, k, 11', [0.209756, -0.846103, 1.0]], ['2, k, 12', [-0.189764, -0.839171, 1.0]], ['2, k, 13', [-0.219193, -1.17762, 1.0]], ['2, k, 14', [-0.220635, -1.50488, 1.0]], ['2, k, 15', [-0.214666, -1.5579, 1.0]], ['2, k, 16', [-0.0234508, -0.847579, 1.0]], ['2, k, 17', [-0.00905818, -1.16174, 1.0]], ['2, k, 18', [-0.0381038, -1.512, 1.0]], ['2, k, 19', [-0.0405645, -1.56495, 1.0]], ['2, k, 20', [-0.0688454, -0.371958, 1.0]], ['2, k, 21', [-0.260956, -0.931944, 1.0]], ['2, k, 22', [-0.222753, -0.824092, 1.0]], ['2, k, 23', [0.192352, -0.889967, 1.0]], ['2, k, 24', [0.256579, -0.861587, 1.0]]]
[['2, k, 0', [-0.108599, -0.853367, 1.0]], ['2, k, 1', [-0.0871282, -0.577668, 1.0]], ['2, k, 2', [-0.064182, -0.302393, 1.0]], ['2, k, 3', [-0.0478113, -0.158111, 1.0]], ['2, k, 4', [-0.249408, -0.371292, 1.0]], ['2, k, 5', [-0.334944, -0.528503, 1.0]], ['2, k, 6', [-0.300583, -0.770809, 1.0]], ['2, k, 7', [-0.276053, -0.84005, 1.0]], ['2, k, 8', [0.11387, -0.39025, 1.0]], ['2, k, 9', [0.218331, -0.607949, 1.0]], ['2, k, 10', [0.222058, -0.791936, 1.0]], ['2, k, 11', [0.210267, -0.841874, 1.0]], ['2, k, 12', [-0.190327, -0.838845, 1.0]], ['2, k, 13', [-0.219139, -1.17753, 1.0]], ['2, k, 14', [-0.220543, -1.49471, 1.0]], ['2, k, 15', [-0.214736, -1.54736, 1.0]], ['2, k, 16', [-0.0242441, -0.846384, 1.0]], ['2, k, 17', [-0.0090077, -1.16135, 1.0]], ['2, k, 18', [-0.0363288, -1.50096, 1.0]], ['2, k, 19', [-0.0385885, -1.5536, 1.0]], ['2, k, 20', [-0.0701255, -0.371627, 1.0]], ['2, k, 21', [-0.267466, -0.931558, 1.0]], ['2, k, 22', [-0.224438, -0.828923, 1.0]], ['2, k, 23', [0.194925, -0.88805, 1.0]], ['2, k, 24', [0.25958, -0.857737, 1.0]]]
[['2, k, 0', [-0.109206, -0.85251, 1.0]], ['2, k, 1', [-0.0880099, -0.576947, 1.0]], ['2, k, 2', [-0.0655949, -0.302257, 1.0]], ['2, k, 3', [-0.0501095, -0.157558, 1.0]], ['2, k, 4', [-0.250664, -0.371748, 1.0]], ['2, k, 5', [-0.334673, -0.528846, 1.0]], ['2, k, 6', [-0.299083, -0.771179, 1.0]], ['2, k, 7', [-0.274854, -0.843392, 1.0]], ['2, k, 8', [0.112154, -0.388165, 1.0]], ['2, k, 9', [0.217779, -0.606113, 1.0]], ['2, k, 10', [0.221636, -0.790675, 1.0]], ['2, k, 11', [0.210277, -0.841246, 1.0]], ['2, k, 12', [-0.190823, -0.838419, 1.0]], ['2, k, 13', [-0.219088, -1.178, 1.0]], ['2, k, 14', [-0.220532, -1.4869, 1.0]], ['2, k, 15', [-0.215007, -1.53948, 1.0]], ['2, k, 16', [-0.0249338, -0.845071, 1.0]], ['2, k, 17', [-0.00895609, -1.16112, 1.0]], ['2, k, 18', [-0.0349992, -1.49253, 1.0]], ['2, k, 19', [-0.0372268, -1.54479, 1.0]], ['2, k, 20', [-0.0713561, -0.371219, 1.0]], ['2, k, 21', [-0.265154, -0.931244, 1.0]], ['2, k, 22', [-0.22532, -0.823695, 1.0]], ['2, k, 23', [0.198971, -0.885693, 1.0]], ['2, k, 24', [0.258337, -0.853381, 1.0]]]
[['2, k, 0', [-0.109814, -0.851816, 1.0]], ['2, k, 1', [-0.0887893, -0.576236, 1.0]], ['2, k, 2', [-0.0666418, -0.301899, 1.0]], ['2, k, 3', [-0.0526919, -0.1567, 1.0]], ['2, k, 4', [-0.251434, -0.37185, 1.0]], ['2, k, 5', [-0.335541, -0.529207, 1.0]], ['2, k, 6', [-0.305902, -0.772372, 1.0]], ['2, k, 7', [-0.280588, -0.843675, 1.0]], ['2, k, 8', [0.110932, -0.387223, 1.0]], ['2, k, 9', [0.218355, -0.603879, 1.0]], ['2, k, 10', [0.222908, -0.788085, 1.0]], ['2, k, 11', [0.211707, -0.834766, 1.0]], ['2, k, 12', [-0.191415, -0.837917, 1.0]], ['2, k, 13', [-0.218834, -1.17709, 1.0]], ['2, k, 14', [-0.21961, -1.48065, 1.0]], ['2, k, 15', [-0.214207, -1.53334, 1.0]], ['2, k, 16', [-0.0255305, -0.844278, 1.0]], ['2, k, 17', [-0.0089874, -1.1607, 1.0]], ['2, k, 18', [-0.0342989, -1.48623, 1.0]], ['2, k, 19', [-0.0366382, -1.53831, 1.0]], ['2, k, 20', [-0.0723348, -0.370672, 1.0]], ['2, k, 21', [-0.272863, -0.937631, 1.0]], ['2, k, 22', [-0.232117, -0.833306, 1.0]], ['2, k, 23', [0.190492, -0.873395, 1.0]], ['2, k, 24', [0.254199, -0.85076, 1.0]]]
[['2, k, 0', [-0.110027, -0.851961, 1.0]], ['2, k, 1', [-0.08932, -0.576334, 1.0]], ['2, k, 2', [-0.0678811, -0.302123, 1.0]], ['2, k, 3', [-0.0552161, -0.156708, 1.0]], ['2, k, 4', [-0.252584, -0.372236, 1.0]], ['2, k, 5', [-0.336248, -0.530298, 1.0]], ['2, k, 6', [-0.306918, -0.773467, 1.0]], ['2, k, 7', [-0.282463, -0.843443, 1.0]], ['2, k, 8', [0.109527, -0.386072, 1.0]], ['2, k, 9', [0.218157, -0.602475, 1.0]], ['2, k, 10', [0.223561, -0.786797, 1.0]], ['2, k, 11', [0.203851, -0.838102, 1.0]], ['2, k, 12', [-0.191708, -0.837972, 1.0]], ['2, k, 13', [-0.218806, -1.17703, 1.0]], ['2, k, 14', [-0.219807, -1.47632, 1.0]], ['2, k, 15', [-0.21468, -1.52867, 1.0]], ['2, k, 16', [-0.0256894, -0.844621, 1.0]], ['2, k, 17', [-0.00896531, -1.161, 1.0]], ['2, k, 18', [-0.0336256, -1.48218, 1.0]], ['2, k, 19', [-0.0360325, -1.53389, 1.0]], ['2, k, 20', [-0.0733214, -0.370782, 1.0]], ['2, k, 21', [-0.273083, -0.938394, 1.0]], ['2, k, 22', [-0.234148, -0.833291, 1.0]], ['2, k, 23', [0.197513, -0.876335, 1.0]], ['2, k, 24', [0.267678, -0.851019, 1.0]]]
[['2, k, 0', [-0.110162, -0.851973, 1.0]], ['2, k, 1', [-0.0902109, -0.576201, 1.0]], ['2, k, 2', [-0.0704018, -0.301894, 1.0]], ['2, k, 3', [-0.0577267, -0.156672, 1.0]], ['2, k, 4', [-0.25396, -0.372641, 1.0]], ['2, k, 5', [-0.336355, -0.532212, 1.0]], ['2, k, 6', [-0.308029, -0.775264, 1.0]], ['2, k, 7', [-0.282784, -0.842715, 1.0]], ['2, k, 8', [0.108131, -0.384797, 1.0]], ['2, k, 9', [0.218015, -0.600216, 1.0]], ['2, k, 10', [0.223798, -0.785799, 1.0]], ['2, k, 11', [0.205501, -0.837086, 1.0]], ['2, k, 12', [-0.191908, -0.83796, 1.0]], ['2, k, 13', [-0.218778, -1.17698, 1.0]], ['2, k, 14', [-0.220151, -1.47267, 1.0]], ['2, k, 15', [-0.21519, -1.5248, 1.0]], ['2, k, 16', [-0.0257744, -0.844694, 1.0]], ['2, k, 17', [-0.00880675, -1.1616, 1.0]], ['2, k, 18', [-0.0333467, -1.47849, 1.0]], ['2, k, 19', [-0.0358116, -1.53012, 1.0]], ['2, k, 20', [-0.0753415, -0.370493, 1.0]], ['2, k, 21', [-0.273903, -0.938297, 1.0]], ['2, k, 22', [-0.236182, -0.83398, 1.0]], ['2, k, 23', [0.198116, -0.874756, 1.0]], ['2, k, 24', [0.274834, -0.850994, 1.0]]]
