[[0, -0.105413, -0.893789, 2.56936, 1.0], [1, -0.0816465, -0.597425, 2.5265, 1.0], [2, -0.0579253, -0.304022, 2.47015, 1.0], [3, -0.0386188, -0.160284, 2.44199, 1.0], [4, -0.246985, -0.370851, 2.45839, 1.0], [5, -0.334698, -0.523862, 2.48032, 1.0], [6, -0.370699, -0.761493, 2.42077, 1.0], [7, -0.383567, -0.833677, 2.40627, 1.0], [8, 0.119746, -0.398737, 2.47217, 1.0], [9, 0.217932, -0.618155, 2.50548, 1.0], [10, 0.219928, -0.807304, 2.45491, 1.0], [11, 0.208346, -0.858615, 2.42837, 1.0], [12, -0.187496, -0.875943, 2.53934, 1.0], [13, -0.279153, -1.17103, 2.45379, 1.0], [14, -0.231043, -1.64349, 2.56644, 1.0], [15, -0.139089, -1.65491, 2.51526, 1.0], [16, -0.0206192, -0.888727, 2.53353, 1.0], [17, 0.00408335, -1.19828, 2.45958, 1.0], [18, -0.044316, -1.66436, 2.59263, 1.0], [19, -0.111468, -1.71534, 2.56437, 1.0], [20, -0.0638605, -0.377009, 2.48665, 1.0], [21, -0.441335, -0.843017, 2.38504, 1.0], [22, -0.325719, -0.829501, 2.38427, 1.0], [23, 0.19136, -0.902469, 2.38723, 1.0], [24, 0.255773, -0.877802, 2.3955, 1.0]]
[[0, -0.0866899, -0.873889, 2.52133, 1.0], [1, -0.0769386, -0.591559, 2.5126, 1.0], [2, -0.0579284, -0.30385, 2.46906, 1.0], [3, -0.0390079, -0.159982, 2.43991, 1.0], [4, -0.246969, -0.370692, 2.45751, 1.0], [5, -0.334616, -0.523738, 2.47968, 1.0], [6, -0.297306, -0.764334, 2.43711, 1.0], [7, -0.273074, -0.835883, 2.43981, 1.0], [8, 0.119695, -0.398578, 2.47119, 1.0], [9, 0.217996, -0.617879, 2.50486, 1.0], [10, 0.2199, -0.806861, 2.4545, 1.0], [11, 0.208202, -0.852698, 2.42761, 1.0], [12, -0.169031, -0.856295, 2.49194, 1.0], [13, -0.291844, -1.17358, 2.50044, 1.0], [14, -0.224682, -1.65298, 2.57821, 1.0], [15, -0.121257, -1.65884, 2.45851, 1.0], [16, -0.00212019, -0.869084, 2.4861, 1.0], [17, -0.0202408, -1.20419, 2.51969, 1.0], [18, -0.0448332, -1.68772, 2.5944, 1.0], [19, -0.0429793, -1.73371, 2.45969, 1.0], [20, -0.0636255, -0.37633, 2.48456, 1.0], [21, -0.263365, -0.919307, 2.43316, 1.0], [22, -0.225398, -0.818295, 2.41378, 1.0], [23, 0.193629, -0.899026, 2.39284, 1.0], [24, 0.259494, -0.875198, 2.39497, 1.0]]
[[0, -0.104337, -0.858393, 2.51663, 1.0], [1, -0.0821503, -0.583063, 2.50505, 1.0], [2, -0.0585113, -0.303304, 2.46827, 1.0], [3, -0.0396567, -0.159631, 2.43828, 1.0], [4, -0.247014, -0.370649, 2.4568, 1.0], [5, -0.334375, -0.525299, 2.47953, 1.0], [6, -0.296984, -0.766202, 2.43661, 1.0], [7, -0.272536, -0.838117, 2.43818, 1.0], [8, 0.118802, -0.397017, 2.47049, 1.0], [9, 0.218384, -0.616103, 2.50474, 1.0], [10, 0.220645, -0.803083, 2.45421, 1.0], [11, 0.209416, -0.849926, 2.42249, 1.0], [12, -0.186213, -0.842754, 2.48575, 1.0], [13, -0.219414, -1.17782, 2.49455, 1.0], [14, -0.225773, -1.58176, 2.57535, 1.0], [15, -0.219677, -1.63519, 2.45271, 1.0], [16, -0.0199942, -0.852054, 2.48378, 1.0], [17, -0.00891219, -1.16929, 2.49566, 1.0], [18, -0.0500479, -1.58637, 2.58806, 1.0], [19, -0.0548947, -1.64251, 2.46783, 1.0], [20, -0.0648182, -0.374433, 2.48239, 1.0], [21, -0.26412, -0.924929, 2.43292, 1.0], [22, -0.225627, -0.81767, 2.41372, 1.0], [23, 0.194564, -0.894376, 2.38722, 1.0], [24, 0.260045, -0.869874, 2.3868, 1.0]]
[[0, -0.10602, -0.856336, 2.51567, 1.0], [1, -0.0840418, -0.580357, 2.50296, 1.0], [2, -0.0600198, -0.302515, 2.46821, 1.0], [3, -0.0409892, -0.159155, 2.43701, 1.0], [4, -0.247623, -0.370731, 2.45664, 1.0], [5, -0.334082, -0.526622, 2.47989, 1.0], [6, -0.29667, -0.76778, 2.43586, 1.0], [7, -0.272258, -0.841108, 2.43903, 1.0], [8, 0.117739, -0.395431, 2.47011, 1.0], [9, 0.21839, -0.614474, 2.50466, 1.0], [10, 0.221057, -0.800653, 2.45362, 1.0], [11, 0.209323, -0.846268, 2.42043, 1.0], [12, -0.187902, -0.84101, 2.4848, 1.0], [13, -0.219278, -1.17756, 2.49424, 1.0], [14, -0.224988, -1.54323, 2.56604, 1.0], [15, -0.21922, -1.59596, 2.44407, 1.0], [16, -0.0215877, -0.849956, 2.48329, 1.0], [17, -0.00909131, -1.16284, 2.49454, 1.0], [18, -0.0442681, -1.54907, 2.57664, 1.0], [19, -0.0474027, -1.60349, 2.45591, 1.0], [20, -0.0663953, -0.372904, 2.48137, 1.0], [21, -0.261867, -0.931378, 2.43257, 1.0], [22, -0.22515, -0.81815, 2.41396, 1.0], [23, 0.192972, -0.893353, 2.38492, 1.0], [24, 0.259147, -0.867066, 2.3844, 1.0]]
[[0, -0.107353, -0.854965, 2.51503, 1.0], [1, -0.0852577, -0.579295, 2.50157, 1.0], [2, -0.0612148, -0.302631, 2.46788, 1.0], [3, -0.0426314, -0.158848, 2.43658, 1.0], [4, -0.247675, -0.370726, 2.45638, 1.0], [5, -0.335055, -0.527643, 2.4792, 1.0], [6, -0.296393, -0.769079, 2.43573, 1.0], [7, -0.271131, -0.840718, 2.43936, 1.0], [8, 0.116962, -0.394475, 2.46987, 1.0], [9, 0.21858, -0.613462, 2.50478, 1.0], [10, 0.221452, -0.797552, 2.45315, 1.0], [11, 0.210275, -0.844449, 2.41678, 1.0], [12, -0.189245, -0.839785, 2.48417, 1.0], [13, -0.219235, -1.1775, 2.49404, 1.0], [14, -0.224072, -1.52007, 2.56187, 1.0], [15, -0.218366, -1.57271, 2.44063, 1.0], [16, -0.0228527, -0.848619, 2.48296, 1.0], [17, -0.00908642, -1.16178, 2.49461, 1.0], [18, -0.0404719, -1.52675, 2.56939, 1.0], [19, -0.0430159, -1.58021, 2.44874, 1.0], [20, -0.0675346, -0.372564, 2.48044, 1.0], [21, -0.260889, -0.930989, 2.43286, 1.0], [22, -0.220157, -0.826864, 2.40994, 1.0], [23, 0.191044, -0.891393, 2.38111, 1.0], [24, 0.261966, -0.863242, 2.38164, 1.0]]
[[0, -0.107924, -0.854096, 2.51446, 1.0], [1, -0.0862068, -0.578312, 2.50047, 1.0], [2, -0.0626915, -0.302407, 2.46763, 1.0], [3, -0.0450073, -0.15853, 2.43632, 1.0], [4, -0.248527, -0.370737, 2.45671, 1.0], [5, -0.334945, -0.528048, 2.47923, 1.0], [6, -0.296081, -0.76973, 2.43554, 1.0], [7, -0.271804, -0.844962, 2.43792, 1.0], [8, 0.11545, -0.392499, 2.46927, 1.0], [9, 0.21856, -0.611108, 2.50443, 1.0], [10, 0.221803, -0.794561, 2.45122, 1.0], [11, 0.209756, -0.846103, 2.41335, 1.0], [12, -0.189764, -0.839171, 2.48376, 1.0], [13, -0.219193, -1.17762, 2.4939, 1.0], [14, -0.220635, -1.50488, 2.56095, 1.0], [15, -0.214666, -1.5579, 2.44062, 1.0], [16, -0.0234508, -0.847579, 2.48243, 1.0], [17, -0.00905818, -1.16174, 2.49446, 1.0], [18, -0.0381038, -1.512, 2.56513, 1.0], [19, -0.0405645, -1.56495, 2.44473, 1.0], [20, -0.0688454, -0.371958, 2.47965, 1.0], [21, -0.260956, -0.931944, 2.43261, 1.0], [22, -0.222753, -0.824092, 2.41185, 1.0], [23, 0.192352, -0.889967, 2.38502, 1.0], [24, 0.256579, -0.861587, 2.37758, 1.0]]
[[0, -0.108599, -0.853367, 2.51414, 1.0], [1, -0.0871282, -0.577668, 2.49972, 1.0], [2, -0.064182, -0.302393, 2.46744, 1.0], [3, -0.0478113, -0.158111, 2.43566, 1.0], [4, -0.249408, -0.371292, 2.45645, 1.0], [5, -0.334944, -0.528503, 2.47887, 1.0], [6, -0.300583, -0.770809, 2.43448, 1.0], [7, -0.276053, -0.84005, 2.43973, 1.0], [8, 0.11387, -0.39025, 2.46879, 1.0], [9, 0.218331, -0.607949, 2.50322, 1.0], [10, 0.222058, -0.791936, 2.45043, 1.0], [11, 0.210267, -0.841874, 2.41312, 1.0], [12, -0.190327, -0.838845, 2.48355, 1.0], [13, -0.219139, -1.17753, 2.49379, 1.0], [14, -0.220543, -1.49471, 2.55809, 1.0], [15, -0.214736, -1.54736, 2.43801, 1.0], [16, -0.0242441, -0.846384, 2.48215, 1.0], [17, -0.0090077, -1.16135, 2.49449, 1.0], [18, -0.0363288, -1.50096, 2.56243, 1.0], [19, -0.0385885, -1.5536, 2.4423, 1.0], [20, -0.0701255, -0.371627, 2.47905, 1.0], [21, -0.267466, -0.931558, 2.43328, 1.0], [22, -0.224438, -0.828923, 2.41122, 1.0], [23, 0.194925, -0.88805, 2.38015, 1.0], [24, 0.25958, -0.857737, 2.3764, 1.0]]
[[0, -0.109206, -0.85251, 2.51374, 1.0], [1, -0.0880099, -0.576947, 2.49903, 1.0], [2, -0.0655949, -0.302257, 2.46728, 1.0], [3, -0.0501095, -0.157558, 2.43517, 1.0], [4, -0.250664, -0.371748, 2.45623, 1.0], [5, -0.334673, -0.528846, 2.47857, 1.0], [6, -0.299083, -0.771179, 2.43463, 1.0], [7, -0.274854, -0.843392, 2.43838, 1.0], [8, 0.112154, -0.388165, 2.46796, 1.0], [9, 0.217779, -0.606113, 2.50216, 1.0], [10, 0.221636, -0.790675, 2.44919, 1.0], [11, 0.210277, -0.841246, 2.40905, 1.0], [12, -0.190823, -0.838419, 2.48328, 1.0], [13, -0.219088, -1.178, 2.49349, 1.0], [14, -0.220532, -1.4869, 2.55645, 1.0], [15, -0.215007, -1.53948, 2.43675, 1.0], [16, -0.0249338, -0.845071, 2.48176, 1.0], [17, -0.00895609, -1.16112, 2.49422, 1.0], [18, -0.0349992, -1.49253, 2.55971, 1.0], [19, -0.0372268, -1.54479, 2.43975, 1.0], [20, -0.0713561, -0.371219, 2.47854, 1.0], [21, -0.265154, -0.931244, 2.43244, 1.0], [22, -0.22532, -0.823695, 2.41191, 1.0], [23, 0.198971, -0.885693, 2.37877, 1.0], [24, 0.258337, -0.853381, 2.3768, 1.0]]
[[0, -0.109814, -0.851816, 2.51342, 1.0], [1, -0.0887893, -0.576236, 2.49847, 1.0], [2, -0.0666418, -0.301899, 2.46716, 1.0], [3, -0.0526919, -0.1567, 2.43477, 1.0], [4, -0.251434, -0.37185, 2.45607, 1.0], [5, -0.335541, -0.529207, 2.47752, 1.0], [6, -0.305902, -0.772372, 2.43411, 1.0], [7, -0.280588, -0.843675, 2.43859, 1.0], [8, 0.110932, -0.387223, 2.46707, 1.0], [9, 0.218355, -0.603879, 2.50171, 1.0], [10, 0.222908, -0.788085, 2.44786, 1.0], [11, 0.211707, -0.834766, 2.40883, 1.0], [12, -0.191415, -0.837917, 2.48292, 1.0], [13, -0.218834, -1.17709, 2.49346, 1.0], [14, -0.21961, -1.48065, 2.55613, 1.0], [15, -0.214207, -1.53334, 2.43687, 1.0], [16, -0.0255305, -0.844278, 2.4816, 1.0], [17, -0.0089874, -1.1607, 2.49413, 1.0], [18, -0.0342989, -1.48623, 2.55826, 1.0], [19, -0.0366382, -1.53831, 2.43853, 1.0], [20, -0.0723348, -0.370672, 2.47815, 1.0], [21, -0.272863, -0.937631, 2.43248, 1.0], [22, -0.232117, -0.833306, 2.411, 1.0], [23, 0.190492, -0.873395, 2.38296, 1.0], [24, 0.254199, -0.85076, 2.36743, 1.0]]
[[0, -0.110027, -0.851961, 2.51308, 1.0], [1, -0.08932, -0.576334, 2.498, 1.0], [2, -0.0678811, -0.302123, 2.46705, 1.0], [3, -0.0552161, -0.156708, 2.43402, 1.0], [4, -0.252584, -0.372236, 2.45592, 1.0], [5, -0.336248, -0.530298, 2.47761, 1.0], [6, -0.306918, -0.773467, 2.4335, 1.0], [7, -0.282463, -0.843443, 2.43843, 1.0], [8, 0.109527, -0.386072, 2.46631, 1.0], [9, 0.218157, -0.602475, 2.50133, 1.0], [10, 0.223561, -0.786797, 2.44673, 1.0], [11, 0.203851, -0.838102, 2.40317, 1.0], [12, -0.191708, -0.837972, 2.48263, 1.0], [13, -0.218806, -1.17703, 2.4935, 1.0], [14, -0.219807, -1.47632, 2.55451, 1.0], [15, -0.21468, -1.52867, 2.43531, 1.0], [16, -0.0256894, -0.844621, 2.48127, 1.0], [17, -0.00896531, -1.161, 2.49421, 1.0], [18, -0.0336256, -1.48218, 2.55669, 1.0], [19, -0.0360325, -1.53389, 2.43704, 1.0], [20, -0.0733214, -0.370782, 2.4778, 1.0], [21, -0.273083, -0.938394, 2.43447, 1.0], [22, -0.234148, -0.833291, 2.4133, 1.0], [23, 0.197513, -0.876335, 2.37177, 1.0], [24, 0.267678, -0.851019, 2.36611, 1.0]]
[[0, -0.110162, -0.851973, 2.51283, 1.0], [1, -0.0902109, -0.576201, 2.49753, 1.0], [2, -0.0704018, -0.301894, 2.46696, 1.0], [3, -0.0577267, -0.156672, 2.43321, 1.0], [4, -0.25396, -0.372641, 2.45545, 1.0], [5, -0.336355, -0.532212, 2.47958, 1.0], [6, -0.308029, -0.775264, 2.43324, 1.0], [7, -0.282784, -0.842715, 2.43757, 1.0], [8, 0.108131, -0.384797, 2.4657, 1.0], [9, 0.218015, -0.600216, 2.50054, 1.0], [10, 0.223798, -0.785799, 2.44498, 1.0], [11, 0.205501, -0.837086, 2.39946, 1.0], [12, -0.191908, -0.83796, 2.4824, 1.0], [13, -0.218778, -1.17698, 2.49337, 1.0], [14, -0.220151, -1.47267, 2.55324, 1.0], [15, -0.21519, -1.5248, 2.43416, 1.0], [16, -0.0257744, -0.844694, 2.48105, 1.0], [17, -0.00880675, -1.1616, 2.49411, 1.0], [18, -0.0333467, -1.47849, 2.55582, 1.0], [19, -0.0358116, -1.53012, 2.43638, 1.0], [20, -0.0753415, -0.370493, 2.47742, 1.0], [21, -0.273903, -0.938297, 2.43308, 1.0], [22, -0.236182, -0.83398, 2.41063, 1.0], [23, 0.198116, -0.874756, 2.36742, 1.0], [24, 0.274834, -0.850994, 2.36313, 1.0]]
