[['2, k, 0', [0.201799, -0.707291, 1.0]], ['2, k, 1', [0.192631, -0.403676, 1.0]], ['2, k, 2', [0.182668, -0.105515, 1.0]], ['2, k, 3', [0.188273, 0.0219231, 1.0]], ['2, k, 4', [0.0430949, -0.24672, 1.0]], ['2, k, 5', [0.0392741, -0.535566, 1.0]], ['2, k, 6', [0.168732, -0.365362, 1.0]], ['2, k, 7', [0.212005, -0.309417, 1.0]], ['2, k, 8', [0.342726, -0.239584, 1.0]], ['2, k, 9', [0.5178, -0.177194, 1.0]], ['2, k, 10', [0.301951, -0.150257, 1.0]], ['2, k, 11', [0.34261, -0.122671, 1.0]], ['2, k, 12', [0.130679, -0.699065, 1.0]], ['2, k, 13', [0.0223732, -1.00866, 1.0]], ['2, k, 14', [0.0220822, -1.26293, 1.0]], ['2, k, 15', [0.0172448, -1.33938, 1.0]], ['2, k, 16', [0.267306, -0.695841, 1.0]], ['2, k, 17', [0.406398, -0.985615, 1.0]], ['2, k, 18', [0.356165, -1.13874, 1.0]], ['2, k, 19', [0.392624, -1.21469, 1.0]], ['2, k, 20', [0.185307, -0.179375, 1.0]], ['2, k, 21', [0.211028, -0.307991, 1.0]], ['2, k, 22', [0.209753, -0.30613, 1.0]], ['2, k, 23', [0.331504, -0.122416, 1.0]], ['2, k, 24', [0.265052, -0.122566, 1.0]]]
[['2, k, 0', [0.193925, -0.679938, 1.0]], ['2, k, 1', [0.190475, -0.396931, 1.0]], ['2, k, 2', [0.182603, -0.105558, 1.0]], ['2, k, 3', [0.188107, 0.0217389, 1.0]], ['2, k, 4', [0.0431634, -0.246533, 1.0]], ['2, k, 5', [0.0405803, -0.533268, 1.0]], ['2, k, 6', [0.100689, -0.350462, 1.0]], ['2, k, 7', [0.120821, -0.290293, 1.0]], ['2, k, 8', [0.34264, -0.23962, 1.0]], ['2, k, 9', [0.512982, -0.174033, 1.0]], ['2, k, 10', [0.398924, -0.150553, 1.0]], ['2, k, 11', [0.384647, -0.12363, 1.0]], ['2, k, 12', [0.122913, -0.671214, 1.0]], ['2, k, 13', [0.0488792, -0.942959, 1.0]], ['2, k, 14', [0.00993246, -1.29136, 1.0]], ['2, k, 15', [-0.0071771, -1.35507, 1.0]], ['2, k, 16', [0.259509, -0.669622, 1.0]], ['2, k, 17', [0.334726, -1.01983, 1.0]], ['2, k, 18', [0.378989, -1.2616, 1.0]], ['2, k, 19', [0.386225, -1.15552, 1.0]], ['2, k, 20', [0.185087, -0.179074, 1.0]], ['2, k, 21', [0.120262, -0.28895, 1.0]], ['2, k, 22', [0.119534, -0.2872, 1.0]], ['2, k, 23', [0.335666, -0.123081, 1.0]], ['2, k, 24', [0.313367, -0.121628, 1.0]]]
[['2, k, 0', [0.194612, -0.680071, 1.0]], ['2, k, 1', [0.191836, -0.396131, 1.0]], ['2, k, 2', [0.184306, -0.107694, 1.0]], ['2, k, 3', [0.187843, 0.0214798, 1.0]], ['2, k, 4', [0.0432372, -0.246756, 1.0]], ['2, k, 5', [0.0331664, -0.531259, 1.0]], ['2, k, 6', [0.131046, -0.357816, 1.0]], ['2, k, 7', [0.16377, -0.300768, 1.0]], ['2, k, 8', [0.342729, -0.239961, 1.0]], ['2, k, 9', [0.511399, -0.174129, 1.0]], ['2, k, 10', [0.374284, -0.142031, 1.0]], ['2, k, 11', [0.349976, -0.123394, 1.0]], ['2, k, 12', [0.123645, -0.671495, 1.0]], ['2, k, 13', [0.0632699, -0.99393, 1.0]], ['2, k, 14', [0.00899108, -1.33606, 1.0]], ['2, k, 15', [-0.0129067, -1.3977, 1.0]], ['2, k, 16', [0.260165, -0.669711, 1.0]], ['2, k, 17', [0.341992, -0.936005, 1.0]], ['2, k, 18', [0.375632, -1.18539, 1.0]], ['2, k, 19', [0.382695, -1.259, 1.0]], ['2, k, 20', [0.186682, -0.180292, 1.0]], ['2, k, 21', [0.163023, -0.299396, 1.0]], ['2, k, 22', [0.162049, -0.297606, 1.0]], ['2, k, 23', [0.296502, -0.123215, 1.0]], ['2, k, 24', [0.279563, -0.120846, 1.0]]]
[['2, k, 0', [0.195194, -0.680323, 1.0]], ['2, k, 1', [0.191788, -0.395544, 1.0]], ['2, k, 2', [0.184227, -0.107727, 1.0]], ['2, k, 3', [0.187551, 0.021404, 1.0]], ['2, k, 4', [0.0432343, -0.246637, 1.0]], ['2, k, 5', [0.0306555, -0.529674, 1.0]], ['2, k, 6', [0.12946, -0.357394, 1.0]], ['2, k, 7', [0.162489, -0.30073, 1.0]], ['2, k, 8', [0.342647, -0.239949, 1.0]], ['2, k, 9', [0.508939, -0.173616, 1.0]], ['2, k, 10', [0.36182, -0.14331, 1.0]], ['2, k, 11', [0.346701, -0.122141, 1.0]], ['2, k, 12', [0.124243, -0.671802, 1.0]], ['2, k, 13', [0.0633444, -0.993862, 1.0]], ['2, k, 14', [0.00907042, -1.33476, 1.0]], ['2, k, 15', [-0.0127513, -1.39546, 1.0]], ['2, k, 16', [0.26073, -0.669951, 1.0]], ['2, k, 17', [0.342027, -0.935715, 1.0]], ['2, k, 18', [0.375597, -1.18425, 1.0]], ['2, k, 19', [0.382414, -1.2568, 1.0]], ['2, k, 20', [0.18652, -0.180129, 1.0]], ['2, k, 21', [0.16175, -0.299362, 1.0]], ['2, k, 22', [0.159055, -0.296969, 1.0]], ['2, k, 23', [0.296315, -0.123579, 1.0]], ['2, k, 24', [0.279428, -0.120787, 1.0]]]
[['2, k, 0', [0.195651, -0.680464, 1.0]], ['2, k, 1', [0.191775, -0.395253, 1.0]], ['2, k, 2', [0.184161, -0.107782, 1.0]], ['2, k, 3', [0.186878, 0.0215702, 1.0]], ['2, k, 4', [0.043128, -0.246512, 1.0]], ['2, k, 5', [0.220028, -0.439324, 1.0]], ['2, k, 6', [0.242835, -0.270707, 1.0]], ['2, k, 7', [0.250813, -0.215138, 1.0]], ['2, k, 8', [0.342563, -0.239959, 1.0]], ['2, k, 9', [0.503516, -0.174979, 1.0]], ['2, k, 10', [0.362432, -0.144573, 1.0]], ['2, k, 11', [0.342562, -0.121116, 1.0]], ['2, k, 12', [0.12467, -0.671965, 1.0]], ['2, k, 13', [0.0634879, -0.994016, 1.0]], ['2, k, 14', [0.00924503, -1.33419, 1.0]], ['2, k, 15', [-0.0126076, -1.39428, 1.0]], ['2, k, 16', [0.261267, -0.670113, 1.0]], ['2, k, 17', [0.342092, -0.935665, 1.0]], ['2, k, 18', [0.375862, -1.18354, 1.0]], ['2, k, 19', [0.382543, -1.25567, 1.0]], ['2, k, 20', [0.186418, -0.180044, 1.0]], ['2, k, 21', [0.249623, -0.214117, 1.0]], ['2, k, 22', [0.248071, -0.212786, 1.0]], ['2, k, 23', [0.287507, -0.122857, 1.0]], ['2, k, 24', [0.280971, -0.131253, 1.0]]]
[['2, k, 0', [0.195955, -0.680581, 1.0]], ['2, k, 1', [0.191695, -0.395041, 1.0]], ['2, k, 2', [0.183979, -0.107951, 1.0]], ['2, k, 3', [0.186459, 0.0220858, 1.0]], ['2, k, 4', [0.0430608, -0.246435, 1.0]], ['2, k, 5', [0.216679, -0.435667, 1.0]], ['2, k, 6', [0.242073, -0.271303, 1.0]], ['2, k, 7', [0.250908, -0.217149, 1.0]], ['2, k, 8', [0.342344, -0.239669, 1.0]], ['2, k, 9', [0.499502, -0.175807, 1.0]], ['2, k, 10', [0.361827, -0.145366, 1.0]], ['2, k, 11', [0.346363, -0.117117, 1.0]], ['2, k, 12', [0.125058, -0.67225, 1.0]], ['2, k, 13', [0.063575, -0.994269, 1.0]], ['2, k, 14', [0.00922184, -1.33409, 1.0]], ['2, k, 15', [-0.0125659, -1.39342, 1.0]], ['2, k, 16', [0.261491, -0.670132, 1.0]], ['2, k, 17', [0.342042, -0.935616, 1.0]], ['2, k, 18', [0.375788, -1.18328, 1.0]], ['2, k, 19', [0.382255, -1.25459, 1.0]], ['2, k, 20', [0.18621, -0.180019, 1.0]], ['2, k, 21', [0.25021, -0.215896, 1.0]], ['2, k, 22', [0.248141, -0.214101, 1.0]], ['2, k, 23', [0.285065, -0.118534, 1.0]], ['2, k, 24', [0.296618, -0.111903, 1.0]]]
[['2, k, 0', [0.196319, -0.680788, 1.0]], ['2, k, 1', [0.191589, -0.394906, 1.0]], ['2, k, 2', [0.183657, -0.108095, 1.0]], ['2, k, 3', [0.185186, 0.023339, 1.0]], ['2, k, 4', [0.0429264, -0.246288, 1.0]], ['2, k, 5', [0.212976, -0.434123, 1.0]], ['2, k, 6', [0.193251, -0.27262, 1.0]], ['2, k, 7', [0.105669, -0.276893, 1.0]], ['2, k, 8', [0.342104, -0.239416, 1.0]], ['2, k, 9', [0.497332, -0.176239, 1.0]], ['2, k, 10', [0.362154, -0.145381, 1.0]], ['2, k, 11', [0.343503, -0.117137, 1.0]], ['2, k, 12', [0.125434, -0.672548, 1.0]], ['2, k, 13', [0.0638099, -0.99469, 1.0]], ['2, k, 14', [0.00966667, -1.33423, 1.0]], ['2, k, 15', [-0.0121384, -1.39328, 1.0]], ['2, k, 16', [0.261826, -0.670258, 1.0]], ['2, k, 17', [0.341949, -0.935199, 1.0]], ['2, k, 18', [0.375775, -1.18299, 1.0]], ['2, k, 19', [0.381915, -1.25325, 1.0]], ['2, k, 20', [0.185899, -0.179987, 1.0]], ['2, k, 21', [0.105187, -0.275629, 1.0]], ['2, k, 22', [0.104558, -0.273981, 1.0]], ['2, k, 23', [0.295576, -0.117748, 1.0]], ['2, k, 24', [0.264029, -0.122111, 1.0]]]
[['2, k, 0', [0.19676, -0.681059, 1.0]], ['2, k, 1', [0.191562, -0.394813, 1.0]], ['2, k, 2', [0.183517, -0.10816, 1.0]], ['2, k, 3', [0.184912, 0.0237641, 1.0]], ['2, k, 4', [0.0428546, -0.246105, 1.0]], ['2, k, 5', [0.21124, -0.432185, 1.0]], ['2, k, 6', [0.192591, -0.273223, 1.0]], ['2, k, 7', [0.1042, -0.277601, 1.0]], ['2, k, 8', [0.341919, -0.239162, 1.0]], ['2, k, 9', [0.495028, -0.176526, 1.0]], ['2, k, 10', [0.362342, -0.145332, 1.0]], ['2, k, 11', [0.347838, -0.117158, 1.0]], ['2, k, 12', [0.125934, -0.672958, 1.0]], ['2, k, 13', [0.063849, -0.995304, 1.0]], ['2, k, 14', [0.00948774, -1.33483, 1.0]], ['2, k, 15', [-0.0123414, -1.39318, 1.0]], ['2, k, 16', [0.26219, -0.670413, 1.0]], ['2, k, 17', [0.341705, -0.935211, 1.0]], ['2, k, 18', [0.376035, -1.1829, 1.0]], ['2, k, 19', [0.382167, -1.25258, 1.0]], ['2, k, 20', [0.185763, -0.179938, 1.0]], ['2, k, 21', [0.103725, -0.276337, 1.0]], ['2, k, 22', [0.104065, -0.27422, 1.0]], ['2, k, 23', [0.293986, -0.11799, 1.0]], ['2, k, 24', [0.272444, -0.121643, 1.0]]]
[['2, k, 0', [0.197021, -0.681237, 1.0]], ['2, k, 1', [0.191558, -0.39474, 1.0]], ['2, k, 2', [0.183517, -0.108173, 1.0]], ['2, k, 3', [0.184677, 0.0238188, 1.0]], ['2, k, 4', [0.0426601, -0.246035, 1.0]], ['2, k, 5', [0.209848, -0.43091, 1.0]], ['2, k, 6', [0.192112, -0.273845, 1.0]], ['2, k, 7', [0.100542, -0.127758, 1.0]], ['2, k, 8', [0.341919, -0.239105, 1.0]], ['2, k, 9', [0.492229, -0.176315, 1.0]], ['2, k, 10', [0.361315, -0.144783, 1.0]], ['2, k, 11', [0.316105, -0.118585, 1.0]], ['2, k, 12', [0.126243, -0.673262, 1.0]], ['2, k, 13', [0.0637035, -0.996108, 1.0]], ['2, k, 14', [0.00960709, -1.33555, 1.0]], ['2, k, 15', [-0.0113771, -1.39085, 1.0]], ['2, k, 16', [0.262385, -0.670494, 1.0]], ['2, k, 17', [0.341566, -0.935153, 1.0]], ['2, k, 18', [0.37581, -1.18284, 1.0]], ['2, k, 19', [0.381298, -1.24898, 1.0]], ['2, k, 20', [0.18576, -0.179909, 1.0]], ['2, k, 21', [0.0417724, -0.126405, 1.0]], ['2, k, 22', [0.0660665, -0.127258, 1.0]], ['2, k, 23', [0.254977, -0.12265, 1.0]], ['2, k, 24', [0.245112, -0.120359, 1.0]]]
[['2, k, 0', [0.197245, -0.681246, 1.0]], ['2, k, 1', [0.19149, -0.394605, 1.0]], ['2, k, 2', [0.183457, -0.108208, 1.0]], ['2, k, 3', [0.184088, 0.0237763, 1.0]], ['2, k, 4', [0.0424329, -0.245752, 1.0]], ['2, k, 5', [0.151865, -0.332153, 1.0]], ['2, k, 6', [0.161549, -0.187882, 1.0]], ['2, k, 7', [0.0901537, -0.128697, 1.0]], ['2, k, 8', [0.341746, -0.23898, 1.0]], ['2, k, 9', [0.363231, -0.18244, 1.0]], ['2, k, 10', [0.206569, -0.144677, 1.0]], ['2, k, 11', [0.217845, -0.125523, 1.0]], ['2, k, 12', [0.126533, -0.674105, 1.0]], ['2, k, 13', [0.063576, -0.996344, 1.0]], ['2, k, 14', [0.00962165, -1.33562, 1.0]], ['2, k, 15', [-0.0107575, -1.38826, 1.0]], ['2, k, 16', [0.262579, -0.6698, 1.0]], ['2, k, 17', [0.341244, -0.934582, 1.0]], ['2, k, 18', [0.373087, -1.182, 1.0]], ['2, k, 19', [0.377172, -1.24629, 1.0]], ['2, k, 20', [0.185708, -0.179891, 1.0]], ['2, k, 21', [0.0268455, -0.129013, 1.0]], ['2, k, 22', [0.0979933, -0.129522, 1.0]], ['2, k, 23', [0.157078, -0.125423, 1.0]], ['2, k, 24', [0.175515, -0.131319, 1.0]]]
[['2, k, 0', [0.197217, -0.681736, 1.0]], ['2, k, 1', [0.1914, -0.394612, 1.0]], ['2, k, 2', [0.183315, -0.108362, 1.0]], ['2, k, 3', [0.18341, 0.0235327, 1.0]], ['2, k, 4', [0.0423684, -0.245461, 1.0]], ['2, k, 5', [0.150095, -0.336591, 1.0]], ['2, k, 6', [0.114686, -0.1915, 1.0]], ['2, k, 7', [0.0713889, -0.130036, 1.0]], ['2, k, 8', [0.341642, -0.239034, 1.0]], ['2, k, 9', [0.363953, -0.182318, 1.0]], ['2, k, 10', [0.197987, -0.146221, 1.0]], ['2, k, 11', [0.211014, -0.126462, 1.0]], ['2, k, 12', [0.126415, -0.675013, 1.0]], ['2, k, 13', [0.0633745, -0.996823, 1.0]], ['2, k, 14', [0.0095646, -1.33581, 1.0]], ['2, k, 15', [-0.0102514, -1.38651, 1.0]], ['2, k, 16', [0.262628, -0.669899, 1.0]], ['2, k, 17', [0.341108, -0.93441, 1.0]], ['2, k, 18', [0.372448, -1.18169, 1.0]], ['2, k, 19', [0.376013, -1.24374, 1.0]], ['2, k, 20', [0.185591, -0.179948, 1.0]], ['2, k, 21', [0.017255, -0.12947, 1.0]], ['2, k, 22', [0.132099, -0.125832, 1.0]], ['2, k, 23', [0.151613, -0.127402, 1.0]], ['2, k, 24', [0.125962, -0.137229, 1.0]]]
