[['2, k, 0', [-0.202251, -0.380884, 1.0]], ['2, k, 1', [-0.194261, -0.0908986, 1.0]], ['2, k, 2', [-0.185236, 0.192871, 1.0]], ['2, k, 3', [-0.165187, 0.32103, 1.0]], ['2, k, 4', [-0.296148, 0.184531, 1.0]], ['2, k, 5', [-0.346677, 0.0684936, 1.0]], ['2, k, 6', [-0.300936, 0.0790668, 1.0]], ['2, k, 7', [-0.256016, 0.0732451, 1.0]], ['2, k, 8', [-0.00919318, 0.0799135, 1.0]], ['2, k, 9', [0.168117, 0.123374, 1.0]], ['2, k, 10', [0.263262, 0.0586536, 1.0]], ['2, k, 11', [0.295231, 0.0754757, 1.0]], ['2, k, 12', [-0.264831, -0.351811, 1.0]], ['2, k, 13', [-0.256191, -0.659609, 1.0]], ['2, k, 14', [-0.247063, -1.03163, 1.0]], ['2, k, 15', [-0.224086, -1.09751, 1.0]], ['2, k, 16', [-0.134059, -0.399341, 1.0]], ['2, k, 17', [-0.109295, -0.706295, 1.0]], ['2, k, 18', [-0.116708, -1.086, 1.0]], ['2, k, 19', [-0.120732, -1.10812, 1.0]], ['2, k, 20', [-0.187678, 0.122859, 1.0]], ['2, k, 21', [-0.235535, 0.068531, 1.0]], ['2, k, 22', [-0.224412, 0.103264, 1.0]], ['2, k, 23', [0.311602, 0.0700489, 1.0]], ['2, k, 24', [0.333598, 0.0905732, 1.0]]]
[['2, k, 0', [-0.215932, -0.383777, 1.0]], ['2, k, 1', [-0.196673, -0.0913616, 1.0]], ['2, k, 2', [-0.184893, 0.192954, 1.0]], ['2, k, 3', [-0.165211, 0.320966, 1.0]], ['2, k, 4', [-0.296157, 0.184602, 1.0]], ['2, k, 5', [-0.337123, 0.0739265, 1.0]], ['2, k, 6', [-0.22987, 0.0637233, 1.0]], ['2, k, 7', [-0.20172, 0.0790314, 1.0]], ['2, k, 8', [-0.00837108, 0.0802458, 1.0]], ['2, k, 9', [0.18371, 0.110892, 1.0]], ['2, k, 10', [0.303976, 0.0472841, 1.0]], ['2, k, 11', [0.322731, 0.0803647, 1.0]], ['2, k, 12', [-0.280442, -0.355452, 1.0]], ['2, k, 13', [-0.262068, -0.615674, 1.0]], ['2, k, 14', [-0.253664, -1.05607, 1.0]], ['2, k, 15', [-0.218862, -1.11167, 1.0]], ['2, k, 16', [-0.145569, -0.40147, 1.0]], ['2, k, 17', [-0.109202, -0.67799, 1.0]], ['2, k, 18', [-0.111674, -1.08259, 1.0]], ['2, k, 19', [-0.142004, -1.11575, 1.0]], ['2, k, 20', [-0.187638, 0.122871, 1.0]], ['2, k, 21', [-0.17486, 0.076363, 1.0]], ['2, k, 22', [-0.147159, 0.0700086, 1.0]], ['2, k, 23', [0.345245, 0.0790578, 1.0]], ['2, k, 24', [0.360001, 0.0790562, 1.0]]]
[['2, k, 0', [-0.175444, -0.371347, 1.0]], ['2, k, 1', [-0.185636, -0.082578, 1.0]], ['2, k, 2', [-0.185039, 0.196627, 1.0]], ['2, k, 3', [-0.164778, 0.321199, 1.0]], ['2, k, 4', [-0.290423, 0.180967, 1.0]], ['2, k, 5', [-0.318877, 0.0682274, 1.0]], ['2, k, 6', [-0.208374, 0.0830775, 1.0]], ['2, k, 7', [-0.170508, 0.0854451, 1.0]], ['2, k, 8', [-0.00370912, 0.0804157, 1.0]], ['2, k, 9', [0.194517, 0.12114, 1.0]], ['2, k, 10', [0.345106, 0.0735359, 1.0]], ['2, k, 11', [0.354261, 0.0906282, 1.0]], ['2, k, 12', [-0.238052, -0.344299, 1.0]], ['2, k, 13', [-0.296326, -0.578803, 1.0]], ['2, k, 14', [-0.250276, -1.03321, 1.0]], ['2, k, 15', [-0.222604, -1.11011, 1.0]], ['2, k, 16', [-0.107898, -0.38786, 1.0]], ['2, k, 17', [-0.12525, -0.697303, 1.0]], ['2, k, 18', [-0.119144, -1.05334, 1.0]], ['2, k, 19', [-0.138518, -1.10593, 1.0]], ['2, k, 20', [-0.186665, 0.12705, 1.0]], ['2, k, 21', [-0.136201, 0.0839805, 1.0]], ['2, k, 22', [-0.136432, 0.0583234, 1.0]], ['2, k, 23', [0.375784, 0.0875257, 1.0]], ['2, k, 24', [0.406491, 0.0894726, 1.0]]]
[['2, k, 0', [-0.175242, -0.370698, 1.0]], ['2, k, 1', [-0.18444, -0.0792428, 1.0]], ['2, k, 2', [-0.186272, 0.204437, 1.0]], ['2, k, 3', [-0.164002, 0.323575, 1.0]], ['2, k, 4', [-0.290067, 0.181431, 1.0]], ['2, k, 5', [-0.317925, 0.0678529, 1.0]], ['2, k, 6', [-0.186732, 0.0826283, 1.0]], ['2, k, 7', [-0.12728, 0.0915755, 1.0]], ['2, k, 8', [-0.00315138, 0.0802378, 1.0]], ['2, k, 9', [0.210143, 0.0941323, 1.0]], ['2, k, 10', [0.359939, 0.0944923, 1.0]], ['2, k, 11', [0.368372, 0.100326, 1.0]], ['2, k, 12', [-0.237816, -0.343247, 1.0]], ['2, k, 13', [-0.301211, -0.595717, 1.0]], ['2, k, 14', [-0.246634, -1.06313, 1.0]], ['2, k, 15', [-0.221935, -1.11214, 1.0]], ['2, k, 16', [-0.107749, -0.387534, 1.0]], ['2, k, 17', [-0.139484, -0.68484, 1.0]], ['2, k, 18', [-0.124964, -1.05383, 1.0]], ['2, k, 19', [-0.143012, -1.10643, 1.0]], ['2, k, 20', [-0.186694, 0.134184, 1.0]], ['2, k, 21', [-0.0908455, 0.0902049, 1.0]], ['2, k, 22', [-0.0703481, 0.0816817, 1.0]], ['2, k, 23', [0.386895, 0.0973856, 1.0]], ['2, k, 24', [0.415112, 0.0970898, 1.0]]]
[['2, k, 0', [-0.174409, -0.369424, 1.0]], ['2, k, 1', [-0.184093, -0.0766615, 1.0]], ['2, k, 2', [-0.189105, 0.208629, 1.0]], ['2, k, 3', [-0.162646, 0.325582, 1.0]], ['2, k, 4', [-0.290569, 0.184508, 1.0]], ['2, k, 5', [-0.300207, 0.0756407, 1.0]], ['2, k, 6', [-0.132154, 0.0871634, 1.0]], ['2, k, 7', [-0.0884686, 0.0969858, 1.0]], ['2, k, 8', [-0.000434185, 0.078268, 1.0]], ['2, k, 9', [0.210357, 0.118451, 1.0]], ['2, k, 10', [0.369335, 0.0986251, 1.0]], ['2, k, 11', [0.388394, 0.109955, 1.0]], ['2, k, 12', [-0.236645, -0.340876, 1.0]], ['2, k, 13', [-0.296854, -0.587551, 1.0]], ['2, k, 14', [-0.20654, -1.05243, 1.0]], ['2, k, 15', [-0.221278, -1.1102, 1.0]], ['2, k, 16', [-0.107168, -0.386994, 1.0]], ['2, k, 17', [-0.13259, -0.682944, 1.0]], ['2, k, 18', [-0.12194, -1.04933, 1.0]], ['2, k, 19', [-0.146853, -1.10726, 1.0]], ['2, k, 20', [-0.188478, 0.138198, 1.0]], ['2, k, 21', [-0.0538019, 0.0969831, 1.0]], ['2, k, 22', [-0.0610139, 0.128884, 1.0]], ['2, k, 23', [0.418004, 0.107945, 1.0]], ['2, k, 24', [0.329399, 0.105484, 1.0]]]
[['2, k, 0', [-0.173877, -0.368784, 1.0]], ['2, k, 1', [-0.183186, -0.0766491, 1.0]], ['2, k, 2', [-0.188566, 0.208156, 1.0]], ['2, k, 3', [-0.160873, 0.327224, 1.0]], ['2, k, 4', [-0.290475, 0.185419, 1.0]], ['2, k, 5', [-0.273231, 0.0660428, 1.0]], ['2, k, 6', [-0.128767, 0.0897414, 1.0]], ['2, k, 7', [-0.0439705, 0.101288, 1.0]], ['2, k, 8', [0.00175817, 0.0754699, 1.0]], ['2, k, 9', [0.216545, 0.0915485, 1.0]], ['2, k, 10', [0.389683, 0.11063, 1.0]], ['2, k, 11', [0.406045, 0.120114, 1.0]], ['2, k, 12', [-0.235838, -0.33946, 1.0]], ['2, k, 13', [-0.268482, -0.626457, 1.0]], ['2, k, 14', [-0.206945, -1.05173, 1.0]], ['2, k, 15', [-0.221918, -1.10994, 1.0]], ['2, k, 16', [-0.106784, -0.386829, 1.0]], ['2, k, 17', [-0.134095, -0.681958, 1.0]], ['2, k, 18', [-0.125911, -1.0492, 1.0]], ['2, k, 19', [-0.146972, -1.10751, 1.0]], ['2, k, 20', [-0.187796, 0.137826, 1.0]], ['2, k, 21', [-0.00905248, 0.102935, 1.0]], ['2, k, 22', [0.024722, 0.100399, 1.0]], ['2, k, 23', [0.433668, 0.122547, 1.0]], ['2, k, 24', [0.360716, 0.117287, 1.0]]]
[['2, k, 0', [-0.172213, -0.365026, 1.0]], ['2, k, 1', [-0.17918, -0.0732273, 1.0]], ['2, k, 2', [-0.183007, 0.210981, 1.0]], ['2, k, 3', [-0.158143, 0.327814, 1.0]], ['2, k, 4', [-0.289083, 0.183668, 1.0]], ['2, k, 5', [-0.23846, 0.0647896, 1.0]], ['2, k, 6', [-0.0614363, 0.097683, 1.0]], ['2, k, 7', [-0.0143115, 0.104331, 1.0]], ['2, k, 8', [0.00897937, 0.059231, 1.0]], ['2, k, 9', [0.219969, 0.104589, 1.0]], ['2, k, 10', [0.404262, 0.116269, 1.0]], ['2, k, 11', [0.41693, 0.130786, 1.0]], ['2, k, 12', [-0.233345, -0.333961, 1.0]], ['2, k, 13', [-0.271615, -0.628496, 1.0]], ['2, k, 14', [-0.238875, -1.05249, 1.0]], ['2, k, 15', [-0.221661, -1.11013, 1.0]], ['2, k, 16', [-0.105856, -0.384702, 1.0]], ['2, k, 17', [-0.135817, -0.679767, 1.0]], ['2, k, 18', [-0.127274, -1.04914, 1.0]], ['2, k, 19', [-0.147012, -1.1075, 1.0]], ['2, k, 20', [-0.182305, 0.140965, 1.0]], ['2, k, 21', [0.0272438, 0.110155, 1.0]], ['2, k, 22', [0.0207086, 0.0816951, 1.0]], ['2, k, 23', [0.448512, 0.13563, 1.0]], ['2, k, 24', [0.367405, 0.126578, 1.0]]]
[['2, k, 0', [-0.172681, -0.359855, 1.0]], ['2, k, 1', [-0.176978, -0.0699706, 1.0]], ['2, k, 2', [-0.177983, 0.213593, 1.0]], ['2, k, 3', [-0.155513, 0.328495, 1.0]], ['2, k, 4', [-0.288421, 0.18287, 1.0]], ['2, k, 5', [-0.194927, 0.0816204, 1.0]], ['2, k, 6', [-0.0108383, 0.100843, 1.0]], ['2, k, 7', [0.0361005, 0.109192, 1.0]], ['2, k, 8', [0.0121151, 0.0562743, 1.0]], ['2, k, 9', [0.221112, 0.10873, 1.0]], ['2, k, 10', [0.415566, 0.13381, 1.0]], ['2, k, 11', [0.427351, 0.141121, 1.0]], ['2, k, 12', [-0.233882, -0.327599, 1.0]], ['2, k, 13', [-0.292207, -0.572826, 1.0]], ['2, k, 14', [-0.217222, -1.03995, 1.0]], ['2, k, 15', [-0.220076, -1.10942, 1.0]], ['2, k, 16', [-0.106513, -0.379807, 1.0]], ['2, k, 17', [-0.14397, -0.676945, 1.0]], ['2, k, 18', [-0.126733, -1.04898, 1.0]], ['2, k, 19', [-0.148422, -1.10841, 1.0]], ['2, k, 20', [-0.178114, 0.1437, 1.0]], ['2, k, 21', [0.0679696, 0.112402, 1.0]], ['2, k, 22', [0.10166, 0.106982, 1.0]], ['2, k, 23', [0.457458, 0.146313, 1.0]], ['2, k, 24', [0.424531, 0.120603, 1.0]]]
[['2, k, 0', [-0.172934, -0.357229, 1.0]], ['2, k, 1', [-0.175552, -0.0682301, 1.0]], ['2, k, 2', [-0.17473, 0.214826, 1.0]], ['2, k, 3', [-0.152075, 0.329366, 1.0]], ['2, k, 4', [-0.287544, 0.181905, 1.0]], ['2, k, 5', [-0.18228, 0.0790384, 1.0]], ['2, k, 6', [-0.000901154, 0.0957633, 1.0]], ['2, k, 7', [0.0568193, 0.109401, 1.0]], ['2, k, 8', [0.0175616, 0.0610941, 1.0]], ['2, k, 9', [0.250374, 0.120924, 1.0]], ['2, k, 10', [0.452471, 0.139924, 1.0]], ['2, k, 11', [0.433207, 0.150595, 1.0]], ['2, k, 12', [-0.234167, -0.32618, 1.0]], ['2, k, 13', [-0.287424, -0.569116, 1.0]], ['2, k, 14', [-0.259388, -1.03504, 1.0]], ['2, k, 15', [-0.222128, -1.10602, 1.0]], ['2, k, 16', [-0.106721, -0.376231, 1.0]], ['2, k, 17', [-0.143408, -0.677499, 1.0]], ['2, k, 18', [-0.131638, -1.04798, 1.0]], ['2, k, 19', [-0.148998, -1.10878, 1.0]], ['2, k, 20', [-0.175359, 0.145066, 1.0]], ['2, k, 21', [0.0986926, 0.117779, 1.0]], ['2, k, 22', [0.0879985, 0.087342, 1.0]], ['2, k, 23', [0.463784, 0.156624, 1.0]], ['2, k, 24', [0.397632, 0.150054, 1.0]]]
[['2, k, 0', [-0.173879, -0.358098, 1.0]], ['2, k, 1', [-0.174917, -0.0680149, 1.0]], ['2, k, 2', [-0.170714, 0.217315, 1.0]], ['2, k, 3', [-0.149866, 0.329966, 1.0]], ['2, k, 4', [-0.264535, 0.165037, 1.0]], ['2, k, 5', [-0.135196, 0.0707388, 1.0]], ['2, k, 6', [0.0412739, 0.10102, 1.0]], ['2, k, 7', [0.098494, 0.111756, 1.0]], ['2, k, 8', [0.0339816, 0.0973306, 1.0]], ['2, k, 9', [0.249448, 0.123772, 1.0]], ['2, k, 10', [0.460056, 0.144232, 1.0]], ['2, k, 11', [0.46946, 0.165779, 1.0]], ['2, k, 12', [-0.237038, -0.33732, 1.0]], ['2, k, 13', [-0.326683, -0.582575, 1.0]], ['2, k, 14', [-0.331632, -1.03665, 1.0]], ['2, k, 15', [-0.247027, -1.08791, 1.0]], ['2, k, 16', [-0.108143, -0.373675, 1.0]], ['2, k, 17', [-0.145163, -0.678008, 1.0]], ['2, k, 18', [-0.13219, -1.04861, 1.0]], ['2, k, 19', [-0.14961, -1.10897, 1.0]], ['2, k, 20', [-0.172356, 0.14679, 1.0]], ['2, k, 21', [0.147068, 0.118866, 1.0]], ['2, k, 22', [0.119402, 0.0927781, 1.0]], ['2, k, 23', [0.477292, 0.165707, 1.0]], ['2, k, 24', [0.461179, 0.160594, 1.0]]]
[['2, k, 0', [-0.175036, -0.357302, 1.0]], ['2, k, 1', [-0.174372, -0.0671298, 1.0]], ['2, k, 2', [-0.168408, 0.218569, 1.0]], ['2, k, 3', [-0.145465, 0.331245, 1.0]], ['2, k, 4', [-0.264211, 0.164981, 1.0]], ['2, k, 5', [-0.111431, 0.0775817, 1.0]], ['2, k, 6', [0.0623285, 0.10265, 1.0]], ['2, k, 7', [0.130583, 0.11344, 1.0]], ['2, k, 8', [0.0339921, 0.134075, 1.0]], ['2, k, 9', [0.250226, 0.127908, 1.0]], ['2, k, 10', [0.463921, 0.158093, 1.0]], ['2, k, 11', [0.453536, 0.175264, 1.0]], ['2, k, 12', [-0.237616, -0.337849, 1.0]], ['2, k, 13', [-0.300046, -0.594553, 1.0]], ['2, k, 14', [-0.273461, -1.0476, 1.0]], ['2, k, 15', [-0.220954, -1.10868, 1.0]], ['2, k, 16', [-0.111405, -0.366204, 1.0]], ['2, k, 17', [-0.147537, -0.677108, 1.0]], ['2, k, 18', [-0.135155, -1.04916, 1.0]], ['2, k, 19', [-0.151749, -1.10927, 1.0]], ['2, k, 20', [-0.170456, 0.148024, 1.0]], ['2, k, 21', [0.178954, 0.123816, 1.0]], ['2, k, 22', [0.139723, 0.0919869, 1.0]], ['2, k, 23', [0.472949, 0.17514, 1.0]], ['2, k, 24', [0.452301, 0.1553, 1.0]]]
