[['2, k, 0', [-0.106919, -0.365049, 1.0]], ['2, k, 1', [-0.105729, -0.0560417, 1.0]], ['2, k, 2', [-0.103882, 0.245356, 1.0]], ['2, k, 3', [-0.0953268, 0.385931, 1.0]], ['2, k, 4', [-0.295796, 0.176628, 1.0]], ['2, k, 5', [-0.40083, 0.00371404, 1.0]], ['2, k, 6', [-0.272584, -0.144488, 1.0]], ['2, k, 7', [-0.265836, -0.181285, 1.0]], ['2, k, 8', [0.086344, 0.16644, 1.0]], ['2, k, 9', [0.2271, 0.0335756, 1.0]], ['2, k, 10', [0.144135, -0.144779, 1.0]], ['2, k, 11', [0.0870421, -0.202684, 1.0]], ['2, k, 12', [-0.192521, -0.357238, 1.0]], ['2, k, 13', [-0.244226, -0.707808, 1.0]], ['2, k, 14', [-0.282889, -1.06034, 1.0]], ['2, k, 15', [-0.292725, -1.10645, 1.0]], ['2, k, 16', [-0.0181124, -0.36194, 1.0]], ['2, k, 17', [0.0458947, -0.70347, 1.0]], ['2, k, 18', [0.0898967, -1.04265, 1.0]], ['2, k, 19', [0.108887, -1.09766, 1.0]], ['2, k, 20', [-0.104458, 0.17112, 1.0]], ['2, k, 21', [-0.254943, -0.226664, 1.0]], ['2, k, 22', [-0.235296, -0.144412, 1.0]], ['2, k, 23', [0.102588, -0.29215, 1.0]], ['2, k, 24', [0.0647283, -0.21402, 1.0]]]
[['2, k, 0', [-0.10693, -0.365047, 1.0]], ['2, k, 1', [-0.105716, -0.0560386, 1.0]], ['2, k, 2', [-0.103776, 0.245368, 1.0]], ['2, k, 3', [-0.0954272, 0.385995, 1.0]], ['2, k, 4', [-0.295836, 0.176609, 1.0]], ['2, k, 5', [-0.400745, 0.00362954, 1.0]], ['2, k, 6', [-0.296246, -0.16259, 1.0]], ['2, k, 7', [-0.273042, -0.200522, 1.0]], ['2, k, 8', [0.0863367, 0.16645, 1.0]], ['2, k, 9', [0.227973, 0.0351264, 1.0]], ['2, k, 10', [0.143057, -0.1425, 1.0]], ['2, k, 11', [0.0970759, -0.154661, 1.0]], ['2, k, 12', [-0.192567, -0.357237, 1.0]], ['2, k, 13', [-0.244353, -0.707747, 1.0]], ['2, k, 14', [-0.282445, -1.06023, 1.0]], ['2, k, 15', [-0.292933, -1.10645, 1.0]], ['2, k, 16', [-0.0181564, -0.361927, 1.0]], ['2, k, 17', [0.0459199, -0.703391, 1.0]], ['2, k, 18', [0.0899865, -1.04265, 1.0]], ['2, k, 19', [0.109161, -1.09733, 1.0]], ['2, k, 20', [-0.104384, 0.171129, 1.0]], ['2, k, 21', [-0.27016, -0.263453, 1.0]], ['2, k, 22', [-0.261717, -0.237035, 1.0]], ['2, k, 23', [0.0856777, -0.238415, 1.0]], ['2, k, 24', [0.0700989, -0.147158, 1.0]]]
[['2, k, 0', [-0.107018, -0.365007, 1.0]], ['2, k, 1', [-0.1057, -0.0560341, 1.0]], ['2, k, 2', [-0.103661, 0.245336, 1.0]], ['2, k, 3', [-0.0958063, 0.386044, 1.0]], ['2, k, 4', [-0.296028, 0.176514, 1.0]], ['2, k, 5', [-0.400977, 0.00418185, 1.0]], ['2, k, 6', [-0.296437, -0.161973, 1.0]], ['2, k, 7', [-0.275599, -0.203599, 1.0]], ['2, k, 8', [0.0863245, 0.166475, 1.0]], ['2, k, 9', [0.228112, 0.03572, 1.0]], ['2, k, 10', [0.143094, -0.141619, 1.0]], ['2, k, 11', [0.100053, -0.154672, 1.0]], ['2, k, 12', [-0.192636, -0.357231, 1.0]], ['2, k, 13', [-0.245085, -0.708524, 1.0]], ['2, k, 14', [-0.282139, -1.05984, 1.0]], ['2, k, 15', [-0.292622, -1.10656, 1.0]], ['2, k, 16', [-0.0182535, -0.361841, 1.0]], ['2, k, 17', [0.0458912, -0.703398, 1.0]], ['2, k, 18', [0.090048, -1.04277, 1.0]], ['2, k, 19', [0.109506, -1.09758, 1.0]], ['2, k, 20', [-0.104293, 0.171107, 1.0]], ['2, k, 21', [-0.272094, -0.263199, 1.0]], ['2, k, 22', [-0.247388, -0.19753, 1.0]], ['2, k, 23', [0.0859654, -0.23922, 1.0]], ['2, k, 24', [0.0717406, -0.146946, 1.0]]]
[['2, k, 0', [-0.107162, -0.365091, 1.0]], ['2, k, 1', [-0.105779, -0.0561284, 1.0]], ['2, k, 2', [-0.103644, 0.245228, 1.0]], ['2, k, 3', [-0.0967372, 0.385782, 1.0]], ['2, k, 4', [-0.296441, 0.176539, 1.0]], ['2, k, 5', [-0.400929, 0.00425902, 1.0]], ['2, k, 6', [-0.28119, -0.152048, 1.0]], ['2, k, 7', [-0.275516, -0.193058, 1.0]], ['2, k, 8', [0.0861869, 0.166605, 1.0]], ['2, k, 9', [0.230952, 0.0399919, 1.0]], ['2, k, 10', [0.14566, -0.136792, 1.0]], ['2, k, 11', [0.100568, -0.148144, 1.0]], ['2, k, 12', [-0.192789, -0.357336, 1.0]], ['2, k, 13', [-0.24532, -0.708616, 1.0]], ['2, k, 14', [-0.281906, -1.05979, 1.0]], ['2, k, 15', [-0.292624, -1.10656, 1.0]], ['2, k, 16', [-0.0183792, -0.361904, 1.0]], ['2, k, 17', [0.0456997, -0.703297, 1.0]], ['2, k, 18', [0.0900608, -1.04284, 1.0]], ['2, k, 19', [0.109967, -1.09746, 1.0]], ['2, k, 20', [-0.104305, 0.171002, 1.0]], ['2, k, 21', [-0.267924, -0.233442, 1.0]], ['2, k, 22', [-0.263273, -0.158783, 1.0]], ['2, k, 23', [0.0810961, -0.231171, 1.0]], ['2, k, 24', [0.0724303, -0.136873, 1.0]]]
[['2, k, 0', [-0.107175, -0.364557, 1.0]], ['2, k, 1', [-0.105856, -0.0558606, 1.0]], ['2, k, 2', [-0.103764, 0.245305, 1.0]], ['2, k, 3', [-0.0976692, 0.38563, 1.0]], ['2, k, 4', [-0.296765, 0.176464, 1.0]], ['2, k, 5', [-0.400418, 0.00401863, 1.0]], ['2, k, 6', [-0.29831, -0.163225, 1.0]], ['2, k, 7', [-0.278706, -0.200088, 1.0]], ['2, k, 8', [0.0862722, 0.16651, 1.0]], ['2, k, 9', [0.23445, 0.0453702, 1.0]], ['2, k, 10', [0.148132, -0.130622, 1.0]], ['2, k, 11', [0.100169, -0.148654, 1.0]], ['2, k, 12', [-0.192796, -0.356859, 1.0]], ['2, k, 13', [-0.245886, -0.70898, 1.0]], ['2, k, 14', [-0.281548, -1.05941, 1.0]], ['2, k, 15', [-0.292519, -1.10701, 1.0]], ['2, k, 16', [-0.0183866, -0.361329, 1.0]], ['2, k, 17', [0.0456081, -0.703266, 1.0]], ['2, k, 18', [0.0903851, -1.04409, 1.0]], ['2, k, 19', [0.110292, -1.09776, 1.0]], ['2, k, 20', [-0.104416, 0.171119, 1.0]], ['2, k, 21', [-0.285185, -0.256678, 1.0]], ['2, k, 22', [-0.278461, -0.234202, 1.0]], ['2, k, 23', [0.0718945, -0.222827, 1.0]], ['2, k, 24', [0.0645299, -0.12561, 1.0]]]
[['2, k, 0', [-0.10672, -0.364202, 1.0]], ['2, k, 1', [-0.105375, -0.0559264, 1.0]], ['2, k, 2', [-0.103258, 0.244789, 1.0]], ['2, k, 3', [-0.0983302, 0.385168, 1.0]], ['2, k, 4', [-0.297147, 0.176418, 1.0]], ['2, k, 5', [-0.400473, 0.00420394, 1.0]], ['2, k, 6', [-0.299528, -0.162724, 1.0]], ['2, k, 7', [-0.278584, -0.200657, 1.0]], ['2, k, 8', [0.0865938, 0.166594, 1.0]], ['2, k, 9', [0.237256, 0.0505917, 1.0]], ['2, k, 10', [0.143669, -0.119062, 1.0]], ['2, k, 11', [0.0987858, -0.152169, 1.0]], ['2, k, 12', [-0.192377, -0.356552, 1.0]], ['2, k, 13', [-0.24609, -0.709063, 1.0]], ['2, k, 14', [-0.281481, -1.0594, 1.0]], ['2, k, 15', [-0.292435, -1.10714, 1.0]], ['2, k, 16', [-0.0178993, -0.360935, 1.0]], ['2, k, 17', [0.045163, -0.702773, 1.0]], ['2, k, 18', [0.0904812, -1.04434, 1.0]], ['2, k, 19', [0.109708, -1.09732, 1.0]], ['2, k, 20', [-0.103915, 0.170721, 1.0]], ['2, k, 21', [-0.284706, -0.256244, 1.0]], ['2, k, 22', [-0.28, -0.239454, 1.0]], ['2, k, 23', [0.0679634, -0.218237, 1.0]], ['2, k, 24', [0.0654426, -0.121481, 1.0]]]
[['2, k, 0', [-0.106057, -0.3636, 1.0]], ['2, k, 1', [-0.105056, -0.0558632, 1.0]], ['2, k, 2', [-0.103195, 0.244457, 1.0]], ['2, k, 3', [-0.0986576, 0.384804, 1.0]], ['2, k, 4', [-0.297273, 0.176399, 1.0]], ['2, k, 5', [-0.40054, 0.00425328, 1.0]], ['2, k, 6', [-0.282481, -0.149841, 1.0]], ['2, k, 7', [-0.276777, -0.190749, 1.0]], ['2, k, 8', [0.086745, 0.167032, 1.0]], ['2, k, 9', [0.241626, 0.0572314, 1.0]], ['2, k, 10', [0.124626, -0.138378, 1.0]], ['2, k, 11', [0.0634738, -0.194594, 1.0]], ['2, k, 12', [-0.191823, -0.356139, 1.0]], ['2, k, 13', [-0.246133, -0.709168, 1.0]], ['2, k, 14', [-0.281603, -1.05951, 1.0]], ['2, k, 15', [-0.292794, -1.10739, 1.0]], ['2, k, 16', [-0.0171345, -0.360132, 1.0]], ['2, k, 17', [0.0450741, -0.702856, 1.0]], ['2, k, 18', [0.0904819, -1.04434, 1.0]], ['2, k, 19', [0.109477, -1.09766, 1.0]], ['2, k, 20', [-0.103793, 0.170481, 1.0]], ['2, k, 21', [-0.264052, -0.223268, 1.0]], ['2, k, 22', [-0.26038, -0.150675, 1.0]], ['2, k, 23', [0.0263927, -0.25985, 1.0]], ['2, k, 24', [0.0273179, -0.153178, 1.0]]]
[['2, k, 0', [-0.105444, -0.363064, 1.0]], ['2, k, 1', [-0.104641, -0.0559235, 1.0]], ['2, k, 2', [-0.102962, 0.243933, 1.0]], ['2, k, 3', [-0.0987477, 0.384343, 1.0]], ['2, k, 4', [-0.297419, 0.176303, 1.0]], ['2, k, 5', [-0.400624, 0.00419876, 1.0]], ['2, k, 6', [-0.284021, -0.149461, 1.0]], ['2, k, 7', [-0.277719, -0.18843, 1.0]], ['2, k, 8', [0.0868062, 0.167059, 1.0]], ['2, k, 9', [0.242308, 0.0594914, 1.0]], ['2, k, 10', [0.117249, -0.146294, 1.0]], ['2, k, 11', [0.0591252, -0.20531, 1.0]], ['2, k, 12', [-0.191267, -0.3557, 1.0]], ['2, k, 13', [-0.246038, -0.709786, 1.0]], ['2, k, 14', [-0.281595, -1.05953, 1.0]], ['2, k, 15', [-0.292454, -1.10753, 1.0]], ['2, k, 16', [-0.0164799, -0.359516, 1.0]], ['2, k, 17', [0.0449352, -0.70294, 1.0]], ['2, k, 18', [0.0904021, -1.04417, 1.0]], ['2, k, 19', [0.109356, -1.09756, 1.0]], ['2, k, 20', [-0.103517, 0.170062, 1.0]], ['2, k, 21', [-0.263865, -0.223111, 1.0]], ['2, k, 22', [-0.260405, -0.149848, 1.0]], ['2, k, 23', [0.0201308, -0.271445, 1.0]], ['2, k, 24', [0.0196074, -0.162561, 1.0]]]
[['2, k, 0', [-0.104876, -0.363143, 1.0]], ['2, k, 1', [-0.104332, -0.0563741, 1.0]], ['2, k, 2', [-0.102879, 0.243157, 1.0]], ['2, k, 3', [-0.0985416, 0.384035, 1.0]], ['2, k, 4', [-0.297404, 0.176214, 1.0]], ['2, k, 5', [-0.400408, 0.00337948, 1.0]], ['2, k, 6', [-0.320805, -0.171813, 1.0]], ['2, k, 7', [-0.291887, -0.219627, 1.0]], ['2, k, 8', [0.0868679, 0.166985, 1.0]], ['2, k, 9', [0.240218, 0.057489, 1.0]], ['2, k, 10', [0.113845, -0.127057, 1.0]], ['2, k, 11', [0.0610578, -0.166259, 1.0]], ['2, k, 12', [-0.190685, -0.355727, 1.0]], ['2, k, 13', [-0.245919, -0.70989, 1.0]], ['2, k, 14', [-0.281474, -1.05964, 1.0]], ['2, k, 15', [-0.292092, -1.10761, 1.0]], ['2, k, 16', [-0.0159389, -0.359642, 1.0]], ['2, k, 17', [0.0445409, -0.702778, 1.0]], ['2, k, 18', [0.0903434, -1.04402, 1.0]], ['2, k, 19', [0.109233, -1.09766, 1.0]], ['2, k, 20', [-0.10338, 0.169365, 1.0]], ['2, k, 21', [-0.302075, -0.283929, 1.0]], ['2, k, 22', [-0.26657, -0.215003, 1.0]], ['2, k, 23', [0.0226208, -0.245968, 1.0]], ['2, k, 24', [0.00767833, -0.137312, 1.0]]]
[['2, k, 0', [-0.104391, -0.363464, 1.0]], ['2, k, 1', [-0.104213, -0.0566036, 1.0]], ['2, k, 2', [-0.102927, 0.242999, 1.0]], ['2, k, 3', [-0.0985438, 0.38381, 1.0]], ['2, k, 4', [-0.297395, 0.176135, 1.0]], ['2, k, 5', [-0.400636, 0.00300693, 1.0]], ['2, k, 6', [-0.314775, -0.165284, 1.0]], ['2, k, 7', [-0.278817, -0.208559, 1.0]], ['2, k, 8', [0.0870452, 0.166816, 1.0]], ['2, k, 9', [0.237244, 0.0522785, 1.0]], ['2, k, 10', [0.107916, -0.115393, 1.0]], ['2, k, 11', [0.082372, -0.128241, 1.0]], ['2, k, 12', [-0.190274, -0.356814, 1.0]], ['2, k, 13', [-0.245667, -0.710302, 1.0]], ['2, k, 14', [-0.281303, -1.05959, 1.0]], ['2, k, 15', [-0.291983, -1.10739, 1.0]], ['2, k, 16', [-0.0153105, -0.359225, 1.0]], ['2, k, 17', [0.0446558, -0.703296, 1.0]], ['2, k, 18', [0.0902478, -1.04363, 1.0]], ['2, k, 19', [0.10862, -1.09703, 1.0]], ['2, k, 20', [-0.103402, 0.169196, 1.0]], ['2, k, 21', [-0.266548, -0.270067, 1.0]], ['2, k, 22', [-0.254421, -0.180233, 1.0]], ['2, k, 23', [0.0421857, -0.160592, 1.0]], ['2, k, 24', [0.0497367, -0.104149, 1.0]]]
[['2, k, 0', [-0.103786, -0.363855, 1.0]], ['2, k, 1', [-0.103963, -0.0568585, 1.0]], ['2, k, 2', [-0.102906, 0.242864, 1.0]], ['2, k, 3', [-0.0985623, 0.383758, 1.0]], ['2, k, 4', [-0.297434, 0.176114, 1.0]], ['2, k, 5', [-0.400461, 0.00249979, 1.0]], ['2, k, 6', [-0.295244, -0.155487, 1.0]], ['2, k, 7', [-0.279629, -0.187747, 1.0]], ['2, k, 8', [0.0872688, 0.166224, 1.0]], ['2, k, 9', [0.231094, 0.041665, 1.0]], ['2, k, 10', [0.091514, -0.104252, 1.0]], ['2, k, 11', [0.0690497, -0.117727, 1.0]], ['2, k, 12', [-0.189739, -0.357595, 1.0]], ['2, k, 13', [-0.244982, -0.709969, 1.0]], ['2, k, 14', [-0.281293, -1.05952, 1.0]], ['2, k, 15', [-0.292027, -1.10728, 1.0]], ['2, k, 16', [-0.0146262, -0.35916, 1.0]], ['2, k, 17', [0.0450107, -0.704024, 1.0]], ['2, k, 18', [0.0899094, -1.04438, 1.0]], ['2, k, 19', [0.110147, -1.09881, 1.0]], ['2, k, 20', [-0.103344, 0.169033, 1.0]], ['2, k, 21', [-0.279158, -0.232593, 1.0]], ['2, k, 22', [-0.255281, -0.178545, 1.0]], ['2, k, 23', [0.0369832, -0.143371, 1.0]], ['2, k, 24', [0.0332782, -0.104219, 1.0]]]
