[['2, k, 0', [0.0444191, -0.452805, 1.0]], ['2, k, 1', [0.0374059, -0.133402, 1.0]], ['2, k, 2', [0.0303551, 0.178375, 1.0]], ['2, k, 3', [0.0425108, 0.302057, 1.0]], ['2, k, 4', [-0.137594, 0.0587772, 1.0]], ['2, k, 5', [-0.312132, -0.0809439, 1.0]], ['2, k, 6', [-0.246235, -0.268665, 1.0]], ['2, k, 7', [-0.214334, -0.293176, 1.0]], ['2, k, 8', [0.202671, 0.0465156, 1.0]], ['2, k, 9', [0.376518, -0.0814343, 1.0]], ['2, k, 10', [0.327713, -0.275607, 1.0]], ['2, k, 11', [0.26827, -0.293125, 1.0]], ['2, k, 12', [-0.033896, -0.443278, 1.0]], ['2, k, 13', [-0.0782538, -0.809161, 1.0]], ['2, k, 14', [-0.101051, -1.15373, 1.0]], ['2, k, 15', [-0.119568, -1.22363, 1.0]], ['2, k, 16', [0.121425, -0.448919, 1.0]], ['2, k, 17', [0.176672, -0.787309, 1.0]], ['2, k, 18', [0.216812, -1.15171, 1.0]], ['2, k, 19', [0.244507, -1.20605, 1.0]], ['2, k, 20', [0.0321303, 0.101486, 1.0]], ['2, k, 21', [-0.160149, -0.349414, 1.0]], ['2, k, 22', [-0.222506, -0.281293, 1.0]], ['2, k, 23', [0.237384, -0.334489, 1.0]], ['2, k, 24', [0.244484, -0.272964, 1.0]]]
[['2, k, 0', [0.0444347, -0.452827, 1.0]], ['2, k, 1', [0.0374398, -0.13347, 1.0]], ['2, k, 2', [0.0304157, 0.178223, 1.0]], ['2, k, 3', [0.0426184, 0.301823, 1.0]], ['2, k, 4', [-0.13703, 0.0591635, 1.0]], ['2, k, 5', [-0.311843, -0.0807159, 1.0]], ['2, k, 6', [-0.246329, -0.268618, 1.0]], ['2, k, 7', [-0.214588, -0.293705, 1.0]], ['2, k, 8', [0.202728, 0.0465315, 1.0]], ['2, k, 9', [0.376382, -0.0810788, 1.0]], ['2, k, 10', [0.302984, -0.266777, 1.0]], ['2, k, 11', [0.256371, -0.29532, 1.0]], ['2, k, 12', [-0.0338868, -0.443281, 1.0]], ['2, k, 13', [-0.0782383, -0.809114, 1.0]], ['2, k, 14', [-0.101061, -1.15512, 1.0]], ['2, k, 15', [-0.119473, -1.22359, 1.0]], ['2, k, 16', [0.121449, -0.448978, 1.0]], ['2, k, 17', [0.176872, -0.786951, 1.0]], ['2, k, 18', [0.217342, -1.15066, 1.0]], ['2, k, 19', [0.244606, -1.20588, 1.0]], ['2, k, 20', [0.032184, 0.101358, 1.0]], ['2, k, 21', [-0.160558, -0.351216, 1.0]], ['2, k, 22', [-0.222233, -0.281247, 1.0]], ['2, k, 23', [0.222986, -0.379491, 1.0]], ['2, k, 24', [0.212079, -0.280455, 1.0]]]
[['2, k, 0', [0.0445019, -0.452888, 1.0]], ['2, k, 1', [0.0374798, -0.133587, 1.0]], ['2, k, 2', [0.0304006, 0.177994, 1.0]], ['2, k, 3', [0.0429295, 0.301651, 1.0]], ['2, k, 4', [-0.136774, 0.0589146, 1.0]], ['2, k, 5', [-0.311862, -0.0809513, 1.0]], ['2, k, 6', [-0.246227, -0.268729, 1.0]], ['2, k, 7', [-0.214176, -0.294455, 1.0]], ['2, k, 8', [0.202986, 0.0464003, 1.0]], ['2, k, 9', [0.376346, -0.0806519, 1.0]], ['2, k, 10', [0.303597, -0.266545, 1.0]], ['2, k, 11', [0.263742, -0.288924, 1.0]], ['2, k, 12', [-0.0338128, -0.443363, 1.0]], ['2, k, 13', [-0.0782124, -0.809066, 1.0]], ['2, k, 14', [-0.100836, -1.15431, 1.0]], ['2, k, 15', [-0.119944, -1.2234, 1.0]], ['2, k, 16', [0.121508, -0.449021, 1.0]], ['2, k, 17', [0.177174, -0.786897, 1.0]], ['2, k, 18', [0.217305, -1.15055, 1.0]], ['2, k, 19', [0.244856, -1.20605, 1.0]], ['2, k, 20', [0.0321876, 0.10116, 1.0]], ['2, k, 21', [-0.164216, -0.346778, 1.0]], ['2, k, 22', [-0.221953, -0.283498, 1.0]], ['2, k, 23', [0.228464, -0.366049, 1.0]], ['2, k, 24', [0.220168, -0.2785, 1.0]]]
[['2, k, 0', [0.044687, -0.452918, 1.0]], ['2, k, 1', [0.0374969, -0.133705, 1.0]], ['2, k, 2', [0.0300942, 0.177663, 1.0]], ['2, k, 3', [0.0430969, 0.301508, 1.0]], ['2, k, 4', [-0.135357, 0.0588915, 1.0]], ['2, k, 5', [-0.311352, -0.0809718, 1.0]], ['2, k, 6', [-0.246155, -0.26893, 1.0]], ['2, k, 7', [-0.215164, -0.292834, 1.0]], ['2, k, 8', [0.203686, 0.0461746, 1.0]], ['2, k, 9', [0.376339, -0.0806188, 1.0]], ['2, k, 10', [0.303754, -0.266496, 1.0]], ['2, k, 11', [0.267163, -0.287677, 1.0]], ['2, k, 12', [-0.03363, -0.443367, 1.0]], ['2, k, 13', [-0.078209, -0.809067, 1.0]], ['2, k, 14', [-0.101091, -1.15396, 1.0]], ['2, k, 15', [-0.120204, -1.22285, 1.0]], ['2, k, 16', [0.121693, -0.449077, 1.0]], ['2, k, 17', [0.177689, -0.786728, 1.0]], ['2, k, 18', [0.217904, -1.15426, 1.0]], ['2, k, 19', [0.24869, -1.20988, 1.0]], ['2, k, 20', [0.0319892, 0.100893, 1.0]], ['2, k, 21', [-0.170688, -0.341011, 1.0]], ['2, k, 22', [-0.222369, -0.285785, 1.0]], ['2, k, 23', [0.228964, -0.366835, 1.0]], ['2, k, 24', [0.226924, -0.28536, 1.0]]]
[['2, k, 0', [0.0453214, -0.453469, 1.0]], ['2, k, 1', [0.0377885, -0.134222, 1.0]], ['2, k, 2', [0.0301431, 0.177082, 1.0]], ['2, k, 3', [0.0431129, 0.301459, 1.0]], ['2, k, 4', [-0.134768, 0.0585034, 1.0]], ['2, k, 5', [-0.310723, -0.0809233, 1.0]], ['2, k, 6', [-0.245071, -0.268713, 1.0]], ['2, k, 7', [-0.214688, -0.294263, 1.0]], ['2, k, 8', [0.205199, 0.0479125, 1.0]], ['2, k, 9', [0.376369, -0.0807173, 1.0]], ['2, k, 10', [0.304501, -0.266689, 1.0]], ['2, k, 11', [0.271801, -0.288372, 1.0]], ['2, k, 12', [-0.0328395, -0.444419, 1.0]], ['2, k, 13', [-0.0778845, -0.809414, 1.0]], ['2, k, 14', [-0.101312, -1.15429, 1.0]], ['2, k, 15', [-0.120295, -1.223, 1.0]], ['2, k, 16', [0.122209, -0.449286, 1.0]], ['2, k, 17', [0.178091, -0.786433, 1.0]], ['2, k, 18', [0.217956, -1.15339, 1.0]], ['2, k, 19', [0.248685, -1.2095, 1.0]], ['2, k, 20', [0.0320984, 0.100333, 1.0]], ['2, k, 21', [-0.173297, -0.343217, 1.0]], ['2, k, 22', [-0.215111, -0.279581, 1.0]], ['2, k, 23', [0.234906, -0.349028, 1.0]], ['2, k, 24', [0.233101, -0.282054, 1.0]]]
[['2, k, 0', [0.0462262, -0.453818, 1.0]], ['2, k, 1', [0.0384218, -0.13488, 1.0]], ['2, k, 2', [0.0306081, 0.176042, 1.0]], ['2, k, 3', [0.0433512, 0.301113, 1.0]], ['2, k, 4', [-0.134501, 0.0582573, 1.0]], ['2, k, 5', [-0.310273, -0.0811154, 1.0]], ['2, k, 6', [-0.244341, -0.268646, 1.0]], ['2, k, 7', [-0.214571, -0.293142, 1.0]], ['2, k, 8', [0.205912, 0.0485769, 1.0]], ['2, k, 9', [0.376334, -0.0806627, 1.0]], ['2, k, 10', [0.305105, -0.266687, 1.0]], ['2, k, 11', [0.268863, -0.287108, 1.0]], ['2, k, 12', [-0.0319172, -0.444992, 1.0]], ['2, k, 13', [-0.0775792, -0.808986, 1.0]], ['2, k, 14', [-0.101477, -1.15397, 1.0]], ['2, k, 15', [-0.120647, -1.22149, 1.0]], ['2, k, 16', [0.12308, -0.449404, 1.0]], ['2, k, 17', [0.178669, -0.786238, 1.0]], ['2, k, 18', [0.218094, -1.15351, 1.0]], ['2, k, 19', [0.249222, -1.20993, 1.0]], ['2, k, 20', [0.0325999, 0.0993988, 1.0]], ['2, k, 21', [-0.173162, -0.342939, 1.0]], ['2, k, 22', [-0.215573, -0.285585, 1.0]], ['2, k, 23', [0.234223, -0.351327, 1.0]], ['2, k, 24', [0.226261, -0.278656, 1.0]]]
[['2, k, 0', [0.0471488, -0.454224, 1.0]], ['2, k, 1', [0.0387816, -0.135263, 1.0]], ['2, k, 2', [0.0306137, 0.17553, 1.0]], ['2, k, 3', [0.0438904, 0.30045, 1.0]], ['2, k, 4', [-0.134307, 0.0578215, 1.0]], ['2, k, 5', [-0.30913, -0.081055, 1.0]], ['2, k, 6', [-0.243858, -0.268565, 1.0]], ['2, k, 7', [-0.213399, -0.294544, 1.0]], ['2, k, 8', [0.205995, 0.0483758, 1.0]], ['2, k, 9', [0.376773, -0.0799448, 1.0]], ['2, k, 10', [0.305966, -0.265964, 1.0]], ['2, k, 11', [0.270661, -0.285706, 1.0]], ['2, k, 12', [-0.0310399, -0.445413, 1.0]], ['2, k, 13', [-0.0772445, -0.808483, 1.0]], ['2, k, 14', [-0.101569, -1.15395, 1.0]], ['2, k, 15', [-0.12079, -1.22152, 1.0]], ['2, k, 16', [0.124017, -0.449761, 1.0]], ['2, k, 17', [0.179319, -0.786186, 1.0]], ['2, k, 18', [0.218151, -1.15383, 1.0]], ['2, k, 19', [0.249191, -1.21007, 1.0]], ['2, k, 20', [0.0327042, 0.098929, 1.0]], ['2, k, 21', [-0.172997, -0.343282, 1.0]], ['2, k, 22', [-0.216461, -0.28498, 1.0]], ['2, k, 23', [0.234608, -0.351905, 1.0]], ['2, k, 24', [0.229703, -0.277006, 1.0]]]
[['2, k, 0', [0.0477555, -0.454414, 1.0]], ['2, k, 1', [0.0392608, -0.135689, 1.0]], ['2, k, 2', [0.030952, 0.174883, 1.0]], ['2, k, 3', [0.043815, 0.300349, 1.0]], ['2, k, 4', [-0.134136, 0.0571285, 1.0]], ['2, k, 5', [-0.308739, -0.0815466, 1.0]], ['2, k, 6', [-0.242736, -0.268499, 1.0]], ['2, k, 7', [-0.212789, -0.294154, 1.0]], ['2, k, 8', [0.206054, 0.0482354, 1.0]], ['2, k, 9', [0.37703, -0.0793986, 1.0]], ['2, k, 10', [0.306792, -0.265487, 1.0]], ['2, k, 11', [0.27155, -0.286772, 1.0]], ['2, k, 12', [-0.0304301, -0.445636, 1.0]], ['2, k, 13', [-0.0765006, -0.812756, 1.0]], ['2, k, 14', [-0.10252, -1.16236, 1.0]], ['2, k, 15', [-0.121597, -1.23131, 1.0]], ['2, k, 16', [0.124603, -0.4499, 1.0]], ['2, k, 17', [0.179796, -0.785993, 1.0]], ['2, k, 18', [0.218415, -1.154, 1.0]], ['2, k, 19', [0.249146, -1.21012, 1.0]], ['2, k, 20', [0.0330754, 0.0983348, 1.0]], ['2, k, 21', [-0.171241, -0.342116, 1.0]], ['2, k, 22', [-0.214463, -0.286169, 1.0]], ['2, k, 23', [0.234423, -0.348307, 1.0]], ['2, k, 24', [0.225969, -0.279218, 1.0]]]
[['2, k, 0', [0.0481558, -0.454644, 1.0]], ['2, k, 1', [0.0393785, -0.135967, 1.0]], ['2, k, 2', [0.030816, 0.174481, 1.0]], ['2, k, 3', [0.0437165, 0.300297, 1.0]], ['2, k, 4', [-0.134333, 0.0564414, 1.0]], ['2, k, 5', [-0.307876, -0.0818986, 1.0]], ['2, k, 6', [-0.242083, -0.268421, 1.0]], ['2, k, 7', [-0.212612, -0.294737, 1.0]], ['2, k, 8', [0.206128, 0.0481773, 1.0]], ['2, k, 9', [0.377336, -0.0791169, 1.0]], ['2, k, 10', [0.30726, -0.265119, 1.0]], ['2, k, 11', [0.29468, -0.269593, 1.0]], ['2, k, 12', [-0.029999, -0.44595, 1.0]], ['2, k, 13', [-0.0764317, -0.812676, 1.0]], ['2, k, 14', [-0.102559, -1.16248, 1.0]], ['2, k, 15', [-0.121865, -1.22734, 1.0]], ['2, k, 16', [0.125009, -0.45006, 1.0]], ['2, k, 17', [0.180201, -0.785834, 1.0]], ['2, k, 18', [0.218844, -1.15281, 1.0]], ['2, k, 19', [0.249165, -1.21019, 1.0]], ['2, k, 20', [0.0330112, 0.0979685, 1.0]], ['2, k, 21', [-0.172744, -0.343931, 1.0]], ['2, k, 22', [-0.217473, -0.285169, 1.0]], ['2, k, 23', [0.25744, -0.319717, 1.0]], ['2, k, 24', [0.263582, -0.259556, 1.0]]]
[['2, k, 0', [0.0482503, -0.454737, 1.0]], ['2, k, 1', [0.0394467, -0.136115, 1.0]], ['2, k, 2', [0.030837, 0.174329, 1.0]], ['2, k, 3', [0.0434497, 0.300203, 1.0]], ['2, k, 4', [-0.134551, 0.0559999, 1.0]], ['2, k, 5', [-0.306794, -0.0816977, 1.0]], ['2, k, 6', [-0.24146, -0.268381, 1.0]], ['2, k, 7', [-0.212001, -0.296013, 1.0]], ['2, k, 8', [0.206013, 0.0480942, 1.0]], ['2, k, 9', [0.37745, -0.0788576, 1.0]], ['2, k, 10', [0.307775, -0.264767, 1.0]], ['2, k, 11', [0.275165, -0.285237, 1.0]], ['2, k, 12', [-0.0297444, -0.446837, 1.0]], ['2, k, 13', [-0.0763404, -0.812518, 1.0]], ['2, k, 14', [-0.102362, -1.16273, 1.0]], ['2, k, 15', [-0.121045, -1.22739, 1.0]], ['2, k, 16', [0.125145, -0.449802, 1.0]], ['2, k, 17', [0.180451, -0.785757, 1.0]], ['2, k, 18', [0.21861, -1.15301, 1.0]], ['2, k, 19', [0.249145, -1.21018, 1.0]], ['2, k, 20', [0.0330415, 0.0978125, 1.0]], ['2, k, 21', [-0.170587, -0.344907, 1.0]], ['2, k, 22', [-0.215493, -0.287976, 1.0]], ['2, k, 23', [0.23517, -0.35942, 1.0]], ['2, k, 24', [0.233508, -0.27591, 1.0]]]
[['2, k, 0', [0.04834, -0.454778, 1.0]], ['2, k, 1', [0.0393824, -0.136276, 1.0]], ['2, k, 2', [0.0303451, 0.173891, 1.0]], ['2, k, 3', [0.0428586, 0.299887, 1.0]], ['2, k, 4', [-0.134891, 0.0556488, 1.0]], ['2, k, 5', [-0.306087, -0.0819608, 1.0]], ['2, k, 6', [-0.241116, -0.268342, 1.0]], ['2, k, 7', [-0.210728, -0.294842, 1.0]], ['2, k, 8', [0.205923, 0.0479151, 1.0]], ['2, k, 9', [0.378176, -0.0776223, 1.0]], ['2, k, 10', [0.308917, -0.263598, 1.0]], ['2, k, 11', [0.275661, -0.283063, 1.0]], ['2, k, 12', [-0.02952, -0.447382, 1.0]], ['2, k, 13', [-0.0761668, -0.812429, 1.0]], ['2, k, 14', [-0.102728, -1.1623, 1.0]], ['2, k, 15', [-0.122529, -1.2262, 1.0]], ['2, k, 16', [0.12528, -0.449516, 1.0]], ['2, k, 17', [0.180936, -0.784582, 1.0]], ['2, k, 18', [0.218679, -1.15224, 1.0]], ['2, k, 19', [0.248834, -1.20959, 1.0]], ['2, k, 20', [0.0326843, 0.0974495, 1.0]], ['2, k, 21', [-0.172117, -0.345218, 1.0]], ['2, k, 22', [-0.215704, -0.287791, 1.0]], ['2, k, 23', [0.2348, -0.352193, 1.0]], ['2, k, 24', [0.234199, -0.280847, 1.0]]]
