[[0, -0.364494, -0.837512, 3.0469, 1.0], [1, -0.379259, -0.552281, 2.92762, 1.0], [2, -0.391799, -0.269424, 2.79543, 1.0], [3, -0.374519, -0.152712, 2.75608, 1.0], [4, -0.555989, -0.345379, 2.8068, 1.0], [5, -0.696494, -0.481865, 2.90848, 1.0], [6, -0.594111, -0.411595, 2.7633, 1.0], [7, -0.549194, -0.389514, 2.77025, 1.0], [8, -0.221674, -0.312557, 2.85653, 1.0], [9, -0.128062, -0.311942, 3.00926, 1.0], [10, -0.145205, -0.555268, 2.9845, 1.0], [11, -0.210448, -0.622357, 2.94257, 1.0], [12, -0.436319, -0.835521, 3.00551, 1.0], [13, -0.521044, -1.2169, 2.92913, 1.0], [14, -0.532988, -1.51211, 2.87616, 1.0], [15, -0.512207, -1.55762, 2.78125, 1.0], [16, -0.284467, -0.820667, 3.01977, 1.0], [17, -0.236375, -1.10551, 2.97702, 1.0], [18, -0.221187, -1.49909, 2.9666, 1.0], [19, -0.229858, -1.56055, 2.89063, 1.0], [20, -0.389058, -0.339835, 2.83085, 1.0], [21, -0.516155, -0.340433, 2.74526, 1.0], [22, -0.595242, -0.325953, 2.76572, 1.0], [23, -0.19933, -0.703914, 2.98987, 1.0], [24, -0.216423, -0.629275, 2.88933, 1.0]]
[[0, -0.356581, -0.825053, 3.00149, 1.0], [1, -0.376308, -0.547976, 2.9146, 1.0], [2, -0.391366, -0.268998, 2.79426, 1.0], [3, -0.369169, -0.127687, 2.73541, 1.0], [4, -0.554135, -0.345619, 2.8054, 1.0], [5, -0.697082, -0.48194, 2.90754, 1.0], [6, -0.589649, -0.407217, 2.75478, 1.0], [7, -0.540439, -0.384146, 2.76637, 1.0], [8, -0.220839, -0.311201, 2.85617, 1.0], [9, -0.118565, -0.317243, 3.05739, 1.0], [10, -0.213668, -0.554783, 3.0108, 1.0], [11, -0.198705, -0.584631, 2.95448, 1.0], [12, -0.428437, -0.825715, 2.96463, 1.0], [13, -0.51965, -1.21418, 2.92821, 1.0], [14, -0.53415, -1.53476, 2.87196, 1.0], [15, -0.506695, -1.56789, 2.76893, 1.0], [16, -0.276774, -0.805729, 2.97099, 1.0], [17, -0.235527, -1.2549, 2.98827, 1.0], [18, -0.218457, -1.57639, 2.94035, 1.0], [19, -0.266944, -1.55598, 2.83504, 1.0], [20, -0.388281, -0.338918, 2.82854, 1.0], [21, -0.504562, -0.329734, 2.74111, 1.0], [22, -0.586258, -0.317763, 2.76265, 1.0], [23, -0.199904, -0.622457, 2.9323, 1.0], [24, -0.198081, -0.531547, 2.94371, 1.0]]
[[0, -0.362617, -0.82898, 2.98697, 1.0], [1, -0.374551, -0.547422, 2.90439, 1.0], [2, -0.386078, -0.267345, 2.79456, 1.0], [3, -0.369741, -0.132933, 2.73972, 1.0], [4, -0.549557, -0.345706, 2.80272, 1.0], [5, -0.694203, -0.481419, 2.90198, 1.0], [6, -0.584487, -0.405434, 2.74817, 1.0], [7, -0.535158, -0.384388, 2.76263, 1.0], [8, -0.220009, -0.309838, 2.85682, 1.0], [9, -0.118994, -0.31992, 3.05277, 1.0], [10, -0.360921, -0.392224, 2.97053, 1.0], [11, -0.441717, -0.416721, 2.94687, 1.0], [12, -0.434752, -0.830068, 2.94529, 1.0], [13, -0.506424, -1.18101, 2.92317, 1.0], [14, -0.538027, -1.51097, 2.8689, 1.0], [15, -0.495955, -1.56884, 2.79423, 1.0], [16, -0.282309, -0.80928, 2.96105, 1.0], [17, -0.237099, -1.18067, 2.98138, 1.0], [18, -0.211842, -1.53168, 2.95012, 1.0], [19, -0.243719, -1.5851, 2.86678, 1.0], [20, -0.384295, -0.337547, 2.82638, 1.0], [21, -0.498844, -0.324269, 2.73728, 1.0], [22, -0.581478, -0.321822, 2.75875, 1.0], [23, -0.442133, -0.455098, 2.92476, 1.0], [24, -0.439282, -0.364907, 2.93624, 1.0]]
[[0, -0.36235, -0.828511, 2.98366, 1.0], [1, -0.372966, -0.546682, 2.90139, 1.0], [2, -0.382436, -0.266542, 2.79583, 1.0], [3, -0.369033, -0.134795, 2.74359, 1.0], [4, -0.543801, -0.345608, 2.80082, 1.0], [5, -0.692776, -0.480833, 2.89869, 1.0], [6, -0.580715, -0.403404, 2.74524, 1.0], [7, -0.529159, -0.37988, 2.76118, 1.0], [8, -0.218274, -0.307031, 2.8583, 1.0], [9, -0.118634, -0.322026, 3.05614, 1.0], [10, -0.349848, -0.368223, 2.92514, 1.0], [11, -0.427087, -0.384022, 2.88521, 1.0], [12, -0.433987, -0.829678, 2.94117, 1.0], [13, -0.505939, -1.18071, 2.92271, 1.0], [14, -0.534067, -1.51693, 2.87128, 1.0], [15, -0.472348, -1.5728, 2.81381, 1.0], [16, -0.282444, -0.808869, 2.959, 1.0], [17, -0.235292, -1.18856, 2.98041, 1.0], [18, -0.211044, -1.53156, 2.95053, 1.0], [19, -0.244666, -1.58185, 2.86195, 1.0], [20, -0.381341, -0.336718, 2.82596, 1.0], [21, -0.492265, -0.322498, 2.73548, 1.0], [22, -0.575732, -0.315205, 2.761, 1.0], [23, -0.427525, -0.422485, 2.86312, 1.0], [24, -0.424701, -0.332398, 2.87462, 1.0]]
[[0, -0.360023, -0.827971, 2.97952, 1.0], [1, -0.370806, -0.54536, 2.89853, 1.0], [2, -0.380272, -0.264872, 2.79661, 1.0], [3, -0.366814, -0.133909, 2.74774, 1.0], [4, -0.53846, -0.345789, 2.80028, 1.0], [5, -0.689155, -0.481455, 2.89438, 1.0], [6, -0.560821, -0.411468, 2.74992, 1.0], [7, -0.518847, -0.42502, 2.76668, 1.0], [8, -0.21573, -0.300926, 2.8614, 1.0], [9, -0.118635, -0.32194, 3.05602, 1.0], [10, -0.351454, -0.368396, 2.92634, 1.0], [11, -0.429226, -0.38428, 2.88684, 1.0], [12, -0.430954, -0.82991, 2.93695, 1.0], [13, -0.504456, -1.18209, 2.9221, 1.0], [14, -0.534268, -1.51746, 2.87073, 1.0], [15, -0.487874, -1.56762, 2.79614, 1.0], [16, -0.280896, -0.807685, 2.95534, 1.0], [17, -0.233683, -1.19369, 2.97991, 1.0], [18, -0.2081, -1.53427, 2.94913, 1.0], [19, -0.269614, -1.57706, 2.89512, 1.0], [20, -0.379048, -0.335081, 2.82557, 1.0], [21, -0.444855, -0.434917, 2.74989, 1.0], [22, -0.502723, -0.363072, 2.73373, 1.0], [23, -0.429661, -0.422745, 2.86477, 1.0], [24, -0.425282, -0.33247, 2.87508, 1.0]]
[[0, -0.355477, -0.825808, 2.97505, 1.0], [1, -0.36579, -0.542642, 2.89608, 1.0], [2, -0.373515, -0.261236, 2.79926, 1.0], [3, -0.364106, -0.133183, 2.7515, 1.0], [4, -0.533949, -0.345308, 2.79994, 1.0], [5, -0.68591, -0.482508, 2.89117, 1.0], [6, -0.559373, -0.410421, 2.74872, 1.0], [7, -0.517161, -0.422391, 2.76715, 1.0], [8, -0.211251, -0.293232, 2.8663, 1.0], [9, -0.126081, -0.311018, 3.03222, 1.0], [10, -0.372387, -0.381449, 2.96169, 1.0], [11, -0.454648, -0.40531, 2.94191, 1.0], [12, -0.425283, -0.828648, 2.93146, 1.0], [13, -0.500538, -1.17569, 2.91973, 1.0], [14, -0.534628, -1.51788, 2.87163, 1.0], [15, -0.494299, -1.5647, 2.79555, 1.0], [16, -0.277461, -0.804797, 2.95198, 1.0], [17, -0.229699, -1.20066, 2.97951, 1.0], [18, -0.201717, -1.54486, 2.94092, 1.0], [19, -0.203936, -1.58952, 2.85091, 1.0], [20, -0.372521, -0.331569, 2.82634, 1.0], [21, -0.446354, -0.43312, 2.75726, 1.0], [22, -0.505835, -0.364307, 2.73753, 1.0], [23, -0.45503, -0.44373, 2.91986, 1.0], [24, -0.452136, -0.353598, 2.93143, 1.0]]
[[0, -0.350529, -0.824178, 2.96979, 1.0], [1, -0.361836, -0.540709, 2.89435, 1.0], [2, -0.369478, -0.258807, 2.8018, 1.0], [3, -0.360075, -0.124764, 2.75023, 1.0], [4, -0.534286, -0.345097, 2.79999, 1.0], [5, -0.679778, -0.482292, 2.88588, 1.0], [6, -0.552006, -0.405668, 2.74368, 1.0], [7, -0.497988, -0.383883, 2.76153, 1.0], [8, -0.206701, -0.287214, 2.87132, 1.0], [9, -0.103575, -0.327926, 3.09605, 1.0], [10, -0.349633, -0.389033, 3.00388, 1.0], [11, -0.431788, -0.4098, 2.97688, 1.0], [12, -0.419551, -0.827631, 2.92463, 1.0], [13, -0.494962, -1.17195, 2.91685, 1.0], [14, -0.533647, -1.51924, 2.87187, 1.0], [15, -0.49482, -1.56693, 2.79099, 1.0], [16, -0.273471, -0.802677, 2.94836, 1.0], [17, -0.227688, -1.203, 2.97933, 1.0], [18, -0.201984, -1.53633, 2.94212, 1.0], [19, -0.238319, -1.58216, 2.86209, 1.0], [20, -0.368476, -0.329261, 2.82752, 1.0], [21, -0.458183, -0.331269, 2.74253, 1.0], [22, -0.547033, -0.321307, 2.74693, 1.0], [23, -0.43226, -0.448219, 2.95483, 1.0], [24, -0.429483, -0.358091, 2.9664, 1.0]]
[[0, -0.345549, -0.82139, 2.96546, 1.0], [1, -0.3572, -0.538069, 2.8932, 1.0], [2, -0.364755, -0.256143, 2.80503, 1.0], [3, -0.354646, -0.116008, 2.75296, 1.0], [4, -0.525414, -0.3427, 2.79963, 1.0], [5, -0.674543, -0.482549, 2.88057, 1.0], [6, -0.5434, -0.401522, 2.74192, 1.0], [7, -0.488995, -0.374899, 2.76416, 1.0], [8, -0.203582, -0.284041, 2.87678, 1.0], [9, -0.102904, -0.328536, 3.09785, 1.0], [10, -0.350839, -0.389276, 3.0043, 1.0], [11, -0.433618, -0.409921, 2.97683, 1.0], [12, -0.414429, -0.825364, 2.92038, 1.0], [13, -0.491154, -1.17104, 2.91547, 1.0], [14, -0.532739, -1.5209, 2.8729, 1.0], [15, -0.495639, -1.56455, 2.78345, 1.0], [16, -0.268884, -0.799346, 2.94425, 1.0], [17, -0.226432, -1.2039, 2.97955, 1.0], [18, -0.201832, -1.53635, 2.94219, 1.0], [19, -0.238828, -1.58321, 2.86045, 1.0], [20, -0.363679, -0.326551, 2.82944, 1.0], [21, -0.453114, -0.317082, 2.74835, 1.0], [22, -0.544453, -0.317204, 2.7497, 1.0], [23, -0.434913, -0.448574, 2.95633, 1.0], [24, -0.432043, -0.357874, 2.96412, 1.0]]
[[0, -0.334601, -0.81719, 2.9587, 1.0], [1, -0.349397, -0.534591, 2.89219, 1.0], [2, -0.358908, -0.253195, 2.80969, 1.0], [3, -0.351155, -0.113383, 2.76097, 1.0], [4, -0.518816, -0.340287, 2.80014, 1.0], [5, -0.671517, -0.482593, 2.8775, 1.0], [6, -0.534028, -0.393635, 2.74963, 1.0], [7, -0.484311, -0.368311, 2.76582, 1.0], [8, -0.198097, -0.278078, 2.88613, 1.0], [9, -0.103135, -0.328805, 3.09653, 1.0], [10, -0.126402, -0.578706, 2.98917, 1.0], [11, -0.144377, -0.643337, 2.91745, 1.0], [12, -0.402924, -0.821908, 2.91357, 1.0], [13, -0.485448, -1.16879, 2.9128, 1.0], [14, -0.534529, -1.52073, 2.86777, 1.0], [15, -0.470033, -1.56753, 2.85456, 1.0], [16, -0.258764, -0.794389, 2.93774, 1.0], [17, -0.224404, -1.20477, 2.97935, 1.0], [18, -0.20664, -1.53844, 2.94723, 1.0], [19, -0.211606, -1.57916, 2.85109, 1.0], [20, -0.357349, -0.323456, 2.83258, 1.0], [21, -0.446643, -0.328346, 2.74853, 1.0], [22, -0.532199, -0.304819, 2.75379, 1.0], [23, -0.143091, -0.723684, 2.923, 1.0], [24, -0.151817, -0.635797, 2.85792, 1.0]]
[[0, -0.323947, -0.814218, 2.95202, 1.0], [1, -0.340614, -0.531835, 2.8905, 1.0], [2, -0.352533, -0.251144, 2.81312, 1.0], [3, -0.348347, -0.111738, 2.76685, 1.0], [4, -0.51151, -0.336882, 2.80046, 1.0], [5, -0.667695, -0.480796, 2.87276, 1.0], [6, -0.525289, -0.391068, 2.75082, 1.0], [7, -0.477223, -0.366638, 2.76725, 1.0], [8, -0.197135, -0.27722, 2.88784, 1.0], [9, -0.102947, -0.32928, 3.08828, 1.0], [10, -0.131774, -0.562782, 2.94644, 1.0], [11, -0.155647, -0.623194, 2.86244, 1.0], [12, -0.392726, -0.814346, 2.90431, 1.0], [13, -0.479456, -1.16649, 2.90868, 1.0], [14, -0.533929, -1.52101, 2.86616, 1.0], [15, -0.494687, -1.56352, 2.78461, 1.0], [16, -0.2469, -0.795237, 2.93288, 1.0], [17, -0.222647, -1.20859, 2.97968, 1.0], [18, -0.207737, -1.53734, 2.94963, 1.0], [19, -0.218899, -1.57689, 2.85637, 1.0], [20, -0.350329, -0.321173, 2.83479, 1.0], [21, -0.438011, -0.330337, 2.74968, 1.0], [22, -0.531445, -0.303216, 2.758, 1.0], [23, -0.167235, -0.688796, 2.83118, 1.0], [24, -0.182788, -0.590851, 2.80545, 1.0]]
[[0, -0.317752, -0.812753, 2.94711, 1.0], [1, -0.336629, -0.529532, 2.8889, 1.0], [2, -0.350538, -0.248462, 2.81455, 1.0], [3, -0.345173, -0.108753, 2.7718, 1.0], [4, -0.504328, -0.334208, 2.80064, 1.0], [5, -0.660067, -0.480776, 2.86391, 1.0], [6, -0.51471, -0.61569, 2.87959, 1.0], [7, -0.46264, -0.649714, 2.87819, 1.0], [8, -0.195844, -0.276054, 2.89011, 1.0], [9, -0.10287, -0.330668, 3.07496, 1.0], [10, -0.126532, -0.555535, 2.95398, 1.0], [11, -0.1436, -0.606081, 2.86582, 1.0], [12, -0.386516, -0.811557, 2.89954, 1.0], [13, -0.474372, -1.16483, 2.90493, 1.0], [14, -0.533879, -1.52334, 2.86386, 1.0], [15, -0.4931, -1.56631, 2.78228, 1.0], [16, -0.241524, -0.795321, 2.9285, 1.0], [17, -0.220852, -1.2074, 2.97858, 1.0], [18, -0.206282, -1.53746, 2.9473, 1.0], [19, -0.207932, -1.57568, 2.85043, 1.0], [20, -0.347858, -0.318615, 2.8355, 1.0], [21, -0.409393, -0.717225, 2.85376, 1.0], [22, -0.418009, -0.601387, 2.8201, 1.0], [23, -0.145171, -0.674989, 2.83547, 1.0], [24, -0.162921, -0.577244, 2.81319, 1.0]]
