[[0, -0.0947242, -0.356488, 2.51132, 1.0], [1, -0.0999003, -0.0539594, 2.48442, 1.0], [2, -0.104389, 0.241283, 2.44433, 1.0], [3, -0.104004, 0.382913, 2.4171, 1.0], [4, -0.324939, 0.145512, 2.46385, 1.0], [5, -0.425199, -0.0668859, 2.53436, 1.0], [6, -0.368771, -0.261842, 2.49543, 1.0], [7, -0.334963, -0.297606, 2.5247, 1.0], [8, 0.109328, 0.144191, 2.44276, 1.0], [9, 0.244961, -0.0235492, 2.51125, 1.0], [10, 0.147306, -0.199034, 2.45842, 1.0], [11, 0.0968353, -0.258916, 2.45895, 1.0], [12, -0.192443, -0.351136, 2.4748, 1.0], [13, -0.271096, -0.694264, 2.55044, 1.0], [14, -0.287327, -1.02776, 2.7532, 1.0], [15, -0.310791, -1.08398, 2.67773, 1.0], [16, 0.00567352, -0.351787, 2.47701, 1.0], [17, 0.0774608, -0.677828, 2.57614, 1.0], [18, 0.0756032, -1.00804, 2.76125, 1.0], [19, 0.108704, -1.07031, 2.69336, 1.0], [20, -0.103383, 0.168492, 2.45669, 1.0], [21, -0.329478, -0.339476, 2.50451, 1.0], [22, -0.321412, -0.315506, 2.47237, 1.0], [23, 0.068275, -0.316721, 2.40318, 1.0], [24, 0.0625585, -0.210329, 2.36937, 1.0]]
[[0, -0.0949944, -0.35698, 2.51186, 1.0], [1, -0.10009, -0.0541423, 2.4849, 1.0], [2, -0.104543, 0.241303, 2.44477, 1.0], [3, -0.103888, 0.382936, 2.41741, 1.0], [4, -0.324976, 0.145584, 2.46404, 1.0], [5, -0.425332, -0.0671607, 2.53516, 1.0], [6, -0.368471, -0.261826, 2.49443, 1.0], [7, -0.332333, -0.296336, 2.51978, 1.0], [8, 0.109415, 0.144222, 2.44296, 1.0], [9, 0.244836, -0.0234708, 2.51144, 1.0], [10, 0.130705, -0.193523, 2.4864, 1.0], [11, 0.100143, -0.244917, 2.46482, 1.0], [12, -0.180686, -0.353139, 2.47687, 1.0], [13, -0.2703, -0.694471, 2.54911, 1.0], [14, -0.287376, -1.02778, 2.75335, 1.0], [15, -0.310714, -1.08383, 2.67897, 1.0], [16, -0.0108625, -0.354208, 2.47826, 1.0], [17, 0.0774342, -0.677828, 2.57631, 1.0], [18, 0.0752915, -1.00872, 2.76182, 1.0], [19, 0.108825, -1.07044, 2.69349, 1.0], [20, -0.103542, 0.168466, 2.45713, 1.0], [21, -0.330235, -0.351692, 2.51053, 1.0], [22, -0.31579, -0.314239, 2.45653, 1.0], [23, 0.0842126, -0.320604, 2.42887, 1.0], [24, 0.0625447, -0.210085, 2.36964, 1.0]]
[[0, -0.0949797, -0.357824, 2.51193, 1.0], [1, -0.100059, -0.0542976, 2.48509, 1.0], [2, -0.104463, 0.241426, 2.44511, 1.0], [3, -0.103875, 0.383113, 2.41784, 1.0], [4, -0.324981, 0.145598, 2.46416, 1.0], [5, -0.425533, -0.0681143, 2.53646, 1.0], [6, -0.367906, -0.262299, 2.49272, 1.0], [7, -0.330745, -0.289759, 2.51652, 1.0], [8, 0.109387, 0.144261, 2.44309, 1.0], [9, 0.244839, -0.0232891, 2.51159, 1.0], [10, 0.130504, -0.193425, 2.48616, 1.0], [11, 0.0996823, -0.244775, 2.46414, 1.0], [12, -0.180539, -0.353683, 2.47685, 1.0], [13, -0.282572, -0.699578, 2.57111, 1.0], [14, -0.286014, -1.02746, 2.75337, 1.0], [15, -0.308694, -1.08346, 2.67872, 1.0], [16, -0.0105182, -0.354714, 2.47811, 1.0], [17, 0.077209, -0.678208, 2.57634, 1.0], [18, 0.0751025, -1.0086, 2.76247, 1.0], [19, 0.108481, -1.06979, 2.69835, 1.0], [20, -0.103485, 0.168502, 2.4574, 1.0], [21, -0.29479, -0.387853, 2.40885, 1.0], [22, -0.290491, -0.297805, 2.3718, 1.0], [23, 0.0823736, -0.318655, 2.42405, 1.0], [24, 0.062436, -0.210377, 2.36934, 1.0]]
[[0, -0.0951582, -0.358535, 2.51187, 1.0], [1, -0.100066, -0.054433, 2.48522, 1.0], [2, -0.104366, 0.241523, 2.4454, 1.0], [3, -0.103853, 0.383177, 2.41794, 1.0], [4, -0.325042, 0.145652, 2.46449, 1.0], [5, -0.425644, -0.0681644, 2.53659, 1.0], [6, -0.367746, -0.262231, 2.49207, 1.0], [7, -0.329492, -0.295509, 2.512, 1.0], [8, 0.109378, 0.144276, 2.44312, 1.0], [9, 0.244729, -0.0229886, 2.51176, 1.0], [10, 0.130511, -0.19331, 2.48635, 1.0], [11, 0.0993644, -0.244094, 2.46472, 1.0], [12, -0.181191, -0.354327, 2.47653, 1.0], [13, -0.283317, -0.699596, 2.57281, 1.0], [14, -0.285341, -1.02751, 2.75338, 1.0], [15, -0.307331, -1.08222, 2.67929, 1.0], [16, -0.0097458, -0.355302, 2.47791, 1.0], [17, 0.0765751, -0.679353, 2.57636, 1.0], [18, 0.0751632, -1.00856, 2.76295, 1.0], [19, 0.108643, -1.06935, 2.69992, 1.0], [20, -0.103429, 0.168525, 2.45762, 1.0], [21, -0.295036, -0.388177, 2.41086, 1.0], [22, -0.289453, -0.298086, 2.37052, 1.0], [23, 0.0834848, -0.320499, 2.42978, 1.0], [24, 0.0613544, -0.209291, 2.36773, 1.0]]
[[0, -0.095286, -0.358902, 2.51201, 1.0], [1, -0.10013, -0.0545744, 2.4854, 1.0], [2, -0.104397, 0.241551, 2.44562, 1.0], [3, -0.103903, 0.383358, 2.4191, 1.0], [4, -0.325096, 0.145767, 2.46478, 1.0], [5, -0.425624, -0.0684578, 2.53731, 1.0], [6, -0.368158, -0.262468, 2.49135, 1.0], [7, -0.326382, -0.290388, 2.50313, 1.0], [8, 0.109563, 0.144239, 2.44348, 1.0], [9, 0.244673, -0.0228806, 2.51205, 1.0], [10, 0.147268, -0.203324, 2.48678, 1.0], [11, 0.100204, -0.260832, 2.4657, 1.0], [12, -0.182063, -0.354672, 2.47665, 1.0], [13, -0.283237, -0.696152, 2.5716, 1.0], [14, -0.285118, -1.02745, 2.75376, 1.0], [15, -0.307418, -1.08226, 2.67931, 1.0], [16, -0.00873905, -0.355745, 2.47787, 1.0], [17, 0.0763483, -0.680123, 2.57728, 1.0], [18, 0.0756527, -1.00856, 2.76321, 1.0], [19, 0.108886, -1.07016, 2.69883, 1.0], [20, -0.103465, 0.168515, 2.45783, 1.0], [21, -0.29577, -0.386578, 2.4168, 1.0], [22, -0.289817, -0.297157, 2.37128, 1.0], [23, 0.0857659, -0.334352, 2.43199, 1.0], [24, 0.0628479, -0.214169, 2.37544, 1.0]]
[[0, -0.0959013, -0.358932, 2.51214, 1.0], [1, -0.100245, -0.0545453, 2.48548, 1.0], [2, -0.104342, 0.24167, 2.44569, 1.0], [3, -0.103756, 0.383486, 2.41924, 1.0], [4, -0.325074, 0.145784, 2.46501, 1.0], [5, -0.426005, -0.0685648, 2.53836, 1.0], [6, -0.36261, -0.258333, 2.48055, 1.0], [7, -0.316257, -0.302011, 2.47267, 1.0], [8, 0.10954, 0.14427, 2.44355, 1.0], [9, 0.244791, -0.0223688, 2.51243, 1.0], [10, 0.133021, -0.194423, 2.48649, 1.0], [11, 0.0989772, -0.246096, 2.46357, 1.0], [12, -0.182727, -0.35458, 2.47663, 1.0], [13, -0.283982, -0.697645, 2.57495, 1.0], [14, -0.285065, -1.02741, 2.75402, 1.0], [15, -0.307831, -1.08243, 2.67954, 1.0], [16, -0.00887065, -0.355668, 2.47793, 1.0], [17, 0.0755234, -0.685427, 2.57961, 1.0], [18, 0.0755137, -1.00886, 2.76307, 1.0], [19, 0.109048, -1.07029, 2.6982, 1.0], [20, -0.103455, 0.168595, 2.4579, 1.0], [21, -0.289732, -0.385047, 2.39947, 1.0], [22, -0.291569, -0.252552, 2.36457, 1.0], [23, 0.0813614, -0.317809, 2.42265, 1.0], [24, 0.0619031, -0.210336, 2.36953, 1.0]]
[[0, -0.0958439, -0.359059, 2.5118, 1.0], [1, -0.10023, -0.05456, 2.4855, 1.0], [2, -0.104268, 0.241728, 2.44589, 1.0], [3, -0.103601, 0.383704, 2.41969, 1.0], [4, -0.324956, 0.145985, 2.46556, 1.0], [5, -0.426352, -0.0686285, 2.53914, 1.0], [6, -0.364003, -0.259305, 2.48334, 1.0], [7, -0.313488, -0.298096, 2.46789, 1.0], [8, 0.109567, 0.144265, 2.44361, 1.0], [9, 0.244853, -0.0220794, 2.51298, 1.0], [10, 0.132029, -0.193495, 2.48634, 1.0], [11, 0.0979511, -0.243307, 2.46291, 1.0], [12, -0.182847, -0.35457, 2.47626, 1.0], [13, -0.284313, -0.700502, 2.57996, 1.0], [14, -0.285068, -1.02742, 2.75407, 1.0], [15, -0.308068, -1.0824, 2.67941, 1.0], [16, -0.00811517, -0.355716, 2.47716, 1.0], [17, 0.0737215, -0.685413, 2.57746, 1.0], [18, 0.0757315, -1.00853, 2.7627, 1.0], [19, 0.109018, -1.07084, 2.69659, 1.0], [20, -0.103404, 0.168623, 2.45802, 1.0], [21, -0.290794, -0.38689, 2.40288, 1.0], [22, -0.288443, -0.262439, 2.36324, 1.0], [23, 0.0774617, -0.318288, 2.4221, 1.0], [24, 0.0601812, -0.203739, 2.36558, 1.0]]
[[0, -0.0959758, -0.359152, 2.51184, 1.0], [1, -0.100237, -0.0545987, 2.48553, 1.0], [2, -0.104164, 0.241715, 2.44593, 1.0], [3, -0.103431, 0.383764, 2.41976, 1.0], [4, -0.324917, 0.146035, 2.4657, 1.0], [5, -0.426134, -0.0688509, 2.53945, 1.0], [6, -0.362378, -0.258307, 2.48017, 1.0], [7, -0.311565, -0.299953, 2.46212, 1.0], [8, 0.109549, 0.144413, 2.44388, 1.0], [9, 0.244842, -0.0220685, 2.5131, 1.0], [10, 0.131646, -0.193321, 2.48631, 1.0], [11, 0.0976459, -0.242365, 2.46138, 1.0], [12, -0.18343, -0.35466, 2.47627, 1.0], [13, -0.284049, -0.701706, 2.58152, 1.0], [14, -0.285019, -1.02767, 2.75416, 1.0], [15, -0.308253, -1.08237, 2.6798, 1.0], [16, -0.00796386, -0.35572, 2.47714, 1.0], [17, 0.0740338, -0.690138, 2.58031, 1.0], [18, 0.0760667, -1.00853, 2.76259, 1.0], [19, 0.109772, -1.07137, 2.69577, 1.0], [20, -0.103343, 0.168605, 2.45806, 1.0], [21, -0.289204, -0.387589, 2.40131, 1.0], [22, -0.280814, -0.267632, 2.35847, 1.0], [23, 0.0773314, -0.317762, 2.4181, 1.0], [24, 0.0591812, -0.200092, 2.36375, 1.0]]
[[0, -0.0967091, -0.359585, 2.5126, 1.0], [1, -0.100455, -0.0547281, 2.4859, 1.0], [2, -0.104136, 0.241771, 2.44609, 1.0], [3, -0.10341, 0.383788, 2.42024, 1.0], [4, -0.324884, 0.14601, 2.46583, 1.0], [5, -0.426192, -0.0690045, 2.53995, 1.0], [6, -0.365195, -0.259943, 2.48282, 1.0], [7, -0.313389, -0.300863, 2.46753, 1.0], [8, 0.1096, 0.144432, 2.44408, 1.0], [9, 0.244555, -0.0221338, 2.51329, 1.0], [10, 0.131009, -0.193292, 2.48716, 1.0], [11, 0.0966972, -0.244054, 2.4603, 1.0], [12, -0.18517, -0.355087, 2.47748, 1.0], [13, -0.273815, -0.699631, 2.5664, 1.0], [14, -0.284871, -1.02768, 2.75424, 1.0], [15, -0.308034, -1.08192, 2.68058, 1.0], [16, -0.00789988, -0.355826, 2.47739, 1.0], [17, 0.0741787, -0.691615, 2.58193, 1.0], [18, 0.0759583, -1.00875, 2.76266, 1.0], [19, 0.109652, -1.07167, 2.69531, 1.0], [20, -0.103353, 0.168633, 2.45826, 1.0], [21, -0.29022, -0.39227, 2.40368, 1.0], [22, -0.283655, -0.27454, 2.36188, 1.0], [23, 0.0793283, -0.325522, 2.42325, 1.0], [24, 0.0580858, -0.202528, 2.36215, 1.0]]
[[0, -0.0970523, -0.359521, 2.51281, 1.0], [1, -0.100626, -0.0547099, 2.48608, 1.0], [2, -0.104163, 0.241813, 2.44623, 1.0], [3, -0.103306, 0.383814, 2.42049, 1.0], [4, -0.324828, 0.146064, 2.46619, 1.0], [5, -0.426035, -0.069301, 2.54042, 1.0], [6, -0.367152, -0.261238, 2.48451, 1.0], [7, -0.313598, -0.299681, 2.46779, 1.0], [8, 0.109603, 0.14447, 2.44426, 1.0], [9, 0.244542, -0.0221582, 2.51338, 1.0], [10, 0.130682, -0.19323, 2.48774, 1.0], [11, 0.0969115, -0.244486, 2.4607, 1.0], [12, -0.186234, -0.354605, 2.47759, 1.0], [13, -0.278487, -0.702154, 2.57831, 1.0], [14, -0.284947, -1.0281, 2.75455, 1.0], [15, -0.308074, -1.08179, 2.6808, 1.0], [16, -0.0077811, -0.355814, 2.4776, 1.0], [17, 0.0741368, -0.692769, 2.58261, 1.0], [18, 0.0764134, -1.00935, 2.76331, 1.0], [19, 0.11046, -1.07175, 2.69556, 1.0], [20, -0.103409, 0.168674, 2.45842, 1.0], [21, -0.289934, -0.390506, 2.40488, 1.0], [22, -0.28531, -0.269216, 2.36277, 1.0], [23, 0.0792996, -0.325369, 2.4221, 1.0], [24, 0.0596067, -0.202562, 2.36492, 1.0]]
[[0, -0.0970527, -0.359523, 2.51283, 1.0], [1, -0.100592, -0.0546922, 2.48632, 1.0], [2, -0.103956, 0.241992, 2.44706, 1.0], [3, -0.103158, 0.384215, 2.42132, 1.0], [4, -0.325047, 0.146316, 2.46743, 1.0], [5, -0.426058, -0.0699164, 2.54127, 1.0], [6, -0.363392, -0.259095, 2.47889, 1.0], [7, -0.305993, -0.305212, 2.45202, 1.0], [8, 0.110191, 0.144398, 2.44583, 1.0], [9, 0.244578, -0.0221162, 2.51408, 1.0], [10, 0.144279, -0.201622, 2.49104, 1.0], [11, 0.101628, -0.255166, 2.47117, 1.0], [12, -0.186476, -0.354408, 2.47749, 1.0], [13, -0.277729, -0.703777, 2.57945, 1.0], [14, -0.285642, -1.02821, 2.75562, 1.0], [15, -0.308596, -1.08168, 2.68181, 1.0], [16, -0.00711884, -0.355908, 2.47777, 1.0], [17, 0.0742337, -0.690625, 2.58254, 1.0], [18, 0.0760232, -1.00881, 2.76332, 1.0], [19, 0.109702, -1.07101, 2.69651, 1.0], [20, -0.103252, 0.168807, 2.45909, 1.0], [21, -0.2824, -0.389743, 2.39146, 1.0], [22, -0.283016, -0.256494, 2.36148, 1.0], [23, 0.0834403, -0.334004, 2.43141, 1.0], [24, 0.0611723, -0.215373, 2.37407, 1.0]]
