[['2, k, 0', [0.0710514, -0.24574, 1.0]], ['2, k, 1', [0.0606612, 0.0748442, 1.0]], ['2, k, 2', [0.0502018, 0.388667, 1.0]], ['2, k, 3', [0.0952725, 0.511121, 1.0]], ['2, k, 4', [-0.0984724, 0.296722, 1.0]], ['2, k, 5', [-0.323701, 0.189032, 1.0]], ['2, k, 6', [-0.252567, 0.436946, 1.0]], ['2, k, 7', [-0.245337, 0.487881, 1.0]], ['2, k, 8', [0.233813, 0.29444, 1.0]], ['2, k, 9', [0.461919, 0.185015, 1.0]], ['2, k, 10', [0.402341, 0.457955, 1.0]], ['2, k, 11', [0.388141, 0.518203, 1.0]], ['2, k, 12', [-0.00533307, -0.24243, 1.0]], ['2, k, 13', [-0.0419639, -0.686586, 1.0]], ['2, k, 14', [-0.0456472, -1.12021, 1.0]], ['2, k, 15', [-0.0584617, -1.19807, 1.0]], ['2, k, 16', [0.1458, -0.24342, 1.0]], ['2, k, 17', [0.134168, -0.699506, 1.0]], ['2, k, 18', [0.140272, -1.13896, 1.0]], ['2, k, 19', [0.134362, -1.19034, 1.0]], ['2, k, 20', [0.0528365, 0.311197, 1.0]], ['2, k, 21', [-0.238205, 0.546228, 1.0]], ['2, k, 22', [-0.281442, 0.507599, 1.0]], ['2, k, 23', [0.377353, 0.581506, 1.0]], ['2, k, 24', [0.415117, 0.533651, 1.0]]]
[['2, k, 0', [0.0610023, -0.24588, 1.0]], ['2, k, 1', [0.0592174, 0.0739951, 1.0]], ['2, k, 2', [0.0518928, 0.387197, 1.0]], ['2, k, 3', [0.0950744, 0.511331, 1.0]], ['2, k, 4', [-0.0985384, 0.296875, 1.0]], ['2, k, 5', [-0.323149, 0.212199, 1.0]], ['2, k, 6', [-0.256594, 0.434722, 1.0]], ['2, k, 7', [-0.247382, 0.49703, 1.0]], ['2, k, 8', [0.234109, 0.294204, 1.0]], ['2, k, 9', [0.461935, 0.215758, 1.0]], ['2, k, 10', [0.399394, 0.471813, 1.0]], ['2, k, 11', [0.381681, 0.521071, 1.0]], ['2, k, 12', [-0.0150233, -0.242022, 1.0]], ['2, k, 13', [-0.0415088, -0.686716, 1.0]], ['2, k, 14', [-0.0461016, -1.11912, 1.0]], ['2, k, 15', [-0.0570097, -1.20142, 1.0]], ['2, k, 16', [0.135595, -0.244132, 1.0]], ['2, k, 17', [0.132514, -0.692757, 1.0]], ['2, k, 18', [0.153843, -1.0748, 1.0]], ['2, k, 19', [0.134407, -1.18281, 1.0]], ['2, k, 20', [0.0536245, 0.310114, 1.0]], ['2, k, 21', [-0.23908, 0.554988, 1.0]], ['2, k, 22', [-0.200549, 0.470347, 1.0]], ['2, k, 23', [0.364588, 0.583434, 1.0]], ['2, k, 24', [0.411755, 0.542199, 1.0]]]
[['2, k, 0', [0.054095, -0.232551, 1.0]], ['2, k, 1', [0.0586079, 0.0821286, 1.0]], ['2, k, 2', [0.0553613, 0.390554, 1.0]], ['2, k, 3', [0.0950151, 0.511195, 1.0]], ['2, k, 4', [-0.0977191, 0.299133, 1.0]], ['2, k, 5', [-0.322822, 0.210347, 1.0]], ['2, k, 6', [-0.258602, 0.441872, 1.0]], ['2, k, 7', [-0.248124, 0.500663, 1.0]], ['2, k, 8', [0.235288, 0.293493, 1.0]], ['2, k, 9', [0.45866, 0.220506, 1.0]], ['2, k, 10', [0.396531, 0.474944, 1.0]], ['2, k, 11', [0.380611, 0.5261, 1.0]], ['2, k, 12', [-0.0220961, -0.226029, 1.0]], ['2, k, 13', [-0.0379377, -0.755224, 1.0]], ['2, k, 14', [-0.0429854, -1.12594, 1.0]], ['2, k, 15', [-0.0830747, -1.19392, 1.0]], ['2, k, 16', [0.129026, -0.233702, 1.0]], ['2, k, 17', [0.134004, -0.710745, 1.0]], ['2, k, 18', [0.146672, -1.13883, 1.0]], ['2, k, 19', [0.132072, -1.19438, 1.0]], ['2, k, 20', [0.0566386, 0.314128, 1.0]], ['2, k, 21', [-0.2405, 0.556837, 1.0]], ['2, k, 22', [-0.193233, 0.497305, 1.0]], ['2, k, 23', [0.358648, 0.583996, 1.0]], ['2, k, 24', [0.404032, 0.554735, 1.0]]]
[['2, k, 0', [0.054116, -0.232524, 1.0]], ['2, k, 1', [0.0585488, 0.0822856, 1.0]], ['2, k, 2', [0.0560889, 0.390745, 1.0]], ['2, k, 3', [0.0950035, 0.511164, 1.0]], ['2, k, 4', [-0.0973843, 0.299345, 1.0]], ['2, k, 5', [-0.324369, 0.205247, 1.0]], ['2, k, 6', [-0.25869, 0.440964, 1.0]], ['2, k, 7', [-0.239241, 0.495459, 1.0]], ['2, k, 8', [0.236087, 0.292851, 1.0]], ['2, k, 9', [0.459105, 0.222383, 1.0]], ['2, k, 10', [0.396044, 0.474841, 1.0]], ['2, k, 11', [0.376806, 0.52526, 1.0]], ['2, k, 12', [-0.0220628, -0.226052, 1.0]], ['2, k, 13', [-0.0379522, -0.755342, 1.0]], ['2, k, 14', [-0.0396, -1.135, 1.0]], ['2, k, 15', [-0.0334778, -1.19336, 1.0]], ['2, k, 16', [0.129063, -0.233646, 1.0]], ['2, k, 17', [0.135888, -0.719389, 1.0]], ['2, k, 18', [0.1454, -1.14009, 1.0]], ['2, k, 19', [0.130245, -1.19162, 1.0]], ['2, k, 20', [0.0571911, 0.314367, 1.0]], ['2, k, 21', [-0.218649, 0.54784, 1.0]], ['2, k, 22', [-0.196649, 0.4675, 1.0]], ['2, k, 23', [0.357853, 0.576178, 1.0]], ['2, k, 24', [0.405353, 0.542426, 1.0]]]
[['2, k, 0', [0.0541464, -0.232809, 1.0]], ['2, k, 1', [0.0583282, 0.0821553, 1.0]], ['2, k, 2', [0.0562257, 0.390794, 1.0]], ['2, k, 3', [0.0951799, 0.510832, 1.0]], ['2, k, 4', [-0.0973386, 0.299481, 1.0]], ['2, k, 5', [-0.317979, 0.20901, 1.0]], ['2, k, 6', [-0.257258, 0.439362, 1.0]], ['2, k, 7', [-0.230434, 0.480991, 1.0]], ['2, k, 8', [0.236171, 0.292839, 1.0]], ['2, k, 9', [0.453437, 0.223348, 1.0]], ['2, k, 10', [0.39896, 0.448968, 1.0]], ['2, k, 11', [0.378489, 0.505529, 1.0]], ['2, k, 12', [-0.0220326, -0.226701, 1.0]], ['2, k, 13', [-0.0382013, -0.754469, 1.0]], ['2, k, 14', [-0.0400204, -1.13818, 1.0]], ['2, k, 15', [-0.0316337, -1.19362, 1.0]], ['2, k, 16', [0.129088, -0.233734, 1.0]], ['2, k, 17', [0.135837, -0.719327, 1.0]], ['2, k, 18', [0.145493, -1.14259, 1.0]], ['2, k, 19', [0.130094, -1.19047, 1.0]], ['2, k, 20', [0.0571796, 0.31436, 1.0]], ['2, k, 21', [-0.208357, 0.525467, 1.0]], ['2, k, 22', [-0.18891, 0.459874, 1.0]], ['2, k, 23', [0.352772, 0.549964, 1.0]], ['2, k, 24', [0.406125, 0.519415, 1.0]]]
[['2, k, 0', [0.0540982, -0.232963, 1.0]], ['2, k, 1', [0.0584526, 0.0821421, 1.0]], ['2, k, 2', [0.0580368, 0.390981, 1.0]], ['2, k, 3', [0.0954022, 0.511104, 1.0]], ['2, k, 4', [-0.0972488, 0.299677, 1.0]], ['2, k, 5', [-0.309124, 0.203776, 1.0]], ['2, k, 6', [-0.247354, 0.399618, 1.0]], ['2, k, 7', [-0.2231, 0.445948, 1.0]], ['2, k, 8', [0.236278, 0.292648, 1.0]], ['2, k, 9', [0.463078, 0.203414, 1.0]], ['2, k, 10', [0.402092, 0.427816, 1.0]], ['2, k, 11', [0.378487, 0.475862, 1.0]], ['2, k, 12', [-0.0220732, -0.226844, 1.0]], ['2, k, 13', [-0.0372865, -0.744218, 1.0]], ['2, k, 14', [-0.0399811, -1.13735, 1.0]], ['2, k, 15', [-0.0311626, -1.19031, 1.0]], ['2, k, 16', [0.129048, -0.233828, 1.0]], ['2, k, 17', [0.135792, -0.719412, 1.0]], ['2, k, 18', [0.14241, -1.14451, 1.0]], ['2, k, 19', [0.130194, -1.19053, 1.0]], ['2, k, 20', [0.0580529, 0.314475, 1.0]], ['2, k, 21', [-0.199118, 0.485085, 1.0]], ['2, k, 22', [-0.184592, 0.425231, 1.0]], ['2, k, 23', [0.353986, 0.521291, 1.0]], ['2, k, 24', [0.376961, 0.51598, 1.0]]]
[['2, k, 0', [0.0541162, -0.232758, 1.0]], ['2, k, 1', [0.058821, 0.0824646, 1.0]], ['2, k, 2', [0.060792, 0.391801, 1.0]], ['2, k, 3', [0.0951056, 0.511072, 1.0]], ['2, k, 4', [-0.0971221, 0.301169, 1.0]], ['2, k, 5', [-0.306964, 0.198827, 1.0]], ['2, k, 6', [-0.237722, 0.36651, 1.0]], ['2, k, 7', [-0.215021, 0.40288, 1.0]], ['2, k, 8', [0.236692, 0.291856, 1.0]], ['2, k, 9', [0.462578, 0.198016, 1.0]], ['2, k, 10', [0.395236, 0.393379, 1.0]], ['2, k, 11', [0.377144, 0.441672, 1.0]], ['2, k, 12', [-0.0220663, -0.22655, 1.0]], ['2, k, 13', [-0.0372735, -0.744143, 1.0]], ['2, k, 14', [-0.0394503, -1.1369, 1.0]], ['2, k, 15', [-0.032092, -1.18906, 1.0]], ['2, k, 16', [0.129074, -0.233713, 1.0]], ['2, k, 17', [0.135731, -0.7203, 1.0]], ['2, k, 18', [0.142217, -1.14531, 1.0]], ['2, k, 19', [0.130381, -1.18939, 1.0]], ['2, k, 20', [0.0598671, 0.315153, 1.0]], ['2, k, 21', [-0.19238, 0.430881, 1.0]], ['2, k, 22', [-0.179742, 0.385629, 1.0]], ['2, k, 23', [0.358961, 0.489204, 1.0]], ['2, k, 24', [0.408973, 0.458865, 1.0]]]
[['2, k, 0', [0.054098, -0.233086, 1.0]], ['2, k, 1', [0.0587743, 0.0824431, 1.0]], ['2, k, 2', [0.0608923, 0.391889, 1.0]], ['2, k, 3', [0.0954223, 0.511591, 1.0]], ['2, k, 4', [-0.097308, 0.301774, 1.0]], ['2, k, 5', [-0.306554, 0.197202, 1.0]], ['2, k, 6', [-0.237247, 0.305242, 1.0]], ['2, k, 7', [-0.216199, 0.337254, 1.0]], ['2, k, 8', [0.236552, 0.291667, 1.0]], ['2, k, 9', [0.456341, 0.184202, 1.0]], ['2, k, 10', [0.393265, 0.3475, 1.0]], ['2, k, 11', [0.37301, 0.392805, 1.0]], ['2, k, 12', [-0.0221042, -0.226887, 1.0]], ['2, k, 13', [-0.0369695, -0.744519, 1.0]], ['2, k, 14', [-0.0375562, -1.13726, 1.0]], ['2, k, 15', [-0.0333761, -1.18988, 1.0]], ['2, k, 16', [0.129072, -0.234003, 1.0]], ['2, k, 17', [0.135303, -0.721462, 1.0]], ['2, k, 18', [0.142178, -1.14459, 1.0]], ['2, k, 19', [0.13036, -1.18774, 1.0]], ['2, k, 20', [0.0600001, 0.315263, 1.0]], ['2, k, 21', [-0.192071, 0.351433, 1.0]], ['2, k, 22', [-0.175844, 0.329061, 1.0]], ['2, k, 23', [0.370228, 0.431572, 1.0]], ['2, k, 24', [0.399447, 0.394868, 1.0]]]
[['2, k, 0', [0.0540465, -0.23303, 1.0]], ['2, k, 1', [0.0591284, 0.0825305, 1.0]], ['2, k, 2', [0.062052, 0.391863, 1.0]], ['2, k, 3', [0.0963364, 0.512744, 1.0]], ['2, k, 4', [-0.094787, 0.306407, 1.0]], ['2, k, 5', [-0.311435, 0.1802, 1.0]], ['2, k, 6', [-0.246464, 0.238531, 1.0]], ['2, k, 7', [-0.216025, 0.264053, 1.0]], ['2, k, 8', [0.237656, 0.291276, 1.0]], ['2, k, 9', [0.452403, 0.179245, 1.0]], ['2, k, 10', [0.404114, 0.298327, 1.0]], ['2, k, 11', [0.372156, 0.323834, 1.0]], ['2, k, 12', [-0.0221678, -0.226493, 1.0]], ['2, k, 13', [-0.0369409, -0.745011, 1.0]], ['2, k, 14', [-0.0296645, -1.1421, 1.0]], ['2, k, 15', [-0.0427351, -1.19194, 1.0]], ['2, k, 16', [0.129028, -0.234137, 1.0]], ['2, k, 17', [0.13544, -0.71862, 1.0]], ['2, k, 18', [0.139124, -1.1451, 1.0]], ['2, k, 19', [0.131752, -1.19165, 1.0]], ['2, k, 20', [0.0610619, 0.315306, 1.0]], ['2, k, 21', [-0.187254, 0.267194, 1.0]], ['2, k, 22', [-0.192686, 0.237386, 1.0]], ['2, k, 23', [0.344135, 0.359038, 1.0]], ['2, k, 24', [0.387005, 0.33839, 1.0]]]
[['2, k, 0', [0.0541616, -0.23264, 1.0]], ['2, k, 1', [0.0591529, 0.0829689, 1.0]], ['2, k, 2', [0.0621743, 0.392068, 1.0]], ['2, k, 3', [0.0968204, 0.513175, 1.0]], ['2, k, 4', [-0.0951606, 0.306652, 1.0]], ['2, k, 5', [-0.317501, 0.177999, 1.0]], ['2, k, 6', [-0.246516, 0.178873, 1.0]], ['2, k, 7', [-0.220209, 0.183781, 1.0]], ['2, k, 8', [0.238402, 0.290854, 1.0]], ['2, k, 9', [0.448016, 0.171204, 1.0]], ['2, k, 10', [0.376982, 0.240785, 1.0]], ['2, k, 11', [0.361822, 0.252633, 1.0]], ['2, k, 12', [-0.0219447, -0.225989, 1.0]], ['2, k, 13', [-0.0368554, -0.744859, 1.0]], ['2, k, 14', [-0.0296627, -1.14215, 1.0]], ['2, k, 15', [-0.0415112, -1.19178, 1.0]], ['2, k, 16', [0.129063, -0.23389, 1.0]], ['2, k, 17', [0.135282, -0.717317, 1.0]], ['2, k, 18', [0.134683, -1.13162, 1.0]], ['2, k, 19', [0.128139, -1.18041, 1.0]], ['2, k, 20', [0.0612183, 0.315603, 1.0]], ['2, k, 21', [-0.180584, 0.158756, 1.0]], ['2, k, 22', [-0.226361, 0.155582, 1.0]], ['2, k, 23', [0.350189, 0.275225, 1.0]], ['2, k, 24', [0.383877, 0.278789, 1.0]]]
[['2, k, 0', [0.0542927, -0.23231, 1.0]], ['2, k, 1', [0.0591301, 0.0831511, 1.0]], ['2, k, 2', [0.0621942, 0.392059, 1.0]], ['2, k, 3', [0.0969757, 0.513694, 1.0]], ['2, k, 4', [-0.0968241, 0.308023, 1.0]], ['2, k, 5', [-0.288054, 0.226586, 1.0]], ['2, k, 6', [-0.239985, 0.134069, 1.0]], ['2, k, 7', [-0.225613, 0.107399, 1.0]], ['2, k, 8', [0.238473, 0.290652, 1.0]], ['2, k, 9', [0.448401, 0.147562, 1.0]], ['2, k, 10', [0.365614, 0.175468, 1.0]], ['2, k, 11', [0.364377, 0.178431, 1.0]], ['2, k, 12', [-0.0217712, -0.225733, 1.0]], ['2, k, 13', [-0.0370366, -0.74453, 1.0]], ['2, k, 14', [-0.0306786, -1.14311, 1.0]], ['2, k, 15', [-0.0507467, -1.19202, 1.0]], ['2, k, 16', [0.129128, -0.233523, 1.0]], ['2, k, 17', [0.135971, -0.720918, 1.0]], ['2, k, 18', [0.135935, -1.13531, 1.0]], ['2, k, 19', [0.127369, -1.18437, 1.0]], ['2, k, 20', [0.0612578, 0.315644, 1.0]], ['2, k, 21', [-0.19798, 0.0673423, 1.0]], ['2, k, 22', [-0.255845, 0.0903412, 1.0]], ['2, k, 23', [0.349364, 0.170279, 1.0]], ['2, k, 24', [0.391897, 0.174878, 1.0]]]
