[[0, -0.411249, -0.760775, 2.67777, 1.0], [1, -0.388373, -0.470421, 2.60181, 1.0], [2, -0.363791, -0.183393, 2.51283, 1.0], [3, -0.360399, -0.0332974, 2.49972, 1.0], [4, -0.498337, -0.223878, 2.46776, 1.0], [5, -0.587498, -0.223408, 2.29451, 1.0], [6, -0.57818, -0.222915, 2.07804, 1.0], [7, -0.594641, -0.213941, 1.88822, 1.0], [8, -0.210912, -0.25277, 2.5115, 1.0], [9, -0.0564892, -0.2345, 2.40492, 1.0], [10, 0.0325504, -0.220702, 2.25288, 1.0], [11, 0.0962152, -0.218829, 1.99998, 1.0], [12, -0.471469, -0.744736, 2.64142, 1.0], [13, -0.516134, -0.91384, 2.4381, 1.0], [14, -0.545938, -1.33738, 2.48366, 1.0], [15, -0.530415, -1.38676, 2.36552, 1.0], [16, -0.340829, -0.757958, 2.64775, 1.0], [17, -0.153495, -0.90736, 2.49367, 1.0], [18, -0.125921, -1.22181, 2.50048, 1.0], [19, -0.108557, -1.26761, 2.379, 1.0], [20, -0.370251, -0.254703, 2.53743, 1.0], [21, -0.606626, -0.21569, 1.85988, 1.0], [22, -0.522451, -0.218927, 1.87824, 1.0], [23, 0.119907, -0.22271, 1.97924, 1.0], [24, 0.146373, -0.205211, 2.00078, 1.0]]
[[0, -0.409569, -0.782026, 2.67881, 1.0], [1, -0.387804, -0.478951, 2.60286, 1.0], [2, -0.363774, -0.184907, 2.51356, 1.0], [3, -0.35984, -0.0381457, 2.49924, 1.0], [4, -0.497171, -0.235688, 2.46949, 1.0], [5, -0.588529, -0.229191, 2.29862, 1.0], [6, -0.539951, -0.235305, 2.06125, 1.0], [7, -0.588818, -0.2297, 1.88546, 1.0], [8, -0.211143, -0.255169, 2.51168, 1.0], [9, -0.0269885, -0.240797, 2.35111, 1.0], [10, 0.0710063, -0.215674, 2.20116, 1.0], [11, 0.0957738, -0.232315, 1.99688, 1.0], [12, -0.46984, -0.769574, 2.64325, 1.0], [13, -0.524868, -0.939932, 2.41128, 1.0], [14, -0.554936, -1.36294, 2.45646, 1.0], [15, -0.540991, -1.42853, 2.48828, 1.0], [16, -0.339029, -0.775268, 2.64726, 1.0], [17, -0.142859, -0.91625, 2.48721, 1.0], [18, -0.115013, -1.23044, 2.4924, 1.0], [19, -0.0972068, -1.27627, 2.36868, 1.0], [20, -0.37015, -0.257434, 2.53828, 1.0], [21, -0.611345, -0.23517, 1.85529, 1.0], [22, -0.512529, -0.234566, 1.87365, 1.0], [23, 0.12121, -0.237096, 1.97225, 1.0], [24, 0.0350642, -0.235388, 1.9634, 1.0]]
[[0, -0.410061, -0.796915, 2.6823, 1.0], [1, -0.387443, -0.499156, 2.60315, 1.0], [2, -0.362806, -0.204551, 2.51015, 1.0], [3, -0.357525, -0.0571772, 2.49553, 1.0], [4, -0.495601, -0.26333, 2.46306, 1.0], [5, -0.591334, -0.248621, 2.29095, 1.0], [6, -0.544623, -0.253221, 2.03559, 1.0], [7, -0.588793, -0.246884, 1.88099, 1.0], [8, -0.213794, -0.276809, 2.50571, 1.0], [9, -0.0304619, -0.260403, 2.31805, 1.0], [10, 0.0239502, -0.264174, 2.06431, 1.0], [11, 0.0815329, -0.248625, 1.99059, 1.0], [12, -0.470258, -0.783529, 2.64751, 1.0], [13, -0.527437, -0.954578, 2.39415, 1.0], [14, -0.559144, -1.37555, 2.4414, 1.0], [15, -0.540993, -1.42886, 2.48828, 1.0], [16, -0.339554, -0.790295, 2.64969, 1.0], [17, -0.128224, -0.930066, 2.47536, 1.0], [18, -0.099658, -1.24313, 2.47825, 1.0], [19, -0.131792, -1.28421, 2.50558, 1.0], [20, -0.369295, -0.277816, 2.53578, 1.0], [21, -0.603405, -0.249505, 1.84957, 1.0], [22, -0.509742, -0.250811, 1.86733, 1.0], [23, 0.11936, -0.249327, 1.96672, 1.0], [24, 0.00745568, -0.249772, 1.95329, 1.0]]
[[0, -0.408601, -0.802131, 2.68363, 1.0], [1, -0.386552, -0.508319, 2.60214, 1.0], [2, -0.363023, -0.219849, 2.50554, 1.0], [3, -0.35589, -0.0712321, 2.49026, 1.0], [4, -0.495512, -0.263578, 2.45906, 1.0], [5, -0.593712, -0.265641, 2.28136, 1.0], [6, -0.543903, -0.259272, 2.01892, 1.0], [7, -0.59047, -0.263337, 1.87488, 1.0], [8, -0.210563, -0.284734, 2.50266, 1.0], [9, -0.0224705, -0.267828, 2.30903, 1.0], [10, 0.078771, -0.267001, 2.06221, 1.0], [11, 0.0966243, -0.26226, 1.98563, 1.0], [12, -0.468729, -0.786954, 2.64925, 1.0], [13, -0.52712, -0.962659, 2.38935, 1.0], [14, -0.559907, -1.38496, 2.43916, 1.0], [15, -0.544407, -1.43192, 2.32569, 1.0], [16, -0.338274, -0.797777, 2.65065, 1.0], [17, -0.122748, -0.93953, 2.46799, 1.0], [18, -0.106374, -1.25435, 2.47682, 1.0], [19, -0.0909621, -1.29831, 2.35974, 1.0], [20, -0.369173, -0.291341, 2.53225, 1.0], [21, -0.604831, -0.267457, 1.84739, 1.0], [22, -0.513436, -0.266072, 1.85969, 1.0], [23, 0.11878, -0.264988, 1.96264, 1.0], [24, 0.0299556, -0.264885, 1.94964, 1.0]]
[[0, -0.406839, -0.81374, 2.6857, 1.0], [1, -0.385032, -0.52296, 2.60019, 1.0], [2, -0.361667, -0.236175, 2.49991, 1.0], [3, -0.353478, -0.0901772, 2.48167, 1.0], [4, -0.493295, -0.286727, 2.45197, 1.0], [5, -0.59141, -0.289755, 2.27116, 1.0], [6, -0.546567, -0.280545, 2.00431, 1.0], [7, -0.591, -0.279777, 1.86846, 1.0], [8, -0.209547, -0.308364, 2.49271, 1.0], [9, -0.0157774, -0.283366, 2.30069, 1.0], [10, 0.0419254, -0.296344, 2.03664, 1.0], [11, 0.0864545, -0.278702, 1.97775, 1.0], [12, -0.466805, -0.798686, 2.65123, 1.0], [13, -0.527598, -0.969267, 2.3832, 1.0], [14, -0.561126, -1.39237, 2.43709, 1.0], [15, -0.546643, -1.4409, 2.32352, 1.0], [16, -0.336762, -0.808554, 2.65302, 1.0], [17, -0.118704, -0.9453, 2.46178, 1.0], [18, -0.139713, -1.24063, 2.49609, 1.0], [19, -0.129703, -1.29056, 2.38105, 1.0], [20, -0.3678, -0.307453, 2.52748, 1.0], [21, -0.606828, -0.285054, 1.84041, 1.0], [22, -0.519928, -0.282062, 1.85281, 1.0], [23, 0.123955, -0.279622, 1.9581, 1.0], [24, 0.0925503, -0.297446, 1.94905, 1.0]]
[[0, -0.404747, -0.826914, 2.6873, 1.0], [1, -0.383765, -0.534566, 2.59914, 1.0], [2, -0.361022, -0.245724, 2.49729, 1.0], [3, -0.351931, -0.10538, 2.47562, 1.0], [4, -0.492464, -0.295351, 2.44981, 1.0], [5, -0.589981, -0.303906, 2.26892, 1.0], [6, -0.545611, -0.289761, 2.00221, 1.0], [7, -0.589369, -0.295288, 1.86508, 1.0], [8, -0.208881, -0.31272, 2.49148, 1.0], [9, -0.00131685, -0.298554, 2.31429, 1.0], [10, 0.0800065, -0.295076, 2.05636, 1.0], [11, 0.0975768, -0.292627, 1.97398, 1.0], [12, -0.464523, -0.813019, 2.65281, 1.0], [13, -0.530499, -0.974644, 2.37615, 1.0], [14, -0.562706, -1.39782, 2.43099, 1.0], [15, -0.54742, -1.44714, 2.31715, 1.0], [16, -0.334898, -0.820291, 2.65476, 1.0], [17, -0.113875, -0.951836, 2.45749, 1.0], [18, -0.105137, -1.26773, 2.47114, 1.0], [19, -0.0909259, -1.31441, 2.35367, 1.0], [20, -0.367026, -0.317511, 2.52518, 1.0], [21, -0.606833, -0.297047, 1.83347, 1.0], [22, -0.520187, -0.299087, 1.85006, 1.0], [23, 0.119957, -0.29444, 1.95035, 1.0], [24, 0.0289691, -0.295232, 1.9408, 1.0]]
[[0, -0.401259, -0.83744, 2.69086, 1.0], [1, -0.381831, -0.543554, 2.59912, 1.0], [2, -0.360235, -0.253803, 2.49435, 1.0], [3, -0.350959, -0.125152, 2.47153, 1.0], [4, -0.492284, -0.301555, 2.44735, 1.0], [5, -0.591199, -0.310489, 2.26751, 1.0], [6, -0.598656, -0.310069, 1.99734, 1.0], [7, -0.59263, -0.308621, 1.85764, 1.0], [8, -0.208201, -0.321367, 2.48865, 1.0], [9, -3.79486e-05, -0.303434, 2.31291, 1.0], [10, 0.0804775, -0.300864, 2.05495, 1.0], [11, 0.100726, -0.305983, 1.97059, 1.0], [12, -0.461258, -0.822219, 2.65519, 1.0], [13, -0.532457, -0.975759, 2.37209, 1.0], [14, -0.546426, -1.34324, 2.4712, 1.0], [15, -0.530075, -1.40027, 2.36223, 1.0], [16, -0.331274, -0.831988, 2.65971, 1.0], [17, -0.1086, -0.954316, 2.45342, 1.0], [18, -0.0984286, -1.26867, 2.46422, 1.0], [19, -0.0845037, -1.31574, 2.34628, 1.0], [20, -0.365975, -0.325756, 2.52297, 1.0], [21, -0.599447, -0.312166, 1.82833, 1.0], [22, -0.534064, -0.317048, 1.844, 1.0], [23, 0.124509, -0.309773, 1.94634, 1.0], [24, 0.0343193, -0.309685, 1.93369, 1.0]]
[[0, -0.400254, -0.844342, 2.69189, 1.0], [1, -0.379835, -0.566253, 2.59604, 1.0], [2, -0.357289, -0.299811, 2.48223, 1.0], [3, -0.349682, -0.138819, 2.46583, 1.0], [4, -0.491174, -0.339187, 2.43973, 1.0], [5, -0.581022, -0.345417, 2.25297, 1.0], [6, -0.588241, -0.330238, 1.9857, 1.0], [7, -0.590162, -0.322693, 1.85269, 1.0], [8, -0.203394, -0.352931, 2.47877, 1.0], [9, -0.00922288, -0.343087, 2.28334, 1.0], [10, 0.0818359, -0.313333, 2.0421, 1.0], [11, 0.100402, -0.320894, 1.96535, 1.0], [12, -0.460114, -0.830584, 2.6584, 1.0], [13, -0.532798, -0.979784, 2.36798, 1.0], [14, -0.548454, -1.35247, 2.47447, 1.0], [15, -0.532913, -1.41245, 2.36642, 1.0], [16, -0.330473, -0.837653, 2.65942, 1.0], [17, -0.104659, -0.962666, 2.45176, 1.0], [18, -0.123444, -1.29796, 2.5109, 1.0], [19, -0.113296, -1.35389, 2.39782, 1.0], [20, -0.363261, -0.365405, 2.51352, 1.0], [21, -0.59579, -0.326034, 1.82484, 1.0], [22, -0.526087, -0.325512, 1.83918, 1.0], [23, 0.122674, -0.320168, 1.9422, 1.0], [24, 0.0307149, -0.323566, 1.92969, 1.0]]
[[0, -0.397889, -0.857738, 2.69546, 1.0], [1, -0.378749, -0.575431, 2.59578, 1.0], [2, -0.357227, -0.301234, 2.48166, 1.0], [3, -0.347902, -0.155879, 2.4588, 1.0], [4, -0.490877, -0.336425, 2.43957, 1.0], [5, -0.583617, -0.351215, 2.25652, 1.0], [6, -0.587328, -0.333358, 1.9866, 1.0], [7, -0.588878, -0.336079, 1.84777, 1.0], [8, -0.203441, -0.352208, 2.47883, 1.0], [9, -0.00360018, -0.354785, 2.317, 1.0], [10, 0.0759112, -0.330632, 2.05959, 1.0], [11, 0.101044, -0.335195, 1.96274, 1.0], [12, -0.45789, -0.842595, 2.66143, 1.0], [13, -0.529994, -0.976843, 2.37538, 1.0], [14, -0.545816, -1.34697, 2.47003, 1.0], [15, -0.530664, -1.40406, 2.36264, 1.0], [16, -0.32814, -0.851798, 2.66348, 1.0], [17, -0.108777, -0.959362, 2.4548, 1.0], [18, -0.124615, -1.26101, 2.49526, 1.0], [19, -0.114605, -1.31411, 2.38272, 1.0], [20, -0.363037, -0.368476, 2.51277, 1.0], [21, -0.59992, -0.338932, 1.8188, 1.0], [22, -0.524541, -0.339541, 1.834, 1.0], [23, 0.125535, -0.336626, 1.93616, 1.0], [24, 0.0292611, -0.337691, 1.92806, 1.0]]
[[0, -0.391738, -0.869284, 2.69737, 1.0], [1, -0.373866, -0.595981, 2.59259, 1.0], [2, -0.355356, -0.326527, 2.47287, 1.0], [3, -0.346077, -0.173718, 2.45327, 1.0], [4, -0.486276, -0.36244, 2.42824, 1.0], [5, -0.592782, -0.378079, 2.26133, 1.0], [6, -0.582493, -0.347762, 2.00096, 1.0], [7, -0.586364, -0.349136, 1.84267, 1.0], [8, -0.197546, -0.380086, 2.46918, 1.0], [9, -0.0393781, -0.374944, 2.35014, 1.0], [10, 0.0548509, -0.348311, 2.10703, 1.0], [11, 0.101053, -0.346823, 1.95697, 1.0], [12, -0.452091, -0.853337, 2.66453, 1.0], [13, -0.525612, -0.977554, 2.38376, 1.0], [14, -0.546116, -1.34088, 2.4638, 1.0], [15, -0.531663, -1.39585, 2.35788, 1.0], [16, -0.321766, -0.86412, 2.6644, 1.0], [17, -0.110428, -0.961004, 2.45424, 1.0], [18, -0.113902, -1.30075, 2.50034, 1.0], [19, -0.102533, -1.35273, 2.39092, 1.0], [20, -0.360208, -0.393896, 2.50515, 1.0], [21, -0.597208, -0.348842, 1.81256, 1.0], [22, -0.518618, -0.350944, 1.82893, 1.0], [23, 0.126758, -0.347073, 1.93243, 1.0], [24, 0.0286502, -0.349792, 1.921, 1.0]]
[[0, -0.389426, -0.878688, 2.69842, 1.0], [1, -0.372133, -0.608023, 2.59174, 1.0], [2, -0.35381, -0.339778, 2.47096, 1.0], [3, -0.344179, -0.188734, 2.4477, 1.0], [4, -0.486333, -0.369205, 2.4243, 1.0], [5, -0.579933, -0.382838, 2.2494, 1.0], [6, -0.607031, -0.365893, 2.05611, 1.0], [7, -0.587749, -0.361311, 1.84004, 1.0], [8, -0.196939, -0.38693, 2.46559, 1.0], [9, 0.000259843, -0.385741, 2.29908, 1.0], [10, 0.0772837, -0.356509, 2.05082, 1.0], [11, 0.102299, -0.360876, 1.95492, 1.0], [12, -0.4492, -0.862899, 2.66632, 1.0], [13, -0.524569, -0.97687, 2.38899, 1.0], [14, -0.552414, -1.39688, 2.46542, 1.0], [15, -0.544286, -1.44726, 2.49544, 1.0], [16, -0.320129, -0.873197, 2.66503, 1.0], [17, -0.113764, -0.96438, 2.4572, 1.0], [18, -0.120052, -1.29205, 2.49779, 1.0], [19, -0.108961, -1.34425, 2.38826, 1.0], [20, -0.358681, -0.406608, 2.50352, 1.0], [21, -0.592194, -0.366913, 1.81172, 1.0], [22, -0.528923, -0.370277, 1.8235, 1.0], [23, 0.122293, -0.36506, 1.92932, 1.0], [24, 0.0291271, -0.362433, 1.92018, 1.0]]
[[0, -0.387542, -0.886249, 2.7001, 1.0], [1, -0.371095, -0.614989, 2.59168, 1.0], [2, -0.353235, -0.346068, 2.46988, 1.0], [3, -0.342995, -0.200478, 2.44491, 1.0], [4, -0.485718, -0.378357, 2.42118, 1.0], [5, -0.586064, -0.39212, 2.17513, 1.0], [6, -0.592027, -0.377814, 1.91339, 1.0], [7, -0.584806, -0.373687, 1.83588, 1.0], [8, -0.196228, -0.394555, 2.4625, 1.0], [9, -0.0337464, -0.405205, 2.33216, 1.0], [10, 0.0328258, -0.399629, 2.07859, 1.0], [11, 0.100086, -0.373014, 1.95152, 1.0], [12, -0.447122, -0.87065, 2.66787, 1.0], [13, -0.524499, -0.978238, 2.39465, 1.0], [14, -0.546383, -1.37552, 2.48259, 1.0], [15, -0.531806, -1.43096, 2.37712, 1.0], [16, -0.318543, -0.880433, 2.66704, 1.0], [17, -0.116576, -0.964717, 2.45953, 1.0], [18, -0.119273, -1.28563, 2.49443, 1.0], [19, -0.107676, -1.33763, 2.3846, 1.0], [20, -0.35801, -0.413064, 2.50267, 1.0], [21, -0.589024, -0.376043, 1.80543, 1.0], [22, -0.522449, -0.376767, 1.82086, 1.0], [23, 0.131482, -0.371671, 1.92787, 1.0], [24, 0.028984, -0.37362, 1.91371, 1.0]]
[[0, -0.38625, -0.891295, 2.70069, 1.0], [1, -0.370488, -0.620564, 2.59101, 1.0], [2, -0.353214, -0.352093, 2.46813, 1.0], [3, -0.341422, -0.217947, 2.44075, 1.0], [4, -0.48562, -0.382227, 2.41874, 1.0], [5, -0.585946, -0.397797, 2.17221, 1.0], [6, -0.591001, -0.380404, 1.9114, 1.0], [7, -0.583079, -0.384639, 1.83035, 1.0], [8, -0.195169, -0.398334, 2.46021, 1.0], [9, -0.0326913, -0.411243, 2.33138, 1.0], [10, 0.0606549, -0.396918, 2.08635, 1.0], [11, 0.10561, -0.384818, 1.94949, 1.0], [12, -0.445456, -0.875694, 2.66853, 1.0], [13, -0.525349, -0.98165, 2.40052, 1.0], [14, -0.545086, -1.38208, 2.48453, 1.0], [15, -0.530318, -1.43732, 2.3788, 1.0], [16, -0.317684, -0.885431, 2.66772, 1.0], [17, -0.118712, -0.96617, 2.462, 1.0], [18, -0.121168, -1.29944, 2.50361, 1.0], [19, -0.109517, -1.35221, 2.3944, 1.0], [20, -0.357846, -0.418981, 2.50119, 1.0], [21, -0.589452, -0.384154, 1.79985, 1.0], [22, -0.519226, -0.387519, 1.81433, 1.0], [23, 0.131637, -0.38368, 1.92568, 1.0], [24, 0.0395796, -0.38789, 1.91356, 1.0]]
[[0, -0.384028, -0.900122, 2.70336, 1.0], [1, -0.369547, -0.636091, 2.59052, 1.0], [2, -0.354149, -0.376791, 2.46301, 1.0], [3, -0.340728, -0.229716, 2.43904, 1.0], [4, -0.482536, -0.405348, 2.41135, 1.0], [5, -0.582708, -0.422518, 2.24366, 1.0], [6, -0.587716, -0.391786, 1.98688, 1.0], [7, -0.581968, -0.39499, 1.82992, 1.0], [8, -0.189888, -0.414947, 2.45269, 1.0], [9, -0.0354992, -0.424666, 2.33363, 1.0], [10, 0.0620629, -0.414811, 2.16714, 1.0], [11, 0.11071, -0.396355, 1.9473, 1.0], [12, -0.44287, -0.885071, 2.6709, 1.0], [13, -0.524121, -0.981458, 2.40338, 1.0], [14, -0.54513, -1.38415, 2.48514, 1.0], [15, -0.530095, -1.44021, 2.38004, 1.0], [16, -0.315922, -0.893643, 2.67095, 1.0], [17, -0.120382, -0.965354, 2.46306, 1.0], [18, -0.121179, -1.29934, 2.50367, 1.0], [19, -0.108997, -1.35316, 2.39527, 1.0], [20, -0.358243, -0.441194, 2.4974, 1.0], [21, -0.589361, -0.393526, 1.79473, 1.0], [22, -0.519938, -0.399427, 1.81476, 1.0], [23, 0.127406, -0.395325, 1.92171, 1.0], [24, 0.0457131, -0.398939, 1.91044, 1.0]]
[[0, -0.382215, -0.907202, 2.70649, 1.0], [1, -0.368692, -0.644307, 2.59073, 1.0], [2, -0.353893, -0.38453, 2.46124, 1.0], [3, -0.339893, -0.24065, 2.43713, 1.0], [4, -0.481283, -0.413068, 2.41147, 1.0], [5, -0.577657, -0.424501, 2.16717, 1.0], [6, -0.58779, -0.397455, 1.90983, 1.0], [7, -0.580916, -0.403735, 1.82808, 1.0], [8, -0.189114, -0.425628, 2.44941, 1.0], [9, -0.0320208, -0.437405, 2.33425, 1.0], [10, 0.0629084, -0.4159, 2.16693, 1.0], [11, 0.109748, -0.406494, 1.94657, 1.0], [12, -0.441109, -0.89219, 2.67382, 1.0], [13, -0.523224, -0.982452, 2.40486, 1.0], [14, -0.546224, -1.38669, 2.48475, 1.0], [15, -0.585331, -1.45261, 2.53306, 1.0], [16, -0.314163, -0.90058, 2.67453, 1.0], [17, -0.122725, -0.966481, 2.46476, 1.0], [18, -0.120684, -1.29832, 2.50341, 1.0], [19, -0.10956, -1.35252, 2.39501, 1.0], [20, -0.357874, -0.44923, 2.49602, 1.0], [21, -0.591272, -0.402911, 1.79606, 1.0], [22, -0.52013, -0.409768, 1.8127, 1.0], [23, 0.134792, -0.408669, 1.92168, 1.0], [24, 0.045189, -0.408888, 1.91087, 1.0]]
