[['2, k, 0', [-0.0713419, -0.297001, 1.0]], ['2, k, 1', [-0.0789588, 0.0308583, 1.0]], ['2, k, 2', [-0.0858623, 0.349466, 1.0]], ['2, k, 3', [-0.09875, 0.504901, 1.0]], ['2, k, 4', [-0.279197, 0.241954, 1.0]], ['2, k, 5', [-0.3745, -0.029064, 1.0]], ['2, k, 6', [-0.418455, -0.264988, 1.0]], ['2, k, 7', [-0.399495, -0.345256, 1.0]], ['2, k, 8', [0.102963, 0.247062, 1.0]], ['2, k, 9', [0.205776, -0.0174116, 1.0]], ['2, k, 10', [0.240482, -0.286505, 1.0]], ['2, k, 11', [0.230461, -0.352012, 1.0]], ['2, k, 12', [-0.157514, -0.293489, 1.0]], ['2, k, 13', [-0.209699, -0.65461, 1.0]], ['2, k, 14', [-0.290218, -1.04805, 1.0]], ['2, k, 15', [-0.313721, -1.09082, 1.0]], ['2, k, 16', [0.0170703, -0.291274, 1.0]], ['2, k, 17', [0.0799175, -0.638842, 1.0]], ['2, k, 18', [0.151309, -1.04617, 1.0]], ['2, k, 19', [0.18811, -1.09766, 1.0]], ['2, k, 20', [-0.0842529, 0.271137, 1.0]], ['2, k, 21', [-0.387215, -0.400411, 1.0]], ['2, k, 22', [-0.312605, -0.370966, 1.0]], ['2, k, 23', [0.228284, -0.414682, 1.0]], ['2, k, 24', [0.164722, -0.377109, 1.0]]]
[['2, k, 0', [-0.0712204, -0.296722, 1.0]], ['2, k, 1', [-0.0787269, 0.0310292, 1.0]], ['2, k, 2', [-0.0854446, 0.349556, 1.0]], ['2, k, 3', [-0.0987601, 0.504897, 1.0]], ['2, k, 4', [-0.279175, 0.24198, 1.0]], ['2, k, 5', [-0.373695, -0.0264052, 1.0]], ['2, k, 6', [-0.418722, -0.260692, 1.0]], ['2, k, 7', [-0.395086, -0.341287, 1.0]], ['2, k, 8', [0.102918, 0.247168, 1.0]], ['2, k, 9', [0.206072, -0.0164615, 1.0]], ['2, k, 10', [0.241153, -0.285361, 1.0]], ['2, k, 11', [0.231039, -0.347001, 1.0]], ['2, k, 12', [-0.157406, -0.293264, 1.0]], ['2, k, 13', [-0.222432, -0.720644, 1.0]], ['2, k, 14', [-0.290719, -1.04571, 1.0]], ['2, k, 15', [-0.314477, -1.09168, 1.0]], ['2, k, 16', [0.0172023, -0.290944, 1.0]], ['2, k, 17', [0.079824, -0.639009, 1.0]], ['2, k, 18', [0.148749, -1.04072, 1.0]], ['2, k, 19', [0.188128, -1.09711, 1.0]], ['2, k, 20', [-0.0838913, 0.271249, 1.0]], ['2, k, 21', [-0.366034, -0.390182, 1.0]], ['2, k, 22', [-0.291084, -0.364895, 1.0]], ['2, k, 23', [0.227472, -0.410748, 1.0]], ['2, k, 24', [0.166146, -0.377969, 1.0]]]
[['2, k, 0', [-0.0715182, -0.29444, 1.0]], ['2, k, 1', [-0.0786453, 0.0318408, 1.0]], ['2, k, 2', [-0.0851851, 0.349764, 1.0]], ['2, k, 3', [-0.0987345, 0.504852, 1.0]], ['2, k, 4', [-0.279041, 0.242102, 1.0]], ['2, k, 5', [-0.373105, -0.0215982, 1.0]], ['2, k, 6', [-0.417358, -0.250053, 1.0]], ['2, k, 7', [-0.394719, -0.33409, 1.0]], ['2, k, 8', [0.102798, 0.247589, 1.0]], ['2, k, 9', [0.205756, -0.0137373, 1.0]], ['2, k, 10', [0.241063, -0.279466, 1.0]], ['2, k, 11', [0.230662, -0.342103, 1.0]], ['2, k, 12', [-0.15768, -0.291279, 1.0]], ['2, k, 13', [-0.215416, -0.6516, 1.0]], ['2, k, 14', [-0.290792, -1.04762, 1.0]], ['2, k, 15', [-0.315335, -1.09121, 1.0]], ['2, k, 16', [0.0168884, -0.28843, 1.0]], ['2, k, 17', [0.0796308, -0.639277, 1.0]], ['2, k, 18', [0.147415, -1.03861, 1.0]], ['2, k, 19', [0.188088, -1.09698, 1.0]], ['2, k, 20', [-0.0836856, 0.271554, 1.0]], ['2, k, 21', [-0.36147, -0.384353, 1.0]], ['2, k, 22', [-0.288993, -0.357039, 1.0]], ['2, k, 23', [0.221704, -0.403847, 1.0]], ['2, k, 24', [0.156712, -0.367113, 1.0]]]
[['2, k, 0', [-0.0717919, -0.292423, 1.0]], ['2, k, 1', [-0.078631, 0.032615, 1.0]], ['2, k, 2', [-0.0850468, 0.34987, 1.0]], ['2, k, 3', [-0.0985765, 0.504945, 1.0]], ['2, k, 4', [-0.278662, 0.242247, 1.0]], ['2, k, 5', [-0.372351, -0.00861991, 1.0]], ['2, k, 6', [-0.417489, -0.244225, 1.0]], ['2, k, 7', [-0.394245, -0.3248, 1.0]], ['2, k, 8', [0.102555, 0.248258, 1.0]], ['2, k, 9', [0.205601, -0.00808713, 1.0]], ['2, k, 10', [0.24172, -0.272958, 1.0]], ['2, k, 11', [0.231837, -0.334106, 1.0]], ['2, k, 12', [-0.15793, -0.28959, 1.0]], ['2, k, 13', [-0.223308, -0.716575, 1.0]], ['2, k, 14', [-0.291329, -1.04735, 1.0]], ['2, k, 15', [-0.315679, -1.09101, 1.0]], ['2, k, 16', [0.0165942, -0.286122, 1.0]], ['2, k, 17', [0.0808566, -0.66531, 1.0]], ['2, k, 18', [0.146693, -1.03824, 1.0]], ['2, k, 19', [0.187834, -1.09636, 1.0]], ['2, k, 20', [-0.0835733, 0.271769, 1.0]], ['2, k, 21', [-0.357082, -0.370699, 1.0]], ['2, k, 22', [-0.279822, -0.346381, 1.0]], ['2, k, 23', [0.224674, -0.396111, 1.0]], ['2, k, 24', [0.155782, -0.359206, 1.0]]]
[['2, k, 0', [-0.0719333, -0.291584, 1.0]], ['2, k, 1', [-0.078651, 0.0332671, 1.0]], ['2, k, 2', [-0.0848534, 0.350292, 1.0]], ['2, k, 3', [-0.0983464, 0.504951, 1.0]], ['2, k, 4', [-0.27811, 0.242823, 1.0]], ['2, k, 5', [-0.371573, -0.00100901, 1.0]], ['2, k, 6', [-0.415731, -0.229325, 1.0]], ['2, k, 7', [-0.397236, -0.306824, 1.0]], ['2, k, 8', [0.102273, 0.249116, 1.0]], ['2, k, 9', [0.20547, -0.00467487, 1.0]], ['2, k, 10', [0.24542, -0.260223, 1.0]], ['2, k, 11', [0.229971, -0.332133, 1.0]], ['2, k, 12', [-0.158087, -0.288736, 1.0]], ['2, k, 13', [-0.224292, -0.718957, 1.0]], ['2, k, 14', [-0.291617, -1.04785, 1.0]], ['2, k, 15', [-0.315329, -1.09157, 1.0]], ['2, k, 16', [0.0164605, -0.285281, 1.0]], ['2, k, 17', [0.0811501, -0.666368, 1.0]], ['2, k, 18', [0.146642, -1.03865, 1.0]], ['2, k, 19', [0.184179, -1.08997, 1.0]], ['2, k, 20', [-0.0834459, 0.272284, 1.0]], ['2, k, 21', [-0.385183, -0.358355, 1.0]], ['2, k, 22', [-0.299693, -0.337931, 1.0]], ['2, k, 23', [0.225025, -0.384514, 1.0]], ['2, k, 24', [0.132861, -0.348556, 1.0]]]
[['2, k, 0', [-0.0716681, -0.289463, 1.0]], ['2, k, 1', [-0.0784512, 0.0343262, 1.0]], ['2, k, 2', [-0.0846103, 0.350698, 1.0]], ['2, k, 3', [-0.0978566, 0.50545, 1.0]], ['2, k, 4', [-0.277976, 0.242869, 1.0]], ['2, k, 5', [-0.370056, 0.0081669, 1.0]], ['2, k, 6', [-0.415169, -0.218819, 1.0]], ['2, k, 7', [-0.397048, -0.291911, 1.0]], ['2, k, 8', [0.101776, 0.250013, 1.0]], ['2, k, 9', [0.202752, 0.00605727, 1.0]], ['2, k, 10', [0.246844, -0.250474, 1.0]], ['2, k, 11', [0.229028, -0.319571, 1.0]], ['2, k, 12', [-0.157822, -0.28694, 1.0]], ['2, k, 13', [-0.22474, -0.720333, 1.0]], ['2, k, 14', [-0.292224, -1.04906, 1.0]], ['2, k, 15', [-0.315869, -1.09171, 1.0]], ['2, k, 16', [0.0167216, -0.282867, 1.0]], ['2, k, 17', [0.0824748, -0.668993, 1.0]], ['2, k, 18', [0.146658, -1.03903, 1.0]], ['2, k, 19', [0.184238, -1.09002, 1.0]], ['2, k, 20', [-0.0832199, 0.272841, 1.0]], ['2, k, 21', [-0.384331, -0.342437, 1.0]], ['2, k, 22', [-0.300287, -0.321522, 1.0]], ['2, k, 23', [0.222124, -0.373532, 1.0]], ['2, k, 24', [0.121696, -0.336294, 1.0]]]
[['2, k, 0', [-0.0718622, -0.283538, 1.0]], ['2, k, 1', [-0.07816, 0.0369048, 1.0]], ['2, k, 2', [-0.0840291, 0.351322, 1.0]], ['2, k, 3', [-0.0974871, 0.505794, 1.0]], ['2, k, 4', [-0.277772, 0.242819, 1.0]], ['2, k, 5', [-0.367525, 0.017045, 1.0]], ['2, k, 6', [-0.412737, -0.199159, 1.0]], ['2, k, 7', [-0.395872, -0.275116, 1.0]], ['2, k, 8', [0.100697, 0.251832, 1.0]], ['2, k, 9', [0.200137, 0.0154514, 1.0]], ['2, k, 10', [0.249345, -0.2336, 1.0]], ['2, k, 11', [0.231332, -0.304471, 1.0]], ['2, k, 12', [-0.157956, -0.282178, 1.0]], ['2, k, 13', [-0.224779, -0.720312, 1.0]], ['2, k, 14', [-0.292477, -1.04864, 1.0]], ['2, k, 15', [-0.316047, -1.09195, 1.0]], ['2, k, 16', [0.0164646, -0.275924, 1.0]], ['2, k, 17', [0.0826287, -0.668811, 1.0]], ['2, k, 18', [0.146923, -1.0391, 1.0]], ['2, k, 19', [0.185394, -1.09117, 1.0]], ['2, k, 20', [-0.0827209, 0.273833, 1.0]], ['2, k, 21', [-0.380407, -0.324165, 1.0]], ['2, k, 22', [-0.29656, -0.305265, 1.0]], ['2, k, 23', [0.226147, -0.357306, 1.0]], ['2, k, 24', [0.128978, -0.320743, 1.0]]]
[['2, k, 0', [-0.0710347, -0.275513, 1.0]], ['2, k, 1', [-0.0776246, 0.0402165, 1.0]], ['2, k, 2', [-0.083602, 0.351814, 1.0]], ['2, k, 3', [-0.0967089, 0.506177, 1.0]], ['2, k, 4', [-0.277436, 0.242917, 1.0]], ['2, k, 5', [-0.367029, 0.0261544, 1.0]], ['2, k, 6', [-0.413623, -0.183332, 1.0]], ['2, k, 7', [-0.395004, -0.254517, 1.0]], ['2, k, 8', [0.0993893, 0.254003, 1.0]], ['2, k, 9', [0.199436, 0.0240477, 1.0]], ['2, k, 10', [0.25045, -0.215807, 1.0]], ['2, k, 11', [0.233483, -0.285008, 1.0]], ['2, k, 12', [-0.157095, -0.274906, 1.0]], ['2, k, 13', [-0.223661, -0.712092, 1.0]], ['2, k, 14', [-0.29171, -1.04426, 1.0]], ['2, k, 15', [-0.316705, -1.0917, 1.0]], ['2, k, 16', [0.0172298, -0.267446, 1.0]], ['2, k, 17', [0.0795741, -0.640687, 1.0]], ['2, k, 18', [0.143143, -1.03302, 1.0]], ['2, k, 19', [0.184306, -1.07922, 1.0]], ['2, k, 20', [-0.0822977, 0.274817, 1.0]], ['2, k, 21', [-0.38039, -0.301465, 1.0]], ['2, k, 22', [-0.296435, -0.282951, 1.0]], ['2, k, 23', [0.227867, -0.336464, 1.0]], ['2, k, 24', [0.129808, -0.30169, 1.0]]]
[['2, k, 0', [-0.0717827, -0.274456, 1.0]], ['2, k, 1', [-0.0778515, 0.0413868, 1.0]], ['2, k, 2', [-0.0831468, 0.352422, 1.0]], ['2, k, 3', [-0.0959047, 0.506793, 1.0]], ['2, k, 4', [-0.276898, 0.243146, 1.0]], ['2, k, 5', [-0.365319, 0.0413765, 1.0]], ['2, k, 6', [-0.409316, -0.159505, 1.0]], ['2, k, 7', [-0.393957, -0.232323, 1.0]], ['2, k, 8', [0.0987185, 0.255129, 1.0]], ['2, k, 9', [0.197438, 0.0374078, 1.0]], ['2, k, 10', [0.250722, -0.203063, 1.0]], ['2, k, 11', [0.233389, -0.264328, 1.0]], ['2, k, 12', [-0.157788, -0.273914, 1.0]], ['2, k, 13', [-0.21215, -0.64603, 1.0]], ['2, k, 14', [-0.292949, -1.04382, 1.0]], ['2, k, 15', [-0.316811, -1.09165, 1.0]], ['2, k, 16', [0.0164397, -0.266391, 1.0]], ['2, k, 17', [0.0795141, -0.639478, 1.0]], ['2, k, 18', [0.141895, -1.03116, 1.0]], ['2, k, 19', [0.182168, -1.07433, 1.0]], ['2, k, 20', [-0.0820383, 0.275676, 1.0]], ['2, k, 21', [-0.375616, -0.278629, 1.0]], ['2, k, 22', [-0.296052, -0.260598, 1.0]], ['2, k, 23', [0.230541, -0.314122, 1.0]], ['2, k, 24', [0.127438, -0.279374, 1.0]]]
[['2, k, 0', [-0.0722858, -0.274512, 1.0]], ['2, k, 1', [-0.0781543, 0.0419181, 1.0]], ['2, k, 2', [-0.083041, 0.353263, 1.0]], ['2, k, 3', [-0.0945956, 0.507638, 1.0]], ['2, k, 4', [-0.273728, 0.246269, 1.0]], ['2, k, 5', [-0.364723, 0.0515892, 1.0]], ['2, k, 6', [-0.408273, -0.136822, 1.0]], ['2, k, 7', [-0.393648, -0.207693, 1.0]], ['2, k, 8', [0.0979766, 0.257439, 1.0]], ['2, k, 9', [0.196061, 0.0507484, 1.0]], ['2, k, 10', [0.2547, -0.172929, 1.0]], ['2, k, 11', [0.235095, -0.238001, 1.0]], ['2, k, 12', [-0.158407, -0.273844, 1.0]], ['2, k, 13', [-0.223655, -0.697088, 1.0]], ['2, k, 14', [-0.289163, -1.03797, 1.0]], ['2, k, 15', [-0.316128, -1.08968, 1.0]], ['2, k, 16', [0.015964, -0.266629, 1.0]], ['2, k, 17', [0.0796693, -0.63758, 1.0]], ['2, k, 18', [0.143235, -1.01787, 1.0]], ['2, k, 19', [0.182324, -1.07354, 1.0]], ['2, k, 20', [-0.0820485, 0.276512, 1.0]], ['2, k, 21', [-0.372888, -0.254597, 1.0]], ['2, k, 22', [-0.296913, -0.231917, 1.0]], ['2, k, 23', [0.230777, -0.284297, 1.0]], ['2, k, 24', [0.131286, -0.25198, 1.0]]]
[['2, k, 0', [-0.0731921, -0.274894, 1.0]], ['2, k, 1', [-0.0781597, 0.0421742, 1.0]], ['2, k, 2', [-0.0818504, 0.353928, 1.0]], ['2, k, 3', [-0.0932094, 0.508604, 1.0]], ['2, k, 4', [-0.273625, 0.246328, 1.0]], ['2, k, 5', [-0.361987, 0.0704705, 1.0]], ['2, k, 6', [-0.402931, -0.11072, 1.0]], ['2, k, 7', [-0.391181, -0.1802, 1.0]], ['2, k, 8', [0.0978221, 0.258786, 1.0]], ['2, k, 9', [0.196408, 0.0699281, 1.0]], ['2, k, 10', [0.252334, -0.144288, 1.0]], ['2, k, 11', [0.239065, -0.206661, 1.0]], ['2, k, 12', [-0.159041, -0.274259, 1.0]], ['2, k, 13', [-0.224798, -0.709676, 1.0]], ['2, k, 14', [-0.290985, -1.0403, 1.0]], ['2, k, 15', [-0.31617, -1.08969, 1.0]], ['2, k, 16', [0.014763, -0.266976, 1.0]], ['2, k, 17', [0.0797481, -0.637175, 1.0]], ['2, k, 18', [0.142934, -1.01834, 1.0]], ['2, k, 19', [0.182301, -1.07353, 1.0]], ['2, k, 20', [-0.08122, 0.277099, 1.0]], ['2, k, 21', [-0.373482, -0.22369, 1.0]], ['2, k, 22', [-0.296391, -0.205139, 1.0]], ['2, k, 23', [0.235968, -0.253335, 1.0]], ['2, k, 24', [0.150915, -0.222094, 1.0]]]
