[['2, k, 0', [-0.0285689, -0.46714, 1.0]], ['2, k, 1', [-0.0443885, -0.150507, 1.0]], ['2, k, 2', [-0.05952, 0.158344, 1.0]], ['2, k, 3', [-0.059274, 0.293564, 1.0]], ['2, k, 4', [-0.226617, 0.0280462, 1.0]], ['2, k, 5', [-0.295642, -0.215722, 1.0]], ['2, k, 6', [-0.353868, -0.430067, 1.0]], ['2, k, 7', [-0.370571, -0.495744, 1.0]], ['2, k, 8', [0.113247, 0.0171931, 1.0]], ['2, k, 9', [0.203378, -0.22767, 1.0]], ['2, k, 10', [0.277212, -0.441221, 1.0]], ['2, k, 11', [0.298954, -0.497321, 1.0]], ['2, k, 12', [-0.105733, -0.457537, 1.0]], ['2, k, 13', [-0.150926, -0.800292, 1.0]], ['2, k, 14', [-0.180975, -1.15587, 1.0]], ['2, k, 15', [-0.198402, -1.23596, 1.0]], ['2, k, 16', [0.0494831, -0.462657, 1.0]], ['2, k, 17', [0.0961835, -0.783901, 1.0]], ['2, k, 18', [0.141879, -1.14691, 1.0]], ['2, k, 19', [0.17256, -1.22913, 1.0]], ['2, k, 20', [-0.0558416, 0.0821778, 1.0]], ['2, k, 21', [-0.391785, -0.54664, 1.0]], ['2, k, 22', [-0.318924, -0.520825, 1.0]], ['2, k, 23', [0.325806, -0.549795, 1.0]], ['2, k, 24', [0.246296, -0.522084, 1.0]]]
[['2, k, 0', [-0.0287, -0.467071, 1.0]], ['2, k, 1', [-0.0444603, -0.150467, 1.0]], ['2, k, 2', [-0.059562, 0.158372, 1.0]], ['2, k, 3', [-0.0592747, 0.293492, 1.0]], ['2, k, 4', [-0.226566, 0.0280783, 1.0]], ['2, k, 5', [-0.296025, -0.216282, 1.0]], ['2, k, 6', [-0.353925, -0.430055, 1.0]], ['2, k, 7', [-0.371084, -0.4968, 1.0]], ['2, k, 8', [0.113023, 0.0169724, 1.0]], ['2, k, 9', [0.203402, -0.227839, 1.0]], ['2, k, 10', [0.27719, -0.44121, 1.0]], ['2, k, 11', [0.298282, -0.497493, 1.0]], ['2, k, 12', [-0.105863, -0.457417, 1.0]], ['2, k, 13', [-0.150923, -0.803231, 1.0]], ['2, k, 14', [-0.181252, -1.16096, 1.0]], ['2, k, 15', [-0.195462, -1.24233, 1.0]], ['2, k, 16', [0.04933, -0.462624, 1.0]], ['2, k, 17', [0.0964277, -0.784375, 1.0]], ['2, k, 18', [0.141375, -1.14902, 1.0]], ['2, k, 19', [0.171897, -1.2311, 1.0]], ['2, k, 20', [-0.0558899, 0.0822081, 1.0]], ['2, k, 21', [-0.394802, -0.547608, 1.0]], ['2, k, 22', [-0.319309, -0.521453, 1.0]], ['2, k, 23', [0.32332, -0.549047, 1.0]], ['2, k, 24', [0.246298, -0.521905, 1.0]]]
[['2, k, 0', [-0.0286929, -0.467097, 1.0]], ['2, k, 1', [-0.0444591, -0.150481, 1.0]], ['2, k, 2', [-0.0595733, 0.158371, 1.0]], ['2, k, 3', [-0.0592299, 0.293363, 1.0]], ['2, k, 4', [-0.226527, 0.0282011, 1.0]], ['2, k, 5', [-0.296679, -0.217247, 1.0]], ['2, k, 6', [-0.354225, -0.430117, 1.0]], ['2, k, 7', [-0.370914, -0.496319, 1.0]], ['2, k, 8', [0.113011, 0.0170326, 1.0]], ['2, k, 9', [0.20336, -0.227852, 1.0]], ['2, k, 10', [0.27716, -0.441128, 1.0]], ['2, k, 11', [0.298611, -0.49806, 1.0]], ['2, k, 12', [-0.105854, -0.457438, 1.0]], ['2, k, 13', [-0.150918, -0.803221, 1.0]], ['2, k, 14', [-0.181354, -1.16095, 1.0]], ['2, k, 15', [-0.196129, -1.24201, 1.0]], ['2, k, 16', [0.0493406, -0.462689, 1.0]], ['2, k, 17', [0.0964345, -0.784299, 1.0]], ['2, k, 18', [0.141526, -1.14877, 1.0]], ['2, k, 19', [0.171683, -1.231, 1.0]], ['2, k, 20', [-0.0558966, 0.0821992, 1.0]], ['2, k, 21', [-0.393396, -0.546623, 1.0]], ['2, k, 22', [-0.319295, -0.521431, 1.0]], ['2, k, 23', [0.321624, -0.551243, 1.0]], ['2, k, 24', [0.246178, -0.521573, 1.0]]]
[['2, k, 0', [-0.0287362, -0.467178, 1.0]], ['2, k, 1', [-0.0444748, -0.150515, 1.0]], ['2, k, 2', [-0.0595779, 0.158349, 1.0]], ['2, k, 3', [-0.0593426, 0.293354, 1.0]], ['2, k, 4', [-0.226509, 0.0281974, 1.0]], ['2, k, 5', [-0.296619, -0.217264, 1.0]], ['2, k, 6', [-0.354425, -0.430057, 1.0]], ['2, k, 7', [-0.371267, -0.496821, 1.0]], ['2, k, 8', [0.112811, 0.0168886, 1.0]], ['2, k, 9', [0.203288, -0.227936, 1.0]], ['2, k, 10', [0.277067, -0.441391, 1.0]], ['2, k, 11', [0.299227, -0.498702, 1.0]], ['2, k, 12', [-0.10588, -0.457481, 1.0]], ['2, k, 13', [-0.150872, -0.803206, 1.0]], ['2, k, 14', [-0.181378, -1.16087, 1.0]], ['2, k, 15', [-0.196541, -1.24192, 1.0]], ['2, k, 16', [0.0492761, -0.462821, 1.0]], ['2, k, 17', [0.0965801, -0.784406, 1.0]], ['2, k, 18', [0.141731, -1.14954, 1.0]], ['2, k, 19', [0.124541, -1.19556, 1.0]], ['2, k, 20', [-0.0559042, 0.082175, 1.0]], ['2, k, 21', [-0.393358, -0.546547, 1.0]], ['2, k, 22', [-0.319965, -0.522522, 1.0]], ['2, k, 23', [0.328126, -0.552157, 1.0]], ['2, k, 24', [0.245761, -0.522067, 1.0]]]
[['2, k, 0', [-0.0287376, -0.467313, 1.0]], ['2, k, 1', [-0.0444492, -0.150597, 1.0]], ['2, k, 2', [-0.0594978, 0.158303, 1.0]], ['2, k, 3', [-0.0593376, 0.293269, 1.0]], ['2, k, 4', [-0.226358, 0.0281985, 1.0]], ['2, k, 5', [-0.296688, -0.217482, 1.0]], ['2, k, 6', [-0.354435, -0.430057, 1.0]], ['2, k, 7', [-0.371628, -0.496645, 1.0]], ['2, k, 8', [0.112811, 0.0169031, 1.0]], ['2, k, 9', [0.203274, -0.227944, 1.0]], ['2, k, 10', [0.276936, -0.441574, 1.0]], ['2, k, 11', [0.298592, -0.498087, 1.0]], ['2, k, 12', [-0.105879, -0.457663, 1.0]], ['2, k, 13', [-0.150865, -0.80362, 1.0]], ['2, k, 14', [-0.181525, -1.16077, 1.0]], ['2, k, 15', [-0.196707, -1.24204, 1.0]], ['2, k, 16', [0.0492734, -0.462959, 1.0]], ['2, k, 17', [0.0970634, -0.785758, 1.0]], ['2, k, 18', [0.142541, -1.15078, 1.0]], ['2, k, 19', [0.125336, -1.19681, 1.0]], ['2, k, 20', [-0.0558411, 0.0821166, 1.0]], ['2, k, 21', [-0.398395, -0.547634, 1.0]], ['2, k, 22', [-0.318352, -0.523275, 1.0]], ['2, k, 23', [0.325144, -0.550765, 1.0]], ['2, k, 24', [0.246123, -0.522123, 1.0]]]
[['2, k, 0', [-0.028742, -0.467505, 1.0]], ['2, k, 1', [-0.0444486, -0.150668, 1.0]], ['2, k, 2', [-0.0594943, 0.158291, 1.0]], ['2, k, 3', [-0.0594487, 0.293236, 1.0]], ['2, k, 4', [-0.226339, 0.028183, 1.0]], ['2, k, 5', [-0.296737, -0.217348, 1.0]], ['2, k, 6', [-0.354604, -0.430286, 1.0]], ['2, k, 7', [-0.375903, -0.50159, 1.0]], ['2, k, 8', [0.112757, 0.0169286, 1.0]], ['2, k, 9', [0.203092, -0.227749, 1.0]], ['2, k, 10', [0.276912, -0.441733, 1.0]], ['2, k, 11', [0.299542, -0.497632, 1.0]], ['2, k, 12', [-0.105881, -0.457914, 1.0]], ['2, k, 13', [-0.151036, -0.802927, 1.0]], ['2, k, 14', [-0.181817, -1.16134, 1.0]], ['2, k, 15', [-0.196932, -1.24248, 1.0]], ['2, k, 16', [0.0492672, -0.463132, 1.0]], ['2, k, 17', [0.0970486, -0.785151, 1.0]], ['2, k, 18', [0.142663, -1.15079, 1.0]], ['2, k, 19', [0.17177, -1.23454, 1.0]], ['2, k, 20', [-0.0558382, 0.0820946, 1.0]], ['2, k, 21', [-0.401373, -0.54722, 1.0]], ['2, k, 22', [-0.304194, -0.523948, 1.0]], ['2, k, 23', [0.32474, -0.550892, 1.0]], ['2, k, 24', [0.245908, -0.521885, 1.0]]]
[['2, k, 0', [-0.028755, -0.467562, 1.0]], ['2, k, 1', [-0.0444034, -0.150718, 1.0]], ['2, k, 2', [-0.0593055, 0.158256, 1.0]], ['2, k, 3', [-0.0595161, 0.293053, 1.0]], ['2, k, 4', [-0.226068, 0.0281263, 1.0]], ['2, k, 5', [-0.296724, -0.21734, 1.0]], ['2, k, 6', [-0.35462, -0.430334, 1.0]], ['2, k, 7', [-0.375687, -0.501255, 1.0]], ['2, k, 8', [0.112668, 0.0168297, 1.0]], ['2, k, 9', [0.203035, -0.227966, 1.0]], ['2, k, 10', [0.276926, -0.441644, 1.0]], ['2, k, 11', [0.298819, -0.497928, 1.0]], ['2, k, 12', [-0.105889, -0.457952, 1.0]], ['2, k, 13', [-0.151064, -0.803493, 1.0]], ['2, k, 14', [-0.181882, -1.16179, 1.0]], ['2, k, 15', [-0.196979, -1.24283, 1.0]], ['2, k, 16', [0.0492493, -0.463208, 1.0]], ['2, k, 17', [0.0970467, -0.785092, 1.0]], ['2, k, 18', [0.142804, -1.1507, 1.0]], ['2, k, 19', [0.17171, -1.23453, 1.0]], ['2, k, 20', [-0.055694, 0.082052, 1.0]], ['2, k, 21', [-0.401376, -0.546986, 1.0]], ['2, k, 22', [-0.303974, -0.525274, 1.0]], ['2, k, 23', [0.325804, -0.550552, 1.0]], ['2, k, 24', [0.244236, -0.521564, 1.0]]]
[['2, k, 0', [-0.0287373, -0.467686, 1.0]], ['2, k, 1', [-0.0443192, -0.150859, 1.0]], ['2, k, 2', [-0.0590915, 0.158104, 1.0]], ['2, k, 3', [-0.0595865, 0.29269, 1.0]], ['2, k, 4', [-0.226025, 0.0281137, 1.0]], ['2, k, 5', [-0.296761, -0.217477, 1.0]], ['2, k, 6', [-0.354787, -0.430573, 1.0]], ['2, k, 7', [-0.376145, -0.501769, 1.0]], ['2, k, 8', [0.112657, 0.0168386, 1.0]], ['2, k, 9', [0.203033, -0.227979, 1.0]], ['2, k, 10', [0.276931, -0.442109, 1.0]], ['2, k, 11', [0.298928, -0.498337, 1.0]], ['2, k, 12', [-0.105863, -0.458083, 1.0]], ['2, k, 13', [-0.150968, -0.804271, 1.0]], ['2, k, 14', [-0.181859, -1.16273, 1.0]], ['2, k, 15', [-0.196244, -1.24386, 1.0]], ['2, k, 16', [0.0492595, -0.463314, 1.0]], ['2, k, 17', [0.0970713, -0.785131, 1.0]], ['2, k, 18', [0.145354, -1.15499, 1.0]], ['2, k, 19', [0.172239, -1.23795, 1.0]], ['2, k, 20', [-0.0555166, 0.0818989, 1.0]], ['2, k, 21', [-0.401089, -0.546559, 1.0]], ['2, k, 22', [-0.30497, -0.524758, 1.0]], ['2, k, 23', [0.325999, -0.550891, 1.0]], ['2, k, 24', [0.244817, -0.521852, 1.0]]]
[['2, k, 0', [-0.0288243, -0.467895, 1.0]], ['2, k, 1', [-0.0443275, -0.150952, 1.0]], ['2, k, 2', [-0.0590488, 0.158071, 1.0]], ['2, k, 3', [-0.0595349, 0.292592, 1.0]], ['2, k, 4', [-0.225965, 0.0280191, 1.0]], ['2, k, 5', [-0.29675, -0.217759, 1.0]], ['2, k, 6', [-0.354779, -0.430559, 1.0]], ['2, k, 7', [-0.374107, -0.503558, 1.0]], ['2, k, 8', [0.112351, 0.0164323, 1.0]], ['2, k, 9', [0.203024, -0.227997, 1.0]], ['2, k, 10', [0.276962, -0.4422, 1.0]], ['2, k, 11', [0.299443, -0.498165, 1.0]], ['2, k, 12', [-0.10592, -0.458229, 1.0]], ['2, k, 13', [-0.151267, -0.80145, 1.0]], ['2, k, 14', [-0.182052, -1.16292, 1.0]], ['2, k, 15', [-0.196283, -1.2452, 1.0]], ['2, k, 16', [0.0491432, -0.463577, 1.0]], ['2, k, 17', [0.0973731, -0.784599, 1.0]], ['2, k, 18', [0.144524, -1.1529, 1.0]], ['2, k, 19', [0.171996, -1.23609, 1.0]], ['2, k, 20', [-0.0554874, 0.0818523, 1.0]], ['2, k, 21', [-0.400933, -0.548679, 1.0]], ['2, k, 22', [-0.306082, -0.527424, 1.0]], ['2, k, 23', [0.322005, -0.551828, 1.0]], ['2, k, 24', [0.245774, -0.522061, 1.0]]]
[['2, k, 0', [-0.0291765, -0.468112, 1.0]], ['2, k, 1', [-0.0445668, -0.151069, 1.0]], ['2, k, 2', [-0.0592128, 0.158052, 1.0]], ['2, k, 3', [-0.0594913, 0.292471, 1.0]], ['2, k, 4', [-0.225846, 0.0279554, 1.0]], ['2, k, 5', [-0.29682, -0.218285, 1.0]], ['2, k, 6', [-0.3548, -0.430729, 1.0]], ['2, k, 7', [-0.370068, -0.499694, 1.0]], ['2, k, 8', [0.112211, 0.0162259, 1.0]], ['2, k, 9', [0.203023, -0.22807, 1.0]], ['2, k, 10', [0.277079, -0.441968, 1.0]], ['2, k, 11', [0.299298, -0.498147, 1.0]], ['2, k, 12', [-0.106426, -0.459401, 1.0]], ['2, k, 13', [-0.151236, -0.801494, 1.0]], ['2, k, 14', [-0.181998, -1.16314, 1.0]], ['2, k, 15', [-0.197077, -1.24505, 1.0]], ['2, k, 16', [0.0486906, -0.463287, 1.0]], ['2, k, 17', [0.0974933, -0.784977, 1.0]], ['2, k, 18', [0.144153, -1.15226, 1.0]], ['2, k, 19', [0.171659, -1.23596, 1.0]], ['2, k, 20', [-0.0556688, 0.0818088, 1.0]], ['2, k, 21', [-0.396028, -0.552521, 1.0]], ['2, k, 22', [-0.317162, -0.526917, 1.0]], ['2, k, 23', [0.32741, -0.553455, 1.0]], ['2, k, 24', [0.24566, -0.522018, 1.0]]]
[['2, k, 0', [-0.0292841, -0.468268, 1.0]], ['2, k, 1', [-0.0445965, -0.151202, 1.0]], ['2, k, 2', [-0.0591801, 0.157945, 1.0]], ['2, k, 3', [-0.0594306, 0.292432, 1.0]], ['2, k, 4', [-0.225715, 0.0274849, 1.0]], ['2, k, 5', [-0.296553, -0.219001, 1.0]], ['2, k, 6', [-0.354723, -0.431002, 1.0]], ['2, k, 7', [-0.369636, -0.498164, 1.0]], ['2, k, 8', [0.112214, 0.0162201, 1.0]], ['2, k, 9', [0.203038, -0.228152, 1.0]], ['2, k, 10', [0.277296, -0.442661, 1.0]], ['2, k, 11', [0.300143, -0.498077, 1.0]], ['2, k, 12', [-0.1066, -0.46042, 1.0]], ['2, k, 13', [-0.151072, -0.801885, 1.0]], ['2, k, 14', [-0.181691, -1.16386, 1.0]], ['2, k, 15', [-0.197638, -1.24564, 1.0]], ['2, k, 16', [0.0485631, -0.463088, 1.0]], ['2, k, 17', [0.0975983, -0.784773, 1.0]], ['2, k, 18', [0.143196, -1.14864, 1.0]], ['2, k, 19', [0.170533, -1.23255, 1.0]], ['2, k, 20', [-0.05565, 0.0816964, 1.0]], ['2, k, 21', [-0.395082, -0.551168, 1.0]], ['2, k, 22', [-0.318518, -0.52754, 1.0]], ['2, k, 23', [0.327897, -0.551713, 1.0]], ['2, k, 24', [0.245298, -0.521757, 1.0]]]
