[['2, k, 0', [-0.30587, -0.349565, 1.0]], ['2, k, 1', [-0.315429, -0.0464208, 1.0]], ['2, k, 2', [-0.322908, 0.249622, 1.0]], ['2, k, 3', [-0.321967, 0.377717, 1.0]], ['2, k, 4', [-0.461727, 0.135773, 1.0]], ['2, k, 5', [-0.565972, 0.0947094, 1.0]], ['2, k, 6', [-0.34231, 0.0622958, 1.0]], ['2, k, 7', [-0.268653, 0.0516438, 1.0]], ['2, k, 8', [-0.180007, 0.139437, 1.0]], ['2, k, 9', [-0.157382, -0.126431, 1.0]], ['2, k, 10', [-0.153166, -0.0564944, 1.0]], ['2, k, 11', [-0.0876714, 0.0173922, 1.0]], ['2, k, 12', [-0.365772, -0.345472, 1.0]], ['2, k, 13', [-0.446574, -0.64096, 1.0]], ['2, k, 14', [-0.494515, -1.02412, 1.0]], ['2, k, 15', [-0.508301, -1.08789, 1.0]], ['2, k, 16', [-0.23741, -0.343894, 1.0]], ['2, k, 17', [-0.173413, -0.588039, 1.0]], ['2, k, 18', [-0.142658, -1.00627, 1.0]], ['2, k, 19', [-0.125366, -1.0791, 1.0]], ['2, k, 20', [-0.321395, 0.176637, 1.0]], ['2, k, 21', [-0.267296, 0.0513829, 1.0]], ['2, k, 22', [-0.265526, 0.0510426, 1.0]], ['2, k, 23', [-0.0679064, 0.0235472, 1.0]], ['2, k, 24', [-0.162205, 0.020488, 1.0]]]
[['2, k, 0', [-0.303064, -0.345932, 1.0]], ['2, k, 1', [-0.313399, -0.0456928, 1.0]], ['2, k, 2', [-0.322262, 0.249478, 1.0]], ['2, k, 3', [-0.321962, 0.377511, 1.0]], ['2, k, 4', [-0.461637, 0.135757, 1.0]], ['2, k, 5', [-0.562037, 0.0968989, 1.0]], ['2, k, 6', [-0.554897, 0.0280341, 1.0]], ['2, k, 7', [-0.567657, 0.0497338, 1.0]], ['2, k, 8', [-0.179993, 0.13944, 1.0]], ['2, k, 9', [-0.164315, -0.122809, 1.0]], ['2, k, 10', [-0.135882, -0.0303959, 1.0]], ['2, k, 11', [-0.0828748, 0.0253237, 1.0]], ['2, k, 12', [-0.362983, -0.342038, 1.0]], ['2, k, 13', [-0.445336, -0.637838, 1.0]], ['2, k, 14', [-0.495019, -1.02367, 1.0]], ['2, k, 15', [-0.508301, -1.08778, 1.0]], ['2, k, 16', [-0.23458, -0.340065, 1.0]], ['2, k, 17', [-0.173388, -0.587801, 1.0]], ['2, k, 18', [-0.142912, -1.00667, 1.0]], ['2, k, 19', [-0.125322, -1.07928, 1.0]], ['2, k, 20', [-0.320553, 0.176555, 1.0]], ['2, k, 21', [-0.605108, 0.0308185, 1.0]], ['2, k, 22', [-0.620551, 0.0566521, 1.0]], ['2, k, 23', [-0.0649571, 0.0321215, 1.0]], ['2, k, 24', [-0.139647, 0.0245878, 1.0]]]
[['2, k, 0', [-0.306644, -0.346459, 1.0]], ['2, k, 1', [-0.316041, -0.0460231, 1.0]], ['2, k, 2', [-0.323164, 0.2491, 1.0]], ['2, k, 3', [-0.321888, 0.377602, 1.0]], ['2, k, 4', [-0.461623, 0.135694, 1.0]], ['2, k, 5', [-0.557973, 0.0971672, 1.0]], ['2, k, 6', [-0.528173, 0.0496006, 1.0]], ['2, k, 7', [-0.561695, 0.0562626, 1.0]], ['2, k, 8', [-0.179979, 0.139382, 1.0]], ['2, k, 9', [-0.132843, 0.0855438, 1.0]], ['2, k, 10', [-0.119037, 0.0301249, 1.0]], ['2, k, 11', [-0.0894588, 0.0325072, 1.0]], ['2, k, 12', [-0.366428, -0.342531, 1.0]], ['2, k, 13', [-0.432933, -0.690336, 1.0]], ['2, k, 14', [-0.495634, -1.03335, 1.0]], ['2, k, 15', [-0.510355, -1.09605, 1.0]], ['2, k, 16', [-0.238288, -0.340647, 1.0]], ['2, k, 17', [-0.177564, -0.688388, 1.0]], ['2, k, 18', [-0.13433, -1.03209, 1.0]], ['2, k, 19', [-0.125769, -1.08584, 1.0]], ['2, k, 20', [-0.321765, 0.176186, 1.0]], ['2, k, 21', [-0.566381, 0.0507088, 1.0]], ['2, k, 22', [-0.613352, 0.060048, 1.0]], ['2, k, 23', [-0.063962, 0.0289316, 1.0]], ['2, k, 24', [-0.146362, 0.0334712, 1.0]]]
[['2, k, 0', [-0.308505, -0.346617, 1.0]], ['2, k, 1', [-0.317446, -0.0456299, 1.0]], ['2, k, 2', [-0.323693, 0.249421, 1.0]], ['2, k, 3', [-0.321984, 0.377784, 1.0]], ['2, k, 4', [-0.46162, 0.135726, 1.0]], ['2, k, 5', [-0.551517, 0.0962184, 1.0]], ['2, k, 6', [-0.515288, 0.0564068, 1.0]], ['2, k, 7', [-0.55983, 0.0627996, 1.0]], ['2, k, 8', [-0.179988, 0.139409, 1.0]], ['2, k, 9', [-0.136074, 0.0881975, 1.0]], ['2, k, 10', [-0.123611, 0.0345058, 1.0]], ['2, k, 11', [-0.0890167, 0.0404486, 1.0]], ['2, k, 12', [-0.368242, -0.34265, 1.0]], ['2, k, 13', [-0.435493, -0.703026, 1.0]], ['2, k, 14', [-0.494885, -1.04083, 1.0]], ['2, k, 15', [-0.510873, -1.09813, 1.0]], ['2, k, 16', [-0.240229, -0.340859, 1.0]], ['2, k, 17', [-0.177904, -0.688087, 1.0]], ['2, k, 18', [-0.133801, -1.03277, 1.0]], ['2, k, 19', [-0.125617, -1.08538, 1.0]], ['2, k, 20', [-0.322548, 0.176603, 1.0]], ['2, k, 21', [-0.559719, 0.0579177, 1.0]], ['2, k, 22', [-0.600743, 0.0686168, 1.0]], ['2, k, 23', [-0.0674227, 0.0364516, 1.0]], ['2, k, 24', [-0.150889, 0.0406519, 1.0]]]
[['2, k, 0', [-0.309628, -0.346658, 1.0]], ['2, k, 1', [-0.318575, -0.0457128, 1.0]], ['2, k, 2', [-0.324796, 0.249122, 1.0]], ['2, k, 3', [-0.321967, 0.377813, 1.0]], ['2, k, 4', [-0.461646, 0.135593, 1.0]], ['2, k, 5', [-0.548157, 0.0977388, 1.0]], ['2, k, 6', [-0.50665, 0.0588448, 1.0]], ['2, k, 7', [-0.560561, 0.0684324, 1.0]], ['2, k, 8', [-0.180317, 0.139562, 1.0]], ['2, k, 9', [-0.285656, 0.0996449, 1.0]], ['2, k, 10', [-0.167262, 0.0444491, 1.0]], ['2, k, 11', [-0.0869769, 0.0452823, 1.0]], ['2, k, 12', [-0.369319, -0.342812, 1.0]], ['2, k, 13', [-0.435432, -0.703779, 1.0]], ['2, k, 14', [-0.4946, -1.04142, 1.0]], ['2, k, 15', [-0.510934, -1.09956, 1.0]], ['2, k, 16', [-0.241399, -0.340767, 1.0]], ['2, k, 17', [-0.178634, -0.687563, 1.0]], ['2, k, 18', [-0.133997, -1.03418, 1.0]], ['2, k, 19', [-0.12518, -1.08672, 1.0]], ['2, k, 20', [-0.323639, 0.176368, 1.0]], ['2, k, 21', [-0.567032, 0.063042, 1.0]], ['2, k, 22', [-0.606778, 0.0753089, 1.0]], ['2, k, 23', [-0.0335426, 0.0417697, 1.0]], ['2, k, 24', [-0.0927405, 0.0541876, 1.0]]]
[['2, k, 0', [-0.310334, -0.346436, 1.0]], ['2, k, 1', [-0.318988, -0.045765, 1.0]], ['2, k, 2', [-0.324949, 0.248797, 1.0]], ['2, k, 3', [-0.321872, 0.378009, 1.0]], ['2, k, 4', [-0.461634, 0.135622, 1.0]], ['2, k, 5', [-0.546756, 0.101771, 1.0]], ['2, k, 6', [-0.515974, 0.0629873, 1.0]], ['2, k, 7', [-0.5619, 0.0734323, 1.0]], ['2, k, 8', [-0.180367, 0.139663, 1.0]], ['2, k, 9', [-0.210604, 0.0951519, 1.0]], ['2, k, 10', [-0.150784, 0.0413035, 1.0]], ['2, k, 11', [-0.0976844, 0.0510753, 1.0]], ['2, k, 12', [-0.370025, -0.342602, 1.0]], ['2, k, 13', [-0.435375, -0.703762, 1.0]], ['2, k, 14', [-0.494618, -1.04395, 1.0]], ['2, k, 15', [-0.511481, -1.10132, 1.0]], ['2, k, 16', [-0.242092, -0.340536, 1.0]], ['2, k, 17', [-0.178213, -0.687965, 1.0]], ['2, k, 18', [-0.133965, -1.03489, 1.0]], ['2, k, 19', [-0.125121, -1.0871, 1.0]], ['2, k, 20', [-0.323856, 0.176079, 1.0]], ['2, k, 21', [-0.563972, 0.0669354, 1.0]], ['2, k, 22', [-0.606378, 0.0784784, 1.0]], ['2, k, 23', [-0.0603109, 0.04842, 1.0]], ['2, k, 24', [-0.100742, 0.0555952, 1.0]]]
[['2, k, 0', [-0.311219, -0.34601, 1.0]], ['2, k, 1', [-0.319564, -0.0455636, 1.0]], ['2, k, 2', [-0.325247, 0.248701, 1.0]], ['2, k, 3', [-0.321899, 0.377685, 1.0]], ['2, k, 4', [-0.46165, 0.135594, 1.0]], ['2, k, 5', [-0.535276, 0.11095, 1.0]], ['2, k, 6', [-0.508065, 0.0663635, 1.0]], ['2, k, 7', [-0.560588, 0.07615, 1.0]], ['2, k, 8', [-0.180447, 0.139643, 1.0]], ['2, k, 9', [-0.279, 0.0992376, 1.0]], ['2, k, 10', [-0.166006, 0.0523698, 1.0]], ['2, k, 11', [-0.0919976, 0.0526988, 1.0]], ['2, k, 12', [-0.37091, -0.342183, 1.0]], ['2, k, 13', [-0.435361, -0.704327, 1.0]], ['2, k, 14', [-0.495198, -1.04716, 1.0]], ['2, k, 15', [-0.511519, -1.10263, 1.0]], ['2, k, 16', [-0.242912, -0.340132, 1.0]], ['2, k, 17', [-0.178153, -0.688697, 1.0]], ['2, k, 18', [-0.133967, -1.03637, 1.0]], ['2, k, 19', [-0.12589, -1.08841, 1.0]], ['2, k, 20', [-0.324258, 0.176046, 1.0]], ['2, k, 21', [-0.577624, 0.0728655, 1.0]], ['2, k, 22', [-0.606328, 0.0853707, 1.0]], ['2, k, 23', [-0.038372, 0.0503895, 1.0]], ['2, k, 24', [-0.0934087, 0.0620768, 1.0]]]
[['2, k, 0', [-0.312515, -0.345315, 1.0]], ['2, k, 1', [-0.320241, -0.0453826, 1.0]], ['2, k, 2', [-0.325639, 0.248411, 1.0]], ['2, k, 3', [-0.321792, 0.377032, 1.0]], ['2, k, 4', [-0.461831, 0.135285, 1.0]], ['2, k, 5', [-0.545996, 0.112079, 1.0]], ['2, k, 6', [-0.534874, 0.0712191, 1.0]], ['2, k, 7', [-0.565527, 0.0774433, 1.0]], ['2, k, 8', [-0.180586, 0.13966, 1.0]], ['2, k, 9', [-0.246048, 0.101627, 1.0]], ['2, k, 10', [-0.103442, 0.0594129, 1.0]], ['2, k, 11', [-0.0671872, 0.0565654, 1.0]], ['2, k, 12', [-0.372111, -0.341673, 1.0]], ['2, k, 13', [-0.434995, -0.713829, 1.0]], ['2, k, 14', [-0.495434, -1.05022, 1.0]], ['2, k, 15', [-0.512284, -1.10447, 1.0]], ['2, k, 16', [-0.244258, -0.339252, 1.0]], ['2, k, 17', [-0.177283, -0.686934, 1.0]], ['2, k, 18', [-0.133844, -1.03811, 1.0]], ['2, k, 19', [-0.125211, -1.09023, 1.0]], ['2, k, 20', [-0.324738, 0.175868, 1.0]], ['2, k, 21', [-0.569794, 0.0733739, 1.0]], ['2, k, 22', [-0.616346, 0.0719181, 1.0]], ['2, k, 23', [0.00542093, 0.0530856, 1.0]], ['2, k, 24', [-0.0857458, 0.0696122, 1.0]]]
[['2, k, 0', [-0.313528, -0.34455, 1.0]], ['2, k, 1', [-0.32074, -0.0456772, 1.0]], ['2, k, 2', [-0.326403, 0.246036, 1.0]], ['2, k, 3', [-0.321448, 0.375423, 1.0]], ['2, k, 4', [-0.461915, 0.134564, 1.0]], ['2, k, 5', [-0.544834, 0.113484, 1.0]], ['2, k, 6', [-0.55204, 0.0721724, 1.0]], ['2, k, 7', [-0.570655, 0.0768891, 1.0]], ['2, k, 8', [-0.180821, 0.138916, 1.0]], ['2, k, 9', [-0.246299, 0.101249, 1.0]], ['2, k, 10', [-0.103546, 0.0593723, 1.0]], ['2, k, 11', [-0.0688274, 0.0567434, 1.0]], ['2, k, 12', [-0.373158, -0.340872, 1.0]], ['2, k, 13', [-0.433472, -0.716073, 1.0]], ['2, k, 14', [-0.489123, -1.04638, 1.0]], ['2, k, 15', [-0.512962, -1.10626, 1.0]], ['2, k, 16', [-0.245185, -0.33857, 1.0]], ['2, k, 17', [-0.176165, -0.685736, 1.0]], ['2, k, 18', [-0.134439, -1.03936, 1.0]], ['2, k, 19', [-0.124385, -1.09132, 1.0]], ['2, k, 20', [-0.325425, 0.174232, 1.0]], ['2, k, 21', [-0.573568, 0.0720414, 1.0]], ['2, k, 22', [-0.620335, 0.0741187, 1.0]], ['2, k, 23', [-0.000158527, 0.0537823, 1.0]], ['2, k, 24', [-0.0871948, 0.0683151, 1.0]]]
[['2, k, 0', [-0.31458, -0.345977, 1.0]], ['2, k, 1', [-0.321425, -0.0480714, 1.0]], ['2, k, 2', [-0.326585, 0.24193, 1.0]], ['2, k, 3', [-0.321435, 0.372577, 1.0]], ['2, k, 4', [-0.461614, 0.13282, 1.0]], ['2, k, 5', [-0.541262, 0.104606, 1.0]], ['2, k, 6', [-0.555435, 0.0640505, 1.0]], ['2, k, 7', [-0.570561, 0.0747952, 1.0]], ['2, k, 8', [-0.180909, 0.137597, 1.0]], ['2, k, 9', [-0.246593, 0.100552, 1.0]], ['2, k, 10', [-0.1582, 0.0597468, 1.0]], ['2, k, 11', [-0.0943896, 0.0530499, 1.0]], ['2, k, 12', [-0.374558, -0.343041, 1.0]], ['2, k, 13', [-0.43299, -0.714984, 1.0]], ['2, k, 14', [-0.489618, -1.04726, 1.0]], ['2, k, 15', [-0.513146, -1.10681, 1.0]], ['2, k, 16', [-0.245904, -0.339385, 1.0]], ['2, k, 17', [-0.175792, -0.68642, 1.0]], ['2, k, 18', [-0.13482, -1.04092, 1.0]], ['2, k, 19', [-0.123011, -1.09336, 1.0]], ['2, k, 20', [-0.325738, 0.170541, 1.0]], ['2, k, 21', [-0.589394, 0.0715539, 1.0]], ['2, k, 22', [-0.62462, 0.0727631, 1.0]], ['2, k, 23', [-0.0480408, 0.0543661, 1.0]], ['2, k, 24', [-0.102367, 0.0634059, 1.0]]]
[['2, k, 0', [-0.315598, -0.348786, 1.0]], ['2, k, 1', [-0.321968, -0.0527161, 1.0]], ['2, k, 2', [-0.32638, 0.234916, 1.0]], ['2, k, 3', [-0.320861, 0.367564, 1.0]], ['2, k, 4', [-0.462005, 0.130766, 1.0]], ['2, k, 5', [-0.574076, 0.0980494, 1.0]], ['2, k, 6', [-0.562836, 0.0648269, 1.0]], ['2, k, 7', [-0.575351, 0.0691105, 1.0]], ['2, k, 8', [-0.180974, 0.136194, 1.0]], ['2, k, 9', [-0.242168, 0.0974965, 1.0]], ['2, k, 10', [-0.133314, 0.0577701, 1.0]], ['2, k, 11', [-0.0880595, 0.0468752, 1.0]], ['2, k, 12', [-0.375577, -0.34561, 1.0]], ['2, k, 13', [-0.4339, -0.716042, 1.0]], ['2, k, 14', [-0.488451, -1.04926, 1.0]], ['2, k, 15', [-0.513474, -1.10865, 1.0]], ['2, k, 16', [-0.246864, -0.342302, 1.0]], ['2, k, 17', [-0.175062, -0.692031, 1.0]], ['2, k, 18', [-0.13544, -1.0431, 1.0]], ['2, k, 19', [-0.120219, -1.09657, 1.0]], ['2, k, 20', [-0.325713, 0.164102, 1.0]], ['2, k, 21', [-0.553722, 0.064936, 1.0]], ['2, k, 22', [-0.627469, 0.0662687, 1.0]], ['2, k, 23', [-0.0335328, 0.0506209, 1.0]], ['2, k, 24', [-0.0943632, 0.0625542, 1.0]]]
