[['2, k, 0', [-0.294104, -0.31064, 1.0]], ['2, k, 1', [-0.295185, -0.0165828, 1.0]], ['2, k, 2', [-0.294359, 0.270059, 1.0]], ['2, k, 3', [-0.294668, 0.423666, 1.0]], ['2, k, 4', [-0.460202, 0.214361, 1.0]], ['2, k, 5', [-0.534799, 0.331948, 1.0]], ['2, k, 6', [-0.4151, 0.357444, 1.0]], ['2, k, 7', [-0.378422, 0.373825, 1.0]], ['2, k, 8', [-0.126621, 0.237875, 1.0]], ['2, k, 9', [-0.000895262, 0.377936, 1.0]], ['2, k, 10', [0.0310522, 0.510904, 1.0]], ['2, k, 11', [0.034016, 0.56832, 1.0]], ['2, k, 12', [-0.365828, -0.311383, 1.0]], ['2, k, 13', [-0.398242, -0.625147, 1.0]], ['2, k, 14', [-0.406978, -0.963515, 1.0]], ['2, k, 15', [-0.390679, -1.01968, 1.0]], ['2, k, 16', [-0.213678, -0.300717, 1.0]], ['2, k, 17', [-0.188065, -0.625691, 1.0]], ['2, k, 18', [-0.168575, -0.962643, 1.0]], ['2, k, 19', [-0.15533, -1.01878, 1.0]], ['2, k, 20', [-0.294894, 0.199484, 1.0]], ['2, k, 21', [-0.363728, 0.31209, 1.0]], ['2, k, 22', [-0.368568, 0.383494, 1.0]], ['2, k, 23', [0.033347, 0.605844, 1.0]], ['2, k, 24', [0.0590726, 0.589863, 1.0]]]
[['2, k, 0', [-0.290888, -0.310789, 1.0]], ['2, k, 1', [-0.294125, -0.0167352, 1.0]], ['2, k, 2', [-0.294308, 0.270016, 1.0]], ['2, k, 3', [-0.294654, 0.423489, 1.0]], ['2, k, 4', [-0.46017, 0.214348, 1.0]], ['2, k, 5', [-0.534811, 0.331907, 1.0]], ['2, k, 6', [-0.609479, 0.450068, 1.0]], ['2, k, 7', [-0.635294, 0.49003, 1.0]], ['2, k, 8', [-0.126636, 0.237796, 1.0]], ['2, k, 9', [-0.000990909, 0.377844, 1.0]], ['2, k, 10', [0.0310435, 0.510813, 1.0]], ['2, k, 11', [0.0339429, 0.573259, 1.0]], ['2, k, 12', [-0.362728, -0.311132, 1.0]], ['2, k, 13', [-0.399367, -0.56126, 1.0]], ['2, k, 14', [-0.406735, -0.911832, 1.0]], ['2, k, 15', [-0.390677, -0.966327, 1.0]], ['2, k, 16', [-0.210326, -0.30116, 1.0]], ['2, k, 17', [-0.18687, -0.631196, 1.0]], ['2, k, 18', [-0.168668, -0.980063, 1.0]], ['2, k, 19', [-0.155726, -1.03385, 1.0]], ['2, k, 20', [-0.294712, 0.199391, 1.0]], ['2, k, 21', [-0.619395, 0.427717, 1.0]], ['2, k, 22', [-0.695371, 0.400538, 1.0]], ['2, k, 23', [0.0333354, 0.605339, 1.0]], ['2, k, 24', [0.0491727, 0.544991, 1.0]]]
[['2, k, 0', [-0.291109, -0.31049, 1.0]], ['2, k, 1', [-0.294568, -0.0156587, 1.0]], ['2, k, 2', [-0.29463, 0.270606, 1.0]], ['2, k, 3', [-0.294863, 0.422917, 1.0]], ['2, k, 4', [-0.460183, 0.214559, 1.0]], ['2, k, 5', [-0.536581, 0.332891, 1.0]], ['2, k, 6', [-0.511128, 0.183712, 1.0]], ['2, k, 7', [-0.488119, 0.157264, 1.0]], ['2, k, 8', [-0.127025, 0.237925, 1.0]], ['2, k, 9', [-0.000134926, 0.379021, 1.0]], ['2, k, 10', [0.0292894, 0.537909, 1.0]], ['2, k, 11', [0.0329076, 0.579994, 1.0]], ['2, k, 12', [-0.363013, -0.310751, 1.0]], ['2, k, 13', [-0.398155, -0.67843, 1.0]], ['2, k, 14', [-0.406656, -1.05497, 1.0]], ['2, k, 15', [-0.42021, -1.12499, 1.0]], ['2, k, 16', [-0.21048, -0.300952, 1.0]], ['2, k, 17', [-0.182006, -0.679056, 1.0]], ['2, k, 18', [-0.16849, -1.05701, 1.0]], ['2, k, 19', [-0.132574, -1.12093, 1.0]], ['2, k, 20', [-0.295104, 0.200192, 1.0]], ['2, k, 21', [-0.470813, 0.0876887, 1.0]], ['2, k, 22', [-0.503483, 0.14803, 1.0]], ['2, k, 23', [0.0329822, 0.615017, 1.0]], ['2, k, 24', [0.0482486, 0.54878, 1.0]]]
[['2, k, 0', [-0.290987, -0.31031, 1.0]], ['2, k, 1', [-0.294652, -0.0152478, 1.0]], ['2, k, 2', [-0.294943, 0.270991, 1.0]], ['2, k, 3', [-0.295077, 0.422449, 1.0]], ['2, k, 4', [-0.460289, 0.21482, 1.0]], ['2, k, 5', [-0.537222, 0.333318, 1.0]], ['2, k, 6', [-0.52411, 0.182931, 1.0]], ['2, k, 7', [-0.498162, 0.16404, 1.0]], ['2, k, 8', [-0.127175, 0.237992, 1.0]], ['2, k, 9', [0.000418335, 0.379907, 1.0]], ['2, k, 10', [0.0293667, 0.537448, 1.0]], ['2, k, 11', [0.0335085, 0.576147, 1.0]], ['2, k, 12', [-0.362868, -0.310539, 1.0]], ['2, k, 13', [-0.398132, -0.678735, 1.0]], ['2, k, 14', [-0.406597, -1.06696, 1.0]], ['2, k, 15', [-0.422523, -1.13072, 1.0]], ['2, k, 16', [-0.210388, -0.300811, 1.0]], ['2, k, 17', [-0.181501, -0.68611, 1.0]], ['2, k, 18', [-0.168488, -1.05868, 1.0]], ['2, k, 19', [-0.133769, -1.11899, 1.0]], ['2, k, 20', [-0.295368, 0.20058, 1.0]], ['2, k, 21', [-0.4798, 0.0843696, 1.0]], ['2, k, 22', [-0.499785, 0.1482, 1.0]], ['2, k, 23', [0.0322094, 0.614815, 1.0]], ['2, k, 24', [0.0486129, 0.543209, 1.0]]]
[['2, k, 0', [-0.291055, -0.310242, 1.0]], ['2, k, 1', [-0.294552, -0.0151754, 1.0]], ['2, k, 2', [-0.294929, 0.271037, 1.0]], ['2, k, 3', [-0.295262, 0.421995, 1.0]], ['2, k, 4', [-0.460362, 0.215008, 1.0]], ['2, k, 5', [-0.537851, 0.333569, 1.0]], ['2, k, 6', [-0.518771, 0.183001, 1.0]], ['2, k, 7', [-0.490121, 0.158653, 1.0]], ['2, k, 8', [-0.127666, 0.238088, 1.0]], ['2, k, 9', [0.000698527, 0.380516, 1.0]], ['2, k, 10', [0.0292924, 0.536319, 1.0]], ['2, k, 11', [0.0335703, 0.574156, 1.0]], ['2, k, 12', [-0.362933, -0.310469, 1.0]], ['2, k, 13', [-0.398076, -0.679, 1.0]], ['2, k, 14', [-0.405608, -1.06996, 1.0]], ['2, k, 15', [-0.421601, -1.12948, 1.0]], ['2, k, 16', [-0.210452, -0.300749, 1.0]], ['2, k, 17', [-0.18155, -0.686348, 1.0]], ['2, k, 18', [-0.16946, -1.06336, 1.0]], ['2, k, 19', [-0.133966, -1.11858, 1.0]], ['2, k, 20', [-0.295319, 0.200671, 1.0]], ['2, k, 21', [-0.475759, 0.0769775, 1.0]], ['2, k, 22', [-0.510028, 0.153693, 1.0]], ['2, k, 23', [0.0342466, 0.614343, 1.0]], ['2, k, 24', [0.0519433, 0.549394, 1.0]]]
[['2, k, 0', [-0.291116, -0.310153, 1.0]], ['2, k, 1', [-0.294665, -0.014906, 1.0]], ['2, k, 2', [-0.295133, 0.271412, 1.0]], ['2, k, 3', [-0.295526, 0.421545, 1.0]], ['2, k, 4', [-0.4604, 0.215066, 1.0]], ['2, k, 5', [-0.53843, 0.333859, 1.0]], ['2, k, 6', [-0.515313, 0.183351, 1.0]], ['2, k, 7', [-0.486209, 0.160061, 1.0]], ['2, k, 8', [-0.128109, 0.238184, 1.0]], ['2, k, 9', [0.000950172, 0.380849, 1.0]], ['2, k, 10', [0.0293581, 0.535318, 1.0]], ['2, k, 11', [0.0336613, 0.574047, 1.0]], ['2, k, 12', [-0.362983, -0.310406, 1.0]], ['2, k, 13', [-0.397525, -0.688398, 1.0]], ['2, k, 14', [-0.405987, -1.07099, 1.0]], ['2, k, 15', [-0.421217, -1.12827, 1.0]], ['2, k, 16', [-0.210519, -0.300642, 1.0]], ['2, k, 17', [-0.18145, -0.686701, 1.0]], ['2, k, 18', [-0.168638, -1.06499, 1.0]], ['2, k, 19', [-0.132646, -1.12072, 1.0]], ['2, k, 20', [-0.29553, 0.201104, 1.0]], ['2, k, 21', [-0.470693, 0.0817399, 1.0]], ['2, k, 22', [-0.497931, 0.145165, 1.0]], ['2, k, 23', [0.0321377, 0.613576, 1.0]], ['2, k, 24', [0.0442979, 0.560814, 1.0]]]
[['2, k, 0', [-0.291206, -0.310127, 1.0]], ['2, k, 1', [-0.294712, -0.0148731, 1.0]], ['2, k, 2', [-0.295168, 0.271473, 1.0]], ['2, k, 3', [-0.295869, 0.421192, 1.0]], ['2, k, 4', [-0.460438, 0.215259, 1.0]], ['2, k, 5', [-0.538834, 0.334337, 1.0]], ['2, k, 6', [-0.513305, 0.18387, 1.0]], ['2, k, 7', [-0.486676, 0.158825, 1.0]], ['2, k, 8', [-0.128136, 0.238181, 1.0]], ['2, k, 9', [0.0011918, 0.381193, 1.0]], ['2, k, 10', [0.0292829, 0.534148, 1.0]], ['2, k, 11', [0.0338351, 0.573862, 1.0]], ['2, k, 12', [-0.36307, -0.310353, 1.0]], ['2, k, 13', [-0.397244, -0.686354, 1.0]], ['2, k, 14', [-0.405925, -1.07151, 1.0]], ['2, k, 15', [-0.421074, -1.12776, 1.0]], ['2, k, 16', [-0.210606, -0.300637, 1.0]], ['2, k, 17', [-0.181449, -0.686657, 1.0]], ['2, k, 18', [-0.168567, -1.06494, 1.0]], ['2, k, 19', [-0.134587, -1.11683, 1.0]], ['2, k, 20', [-0.295562, 0.201159, 1.0]], ['2, k, 21', [-0.470182, 0.0816507, 1.0]], ['2, k, 22', [-0.503679, 0.148781, 1.0]], ['2, k, 23', [0.0319464, 0.613539, 1.0]], ['2, k, 24', [0.0255393, 0.596421, 1.0]]]
[['2, k, 0', [-0.291375, -0.310224, 1.0]], ['2, k, 1', [-0.294969, -0.0148283, 1.0]], ['2, k, 2', [-0.295534, 0.271804, 1.0]], ['2, k, 3', [-0.296138, 0.420757, 1.0]], ['2, k, 4', [-0.460474, 0.215297, 1.0]], ['2, k, 5', [-0.539114, 0.334534, 1.0]], ['2, k, 6', [-0.512432, 0.18391, 1.0]], ['2, k, 7', [-0.485013, 0.157008, 1.0]], ['2, k, 8', [-0.128161, 0.238205, 1.0]], ['2, k, 9', [0.00144508, 0.381378, 1.0]], ['2, k, 10', [0.0292483, 0.533313, 1.0]], ['2, k, 11', [0.0331705, 0.572401, 1.0]], ['2, k, 12', [-0.363201, -0.310448, 1.0]], ['2, k, 13', [-0.397349, -0.686129, 1.0]], ['2, k, 14', [-0.405782, -1.07166, 1.0]], ['2, k, 15', [-0.420942, -1.12778, 1.0]], ['2, k, 16', [-0.210809, -0.300727, 1.0]], ['2, k, 17', [-0.181486, -0.686705, 1.0]], ['2, k, 18', [-0.168438, -1.06538, 1.0]], ['2, k, 19', [-0.135105, -1.11651, 1.0]], ['2, k, 20', [-0.295901, 0.201418, 1.0]], ['2, k, 21', [-0.466647, 0.0813553, 1.0]], ['2, k, 22', [-0.498089, 0.145597, 1.0]], ['2, k, 23', [0.0318983, 0.612449, 1.0]], ['2, k, 24', [0.0431747, 0.547784, 1.0]]]
[['2, k, 0', [-0.291473, -0.310268, 1.0]], ['2, k, 1', [-0.295104, -0.0147974, 1.0]], ['2, k, 2', [-0.295714, 0.271961, 1.0]], ['2, k, 3', [-0.296314, 0.420338, 1.0]], ['2, k, 4', [-0.460492, 0.215381, 1.0]], ['2, k, 5', [-0.539377, 0.334776, 1.0]], ['2, k, 6', [-0.521387, 0.181638, 1.0]], ['2, k, 7', [-0.494192, 0.161798, 1.0]], ['2, k, 8', [-0.128211, 0.238218, 1.0]], ['2, k, 9', [0.0015557, 0.381324, 1.0]], ['2, k, 10', [0.0292354, 0.531978, 1.0]], ['2, k, 11', [0.0327031, 0.573541, 1.0]], ['2, k, 12', [-0.36329, -0.310489, 1.0]], ['2, k, 13', [-0.397413, -0.68612, 1.0]], ['2, k, 14', [-0.405957, -1.0737, 1.0]], ['2, k, 15', [-0.421769, -1.12989, 1.0]], ['2, k, 16', [-0.210906, -0.300768, 1.0]], ['2, k, 17', [-0.181459, -0.686683, 1.0]], ['2, k, 18', [-0.168673, -1.06519, 1.0]], ['2, k, 19', [-0.135593, -1.11564, 1.0]], ['2, k, 20', [-0.296077, 0.201553, 1.0]], ['2, k, 21', [-0.473695, 0.0761244, 1.0]], ['2, k, 22', [-0.496912, 0.143798, 1.0]], ['2, k, 23', [0.0310773, 0.611292, 1.0]], ['2, k, 24', [0.0432464, 0.539258, 1.0]]]
[['2, k, 0', [-0.291413, -0.31004, 1.0]], ['2, k, 1', [-0.294968, -0.0147215, 1.0]], ['2, k, 2', [-0.295674, 0.27195, 1.0]], ['2, k, 3', [-0.29636, 0.420049, 1.0]], ['2, k, 4', [-0.46051, 0.215413, 1.0]], ['2, k, 5', [-0.539546, 0.335068, 1.0]], ['2, k, 6', [-0.515958, 0.182894, 1.0]], ['2, k, 7', [-0.48665, 0.158146, 1.0]], ['2, k, 8', [-0.128245, 0.238214, 1.0]], ['2, k, 9', [0.00156268, 0.381101, 1.0]], ['2, k, 10', [0.0290089, 0.5292, 1.0]], ['2, k, 11', [0.0333931, 0.570626, 1.0]], ['2, k, 12', [-0.363064, -0.309506, 1.0]], ['2, k, 13', [-0.397486, -0.685796, 1.0]], ['2, k, 14', [-0.40603, -1.07394, 1.0]], ['2, k, 15', [-0.427304, -1.13145, 1.0]], ['2, k, 16', [-0.210912, -0.300835, 1.0]], ['2, k, 17', [-0.181374, -0.686808, 1.0]], ['2, k, 18', [-0.168289, -1.0658, 1.0]], ['2, k, 19', [-0.135919, -1.11552, 1.0]], ['2, k, 20', [-0.295981, 0.201538, 1.0]], ['2, k, 21', [-0.470626, 0.075802, 1.0]], ['2, k, 22', [-0.497717, 0.144695, 1.0]], ['2, k, 23', [0.0318, 0.610687, 1.0]], ['2, k, 24', [0.0376866, 0.572521, 1.0]]]
[['2, k, 0', [-0.291293, -0.309879, 1.0]], ['2, k, 1', [-0.294943, -0.0146165, 1.0]], ['2, k, 2', [-0.295811, 0.272028, 1.0]], ['2, k, 3', [-0.296503, 0.419626, 1.0]], ['2, k, 4', [-0.46052, 0.215492, 1.0]], ['2, k, 5', [-0.539801, 0.335167, 1.0]], ['2, k, 6', [-0.514975, 0.182965, 1.0]], ['2, k, 7', [-0.485907, 0.157224, 1.0]], ['2, k, 8', [-0.128727, 0.238262, 1.0]], ['2, k, 9', [0.00146926, 0.380777, 1.0]], ['2, k, 10', [0.0289666, 0.527944, 1.0]], ['2, k, 11', [0.0327629, 0.570315, 1.0]], ['2, k, 12', [-0.362854, -0.30899, 1.0]], ['2, k, 13', [-0.397462, -0.687816, 1.0]], ['2, k, 14', [-0.406064, -1.07404, 1.0]], ['2, k, 15', [-0.427333, -1.13141, 1.0]], ['2, k, 16', [-0.210842, -0.300912, 1.0]], ['2, k, 17', [-0.181184, -0.687091, 1.0]], ['2, k, 18', [-0.168296, -1.06584, 1.0]], ['2, k, 19', [-0.135767, -1.11657, 1.0]], ['2, k, 20', [-0.296093, 0.201624, 1.0]], ['2, k, 21', [-0.470603, 0.0757977, 1.0]], ['2, k, 22', [-0.501547, 0.146916, 1.0]], ['2, k, 23', [0.0319535, 0.6098, 1.0]], ['2, k, 24', [0.0491211, 0.545537, 1.0]]]
