[['2, k, 0', [-0.0313742, -0.387483, 1.0]], ['2, k, 1', [-0.0329089, -0.0560058, 1.0]], ['2, k, 2', [-0.0342763, 0.268736, 1.0]], ['2, k, 3', [-0.0271337, 0.4178, 1.0]], ['2, k, 4', [-0.17724, 0.201956, 1.0]], ['2, k, 5', [-0.272317, 0.154939, 1.0]], ['2, k, 6', [-0.338605, 0.162316, 1.0]], ['2, k, 7', [-0.348177, 0.0949767, 1.0]], ['2, k, 8', [0.12525, 0.206411, 1.0]], ['2, k, 9', [0.196907, 0.153301, 1.0]], ['2, k, 10', [0.267068, 0.142169, 1.0]], ['2, k, 11', [0.294093, 0.139443, 1.0]], ['2, k, 12', [-0.0998525, -0.38404, 1.0]], ['2, k, 13', [-0.178882, -0.745756, 1.0]], ['2, k, 14', [-0.23624, -1.1152, 1.0]], ['2, k, 15', [-0.189331, -1.17383, 1.0]], ['2, k, 16', [0.0378225, -0.381966, 1.0]], ['2, k, 17', [0.0930985, -0.725958, 1.0]], ['2, k, 18', [0.115281, -1.08657, 1.0]], ['2, k, 19', [0.160645, -1.15918, 1.0]], ['2, k, 20', [-0.0339636, 0.188462, 1.0]], ['2, k, 21', [-0.367599, 0.0662955, 1.0]], ['2, k, 22', [-0.404464, 0.101874, 1.0]], ['2, k, 23', [0.312036, 0.122308, 1.0]], ['2, k, 24', [0.295425, 0.145796, 1.0]]]
[['2, k, 0', [-0.0312983, -0.392412, 1.0]], ['2, k, 1', [-0.0325542, -0.0569542, 1.0]], ['2, k, 2', [-0.0337767, 0.26902, 1.0]], ['2, k, 3', [-0.0279713, 0.415743, 1.0]], ['2, k, 4', [-0.185041, 0.240472, 1.0]], ['2, k, 5', [-0.250357, 0.177931, 1.0]], ['2, k, 6', [-0.295077, 0.160963, 1.0]], ['2, k, 7', [-0.339132, 0.141806, 1.0]], ['2, k, 8', [0.109384, 0.149696, 1.0]], ['2, k, 9', [0.222095, 0.236968, 1.0]], ['2, k, 10', [0.266814, 0.185298, 1.0]], ['2, k, 11', [0.29877, 0.132397, 1.0]], ['2, k, 12', [-0.0994, -0.383348, 1.0]], ['2, k, 13', [-0.179953, -0.746144, 1.0]], ['2, k, 14', [-0.221313, -1.09598, 1.0]], ['2, k, 15', [-0.225523, -1.13066, 1.0]], ['2, k, 16', [0.0356453, -0.408867, 1.0]], ['2, k, 17', [0.0936689, -0.730519, 1.0]], ['2, k, 18', [0.122801, -1.09393, 1.0]], ['2, k, 19', [0.122288, -1.15826, 1.0]], ['2, k, 20', [-0.033611, 0.188508, 1.0]], ['2, k, 21', [-0.36467, 0.113139, 1.0]], ['2, k, 22', [-0.398047, 0.140535, 1.0]], ['2, k, 23', [0.30042, 0.148851, 1.0]], ['2, k, 24', [0.291153, 0.154852, 1.0]]]
[['2, k, 0', [-0.0313078, -0.391984, 1.0]], ['2, k, 1', [-0.0324354, -0.0563706, 1.0]], ['2, k, 2', [-0.0333501, 0.27057, 1.0]], ['2, k, 3', [-0.0278151, 0.410017, 1.0]], ['2, k, 4', [-0.17257, 0.134428, 1.0]], ['2, k, 5', [-0.290518, 0.139386, 1.0]], ['2, k, 6', [-0.312114, 0.167438, 1.0]], ['2, k, 7', [-0.329594, 0.188556, 1.0]], ['2, k, 8', [0.110286, 0.149328, 1.0]], ['2, k, 9', [0.239236, 0.147793, 1.0]], ['2, k, 10', [0.292818, 0.156206, 1.0]], ['2, k, 11', [0.335623, 0.184819, 1.0]], ['2, k, 12', [-0.0996016, -0.383861, 1.0]], ['2, k, 13', [-0.180274, -0.747036, 1.0]], ['2, k, 14', [-0.22348, -1.08224, 1.0]], ['2, k, 15', [-0.216707, -1.11724, 1.0]], ['2, k, 16', [0.0373325, -0.391985, 1.0]], ['2, k, 17', [0.0948511, -0.732573, 1.0]], ['2, k, 18', [0.126429, -1.09631, 1.0]], ['2, k, 19', [0.129498, -1.13125, 1.0]], ['2, k, 20', [-0.0332615, 0.189759, 1.0]], ['2, k, 21', [-0.349643, 0.180139, 1.0]], ['2, k, 22', [-0.386725, 0.182044, 1.0]], ['2, k, 23', [0.378497, 0.208142, 1.0]], ['2, k, 24', [0.320085, 0.204118, 1.0]]]
[['2, k, 0', [-0.0304, -0.386665, 1.0]], ['2, k, 1', [-0.0327635, -0.0578292, 1.0]], ['2, k, 2', [-0.0368485, 0.253986, 1.0]], ['2, k, 3', [-0.0277566, 0.409912, 1.0]], ['2, k, 4', [-0.180149, 0.148846, 1.0]], ['2, k, 5', [-0.296606, 0.18722, 1.0]], ['2, k, 6', [-0.324909, 0.203122, 1.0]], ['2, k, 7', [-0.335504, 0.230387, 1.0]], ['2, k, 8', [0.115495, 0.149264, 1.0]], ['2, k, 9', [0.258425, 0.171375, 1.0]], ['2, k, 10', [0.312657, 0.201272, 1.0]], ['2, k, 11', [0.337696, 0.226876, 1.0]], ['2, k, 12', [-0.098545, -0.37942, 1.0]], ['2, k, 13', [-0.180476, -0.745371, 1.0]], ['2, k, 14', [-0.224852, -1.08243, 1.0]], ['2, k, 15', [-0.184693, -1.16704, 1.0]], ['2, k, 16', [0.0382226, -0.38508, 1.0]], ['2, k, 17', [0.0954874, -0.732351, 1.0]], ['2, k, 18', [0.127302, -1.09262, 1.0]], ['2, k, 19', [0.129848, -1.12862, 1.0]], ['2, k, 20', [-0.0355895, 0.178459, 1.0]], ['2, k, 21', [-0.350911, 0.263654, 1.0]], ['2, k, 22', [-0.382872, 0.229278, 1.0]], ['2, k, 23', [0.36186, 0.251006, 1.0]], ['2, k, 24', [0.26924, 0.220634, 1.0]]]
[['2, k, 0', [-0.0307808, -0.381326, 1.0]], ['2, k, 1', [-0.0327569, -0.0568879, 1.0]], ['2, k, 2', [-0.035641, 0.256713, 1.0]], ['2, k, 3', [-0.0288394, 0.416194, 1.0]], ['2, k, 4', [-0.187874, 0.177406, 1.0]], ['2, k, 5', [-0.30094, 0.195113, 1.0]], ['2, k, 6', [-0.33828, 0.234075, 1.0]], ['2, k, 7', [-0.344312, 0.272014, 1.0]], ['2, k, 8', [0.126908, 0.179845, 1.0]], ['2, k, 9', [0.246235, 0.200645, 1.0]], ['2, k, 10', [0.308681, 0.226586, 1.0]], ['2, k, 11', [0.341474, 0.269188, 1.0]], ['2, k, 12', [-0.0986358, -0.375887, 1.0]], ['2, k, 13', [-0.182181, -0.735149, 1.0]], ['2, k, 14', [-0.223448, -1.0816, 1.0]], ['2, k, 15', [-0.216562, -1.11835, 1.0]], ['2, k, 16', [0.0375338, -0.37755, 1.0]], ['2, k, 17', [0.0953758, -0.729646, 1.0]], ['2, k, 18', [0.126021, -1.09235, 1.0]], ['2, k, 19', [0.169395, -1.1654, 1.0]], ['2, k, 20', [-0.0349881, 0.18, 1.0]], ['2, k, 21', [-0.363182, 0.2936, 1.0]], ['2, k, 22', [-0.406707, 0.267465, 1.0]], ['2, k, 23', [0.364924, 0.287935, 1.0]], ['2, k, 24', [0.283715, 0.267339, 1.0]]]
[['2, k, 0', [-0.0324885, -0.374871, 1.0]], ['2, k, 1', [-0.0330549, -0.054076, 1.0]], ['2, k, 2', [-0.0347045, 0.259826, 1.0]], ['2, k, 3', [-0.0280944, 0.417371, 1.0]], ['2, k, 4', [-0.187576, 0.181162, 1.0]], ['2, k, 5', [-0.306559, 0.199345, 1.0]], ['2, k, 6', [-0.338066, 0.271441, 1.0]], ['2, k, 7', [-0.341605, 0.310042, 1.0]], ['2, k, 8', [0.127983, 0.181607, 1.0]], ['2, k, 9', [0.266157, 0.210205, 1.0]], ['2, k, 10', [0.320413, 0.275455, 1.0]], ['2, k, 11', [0.339692, 0.307253, 1.0]], ['2, k, 12', [-0.10037, -0.369766, 1.0]], ['2, k, 13', [-0.182007, -0.733291, 1.0]], ['2, k, 14', [-0.222957, -1.08203, 1.0]], ['2, k, 15', [-0.215948, -1.11917, 1.0]], ['2, k, 16', [0.0360425, -0.371344, 1.0]], ['2, k, 17', [0.0946796, -0.727864, 1.0]], ['2, k, 18', [0.131751, -1.09771, 1.0]], ['2, k, 19', [0.164506, -1.16634, 1.0]], ['2, k, 20', [-0.0344362, 0.182637, 1.0]], ['2, k, 21', [-0.353405, 0.325038, 1.0]], ['2, k, 22', [-0.374388, 0.287397, 1.0]], ['2, k, 23', [0.358395, 0.326901, 1.0]], ['2, k, 24', [0.259, 0.299146, 1.0]]]
[['2, k, 0', [-0.0319936, -0.372098, 1.0]], ['2, k, 1', [-0.0331504, -0.0530491, 1.0]], ['2, k, 2', [-0.0348969, 0.26008, 1.0]], ['2, k, 3', [-0.0280475, 0.415647, 1.0]], ['2, k, 4', [-0.188974, 0.181752, 1.0]], ['2, k, 5', [-0.315509, 0.228653, 1.0]], ['2, k, 6', [-0.355687, 0.311875, 1.0]], ['2, k, 7', [-0.355449, 0.348087, 1.0]], ['2, k, 8', [0.129266, 0.184762, 1.0]], ['2, k, 9', [0.267626, 0.21404, 1.0]], ['2, k, 10', [0.329217, 0.295641, 1.0]], ['2, k, 11', [0.344603, 0.341467, 1.0]], ['2, k, 12', [-0.100102, -0.368163, 1.0]], ['2, k, 13', [-0.179782, -0.733145, 1.0]], ['2, k, 14', [-0.224159, -1.08275, 1.0]], ['2, k, 15', [-0.288076, -1.15534, 1.0]], ['2, k, 16', [0.0368476, -0.367202, 1.0]], ['2, k, 17', [0.0944497, -0.72676, 1.0]], ['2, k, 18', [0.131321, -1.09743, 1.0]], ['2, k, 19', [0.164007, -1.16541, 1.0]], ['2, k, 20', [-0.0345917, 0.18296, 1.0]], ['2, k, 21', [-0.362808, 0.373203, 1.0]], ['2, k, 22', [-0.422683, 0.345115, 1.0]], ['2, k, 23', [0.355023, 0.365515, 1.0]], ['2, k, 24', [0.281644, 0.337797, 1.0]]]
[['2, k, 0', [-0.0313596, -0.370669, 1.0]], ['2, k, 1', [-0.0328635, -0.0523986, 1.0]], ['2, k, 2', [-0.0346926, 0.260331, 1.0]], ['2, k, 3', [-0.0277218, 0.406923, 1.0]], ['2, k, 4', [-0.189048, 0.181898, 1.0]], ['2, k, 5', [-0.318935, 0.23348, 1.0]], ['2, k, 6', [-0.347071, 0.33653, 1.0]], ['2, k, 7', [-0.350387, 0.379402, 1.0]], ['2, k, 8', [0.12965, 0.187708, 1.0]], ['2, k, 9', [0.256911, 0.23216, 1.0]], ['2, k, 10', [0.326762, 0.330131, 1.0]], ['2, k, 11', [0.339756, 0.373275, 1.0]], ['2, k, 12', [-0.0997898, -0.367525, 1.0]], ['2, k, 13', [-0.178805, -0.731689, 1.0]], ['2, k, 14', [-0.222765, -1.08153, 1.0]], ['2, k, 15', [-0.215395, -1.11985, 1.0]], ['2, k, 16', [0.0378661, -0.364878, 1.0]], ['2, k, 17', [0.0946587, -0.72637, 1.0]], ['2, k, 18', [0.136799, -1.10642, 1.0]], ['2, k, 19', [0.0799561, -1.16797, 1.0]], ['2, k, 20', [-0.0343703, 0.183249, 1.0]], ['2, k, 21', [-0.357791, 0.407221, 1.0]], ['2, k, 22', [-0.389895, 0.38511, 1.0]], ['2, k, 23', [0.357669, 0.401451, 1.0]], ['2, k, 24', [0.271768, 0.370021, 1.0]]]
[['2, k, 0', [-0.0320717, -0.370552, 1.0]], ['2, k, 1', [-0.0329726, -0.0522857, 1.0]], ['2, k, 2', [-0.0344727, 0.260543, 1.0]], ['2, k, 3', [-0.0290374, 0.401643, 1.0]], ['2, k, 4', [-0.188987, 0.182345, 1.0]], ['2, k, 5', [-0.317428, 0.240464, 1.0]], ['2, k, 6', [-0.34215, 0.366151, 1.0]], ['2, k, 7', [-0.3487, 0.414324, 1.0]], ['2, k, 8', [0.131109, 0.190456, 1.0]], ['2, k, 9', [0.270427, 0.25621, 1.0]], ['2, k, 10', [0.329527, 0.365999, 1.0]], ['2, k, 11', [0.341109, 0.407488, 1.0]], ['2, k, 12', [-0.100659, -0.367635, 1.0]], ['2, k, 13', [-0.178374, -0.731714, 1.0]], ['2, k, 14', [-0.223504, -1.08314, 1.0]], ['2, k, 15', [-0.177002, -1.16992, 1.0]], ['2, k, 16', [0.0372513, -0.364625, 1.0]], ['2, k, 17', [0.0954488, -0.729212, 1.0]], ['2, k, 18', [0.136498, -1.10632, 1.0]], ['2, k, 19', [0.079434, -1.16821, 1.0]], ['2, k, 20', [-0.0342663, 0.183394, 1.0]], ['2, k, 21', [-0.34852, 0.446622, 1.0]], ['2, k, 22', [-0.385386, 0.425794, 1.0]], ['2, k, 23', [0.350547, 0.43768, 1.0]], ['2, k, 24', [0.275064, 0.404299, 1.0]]]
[['2, k, 0', [-0.0326618, -0.367692, 1.0]], ['2, k, 1', [-0.0336717, -0.0507371, 1.0]], ['2, k, 2', [-0.0349775, 0.260972, 1.0]], ['2, k, 3', [-0.0298532, 0.400319, 1.0]], ['2, k, 4', [-0.192497, 0.194897, 1.0]], ['2, k, 5', [-0.319164, 0.274653, 1.0]], ['2, k, 6', [-0.346075, 0.387112, 1.0]], ['2, k, 7', [-0.355847, 0.446408, 1.0]], ['2, k, 8', [0.131601, 0.191621, 1.0]], ['2, k, 9', [0.268333, 0.25935, 1.0]], ['2, k, 10', [0.327164, 0.392718, 1.0]], ['2, k, 11', [0.337117, 0.437128, 1.0]], ['2, k, 12', [-0.101515, -0.363941, 1.0]], ['2, k, 13', [-0.178976, -0.731803, 1.0]], ['2, k, 14', [-0.22211, -1.08415, 1.0]], ['2, k, 15', [-0.213042, -1.12276, 1.0]], ['2, k, 16', [0.0368895, -0.362646, 1.0]], ['2, k, 17', [0.0955139, -0.728829, 1.0]], ['2, k, 18', [0.134076, -1.10143, 1.0]], ['2, k, 19', [0.139486, -1.13995, 1.0]], ['2, k, 20', [-0.0347631, 0.183966, 1.0]], ['2, k, 21', [-0.359481, 0.478971, 1.0]], ['2, k, 22', [-0.39639, 0.454313, 1.0]], ['2, k, 23', [0.355575, 0.472438, 1.0]], ['2, k, 24', [0.27988, 0.433466, 1.0]]]
[['2, k, 0', [-0.0328349, -0.36905, 1.0]], ['2, k, 1', [-0.0339161, -0.0511941, 1.0]], ['2, k, 2', [-0.0352611, 0.260855, 1.0]], ['2, k, 3', [-0.0299129, 0.403527, 1.0]], ['2, k, 4', [-0.192297, 0.194776, 1.0]], ['2, k, 5', [-0.320273, 0.279313, 1.0]], ['2, k, 6', [-0.353472, 0.409028, 1.0]], ['2, k, 7', [-0.362447, 0.477982, 1.0]], ['2, k, 8', [0.132454, 0.19206, 1.0]], ['2, k, 9', [0.280327, 0.289918, 1.0]], ['2, k, 10', [0.326916, 0.415841, 1.0]], ['2, k, 11', [0.336561, 0.463924, 1.0]], ['2, k, 12', [-0.101897, -0.365356, 1.0]], ['2, k, 13', [-0.17419, -0.716296, 1.0]], ['2, k, 14', [-0.221542, -1.08154, 1.0]], ['2, k, 15', [-0.212322, -1.12309, 1.0]], ['2, k, 16', [0.0369132, -0.364287, 1.0]], ['2, k, 17', [0.0939281, -0.718685, 1.0]], ['2, k, 18', [0.116787, -1.07866, 1.0]], ['2, k, 19', [0.122587, -1.12026, 1.0]], ['2, k, 20', [-0.034997, 0.183769, 1.0]], ['2, k, 21', [-0.385642, 0.506068, 1.0]], ['2, k, 22', [-0.435667, 0.496471, 1.0]], ['2, k, 23', [0.364115, 0.509829, 1.0]], ['2, k, 24', [0.257804, 0.467217, 1.0]]]
