[[0, -0.187192, -0.836822, 2.62446, 1.0], [1, -0.190717, -0.531432, 2.65418, 1.0], [2, -0.193192, -0.230507, 2.66974, 1.0], [3, -0.179783, -0.0971171, 2.69521, 1.0], [4, -0.343471, -0.341478, 2.63419, 1.0], [5, -0.437699, -0.550278, 2.5673, 1.0], [6, -0.503779, -0.714967, 2.46163, 1.0], [7, -0.499431, -0.740991, 2.40777, 1.0], [8, -0.0241306, -0.360683, 2.64434, 1.0], [9, 0.0745163, -0.57931, 2.65562, 1.0], [10, 0.150555, -0.751523, 2.5728, 1.0], [11, 0.138327, -0.76068, 2.53011, 1.0], [12, -0.257499, -0.821461, 2.58596, 1.0], [13, -0.245492, -1.12991, 2.62123, 1.0], [14, -0.257389, -1.44454, 2.66182, 1.0], [15, -0.253176, -1.49108, 2.535, 1.0], [16, -0.111968, -0.830197, 2.59401, 1.0], [17, -0.129819, -1.14281, 2.62518, 1.0], [18, -0.107328, -1.45344, 2.66579, 1.0], [19, -0.0762578, -1.52129, 2.59648, 1.0], [20, -0.192757, -0.305211, 2.66834, 1.0], [21, -0.525839, -0.767861, 2.35087, 1.0], [22, -0.406428, -0.752056, 2.38375, 1.0], [23, 0.159836, -0.789726, 2.4972, 1.0], [24, 0.0585214, -0.768392, 2.47859, 1.0]]
[[0, -0.187117, -0.836812, 2.62439, 1.0], [1, -0.190628, -0.531518, 2.654, 1.0], [2, -0.193093, -0.230788, 2.66934, 1.0], [3, -0.179769, -0.0971836, 2.695, 1.0], [4, -0.343448, -0.341679, 2.63382, 1.0], [5, -0.437039, -0.54927, 2.56699, 1.0], [6, -0.503401, -0.713767, 2.46184, 1.0], [7, -0.499381, -0.740591, 2.40629, 1.0], [8, -0.0241158, -0.36057, 2.64422, 1.0], [9, 0.0744854, -0.579098, 2.65548, 1.0], [10, 0.150403, -0.751152, 2.57302, 1.0], [11, 0.137767, -0.76175, 2.52855, 1.0], [12, -0.25742, -0.821496, 2.58589, 1.0], [13, -0.245111, -1.12972, 2.62103, 1.0], [14, -0.257602, -1.44466, 2.66109, 1.0], [15, -0.253466, -1.49096, 2.53415, 1.0], [16, -0.111885, -0.830147, 2.59395, 1.0], [17, -0.130029, -1.14265, 2.62502, 1.0], [18, -0.106603, -1.4537, 2.66524, 1.0], [19, -0.0766519, -1.52212, 2.59643, 1.0], [20, -0.192658, -0.305433, 2.66801, 1.0], [21, -0.526184, -0.769304, 2.35241, 1.0], [22, -0.405316, -0.752828, 2.38362, 1.0], [23, 0.156217, -0.789995, 2.49592, 1.0], [24, 0.0584577, -0.768083, 2.47823, 1.0]]
[[0, -0.187355, -0.836411, 2.62393, 1.0], [1, -0.190747, -0.53142, 2.65387, 1.0], [2, -0.193161, -0.230799, 2.66934, 1.0], [3, -0.179504, -0.0970738, 2.69447, 1.0], [4, -0.343448, -0.341898, 2.6335, 1.0], [5, -0.436275, -0.548403, 2.56641, 1.0], [6, -0.502816, -0.712429, 2.46121, 1.0], [7, -0.500207, -0.739538, 2.40497, 1.0], [8, -0.0241331, -0.360449, 2.6441, 1.0], [9, 0.074393, -0.578777, 2.65531, 1.0], [10, 0.150143, -0.750779, 2.57342, 1.0], [11, 0.137431, -0.76102, 2.52859, 1.0], [12, -0.257604, -0.821282, 2.58562, 1.0], [13, -0.244516, -1.1306, 2.62104, 1.0], [14, -0.257547, -1.44499, 2.66047, 1.0], [15, -0.2535, -1.49109, 2.53346, 1.0], [16, -0.112173, -0.829511, 2.59326, 1.0], [17, -0.1301, -1.14245, 2.62488, 1.0], [18, -0.105365, -1.4535, 2.66501, 1.0], [19, -0.0842662, -1.52467, 2.59691, 1.0], [20, -0.192726, -0.305427, 2.66798, 1.0], [21, -0.528084, -0.769109, 2.35232, 1.0], [22, -0.407197, -0.752264, 2.38236, 1.0], [23, 0.156644, -0.78789, 2.49582, 1.0], [24, 0.0583098, -0.768547, 2.47844, 1.0]]
[[0, -0.187256, -0.836345, 2.62383, 1.0], [1, -0.190739, -0.53143, 2.6537, 1.0], [2, -0.193288, -0.230941, 2.66902, 1.0], [3, -0.179548, -0.0971916, 2.69442, 1.0], [4, -0.343448, -0.341996, 2.63343, 1.0], [5, -0.436179, -0.548286, 2.56618, 1.0], [6, -0.50259, -0.712136, 2.46094, 1.0], [7, -0.500231, -0.739294, 2.40583, 1.0], [8, -0.0241424, -0.360418, 2.64402, 1.0], [9, 0.074429, -0.578758, 2.65524, 1.0], [10, 0.150024, -0.750646, 2.57339, 1.0], [11, 0.13726, -0.760338, 2.52938, 1.0], [12, -0.257534, -0.821255, 2.58557, 1.0], [13, -0.244237, -1.13089, 2.62104, 1.0], [14, -0.257139, -1.44384, 2.66037, 1.0], [15, -0.25309, -1.48999, 2.53341, 1.0], [16, -0.112044, -0.829399, 2.59309, 1.0], [17, -0.130139, -1.1418, 2.62468, 1.0], [18, -0.105407, -1.453, 2.66508, 1.0], [19, -0.0893466, -1.52465, 2.59584, 1.0], [20, -0.192811, -0.305527, 2.66771, 1.0], [21, -0.527409, -0.768126, 2.34931, 1.0], [22, -0.407174, -0.752293, 2.38257, 1.0], [23, 0.160309, -0.787122, 2.49519, 1.0], [24, 0.0583128, -0.768604, 2.47862, 1.0]]
[[0, -0.187395, -0.83628, 2.62378, 1.0], [1, -0.190902, -0.531408, 2.65362, 1.0], [2, -0.193469, -0.230968, 2.66893, 1.0], [3, -0.179332, -0.0971772, 2.69414, 1.0], [4, -0.343484, -0.342099, 2.63319, 1.0], [5, -0.43548, -0.547654, 2.56578, 1.0], [6, -0.502415, -0.711499, 2.46129, 1.0], [7, -0.500002, -0.739917, 2.4045, 1.0], [8, -0.0240634, -0.360244, 2.64417, 1.0], [9, 0.0744519, -0.57866, 2.65515, 1.0], [10, 0.150048, -0.750454, 2.57359, 1.0], [11, 0.137574, -0.760039, 2.52959, 1.0], [12, -0.257666, -0.821238, 2.58552, 1.0], [13, -0.243808, -1.13107, 2.62105, 1.0], [14, -0.255023, -1.44335, 2.65941, 1.0], [15, -0.250547, -1.48506, 2.53857, 1.0], [16, -0.112197, -0.829284, 2.59307, 1.0], [17, -0.130254, -1.14169, 2.6247, 1.0], [18, -0.105577, -1.45341, 2.66514, 1.0], [19, -0.124347, -1.52025, 2.60414, 1.0], [20, -0.19299, -0.305542, 2.66762, 1.0], [21, -0.52668, -0.767907, 2.34989, 1.0], [22, -0.407279, -0.752153, 2.3816, 1.0], [23, 0.162477, -0.785098, 2.49509, 1.0], [24, 0.0582504, -0.769473, 2.47901, 1.0]]
[[0, -0.187475, -0.83614, 2.6235, 1.0], [1, -0.190994, -0.53137, 2.65335, 1.0], [2, -0.193563, -0.231022, 2.6687, 1.0], [3, -0.179389, -0.0973487, 2.6939, 1.0], [4, -0.343588, -0.342196, 2.63297, 1.0], [5, -0.435182, -0.547609, 2.56493, 1.0], [6, -0.502452, -0.711615, 2.46125, 1.0], [7, -0.499491, -0.739836, 2.40483, 1.0], [8, -0.0239737, -0.360135, 2.64417, 1.0], [9, 0.0744881, -0.578626, 2.65509, 1.0], [10, 0.15011, -0.750346, 2.57373, 1.0], [11, 0.139196, -0.759617, 2.52908, 1.0], [12, -0.257748, -0.821159, 2.58524, 1.0], [13, -0.244047, -1.13079, 2.62088, 1.0], [14, -0.255319, -1.44429, 2.65805, 1.0], [15, -0.250844, -1.48285, 2.54108, 1.0], [16, -0.112274, -0.82909, 2.59282, 1.0], [17, -0.130354, -1.14244, 2.6245, 1.0], [18, -0.105045, -1.4534, 2.6652, 1.0], [19, -0.12947, -1.51616, 2.61047, 1.0], [20, -0.193084, -0.305575, 2.66738, 1.0], [21, -0.52979, -0.769274, 2.34936, 1.0], [22, -0.407352, -0.751954, 2.38048, 1.0], [23, 0.159199, -0.786974, 2.49446, 1.0], [24, 0.0567389, -0.767989, 2.47773, 1.0]]
[[0, -0.187432, -0.836064, 2.62338, 1.0], [1, -0.191024, -0.53135, 2.65327, 1.0], [2, -0.193673, -0.231045, 2.66864, 1.0], [3, -0.179263, -0.0972739, 2.6937, 1.0], [4, -0.343528, -0.342295, 2.63251, 1.0], [5, -0.4351, -0.54757, 2.56485, 1.0], [6, -0.50189, -0.711306, 2.4607, 1.0], [7, -0.499908, -0.739894, 2.40458, 1.0], [8, -0.023958, -0.360094, 2.64408, 1.0], [9, 0.0741145, -0.577645, 2.65487, 1.0], [10, 0.149731, -0.749506, 2.57433, 1.0], [11, 0.137156, -0.761379, 2.52912, 1.0], [12, -0.257708, -0.821104, 2.58511, 1.0], [13, -0.244102, -1.13059, 2.62076, 1.0], [14, -0.242699, -1.44793, 2.65895, 1.0], [15, -0.235276, -1.48742, 2.54062, 1.0], [16, -0.112232, -0.829002, 2.59271, 1.0], [17, -0.13059, -1.14253, 2.62454, 1.0], [18, -0.103872, -1.45356, 2.66528, 1.0], [19, -0.0770576, -1.51574, 2.60398, 1.0], [20, -0.193169, -0.305585, 2.66731, 1.0], [21, -0.527608, -0.770855, 2.3496, 1.0], [22, -0.407383, -0.752543, 2.38117, 1.0], [23, 0.161549, -0.788578, 2.49465, 1.0], [24, 0.0586457, -0.768691, 2.47829, 1.0]]
[[0, -0.18734, -0.836025, 2.62317, 1.0], [1, -0.19096, -0.53136, 2.65292, 1.0], [2, -0.19365, -0.231127, 2.66816, 1.0], [3, -0.17927, -0.0972847, 2.69364, 1.0], [4, -0.343538, -0.342371, 2.63238, 1.0], [5, -0.434889, -0.547597, 2.56423, 1.0], [6, -0.50163, -0.711299, 2.46026, 1.0], [7, -0.501687, -0.74068, 2.40473, 1.0], [8, -0.0239463, -0.360044, 2.64379, 1.0], [9, 0.0740985, -0.577513, 2.65464, 1.0], [10, 0.149694, -0.749359, 2.57442, 1.0], [11, 0.136847, -0.760212, 2.52817, 1.0], [12, -0.257619, -0.821094, 2.58488, 1.0], [13, -0.243935, -1.13075, 2.62065, 1.0], [14, -0.244275, -1.44705, 2.65793, 1.0], [15, -0.237245, -1.48703, 2.53833, 1.0], [16, -0.112139, -0.828944, 2.59253, 1.0], [17, -0.13051, -1.14244, 2.62446, 1.0], [18, -0.10363, -1.45511, 2.665, 1.0], [19, -0.080514, -1.51919, 2.60261, 1.0], [20, -0.193137, -0.305649, 2.66686, 1.0], [21, -0.527949, -0.772795, 2.3519, 1.0], [22, -0.40786, -0.753037, 2.37923, 1.0], [23, 0.159349, -0.786315, 2.49314, 1.0], [24, 0.0583327, -0.768959, 2.47884, 1.0]]
[[0, -0.187335, -0.83613, 2.62312, 1.0], [1, -0.190954, -0.5314, 2.65284, 1.0], [2, -0.193633, -0.231115, 2.66804, 1.0], [3, -0.17925, -0.0974246, 2.69336, 1.0], [4, -0.343553, -0.342464, 2.63202, 1.0], [5, -0.434727, -0.547228, 2.56395, 1.0], [6, -0.50138, -0.710904, 2.46014, 1.0], [7, -0.500766, -0.740679, 2.4041, 1.0], [8, -0.0239261, -0.359954, 2.64372, 1.0], [9, 0.0740294, -0.577432, 2.65458, 1.0], [10, 0.149634, -0.749182, 2.5745, 1.0], [11, 0.136958, -0.760701, 2.52723, 1.0], [12, -0.257617, -0.821289, 2.58473, 1.0], [13, -0.243231, -1.13167, 2.62072, 1.0], [14, -0.24695, -1.44617, 2.65644, 1.0], [15, -0.240567, -1.48632, 2.5357, 1.0], [16, -0.112134, -0.829, 2.59254, 1.0], [17, -0.130778, -1.14353, 2.62426, 1.0], [18, -0.103114, -1.45136, 2.66413, 1.0], [19, -0.113001, -1.51987, 2.60539, 1.0], [20, -0.193124, -0.305652, 2.66675, 1.0], [21, -0.52648, -0.77232, 2.3504, 1.0], [22, -0.407817, -0.753032, 2.37961, 1.0], [23, 0.148166, -0.784138, 2.49251, 1.0], [24, 0.0571281, -0.768213, 2.47679, 1.0]]
[[0, -0.187371, -0.836137, 2.62294, 1.0], [1, -0.19094, -0.531388, 2.65276, 1.0], [2, -0.193586, -0.23109, 2.66802, 1.0], [3, -0.179243, -0.0974841, 2.69314, 1.0], [4, -0.343546, -0.342564, 2.63172, 1.0], [5, -0.434381, -0.547097, 2.56371, 1.0], [6, -0.501073, -0.71068, 2.46002, 1.0], [7, -0.501133, -0.741532, 2.40425, 1.0], [8, -0.0239755, -0.35997, 2.64349, 1.0], [9, 0.0739442, -0.577405, 2.65454, 1.0], [10, 0.149631, -0.748963, 2.5744, 1.0], [11, 0.137077, -0.760603, 2.52587, 1.0], [12, -0.257667, -0.821387, 2.58466, 1.0], [13, -0.243259, -1.13178, 2.62063, 1.0], [14, -0.249074, -1.44439, 2.65585, 1.0], [15, -0.243127, -1.48495, 2.53436, 1.0], [16, -0.112155, -0.828847, 2.59214, 1.0], [17, -0.130939, -1.14321, 2.62416, 1.0], [18, -0.10203, -1.45537, 2.66345, 1.0], [19, -0.0893186, -1.49615, 2.54281, 1.0], [20, -0.19309, -0.305633, 2.66672, 1.0], [21, -0.528719, -0.77235, 2.34961, 1.0], [22, -0.407699, -0.753133, 2.38147, 1.0], [23, 0.142374, -0.786466, 2.49495, 1.0], [24, 0.0565067, -0.767989, 2.47583, 1.0]]
[[0, -0.187388, -0.836123, 2.62292, 1.0], [1, -0.190933, -0.531397, 2.6527, 1.0], [2, -0.193515, -0.231148, 2.66789, 1.0], [3, -0.179252, -0.0974856, 2.69311, 1.0], [4, -0.343569, -0.342577, 2.63166, 1.0], [5, -0.433766, -0.54728, 2.56277, 1.0], [6, -0.501086, -0.710892, 2.4598, 1.0], [7, -0.501076, -0.741484, 2.40492, 1.0], [8, -0.0239738, -0.359925, 2.64344, 1.0], [9, 0.0739343, -0.577429, 2.65437, 1.0], [10, 0.149722, -0.74896, 2.57454, 1.0], [11, 0.13727, -0.76077, 2.52741, 1.0], [12, -0.257704, -0.821455, 2.58455, 1.0], [13, -0.243604, -1.13223, 2.6209, 1.0], [14, -0.250004, -1.44427, 2.65586, 1.0], [15, -0.244261, -1.48335, 2.53658, 1.0], [16, -0.112196, -0.828732, 2.59218, 1.0], [17, -0.130889, -1.14406, 2.62428, 1.0], [18, -0.10103, -1.45229, 2.66457, 1.0], [19, -0.0882606, -1.49215, 2.54648, 1.0], [20, -0.19304, -0.305676, 2.66661, 1.0], [21, -0.527946, -0.771031, 2.34998, 1.0], [22, -0.407254, -0.753663, 2.38096, 1.0], [23, 0.160366, -0.787547, 2.49388, 1.0], [24, 0.0574485, -0.768497, 2.47505, 1.0]]
