[['2, k, 0', [-0.380733, -0.713059, 1.0]], ['2, k, 1', [-0.394684, -0.417275, 1.0]], ['2, k, 2', [-0.406241, -0.126217, 1.0]], ['2, k, 3', [-0.39002, 0.01265, 1.0]], ['2, k, 4', [-0.502248, -0.192799, 1.0]], ['2, k, 5', [-0.544931, -0.272132, 1.0]], ['2, k, 6', [-0.439519, -0.288554, 1.0]], ['2, k, 7', [-0.357039, -0.262049, 1.0]], ['2, k, 8', [-0.252659, -0.222773, 1.0]], ['2, k, 9', [-0.129867, -0.307587, 1.0]], ['2, k, 10', [0.0285645, -0.298247, 1.0]], ['2, k, 11', [0.142637, -0.274841, 1.0]], ['2, k, 12', [-0.432582, -0.69691, 1.0]], ['2, k, 13', [-0.583541, -0.890618, 1.0]], ['2, k, 14', [-0.487621, -1.10877, 1.0]], ['2, k, 15', [-0.500347, -1.18747, 1.0]], ['2, k, 16', [-0.31885, -0.710373, 1.0]], ['2, k, 17', [-0.202193, -0.987028, 1.0]], ['2, k, 18', [-0.230738, -1.23489, 1.0]], ['2, k, 19', [-0.183245, -1.29896, 1.0]], ['2, k, 20', [-0.403764, -0.198385, 1.0]], ['2, k, 21', [-0.332653, -0.262042, 1.0]], ['2, k, 22', [-0.37737, -0.253199, 1.0]], ['2, k, 23', [0.159189, -0.265009, 1.0]], ['2, k, 24', [0.129447, -0.274137, 1.0]]]
[['2, k, 0', [-0.377686, -0.6921, 1.0]], ['2, k, 1', [-0.393306, -0.411755, 1.0]], ['2, k, 2', [-0.40586, -0.126187, 1.0]], ['2, k, 3', [-0.389701, 0.0127471, 1.0]], ['2, k, 4', [-0.502076, -0.192728, 1.0]], ['2, k, 5', [-0.547201, -0.272222, 1.0]], ['2, k, 6', [-0.442608, -0.287826, 1.0]], ['2, k, 7', [-0.335326, -0.26233, 1.0]], ['2, k, 8', [-0.252577, -0.222699, 1.0]], ['2, k, 9', [-0.133497, -0.308895, 1.0]], ['2, k, 10', [-0.123676, -0.299388, 1.0]], ['2, k, 11', [-0.0914829, -0.280937, 1.0]], ['2, k, 12', [-0.429556, -0.675916, 1.0]], ['2, k, 13', [-0.569724, -0.912189, 1.0]], ['2, k, 14', [-0.488684, -1.10718, 1.0]], ['2, k, 15', [-0.501327, -1.19813, 1.0]], ['2, k, 16', [-0.315978, -0.690155, 1.0]], ['2, k, 17', [-0.207221, -0.974758, 1.0]], ['2, k, 18', [-0.221763, -1.1829, 1.0]], ['2, k, 19', [-0.16429, -1.25445, 1.0]], ['2, k, 20', [-0.403239, -0.19782, 1.0]], ['2, k, 21', [-0.317256, -0.260363, 1.0]], ['2, k, 22', [-0.383445, -0.262163, 1.0]], ['2, k, 23', [-0.132244, -0.275418, 1.0]], ['2, k, 24', [-0.0942114, -0.275102, 1.0]]]
[['2, k, 0', [-0.370744, -0.680566, 1.0]], ['2, k, 1', [-0.390205, -0.40574, 1.0]], ['2, k, 2', [-0.40553, -0.126095, 1.0]], ['2, k, 3', [-0.388912, 0.0132231, 1.0]], ['2, k, 4', [-0.500323, -0.196468, 1.0]], ['2, k, 5', [-0.53984, -0.267688, 1.0]], ['2, k, 6', [-0.43751, -0.288186, 1.0]], ['2, k, 7', [-0.326252, -0.262033, 1.0]], ['2, k, 8', [-0.251616, -0.223675, 1.0]], ['2, k, 9', [-0.134315, -0.308453, 1.0]], ['2, k, 10', [-0.156489, -0.294558, 1.0]], ['2, k, 11', [-0.0917977, -0.281367, 1.0]], ['2, k, 12', [-0.419719, -0.664796, 1.0]], ['2, k, 13', [-0.478129, -0.944563, 1.0]], ['2, k, 14', [-0.501144, -1.20833, 1.0]], ['2, k, 15', [-0.5108, -1.14575, 1.0]], ['2, k, 16', [-0.311596, -0.679024, 1.0]], ['2, k, 17', [-0.242237, -0.967954, 1.0]], ['2, k, 18', [-0.22115, -1.25524, 1.0]], ['2, k, 19', [-0.156059, -1.29545, 1.0]], ['2, k, 20', [-0.402467, -0.197056, 1.0]], ['2, k, 21', [-0.307455, -0.261696, 1.0]], ['2, k, 22', [-0.363918, -0.255888, 1.0]], ['2, k, 23', [-0.13751, -0.279148, 1.0]], ['2, k, 24', [-0.0667464, -0.278598, 1.0]]]
[['2, k, 0', [-0.370499, -0.680135, 1.0]], ['2, k, 1', [-0.388861, -0.404438, 1.0]], ['2, k, 2', [-0.404639, -0.126429, 1.0]], ['2, k, 3', [-0.388466, 0.0134033, 1.0]], ['2, k, 4', [-0.500053, -0.196568, 1.0]], ['2, k, 5', [-0.520595, -0.271156, 1.0]], ['2, k, 6', [-0.398461, -0.276396, 1.0]], ['2, k, 7', [-0.316228, -0.263157, 1.0]], ['2, k, 8', [-0.251483, -0.223814, 1.0]], ['2, k, 9', [-0.135538, -0.309764, 1.0]], ['2, k, 10', [-0.145114, -0.295111, 1.0]], ['2, k, 11', [-0.0937573, -0.281295, 1.0]], ['2, k, 12', [-0.419698, -0.664617, 1.0]], ['2, k, 13', [-0.477724, -0.943301, 1.0]], ['2, k, 14', [-0.509026, -1.21573, 1.0]], ['2, k, 15', [-0.495363, -1.14844, 1.0]], ['2, k, 16', [-0.310995, -0.678272, 1.0]], ['2, k, 17', [-0.242182, -0.96799, 1.0]], ['2, k, 18', [-0.23717, -1.21766, 1.0]], ['2, k, 19', [-0.174941, -1.2645, 1.0]], ['2, k, 20', [-0.40133, -0.196887, 1.0]], ['2, k, 21', [-0.297616, -0.259782, 1.0]], ['2, k, 22', [-0.360902, -0.259874, 1.0]], ['2, k, 23', [-0.136533, -0.275249, 1.0]], ['2, k, 24', [-0.104041, -0.274895, 1.0]]]
[['2, k, 0', [-0.37029, -0.679866, 1.0]], ['2, k, 1', [-0.387894, -0.403723, 1.0]], ['2, k, 2', [-0.403558, -0.126709, 1.0]], ['2, k, 3', [-0.387945, 0.0137351, 1.0]], ['2, k, 4', [-0.499745, -0.19662, 1.0]], ['2, k, 5', [-0.516587, -0.271716, 1.0]], ['2, k, 6', [-0.395279, -0.276737, 1.0]], ['2, k, 7', [-0.311133, -0.260861, 1.0]], ['2, k, 8', [-0.251458, -0.223832, 1.0]], ['2, k, 9', [-0.135762, -0.31031, 1.0]], ['2, k, 10', [-0.177461, -0.294675, 1.0]], ['2, k, 11', [-0.0961967, -0.282017, 1.0]], ['2, k, 12', [-0.419703, -0.664501, 1.0]], ['2, k, 13', [-0.477671, -0.94329, 1.0]], ['2, k, 14', [-0.510128, -1.21633, 1.0]], ['2, k, 15', [-0.494997, -1.14868, 1.0]], ['2, k, 16', [-0.310532, -0.677818, 1.0]], ['2, k, 17', [-0.242123, -0.967878, 1.0]], ['2, k, 18', [-0.222972, -1.24815, 1.0]], ['2, k, 19', [-0.159853, -1.29118, 1.0]], ['2, k, 20', [-0.400172, -0.196731, 1.0]], ['2, k, 21', [-0.28757, -0.260637, 1.0]], ['2, k, 22', [-0.348328, -0.259273, 1.0]], ['2, k, 23', [-0.14325, -0.277202, 1.0]], ['2, k, 24', [-0.138517, -0.273487, 1.0]]]
[['2, k, 0', [-0.370046, -0.679916, 1.0]], ['2, k, 1', [-0.38727, -0.403394, 1.0]], ['2, k, 2', [-0.402909, -0.126864, 1.0]], ['2, k, 3', [-0.387691, 0.0138747, 1.0]], ['2, k, 4', [-0.499353, -0.196651, 1.0]], ['2, k, 5', [-0.511193, -0.274114, 1.0]], ['2, k, 6', [-0.390845, -0.278631, 1.0]], ['2, k, 7', [-0.305318, -0.260536, 1.0]], ['2, k, 8', [-0.2514, -0.223957, 1.0]], ['2, k, 9', [-0.136485, -0.311573, 1.0]], ['2, k, 10', [-0.177933, -0.295405, 1.0]], ['2, k, 11', [-0.0951656, -0.282477, 1.0]], ['2, k, 12', [-0.419646, -0.664521, 1.0]], ['2, k, 13', [-0.477264, -0.942617, 1.0]], ['2, k, 14', [-0.510819, -1.19754, 1.0]], ['2, k, 15', [-0.483051, -1.19154, 1.0]], ['2, k, 16', [-0.310196, -0.677856, 1.0]], ['2, k, 17', [-0.241953, -0.967656, 1.0]], ['2, k, 18', [-0.234836, -1.22351, 1.0]], ['2, k, 19', [-0.173145, -1.26752, 1.0]], ['2, k, 20', [-0.399382, -0.196571, 1.0]], ['2, k, 21', [-0.279701, -0.257709, 1.0]], ['2, k, 22', [-0.253985, -0.274635, 1.0]], ['2, k, 23', [-0.143851, -0.275497, 1.0]], ['2, k, 24', [-0.0794393, -0.279254, 1.0]]]
[['2, k, 0', [-0.369021, -0.679283, 1.0]], ['2, k, 1', [-0.385763, -0.402645, 1.0]], ['2, k, 2', [-0.401245, -0.127387, 1.0]], ['2, k, 3', [-0.386179, 0.0145268, 1.0]], ['2, k, 4', [-0.498975, -0.196494, 1.0]], ['2, k, 5', [-0.509206, -0.27384, 1.0]], ['2, k, 6', [-0.389062, -0.278136, 1.0]], ['2, k, 7', [-0.297273, -0.258846, 1.0]], ['2, k, 8', [-0.251386, -0.224003, 1.0]], ['2, k, 9', [-0.13694, -0.312118, 1.0]], ['2, k, 10', [-0.177536, -0.295559, 1.0]], ['2, k, 11', [-0.0907682, -0.282681, 1.0]], ['2, k, 12', [-0.41902, -0.663997, 1.0]], ['2, k, 13', [-0.47708, -0.942775, 1.0]], ['2, k, 14', [-0.509733, -1.19373, 1.0]], ['2, k, 15', [-0.495223, -1.22198, 1.0]], ['2, k, 16', [-0.309019, -0.6772, 1.0]], ['2, k, 17', [-0.241752, -0.967459, 1.0]], ['2, k, 18', [-0.217755, -1.2964, 1.0]], ['2, k, 19', [-0.156133, -1.3343, 1.0]], ['2, k, 20', [-0.397649, -0.1965, 1.0]], ['2, k, 21', [-0.268669, -0.25716, 1.0]], ['2, k, 22', [-0.245544, -0.268661, 1.0]], ['2, k, 23', [-0.138081, -0.275469, 1.0]], ['2, k, 24', [-0.0647927, -0.28259, 1.0]]]
[['2, k, 0', [-0.368724, -0.67952, 1.0]], ['2, k, 1', [-0.385228, -0.402504, 1.0]], ['2, k, 2', [-0.40047, -0.127372, 1.0]], ['2, k, 3', [-0.385069, 0.0144099, 1.0]], ['2, k, 4', [-0.498407, -0.196293, 1.0]], ['2, k, 5', [-0.503952, -0.273494, 1.0]], ['2, k, 6', [-0.383113, -0.277568, 1.0]], ['2, k, 7', [-0.290017, -0.258717, 1.0]], ['2, k, 8', [-0.251355, -0.224101, 1.0]], ['2, k, 9', [-0.136735, -0.312446, 1.0]], ['2, k, 10', [-0.17692, -0.294951, 1.0]], ['2, k, 11', [-0.0833794, -0.285035, 1.0]], ['2, k, 12', [-0.418878, -0.664149, 1.0]], ['2, k, 13', [-0.476826, -0.94274, 1.0]], ['2, k, 14', [-0.512157, -1.18742, 1.0]], ['2, k, 15', [-0.494356, -1.23448, 1.0]], ['2, k, 16', [-0.30869, -0.677449, 1.0]], ['2, k, 17', [-0.241743, -0.967531, 1.0]], ['2, k, 18', [-0.2266, -1.25812, 1.0]], ['2, k, 19', [-0.167813, -1.29488, 1.0]], ['2, k, 20', [-0.396898, -0.196311, 1.0]], ['2, k, 21', [-0.263175, -0.256675, 1.0]], ['2, k, 22', [-0.236558, -0.268288, 1.0]], ['2, k, 23', [-0.12159, -0.278682, 1.0]], ['2, k, 24', [-0.092059, -0.281385, 1.0]]]
[['2, k, 0', [-0.368767, -0.680173, 1.0]], ['2, k, 1', [-0.3852, -0.402579, 1.0]], ['2, k, 2', [-0.400306, -0.127363, 1.0]], ['2, k, 3', [-0.384017, 0.0148855, 1.0]], ['2, k, 4', [-0.497733, -0.196125, 1.0]], ['2, k, 5', [-0.501611, -0.2738, 1.0]], ['2, k, 6', [-0.379205, -0.27725, 1.0]], ['2, k, 7', [-0.2848, -0.258329, 1.0]], ['2, k, 8', [-0.251305, -0.224275, 1.0]], ['2, k, 9', [-0.137138, -0.312943, 1.0]], ['2, k, 10', [-0.176834, -0.29467, 1.0]], ['2, k, 11', [-0.0834654, -0.284926, 1.0]], ['2, k, 12', [-0.41903, -0.664679, 1.0]], ['2, k, 13', [-0.476592, -0.9428, 1.0]], ['2, k, 14', [-0.510872, -1.21079, 1.0]], ['2, k, 15', [-0.501325, -1.17387, 1.0]], ['2, k, 16', [-0.308682, -0.678119, 1.0]], ['2, k, 17', [-0.241559, -0.967719, 1.0]], ['2, k, 18', [-0.225838, -1.27894, 1.0]], ['2, k, 19', [-0.168204, -1.31662, 1.0]], ['2, k, 20', [-0.396761, -0.196228, 1.0]], ['2, k, 21', [-0.252319, -0.25956, 1.0]], ['2, k, 22', [-0.264539, -0.233758, 1.0]], ['2, k, 23', [-0.121383, -0.276742, 1.0]], ['2, k, 24', [-0.0566842, -0.283209, 1.0]]]
[['2, k, 0', [-0.36846, -0.680108, 1.0]], ['2, k, 1', [-0.384887, -0.402195, 1.0]], ['2, k, 2', [-0.399976, -0.126991, 1.0]], ['2, k, 3', [-0.381759, 0.0149952, 1.0]], ['2, k, 4', [-0.496924, -0.195883, 1.0]], ['2, k, 5', [-0.497856, -0.273583, 1.0]], ['2, k, 6', [-0.374646, -0.277565, 1.0]], ['2, k, 7', [-0.277045, -0.257865, 1.0]], ['2, k, 8', [-0.251264, -0.224406, 1.0]], ['2, k, 9', [-0.13669, -0.312449, 1.0]], ['2, k, 10', [-0.176137, -0.293929, 1.0]], ['2, k, 11', [-0.0852575, -0.284356, 1.0]], ['2, k, 12', [-0.418763, -0.664653, 1.0]], ['2, k, 13', [-0.476169, -0.942085, 1.0]], ['2, k, 14', [-0.514409, -1.19151, 1.0]], ['2, k, 15', [-0.503305, -1.24528, 1.0]], ['2, k, 16', [-0.308407, -0.678032, 1.0]], ['2, k, 17', [-0.241334, -0.967264, 1.0]], ['2, k, 18', [-0.223383, -1.22125, 1.0]], ['2, k, 19', [-0.163539, -1.25585, 1.0]], ['2, k, 20', [-0.396443, -0.195716, 1.0]], ['2, k, 21', [-0.246836, -0.256463, 1.0]], ['2, k, 22', [-0.228685, -0.278584, 1.0]], ['2, k, 23', [-0.120061, -0.278969, 1.0]], ['2, k, 24', [-0.0630373, -0.282546, 1.0]]]
[['2, k, 0', [-0.368122, -0.680104, 1.0]], ['2, k, 1', [-0.38456, -0.402122, 1.0]], ['2, k, 2', [-0.399622, -0.127062, 1.0]], ['2, k, 3', [-0.380702, 0.0150632, 1.0]], ['2, k, 4', [-0.49589, -0.195582, 1.0]], ['2, k, 5', [-0.495685, -0.273564, 1.0]], ['2, k, 6', [-0.370052, -0.278046, 1.0]], ['2, k, 7', [-0.272066, -0.25832, 1.0]], ['2, k, 8', [-0.251208, -0.224547, 1.0]], ['2, k, 9', [-0.136693, -0.31247, 1.0]], ['2, k, 10', [-0.176116, -0.293836, 1.0]], ['2, k, 11', [-0.0797852, -0.285428, 1.0]], ['2, k, 12', [-0.418256, -0.664649, 1.0]], ['2, k, 13', [-0.475893, -0.942428, 1.0]], ['2, k, 14', [-0.512436, -1.18803, 1.0]], ['2, k, 15', [-0.49775, -1.23184, 1.0]], ['2, k, 16', [-0.308255, -0.678023, 1.0]], ['2, k, 17', [-0.241304, -0.967115, 1.0]], ['2, k, 18', [-0.224076, -1.24218, 1.0]], ['2, k, 19', [-0.164145, -1.27914, 1.0]], ['2, k, 20', [-0.396105, -0.195695, 1.0]], ['2, k, 21', [-0.241321, -0.257445, 1.0]], ['2, k, 22', [-0.245998, -0.234126, 1.0]], ['2, k, 23', [-0.116113, -0.280676, 1.0]], ['2, k, 24', [-0.0634582, -0.284296, 1.0]]]
