[[0, -0.0272921, -0.472846, 2.79284, 1.0], [1, -0.0282476, -0.152875, 2.76898, 1.0], [2, -0.0290315, 0.160329, 2.73108, 1.0], [3, -0.0150419, 0.31775, 2.75808, 1.0], [4, -0.137847, 0.0407558, 2.68215, 1.0], [5, -0.182778, 0.104771, 2.47547, 1.0], [6, -0.116664, 0.121159, 2.27074, 1.0], [7, -0.0885051, 0.16499, 2.08732, 1.0], [8, 0.12819, 0.0962979, 2.74269, 1.0], [9, 0.145583, -0.181171, 2.69258, 1.0], [10, 0.295346, -0.0147742, 2.51642, 1.0], [11, 0.360599, -0.0186057, 2.53986, 1.0], [12, -0.0875485, -0.479218, 2.74962, 1.0], [13, -0.263807, -0.664156, 2.48851, 1.0], [14, -0.290969, -0.913586, 2.50835, 1.0], [15, -0.250912, -1.00522, 2.5565, 1.0], [16, 0.033688, -0.453857, 2.76152, 1.0], [17, 0.188253, -0.743651, 2.64571, 1.0], [18, 0.197703, -1.05285, 2.77949, 1.0], [19, 0.221005, -1.10193, 2.64598, 1.0], [20, -0.0288651, 0.0829595, 2.74306, 1.0], [21, -0.106401, 0.165301, 2.05454, 1.0], [22, -0.13708, 0.170623, 2.05586, 1.0], [23, 0.35911, -0.0185288, 2.52937, 1.0], [24, 0.357167, -0.0184286, 2.51568, 1.0]]
[[0, -0.0219023, -0.472411, 2.7464, 1.0], [1, -0.0219626, -0.159051, 2.7521, 1.0], [2, -0.0212822, 0.14955, 2.72761, 1.0], [3, -0.0165046, 0.311912, 2.75877, 1.0], [4, -0.139429, 0.0374909, 2.68226, 1.0], [5, -0.140352, 0.102043, 2.50231, 1.0], [6, -0.124632, 0.122867, 2.332, 1.0], [7, -0.0450747, 0.167097, 2.08067, 1.0], [8, 0.127602, 0.0966963, 2.74363, 1.0], [9, 0.286594, 0.0682753, 2.72616, 1.0], [10, 0.372959, 0.112795, 2.52027, 1.0], [11, 0.435624, 0.15033, 2.36783, 1.0], [12, -0.0811008, -0.481632, 2.69953, 1.0], [13, -0.201606, -0.775539, 2.69581, 1.0], [14, -0.239153, -0.994336, 2.7209, 1.0], [15, -0.213164, -1.03827, 2.59396, 1.0], [16, 0.0379694, -0.450707, 2.71901, 1.0], [17, 0.0178059, -0.770631, 2.68425, 1.0], [18, 0.138929, -0.975373, 2.82565, 1.0], [19, 0.150254, -1.09036, 2.78935, 1.0], [20, -0.0219414, 0.0738573, 2.737, 1.0], [21, -0.0575311, 0.16854, 2.04829, 1.0], [22, -0.0886863, 0.172715, 2.05345, 1.0], [23, 0.427647, 0.148147, 2.34197, 1.0], [24, 0.407774, 0.151784, 2.33167, 1.0]]
[[0, -0.0154902, -0.456655, 2.73631, 1.0], [1, -0.0216996, -0.151489, 2.74506, 1.0], [2, -0.0236312, 0.151178, 2.72775, 1.0], [3, -0.0241437, 0.305888, 2.76117, 1.0], [4, -0.134195, 0.0438665, 2.66245, 1.0], [5, -0.0983673, 0.108752, 2.44101, 1.0], [6, -0.0441219, 0.142393, 2.22219, 1.0], [7, 0.0187169, 0.166911, 2.0902, 1.0], [8, 0.126845, 0.0965046, 2.74536, 1.0], [9, 0.285941, 0.0714916, 2.72884, 1.0], [10, 0.38393, 0.11981, 2.53023, 1.0], [11, 0.44704, 0.153619, 2.39289, 1.0], [12, -0.0726084, -0.459941, 2.68527, 1.0], [13, -0.153004, -0.758178, 2.688, 1.0], [14, -0.199123, -0.988184, 2.74618, 1.0], [15, -0.166576, -1.02985, 2.62478, 1.0], [16, 0.0423908, -0.440192, 2.71299, 1.0], [17, 0.131414, -0.739998, 2.67666, 1.0], [18, 0.156983, -1.03184, 2.82067, 1.0], [19, 0.162183, -1.14169, 2.7749, 1.0], [20, -0.0234257, 0.0758118, 2.73584, 1.0], [21, 0.00939692, 0.166343, 2.05287, 1.0], [22, -0.0344858, 0.184028, 2.06733, 1.0], [23, 0.431975, 0.152882, 2.36567, 1.0], [24, 0.422448, 0.148572, 2.3485, 1.0]]
[[0, -0.0122885, -0.450776, 2.73321, 1.0], [1, -0.0205, -0.144819, 2.74094, 1.0], [2, -0.0256012, 0.155631, 2.72754, 1.0], [3, -0.030913, 0.305004, 2.76201, 1.0], [4, -0.134141, 0.0437405, 2.66346, 1.0], [5, -0.0820017, 0.107813, 2.44462, 1.0], [6, 0.00189151, 0.143629, 2.23549, 1.0], [7, 0.0512701, 0.168567, 2.09116, 1.0], [8, 0.125408, 0.0970172, 2.75163, 1.0], [9, 0.280374, 0.0588561, 2.75826, 1.0], [10, 0.401457, 0.114472, 2.57509, 1.0], [11, 0.542438, 0.15413, 2.49232, 1.0], [12, -0.0703437, -0.456046, 2.68263, 1.0], [13, -0.133501, -0.729129, 2.68369, 1.0], [14, -0.217061, -0.949861, 2.72767, 1.0], [15, -0.19885, -1.05602, 2.70567, 1.0], [16, 0.0462268, -0.432964, 2.7104, 1.0], [17, 0.120348, -0.707091, 2.67983, 1.0], [18, 0.145385, -1.017, 2.77527, 1.0], [19, 0.174614, -1.05686, 2.65708, 1.0], [20, -0.0246452, 0.0808855, 2.73437, 1.0], [21, 0.0494761, 0.165101, 2.05635, 1.0], [22, 0.0145114, 0.172896, 2.07411, 1.0], [23, 0.584146, 0.153942, 2.50274, 1.0], [24, 0.539692, 0.156168, 2.47133, 1.0]]
[[0, -0.0106869, -0.44583, 2.72967, 1.0], [1, -0.000910371, -0.153319, 2.73213, 1.0], [2, 0.0250787, 0.114351, 2.71698, 1.0], [3, -0.0156455, 0.256342, 2.76125, 1.0], [4, -0.130903, 0.0460942, 2.65937, 1.0], [5, -0.0538171, 0.110062, 2.45303, 1.0], [6, 0.0281628, 0.142948, 2.24708, 1.0], [7, 0.0899584, 0.168831, 2.10988, 1.0], [8, 0.122942, 0.0957667, 2.75705, 1.0], [9, 0.272559, 0.0577793, 2.77549, 1.0], [10, 0.186027, 0.0954677, 2.57214, 1.0], [11, 0.0845681, 0.168384, 2.11431, 1.0], [12, -0.0680163, -0.450287, 2.67938, 1.0], [13, -0.132858, -0.70656, 2.67884, 1.0], [14, -0.207578, -0.944299, 2.70645, 1.0], [15, -0.17007, -0.98473, 2.59094, 1.0], [16, 0.0470872, -0.429351, 2.70799, 1.0], [17, 0.115029, -0.688185, 2.68096, 1.0], [18, 0.132054, -0.972432, 2.82835, 1.0], [19, 0.147304, -1.07815, 2.7843, 1.0], [20, 0.0211648, 0.0470998, 2.72225, 1.0], [21, 0.108352, 0.166426, 2.06415, 1.0], [22, 0.0774854, 0.172309, 2.066, 1.0], [23, 0.0889784, 0.165659, 2.05992, 1.0], [24, 0.0482558, 0.176177, 2.13233, 1.0]]
[[0, -0.0102163, -0.44381, 2.72673, 1.0], [1, 0.00390144, -0.160888, 2.72637, 1.0], [2, 0.0265366, 0.101934, 2.71102, 1.0], [3, -0.0144437, 0.242526, 2.75742, 1.0], [4, -0.130732, 0.045975, 2.65864, 1.0], [5, -0.0314908, 0.101136, 2.45622, 1.0], [6, 0.0743986, 0.142768, 2.26014, 1.0], [7, 0.132229, 0.165657, 2.14099, 1.0], [8, 0.122802, 0.0950085, 2.75608, 1.0], [9, 0.213788, 0.0858969, 2.60733, 1.0], [10, 0.163271, 0.124024, 2.38878, 1.0], [11, 0.137734, 0.165707, 2.12996, 1.0], [12, -0.0677783, -0.448727, 2.6781, 1.0], [13, -0.13352, -0.694281, 2.674, 1.0], [14, -0.196856, -0.94387, 2.6884, 1.0], [15, -0.159622, -0.984304, 2.57382, 1.0], [16, 0.0479253, -0.426848, 2.70385, 1.0], [17, 0.11159, -0.67549, 2.68099, 1.0], [18, 0.132007, -0.972201, 2.82772, 1.0], [19, 0.147129, -1.07773, 2.78505, 1.0], [20, 0.0222303, 0.0373704, 2.71711, 1.0], [21, 0.160818, 0.167075, 2.07966, 1.0], [22, 0.1358, 0.178373, 2.077, 1.0], [23, 0.134423, 0.164839, 2.06415, 1.0], [24, 0.103356, 0.170782, 2.13837, 1.0]]
[[0, -0.00912895, -0.442701, 2.72663, 1.0], [1, -0.0380398, -0.111904, 2.71557, 1.0], [2, -0.0698738, 0.206876, 2.69713, 1.0], [3, -0.03954, 0.31571, 2.75463, 1.0], [4, -0.116749, 0.0531104, 2.637, 1.0], [5, 0.00215536, 0.102491, 2.44291, 1.0], [6, 0.143843, 0.136045, 2.2687, 1.0], [7, 0.194926, 0.151339, 2.17681, 1.0], [8, 0.133125, 0.0696729, 2.80284, 1.0], [9, 0.293321, 0.0693849, 2.80631, 1.0], [10, 0.234543, 0.100048, 2.58734, 1.0], [11, 0.177511, 0.161825, 2.16168, 1.0], [12, -0.0638043, -0.443994, 2.67774, 1.0], [13, -0.138107, -0.698457, 2.671, 1.0], [14, -0.197333, -0.9571, 2.68968, 1.0], [15, -0.140142, -0.995833, 2.58398, 1.0], [16, 0.0475751, -0.427465, 2.70277, 1.0], [17, 0.116557, -0.685177, 2.68333, 1.0], [18, 0.131819, -0.972047, 2.828, 1.0], [19, 0.146419, -1.07895, 2.78906, 1.0], [20, -0.062057, 0.128156, 2.70412, 1.0], [21, 0.234602, 0.158094, 2.12711, 1.0], [22, 0.171003, 0.156371, 2.14889, 1.0], [23, 0.189745, 0.160492, 2.08194, 1.0], [24, 0.148356, 0.173843, 2.15256, 1.0]]
[[0, -0.00710004, -0.442273, 2.72277, 1.0], [1, -0.0368895, -0.112797, 2.71276, 1.0], [2, -0.0681867, 0.205318, 2.69394, 1.0], [3, -0.0407273, 0.312494, 2.74784, 1.0], [4, -0.113515, 0.0545284, 2.63001, 1.0], [5, 0.01552, 0.102525, 2.44322, 1.0], [6, 0.155783, 0.139076, 2.269, 1.0], [7, 0.231806, 0.156025, 2.17322, 1.0], [8, 0.133567, 0.0674905, 2.80453, 1.0], [9, 0.285034, 0.0693966, 2.84243, 1.0], [10, 0.263961, 0.0975238, 2.61669, 1.0], [11, 0.233764, 0.155918, 2.16896, 1.0], [12, -0.0594585, -0.441866, 2.67525, 1.0], [13, -0.113976, -0.693646, 2.66122, 1.0], [14, -0.231761, -0.92951, 2.69509, 1.0], [15, -0.209791, -1.03263, 2.6853, 1.0], [16, 0.0481932, -0.429069, 2.69919, 1.0], [17, 0.116426, -0.678083, 2.68227, 1.0], [18, 0.131655, -0.971891, 2.82725, 1.0], [19, 0.14614, -1.07761, 2.7893, 1.0], [20, -0.0605179, 0.126757, 2.70104, 1.0], [21, 0.26549, 0.155203, 2.11494, 1.0], [22, 0.208156, 0.172315, 2.15164, 1.0], [23, 0.243702, 0.155273, 2.09906, 1.0], [24, 0.197308, 0.162132, 2.165, 1.0]]
[[0, -0.0045249, -0.442143, 2.72142, 1.0], [1, -0.0356445, -0.113298, 2.71278, 1.0], [2, -0.0669947, 0.205024, 2.6935, 1.0], [3, -0.0403668, 0.310282, 2.74522, 1.0], [4, -0.110462, 0.0557295, 2.62538, 1.0], [5, 0.0347298, 0.0950296, 2.44959, 1.0], [6, 0.182638, 0.134137, 2.28311, 1.0], [7, 0.273757, 0.150295, 2.19031, 1.0], [8, 0.13422, 0.0641407, 2.81201, 1.0], [9, 0.275246, 0.0628406, 2.8718, 1.0], [10, 0.243237, 0.0940446, 2.64796, 1.0], [11, 0.277182, 0.151225, 2.18664, 1.0], [12, -0.0553278, -0.440037, 2.67396, 1.0], [13, -0.106739, -0.701984, 2.65508, 1.0], [14, -0.195007, -0.956855, 2.69061, 1.0], [15, -0.132606, -0.995069, 2.58931, 1.0], [16, 0.0489727, -0.430786, 2.69713, 1.0], [17, 0.119628, -0.687905, 2.68382, 1.0], [18, 0.131311, -0.972113, 2.82691, 1.0], [19, 0.145932, -1.07904, 2.78951, 1.0], [20, -0.0593023, 0.126417, 2.70072, 1.0], [21, 0.312126, 0.147761, 2.12837, 1.0], [22, 0.259554, 0.164003, 2.16058, 1.0], [23, 0.299541, 0.15066, 2.12476, 1.0], [24, 0.249111, 0.167524, 2.17414, 1.0]]
[[0, -0.00058538, -0.44518, 2.72037, 1.0], [1, -0.0273284, -0.11799, 2.70796, 1.0], [2, -0.0512109, 0.200198, 2.68074, 1.0], [3, -0.0389651, 0.308217, 2.74265, 1.0], [4, -0.0971872, 0.0649262, 2.60349, 1.0], [5, 0.0652106, 0.0959647, 2.44323, 1.0], [6, 0.22824, 0.129493, 2.29162, 1.0], [7, 0.313984, 0.145297, 2.21557, 1.0], [8, 0.14335, 0.0590249, 2.81019, 1.0], [9, 0.261021, 0.0822836, 2.6861, 1.0], [10, 0.265575, 0.109655, 2.45983, 1.0], [11, 0.31369, 0.146868, 2.21466, 1.0], [12, -0.0519096, -0.441793, 2.67412, 1.0], [13, -0.10283, -0.708425, 2.65006, 1.0], [14, -0.217506, -0.952374, 2.69838, 1.0], [15, -0.199308, -1.05692, 2.6878, 1.0], [16, 0.052434, -0.436038, 2.69423, 1.0], [17, 0.128688, -0.695096, 2.68663, 1.0], [18, 0.131219, -0.971816, 2.8266, 1.0], [19, 0.145624, -1.07865, 2.7897, 1.0], [20, -0.0456154, 0.121552, 2.69026, 1.0], [21, 0.353541, 0.145717, 2.15524, 1.0], [22, 0.292182, 0.163327, 2.19867, 1.0], [23, 0.342276, 0.144696, 2.14669, 1.0], [24, 0.288138, 0.162158, 2.20154, 1.0]]
[[0, 0.0020993, -0.446555, 2.7203, 1.0], [1, -0.0240219, -0.120034, 2.70654, 1.0], [2, -0.0484559, 0.198289, 2.67845, 1.0], [3, -0.0357762, 0.305978, 2.7397, 1.0], [4, -0.0914535, 0.0644018, 2.59842, 1.0], [5, 0.0820378, 0.0927518, 2.44719, 1.0], [6, 0.25766, 0.126262, 2.30779, 1.0], [7, 0.351589, 0.139195, 2.24158, 1.0], [8, 0.147026, 0.0558689, 2.80909, 1.0], [9, 0.293259, 0.0798312, 2.72502, 1.0], [10, 0.291895, 0.106349, 2.49637, 1.0], [11, 0.349206, 0.139695, 2.24467, 1.0], [12, -0.0486834, -0.442275, 2.67446, 1.0], [13, -0.1008, -0.715437, 2.64665, 1.0], [14, -0.231749, -0.955045, 2.70113, 1.0], [15, -0.207164, -1.0598, 2.68948, 1.0], [16, 0.0542593, -0.438494, 2.69354, 1.0], [17, 0.1349, -0.702363, 2.68992, 1.0], [18, 0.130999, -0.971635, 2.82635, 1.0], [19, 0.145684, -1.07946, 2.78941, 1.0], [20, -0.0425821, 0.119592, 2.68805, 1.0], [21, 0.388658, 0.143087, 2.17929, 1.0], [22, 0.338757, 0.156046, 2.20621, 1.0], [23, 0.385664, 0.145808, 2.17893, 1.0], [24, 0.325848, 0.152961, 2.22395, 1.0]]
