[[0, -0.202571, -0.492478, 2.31694, 1.0], [1, -0.218464, -0.186495, 2.27541, 1.0], [2, -0.232508, 0.112682, 2.22004, 1.0], [3, -0.218829, 0.255301, 2.21295, 1.0], [4, -0.370118, 0.00133441, 2.1847, 1.0], [5, -0.429083, -0.248645, 2.1846, 1.0], [6, -0.414503, -0.477916, 2.14836, 1.0], [7, -0.407897, -0.516519, 2.14484, 1.0], [8, -0.0581266, -0.00333212, 2.24206, 1.0], [9, 0.0643832, -0.248981, 2.32003, 1.0], [10, 0.138351, -0.46596, 2.33379, 1.0], [11, 0.149116, -0.471303, 2.30623, 1.0], [12, -0.270694, -0.484001, 2.2699, 1.0], [13, -0.296601, -0.770864, 2.34096, 1.0], [14, -0.333735, -1.08359, 2.41457, 1.0], [15, -0.329102, -1.14063, 2.3457, 1.0], [16, -0.128326, -0.486039, 2.2938, 1.0], [17, -0.0999525, -0.751354, 2.38244, 1.0], [18, -0.0836723, -1.04093, 2.47764, 1.0], [19, -0.0480347, -1.10254, 2.43359, 1.0], [20, -0.229305, 0.038856, 2.23629, 1.0], [21, -0.395849, -0.546693, 2.16006, 1.0], [22, -0.452433, -0.51439, 2.1198, 1.0], [23, 0.170801, -0.484485, 2.31359, 1.0], [24, 0.19987, -0.455798, 2.29856, 1.0]]
[[0, -0.202556, -0.492475, 2.31691, 1.0], [1, -0.218464, -0.186492, 2.2754, 1.0], [2, -0.232517, 0.112687, 2.22004, 1.0], [3, -0.218936, 0.255167, 2.21316, 1.0], [4, -0.370118, 0.00142239, 2.1848, 1.0], [5, -0.429094, -0.248689, 2.18452, 1.0], [6, -0.414423, -0.478196, 2.14879, 1.0], [7, -0.408044, -0.516877, 2.1454, 1.0], [8, -0.0580473, -0.00340666, 2.24206, 1.0], [9, 0.0645391, -0.249819, 2.32028, 1.0], [10, 0.138777, -0.466869, 2.33428, 1.0], [11, 0.147747, -0.471617, 2.30598, 1.0], [12, -0.270679, -0.483977, 2.26987, 1.0], [13, -0.296743, -0.770949, 2.34096, 1.0], [14, -0.334491, -1.08282, 2.41607, 1.0], [15, -0.329115, -1.14052, 2.34559, 1.0], [16, -0.128307, -0.486055, 2.29378, 1.0], [17, -0.0997189, -0.751428, 2.38259, 1.0], [18, -0.0837096, -1.04168, 2.47853, 1.0], [19, -0.0476366, -1.10298, 2.43337, 1.0], [20, -0.229311, 0.0388601, 2.23629, 1.0], [21, -0.383695, -0.54101, 2.15057, 1.0], [22, -0.45221, -0.514328, 2.11987, 1.0], [23, 0.151173, -0.489265, 2.31351, 1.0], [24, 0.195457, -0.456953, 2.293, 1.0]]
[[0, -0.202449, -0.492534, 2.31697, 1.0], [1, -0.218443, -0.186518, 2.27546, 1.0], [2, -0.232554, 0.112673, 2.22013, 1.0], [3, -0.219037, 0.255031, 2.21327, 1.0], [4, -0.370163, 0.00141392, 2.1848, 1.0], [5, -0.429053, -0.248797, 2.18441, 1.0], [6, -0.414317, -0.478385, 2.14892, 1.0], [7, -0.407623, -0.516448, 2.1447, 1.0], [8, -0.0580037, -0.00347319, 2.24206, 1.0], [9, 0.0644894, -0.249845, 2.32028, 1.0], [10, 0.138636, -0.466933, 2.33473, 1.0], [11, 0.147653, -0.472311, 2.30707, 1.0], [12, -0.270557, -0.484025, 2.26999, 1.0], [13, -0.296807, -0.771061, 2.34085, 1.0], [14, -0.334212, -1.08251, 2.41696, 1.0], [15, -0.329215, -1.14061, 2.34528, 1.0], [16, -0.128201, -0.486129, 2.29378, 1.0], [17, -0.100351, -0.754382, 2.38351, 1.0], [18, -0.0837698, -1.04169, 2.47873, 1.0], [19, -0.0478317, -1.10353, 2.43389, 1.0], [20, -0.22933, 0.0388437, 2.23637, 1.0], [21, -0.374965, -0.539872, 2.15118, 1.0], [22, -0.451742, -0.514863, 2.12002, 1.0], [23, 0.16362, -0.487783, 2.31564, 1.0], [24, 0.194835, -0.454568, 2.28878, 1.0]]
[[0, -0.202466, -0.492486, 2.31688, 1.0], [1, -0.218469, -0.186486, 2.27546, 1.0], [2, -0.23263, 0.112736, 2.22023, 1.0], [3, -0.219019, 0.254907, 2.21304, 1.0], [4, -0.370099, 0.00138986, 2.18447, 1.0], [5, -0.428872, -0.249005, 2.18443, 1.0], [6, -0.413851, -0.478612, 2.14886, 1.0], [7, -0.406032, -0.516852, 2.14427, 1.0], [8, -0.0579813, -0.00345762, 2.24206, 1.0], [9, 0.0643012, -0.24986, 2.32026, 1.0], [10, 0.138435, -0.466979, 2.33487, 1.0], [11, 0.147762, -0.472139, 2.3075, 1.0], [12, -0.270568, -0.483988, 2.2699, 1.0], [13, -0.295461, -0.771533, 2.3412, 1.0], [14, -0.334043, -1.08267, 2.41677, 1.0], [15, -0.329416, -1.14134, 2.34447, 1.0], [16, -0.128226, -0.48607, 2.29369, 1.0], [17, -0.10054, -0.756021, 2.38402, 1.0], [18, -0.0839253, -1.04123, 2.47932, 1.0], [19, -0.0479587, -1.10359, 2.43399, 1.0], [20, -0.229389, 0.0388963, 2.23643, 1.0], [21, -0.37677, -0.541712, 2.15158, 1.0], [22, -0.451582, -0.514765, 2.1195, 1.0], [23, 0.152421, -0.490013, 2.31701, 1.0], [24, 0.197347, -0.457515, 2.29757, 1.0]]
[[0, -0.202447, -0.492469, 2.31688, 1.0], [1, -0.218478, -0.186461, 2.27543, 1.0], [2, -0.232714, 0.112792, 2.22011, 1.0], [3, -0.218938, 0.254857, 2.21293, 1.0], [4, -0.370093, 0.00142822, 2.18448, 1.0], [5, -0.428769, -0.249143, 2.18444, 1.0], [6, -0.413539, -0.478753, 2.14882, 1.0], [7, -0.407772, -0.479656, 2.14777, 1.0], [8, -0.0578749, -0.00355372, 2.24206, 1.0], [9, 0.0641582, -0.249807, 2.32037, 1.0], [10, 0.138173, -0.466961, 2.33519, 1.0], [11, 0.147913, -0.471843, 2.30731, 1.0], [12, -0.270536, -0.48393, 2.26994, 1.0], [13, -0.295594, -0.771677, 2.34118, 1.0], [14, -0.333995, -1.08258, 2.41676, 1.0], [15, -0.329262, -1.14491, 2.3432, 1.0], [16, -0.128204, -0.48607, 2.29367, 1.0], [17, -0.100068, -0.753299, 2.38366, 1.0], [18, -0.0838027, -1.04133, 2.48064, 1.0], [19, -0.047833, -1.10365, 2.43384, 1.0], [20, -0.229448, 0.0389438, 2.23634, 1.0], [21, -0.402205, -0.539497, 2.15016, 1.0], [22, -0.45065, -0.510304, 2.11993, 1.0], [23, 0.159472, -0.487222, 2.31042, 1.0], [24, 0.196318, -0.455313, 2.29299, 1.0]]
[[0, -0.202411, -0.4925, 2.31692, 1.0], [1, -0.218478, -0.186466, 2.27544, 1.0], [2, -0.232731, 0.112795, 2.22011, 1.0], [3, -0.21886, 0.254756, 2.21289, 1.0], [4, -0.370096, 0.00142977, 2.18448, 1.0], [5, -0.428786, -0.249291, 2.18445, 1.0], [6, -0.413462, -0.478935, 2.14889, 1.0], [7, -0.406518, -0.517483, 2.14737, 1.0], [8, -0.0578618, -0.00354745, 2.24207, 1.0], [9, 0.0641085, -0.249938, 2.32046, 1.0], [10, 0.138109, -0.467056, 2.33588, 1.0], [11, 0.148859, -0.47161, 2.30786, 1.0], [12, -0.270491, -0.483973, 2.27003, 1.0], [13, -0.29661, -0.773634, 2.34197, 1.0], [14, -0.334217, -1.08266, 2.4171, 1.0], [15, -0.329819, -1.1446, 2.34378, 1.0], [16, -0.128175, -0.486095, 2.29368, 1.0], [17, -0.100466, -0.757344, 2.38499, 1.0], [18, -0.0838707, -1.04237, 2.48141, 1.0], [19, -0.0475069, -1.1042, 2.43403, 1.0], [20, -0.229458, 0.0389442, 2.23635, 1.0], [21, -0.392223, -0.547509, 2.16799, 1.0], [22, -0.452246, -0.514313, 2.12019, 1.0], [23, 0.155486, -0.489975, 2.31908, 1.0], [24, 0.195651, -0.45658, 2.29393, 1.0]]
[[0, -0.20241, -0.492547, 2.31696, 1.0], [1, -0.218502, -0.186472, 2.27545, 1.0], [2, -0.232818, 0.112828, 2.22011, 1.0], [3, -0.218748, 0.254717, 2.2127, 1.0], [4, -0.370017, 0.00156515, 2.18418, 1.0], [5, -0.428789, -0.249212, 2.18437, 1.0], [6, -0.413081, -0.478891, 2.14914, 1.0], [7, -0.406966, -0.478609, 2.14615, 1.0], [8, -0.0576956, -0.0036785, 2.24193, 1.0], [9, 0.0640923, -0.249981, 2.32045, 1.0], [10, 0.138192, -0.467061, 2.33608, 1.0], [11, 0.149208, -0.471429, 2.307, 1.0], [12, -0.270489, -0.483995, 2.27011, 1.0], [13, -0.296684, -0.773601, 2.34192, 1.0], [14, -0.334642, -1.08299, 2.41748, 1.0], [15, -0.329448, -1.14402, 2.34378, 1.0], [16, -0.128176, -0.486189, 2.29369, 1.0], [17, -0.10061, -0.757512, 2.38508, 1.0], [18, -0.084164, -1.04211, 2.48185, 1.0], [19, -0.047415, -1.10404, 2.43362, 1.0], [20, -0.229524, 0.0389628, 2.23635, 1.0], [21, -0.39809, -0.537897, 2.14578, 1.0], [22, -0.44961, -0.508628, 2.11701, 1.0], [23, 0.157788, -0.487756, 2.31285, 1.0], [24, 0.198324, -0.455568, 2.2946, 1.0]]
[[0, -0.202406, -0.492565, 2.31699, 1.0], [1, -0.218503, -0.186473, 2.27545, 1.0], [2, -0.232832, 0.112853, 2.22003, 1.0], [3, -0.218764, 0.25472, 2.21269, 1.0], [4, -0.369943, 0.00159881, 2.18412, 1.0], [5, -0.428804, -0.249181, 2.18437, 1.0], [6, -0.412623, -0.478873, 2.1494, 1.0], [7, -0.407299, -0.479505, 2.14757, 1.0], [8, -0.057583, -0.00377305, 2.24194, 1.0], [9, 0.0640696, -0.250025, 2.32051, 1.0], [10, 0.138048, -0.467095, 2.33664, 1.0], [11, 0.148437, -0.471814, 2.30783, 1.0], [12, -0.270489, -0.483996, 2.27011, 1.0], [13, -0.296751, -0.773572, 2.34189, 1.0], [14, -0.337425, -1.08729, 2.42436, 1.0], [15, -0.329577, -1.1434, 2.344, 1.0], [16, -0.128168, -0.486252, 2.29379, 1.0], [17, -0.100623, -0.757884, 2.38519, 1.0], [18, -0.0844775, -1.04181, 2.48183, 1.0], [19, -0.0485526, -1.10326, 2.43293, 1.0], [20, -0.229535, 0.0389787, 2.2363, 1.0], [21, -0.401462, -0.533608, 2.1429, 1.0], [22, -0.449733, -0.492904, 2.13579, 1.0], [23, 0.164484, -0.485374, 2.31397, 1.0], [24, 0.198069, -0.455457, 2.29506, 1.0]]
[[0, -0.20237, -0.492685, 2.31711, 1.0], [1, -0.218501, -0.186479, 2.27546, 1.0], [2, -0.232835, 0.112898, 2.21995, 1.0], [3, -0.218504, 0.254622, 2.21248, 1.0], [4, -0.369901, 0.00159384, 2.18407, 1.0], [5, -0.429028, -0.249168, 2.18405, 1.0], [6, -0.41256, -0.478884, 2.14942, 1.0], [7, -0.406479, -0.479088, 2.14527, 1.0], [8, -0.057517, -0.00390028, 2.24184, 1.0], [9, 0.0640719, -0.250021, 2.32051, 1.0], [10, 0.138052, -0.467097, 2.33665, 1.0], [11, 0.149071, -0.470969, 2.30702, 1.0], [12, -0.27047, -0.484051, 2.27014, 1.0], [13, -0.296825, -0.773697, 2.34184, 1.0], [14, -0.337523, -1.08743, 2.42423, 1.0], [15, -0.328046, -1.14621, 2.34024, 1.0], [16, -0.128116, -0.486452, 2.29403, 1.0], [17, -0.0991261, -0.75277, 2.38366, 1.0], [18, -0.084688, -1.04147, 2.48181, 1.0], [19, -0.0478751, -1.10332, 2.4304, 1.0], [20, -0.229535, 0.0389997, 2.23626, 1.0], [21, -0.398982, -0.53396, 2.14168, 1.0], [22, -0.45024, -0.503282, 2.12763, 1.0], [23, 0.160351, -0.486367, 2.31056, 1.0], [24, 0.198152, -0.45578, 2.29563, 1.0]]
[[0, -0.202439, -0.492659, 2.31712, 1.0], [1, -0.218533, -0.186465, 2.27547, 1.0], [2, -0.232842, 0.112904, 2.21995, 1.0], [3, -0.218574, 0.254404, 2.21246, 1.0], [4, -0.369863, 0.00162494, 2.18403, 1.0], [5, -0.429368, -0.248792, 2.18368, 1.0], [6, -0.412554, -0.478535, 2.14955, 1.0], [7, -0.406968, -0.478241, 2.14323, 1.0], [8, -0.0574948, -0.00394011, 2.24177, 1.0], [9, 0.0640171, -0.250053, 2.32075, 1.0], [10, 0.138098, -0.467081, 2.33697, 1.0], [11, 0.148508, -0.471344, 2.3088, 1.0], [12, -0.2706, -0.484288, 2.27016, 1.0], [13, -0.297019, -0.773879, 2.3421, 1.0], [14, -0.337502, -1.08599, 2.42589, 1.0], [15, -0.328513, -1.14426, 2.34194, 1.0], [16, -0.128295, -0.485987, 2.29406, 1.0], [17, -0.0996881, -0.75507, 2.38424, 1.0], [18, -0.0849412, -1.04114, 2.48197, 1.0], [19, -0.0478624, -1.10325, 2.43037, 1.0], [20, -0.229548, 0.0390079, 2.23626, 1.0], [21, -0.397904, -0.532737, 2.13934, 1.0], [22, -0.450148, -0.476697, 2.1395, 1.0], [23, 0.148354, -0.491614, 2.31565, 1.0], [24, 0.198432, -0.456011, 2.29638, 1.0]]
[[0, -0.202568, -0.492709, 2.31712, 1.0], [1, -0.218561, -0.18647, 2.27547, 1.0], [2, -0.23284, 0.11291, 2.21996, 1.0], [3, -0.218593, 0.254357, 2.21248, 1.0], [4, -0.36969, 0.00162713, 2.18378, 1.0], [5, -0.429662, -0.248387, 2.18336, 1.0], [6, -0.412519, -0.478094, 2.14919, 1.0], [7, -0.406845, -0.476725, 2.14057, 1.0], [8, -0.0574482, -0.0039459, 2.24178, 1.0], [9, 0.064003, -0.250022, 2.32079, 1.0], [10, 0.138195, -0.466993, 2.33705, 1.0], [11, 0.149317, -0.471191, 2.30705, 1.0], [12, -0.270814, -0.484636, 2.27018, 1.0], [13, -0.297259, -0.774248, 2.34217, 1.0], [14, -0.33719, -1.08561, 2.4255, 1.0], [15, -0.333075, -1.14938, 2.33341, 1.0], [16, -0.12844, -0.485873, 2.29403, 1.0], [17, -0.0984956, -0.750944, 2.38374, 1.0], [18, -0.0843457, -1.04076, 2.48193, 1.0], [19, -0.0483344, -1.10318, 2.4305, 1.0], [20, -0.22955, 0.0390108, 2.23626, 1.0], [21, -0.402312, -0.532554, 2.13867, 1.0], [22, -0.448343, -0.505353, 2.11356, 1.0], [23, 0.161671, -0.48573, 2.31185, 1.0], [24, 0.205711, -0.455248, 2.3008, 1.0]]
