[['2, k, 0', [-0.268543, -0.228036, 1.0]], ['2, k, 1', [-0.267747, 0.117565, 1.0]], ['2, k, 2', [-0.265329, 0.452988, 1.0]], ['2, k, 3', [-0.273611, 0.608537, 1.0]], ['2, k, 4', [-0.433371, 0.352645, 1.0]], ['2, k, 5', [-0.521733, 0.276752, 1.0]], ['2, k, 6', [-0.550421, 0.217402, 1.0]], ['2, k, 7', [-0.559632, 0.139313, 1.0]], ['2, k, 8', [-0.115569, 0.362769, 1.0]], ['2, k, 9', [-0.0394471, 0.309369, 1.0]], ['2, k, 10', [-0.00486161, 0.243244, 1.0]], ['2, k, 11', [0.00851284, 0.223453, 1.0]], ['2, k, 12', [-0.336957, -0.226791, 1.0]], ['2, k, 13', [-0.356317, -0.619574, 1.0]], ['2, k, 14', [-0.380525, -1.00203, 1.0]], ['2, k, 15', [-0.408447, -1.05859, 1.0]], ['2, k, 16', [-0.191882, -0.222298, 1.0]], ['2, k, 17', [-0.15678, -0.641055, 1.0]], ['2, k, 18', [-0.135374, -1.00726, 1.0]], ['2, k, 19', [-0.128906, -1.06152, 1.0]], ['2, k, 20', [-0.266214, 0.370592, 1.0]], ['2, k, 21', [-0.517298, 0.0906238, 1.0]], ['2, k, 22', [-0.489835, 0.141056, 1.0]], ['2, k, 23', [-0.00132411, 0.179132, 1.0]], ['2, k, 24', [-0.0216957, 0.232333, 1.0]]]
[['2, k, 0', [-0.267725, -0.221118, 1.0]], ['2, k, 1', [-0.267456, 0.118928, 1.0]], ['2, k, 2', [-0.265255, 0.452851, 1.0]], ['2, k, 3', [-0.273597, 0.608443, 1.0]], ['2, k, 4', [-0.43316, 0.353162, 1.0]], ['2, k, 5', [-0.521538, 0.277033, 1.0]], ['2, k, 6', [-0.548881, 0.219316, 1.0]], ['2, k, 7', [-0.560894, 0.158272, 1.0]], ['2, k, 8', [-0.115525, 0.362587, 1.0]], ['2, k, 9', [-0.0240747, 0.321617, 1.0]], ['2, k, 10', [0.00350901, 0.234929, 1.0]], ['2, k, 11', [-0.0242549, 0.155056, 1.0]], ['2, k, 12', [-0.336133, -0.219056, 1.0]], ['2, k, 13', [-0.356381, -0.619513, 1.0]], ['2, k, 14', [-0.379317, -1.00032, 1.0]], ['2, k, 15', [-0.408395, -1.05838, 1.0]], ['2, k, 16', [-0.191112, -0.216282, 1.0]], ['2, k, 17', [-0.156686, -0.641355, 1.0]], ['2, k, 18', [-0.135364, -1.00711, 1.0]], ['2, k, 19', [-0.128791, -1.06152, 1.0]], ['2, k, 20', [-0.266147, 0.370557, 1.0]], ['2, k, 21', [-0.520599, 0.111366, 1.0]], ['2, k, 22', [-0.482526, 0.152638, 1.0]], ['2, k, 23', [-0.0335398, 0.130206, 1.0]], ['2, k, 24', [-0.0971454, 0.14815, 1.0]]]
[['2, k, 0', [-0.267746, -0.219126, 1.0]], ['2, k, 1', [-0.267517, 0.119708, 1.0]], ['2, k, 2', [-0.265294, 0.452764, 1.0]], ['2, k, 3', [-0.273643, 0.608664, 1.0]], ['2, k, 4', [-0.432864, 0.357923, 1.0]], ['2, k, 5', [-0.521076, 0.279631, 1.0]], ['2, k, 6', [-0.533096, 0.218929, 1.0]], ['2, k, 7', [-0.558125, 0.175936, 1.0]], ['2, k, 8', [-0.115525, 0.362507, 1.0]], ['2, k, 9', [-0.0404062, 0.314688, 1.0]], ['2, k, 10', [0.00237459, 0.26102, 1.0]], ['2, k, 11', [-0.0222978, 0.17323, 1.0]], ['2, k, 12', [-0.336164, -0.215864, 1.0]], ['2, k, 13', [-0.35676, -0.6188, 1.0]], ['2, k, 14', [-0.379574, -1.00035, 1.0]], ['2, k, 15', [-0.408359, -1.0584, 1.0]], ['2, k, 16', [-0.19114, -0.215265, 1.0]], ['2, k, 17', [-0.156647, -0.642434, 1.0]], ['2, k, 18', [-0.135286, -1.00696, 1.0]], ['2, k, 19', [-0.128822, -1.06171, 1.0]], ['2, k, 20', [-0.266157, 0.370546, 1.0]], ['2, k, 21', [-0.544704, 0.158611, 1.0]], ['2, k, 22', [-0.469077, 0.168423, 1.0]], ['2, k, 23', [-0.0211021, 0.154454, 1.0]], ['2, k, 24', [-0.0896049, 0.164636, 1.0]]]
[['2, k, 0', [-0.267758, -0.219084, 1.0]], ['2, k, 1', [-0.267486, 0.119734, 1.0]], ['2, k, 2', [-0.265157, 0.452559, 1.0]], ['2, k, 3', [-0.273733, 0.608799, 1.0]], ['2, k, 4', [-0.432799, 0.35816, 1.0]], ['2, k, 5', [-0.51776, 0.285323, 1.0]], ['2, k, 6', [-0.538711, 0.217993, 1.0]], ['2, k, 7', [-0.557963, 0.193805, 1.0]], ['2, k, 8', [-0.115532, 0.362577, 1.0]], ['2, k, 9', [-0.0408374, 0.31464, 1.0]], ['2, k, 10', [-0.0518586, 0.236811, 1.0]], ['2, k, 11', [-0.0313859, 0.190644, 1.0]], ['2, k, 12', [-0.336172, -0.215841, 1.0]], ['2, k, 13', [-0.357168, -0.619449, 1.0]], ['2, k, 14', [-0.379634, -1.00027, 1.0]], ['2, k, 15', [-0.408339, -1.05846, 1.0]], ['2, k, 16', [-0.191168, -0.215226, 1.0]], ['2, k, 17', [-0.156829, -0.642574, 1.0]], ['2, k, 18', [-0.135188, -1.00683, 1.0]], ['2, k, 19', [-0.128748, -1.06141, 1.0]], ['2, k, 20', [-0.266079, 0.370472, 1.0]], ['2, k, 21', [-0.544803, 0.177682, 1.0]], ['2, k, 22', [-0.470336, 0.185576, 1.0]], ['2, k, 23', [-0.0215, 0.170414, 1.0]], ['2, k, 24', [-0.104968, 0.183035, 1.0]]]
[['2, k, 0', [-0.267781, -0.219078, 1.0]], ['2, k, 1', [-0.267488, 0.119815, 1.0]], ['2, k, 2', [-0.265142, 0.452559, 1.0]], ['2, k, 3', [-0.273836, 0.609201, 1.0]], ['2, k, 4', [-0.43271, 0.358117, 1.0]], ['2, k, 5', [-0.513275, 0.302796, 1.0]], ['2, k, 6', [-0.540011, 0.244931, 1.0]], ['2, k, 7', [-0.56302, 0.211029, 1.0]], ['2, k, 8', [-0.11575, 0.362953, 1.0]], ['2, k, 9', [-0.01482, 0.358753, 1.0]], ['2, k, 10', [0.00312653, 0.284512, 1.0]], ['2, k, 11', [-0.0278388, 0.204248, 1.0]], ['2, k, 12', [-0.336221, -0.215938, 1.0]], ['2, k, 13', [-0.358925, -0.624081, 1.0]], ['2, k, 14', [-0.379728, -0.999631, 1.0]], ['2, k, 15', [-0.408418, -1.05809, 1.0]], ['2, k, 16', [-0.191219, -0.215162, 1.0]], ['2, k, 17', [-0.158267, -0.645246, 1.0]], ['2, k, 18', [-0.135155, -1.00672, 1.0]], ['2, k, 19', [-0.128735, -1.06143, 1.0]], ['2, k, 20', [-0.266066, 0.370494, 1.0]], ['2, k, 21', [-0.545927, 0.194778, 1.0]], ['2, k, 22', [-0.474644, 0.200321, 1.0]], ['2, k, 23', [-0.0547391, 0.166415, 1.0]], ['2, k, 24', [-0.10622, 0.200017, 1.0]]]
[['2, k, 0', [-0.268265, -0.229861, 1.0]], ['2, k, 1', [-0.267453, 0.118061, 1.0]], ['2, k, 2', [-0.265109, 0.452606, 1.0]], ['2, k, 3', [-0.273977, 0.609351, 1.0]], ['2, k, 4', [-0.432405, 0.358666, 1.0]], ['2, k, 5', [-0.523425, 0.30429, 1.0]], ['2, k, 6', [-0.527209, 0.238336, 1.0]], ['2, k, 7', [-0.558391, 0.225661, 1.0]], ['2, k, 8', [-0.11616, 0.363551, 1.0]], ['2, k, 9', [-0.0186103, 0.361498, 1.0]], ['2, k, 10', [0.00555833, 0.285419, 1.0]], ['2, k, 11', [-0.0283926, 0.21845, 1.0]], ['2, k, 12', [-0.336675, -0.227554, 1.0]], ['2, k, 13', [-0.359323, -0.625768, 1.0]], ['2, k, 14', [-0.379865, -0.999623, 1.0]], ['2, k, 15', [-0.408556, -1.05825, 1.0]], ['2, k, 16', [-0.191701, -0.225196, 1.0]], ['2, k, 17', [-0.159694, -0.648301, 1.0]], ['2, k, 18', [-0.135066, -1.0067, 1.0]], ['2, k, 19', [-0.128774, -1.06146, 1.0]], ['2, k, 20', [-0.266031, 0.370436, 1.0]], ['2, k, 21', [-0.546943, 0.207332, 1.0]], ['2, k, 22', [-0.467948, 0.215471, 1.0]], ['2, k, 23', [-0.0423251, 0.195818, 1.0]], ['2, k, 24', [-0.0956718, 0.210891, 1.0]]]
[['2, k, 0', [-0.268218, -0.231216, 1.0]], ['2, k, 1', [-0.267478, 0.117272, 1.0]], ['2, k, 2', [-0.265138, 0.452578, 1.0]], ['2, k, 3', [-0.274153, 0.609652, 1.0]], ['2, k, 4', [-0.43217, 0.359175, 1.0]], ['2, k, 5', [-0.530379, 0.300985, 1.0]], ['2, k, 6', [-0.545579, 0.240269, 1.0]], ['2, k, 7', [-0.56297, 0.240287, 1.0]], ['2, k, 8', [-0.117669, 0.367503, 1.0]], ['2, k, 9', [-0.0225855, 0.324271, 1.0]], ['2, k, 10', [-0.0568809, 0.24772, 1.0]], ['2, k, 11', [-0.0372255, 0.23175, 1.0]], ['2, k, 12', [-0.336588, -0.229449, 1.0]], ['2, k, 13', [-0.360041, -0.627003, 1.0]], ['2, k, 14', [-0.380012, -0.999752, 1.0]], ['2, k, 15', [-0.40896, -1.05853, 1.0]], ['2, k, 16', [-0.191667, -0.226159, 1.0]], ['2, k, 17', [-0.15997, -0.650338, 1.0]], ['2, k, 18', [-0.135097, -1.00665, 1.0]], ['2, k, 19', [-0.128936, -1.0617, 1.0]], ['2, k, 20', [-0.266061, 0.370308, 1.0]], ['2, k, 21', [-0.550461, 0.22406, 1.0]], ['2, k, 22', [-0.467389, 0.230953, 1.0]], ['2, k, 23', [-0.0334657, 0.212714, 1.0]], ['2, k, 24', [-0.115888, 0.224639, 1.0]]]
[['2, k, 0', [-0.268459, -0.233136, 1.0]], ['2, k, 1', [-0.267749, 0.116556, 1.0]], ['2, k, 2', [-0.265479, 0.452824, 1.0]], ['2, k, 3', [-0.274215, 0.609502, 1.0]], ['2, k, 4', [-0.430636, 0.355787, 1.0]], ['2, k, 5', [-0.540737, 0.325781, 1.0]], ['2, k, 6', [-0.552007, 0.266087, 1.0]], ['2, k, 7', [-0.566344, 0.253765, 1.0]], ['2, k, 8', [-0.118106, 0.367396, 1.0]], ['2, k, 9', [-0.0167412, 0.32237, 1.0]], ['2, k, 10', [-0.0384375, 0.241935, 1.0]], ['2, k, 11', [-0.0360747, 0.243943, 1.0]], ['2, k, 12', [-0.33681, -0.232517, 1.0]], ['2, k, 13', [-0.360549, -0.628191, 1.0]], ['2, k, 14', [-0.380594, -0.999511, 1.0]], ['2, k, 15', [-0.40898, -1.05858, 1.0]], ['2, k, 16', [-0.191879, -0.227129, 1.0]], ['2, k, 17', [-0.160233, -0.650933, 1.0]], ['2, k, 18', [-0.134655, -1.00662, 1.0]], ['2, k, 19', [-0.128932, -1.06167, 1.0]], ['2, k, 20', [-0.266338, 0.370318, 1.0]], ['2, k, 21', [-0.543096, 0.216112, 1.0]], ['2, k, 22', [-0.470346, 0.246667, 1.0]], ['2, k, 23', [-0.0452953, 0.225743, 1.0]], ['2, k, 24', [-0.108236, 0.235793, 1.0]]]
[['2, k, 0', [-0.268629, -0.233281, 1.0]], ['2, k, 1', [-0.267927, 0.116379, 1.0]], ['2, k, 2', [-0.2656, 0.452833, 1.0]], ['2, k, 3', [-0.274246, 0.609277, 1.0]], ['2, k, 4', [-0.430731, 0.354747, 1.0]], ['2, k, 5', [-0.528338, 0.311314, 1.0]], ['2, k, 6', [-0.531589, 0.280173, 1.0]], ['2, k, 7', [-0.563132, 0.265916, 1.0]], ['2, k, 8', [-0.118448, 0.367301, 1.0]], ['2, k, 9', [-0.0120226, 0.325707, 1.0]], ['2, k, 10', [-0.0609024, 0.247127, 1.0]], ['2, k, 11', [-0.0437366, 0.255257, 1.0]], ['2, k, 12', [-0.33699, -0.232787, 1.0]], ['2, k, 13', [-0.360886, -0.628228, 1.0]], ['2, k, 14', [-0.380273, -0.998619, 1.0]], ['2, k, 15', [-0.408862, -1.05813, 1.0]], ['2, k, 16', [-0.19203, -0.227159, 1.0]], ['2, k, 17', [-0.160256, -0.650987, 1.0]], ['2, k, 18', [-0.134568, -1.00657, 1.0]], ['2, k, 19', [-0.128949, -1.06177, 1.0]], ['2, k, 20', [-0.266465, 0.370289, 1.0]], ['2, k, 21', [-0.560017, 0.255043, 1.0]], ['2, k, 22', [-0.468341, 0.257232, 1.0]], ['2, k, 23', [-0.0738161, 0.210461, 1.0]], ['2, k, 24', [-0.12738, 0.250256, 1.0]]]
[['2, k, 0', [-0.268484, -0.234419, 1.0]], ['2, k, 1', [-0.267725, 0.115911, 1.0]], ['2, k, 2', [-0.265361, 0.452992, 1.0]], ['2, k, 3', [-0.274417, 0.608981, 1.0]], ['2, k, 4', [-0.43069, 0.3527, 1.0]], ['2, k, 5', [-0.530845, 0.311798, 1.0]], ['2, k, 6', [-0.532111, 0.280954, 1.0]], ['2, k, 7', [-0.567388, 0.277799, 1.0]], ['2, k, 8', [-0.118557, 0.366968, 1.0]], ['2, k, 9', [-0.0280964, 0.207553, 1.0]], ['2, k, 10', [-0.0623125, 0.250065, 1.0]], ['2, k, 11', [-0.0459418, 0.265427, 1.0]], ['2, k, 12', [-0.336931, -0.233419, 1.0]], ['2, k, 13', [-0.361265, -0.628866, 1.0]], ['2, k, 14', [-0.380357, -0.9981, 1.0]], ['2, k, 15', [-0.408838, -1.05811, 1.0]], ['2, k, 16', [-0.191747, -0.228967, 1.0]], ['2, k, 17', [-0.160382, -0.652395, 1.0]], ['2, k, 18', [-0.134565, -1.00622, 1.0]], ['2, k, 19', [-0.128992, -1.06184, 1.0]], ['2, k, 20', [-0.26627, 0.370309, 1.0]], ['2, k, 21', [-0.561477, 0.267142, 1.0]], ['2, k, 22', [-0.471726, 0.267406, 1.0]], ['2, k, 23', [-0.0355433, 0.259275, 1.0]], ['2, k, 24', [-0.12811, 0.25947, 1.0]]]
[['2, k, 0', [-0.268616, -0.235054, 1.0]], ['2, k, 1', [-0.267793, 0.115468, 1.0]], ['2, k, 2', [-0.265372, 0.452974, 1.0]], ['2, k, 3', [-0.274556, 0.608823, 1.0]], ['2, k, 4', [-0.430994, 0.351232, 1.0]], ['2, k, 5', [-0.531324, 0.311385, 1.0]], ['2, k, 6', [-0.570646, 0.259342, 1.0]], ['2, k, 7', [-0.582002, 0.289914, 1.0]], ['2, k, 8', [-0.119363, 0.365293, 1.0]], ['2, k, 9', [-0.00732126, 0.268068, 1.0]], ['2, k, 10', [-0.0554524, 0.26517, 1.0]], ['2, k, 11', [-0.0477042, 0.275383, 1.0]], ['2, k, 12', [-0.337054, -0.233715, 1.0]], ['2, k, 13', [-0.361354, -0.628863, 1.0]], ['2, k, 14', [-0.379595, -0.99669, 1.0]], ['2, k, 15', [-0.409161, -1.05703, 1.0]], ['2, k, 16', [-0.191867, -0.229901, 1.0]], ['2, k, 17', [-0.161567, -0.652988, 1.0]], ['2, k, 18', [-0.134527, -1.00621, 1.0]], ['2, k, 19', [-0.129087, -1.06202, 1.0]], ['2, k, 20', [-0.266287, 0.370227, 1.0]], ['2, k, 21', [-0.566029, 0.281707, 1.0]], ['2, k, 22', [-0.49609, 0.278913, 1.0]], ['2, k, 23', [-0.0485531, 0.262742, 1.0]], ['2, k, 24', [-0.127779, 0.26914, 1.0]]]
