[['2, k, 0', [-0.0235656, -0.372979, 1.0]], ['2, k, 1', [-0.0316509, -0.0465538, 1.0]], ['2, k, 2', [-0.0394207, 0.273267, 1.0]], ['2, k, 3', [-0.0280306, 0.424916, 1.0]], ['2, k, 4', [-0.215775, 0.163074, 1.0]], ['2, k, 5', [-0.277199, -0.116982, 1.0]], ['2, k, 6', [-0.313649, -0.365059, 1.0]], ['2, k, 7', [-0.309992, -0.402702, 1.0]], ['2, k, 8', [0.150132, 0.166538, 1.0]], ['2, k, 9', [0.230345, -0.118446, 1.0]], ['2, k, 10', [0.278139, -0.364252, 1.0]], ['2, k, 11', [0.273694, -0.425677, 1.0]], ['2, k, 12', [-0.106558, -0.369372, 1.0]], ['2, k, 13', [-0.169485, -0.816205, 1.0]], ['2, k, 14', [-0.233816, -1.16871, 1.0]], ['2, k, 15', [-0.187134, -1.25879, 1.0]], ['2, k, 16', [0.0599766, -0.367753, 1.0]], ['2, k, 17', [0.131582, -0.787015, 1.0]], ['2, k, 18', [0.252951, -1.23786, 1.0]], ['2, k, 19', [0.151978, -1.28809, 1.0]], ['2, k, 20', [-0.0375286, 0.194244, 1.0]], ['2, k, 21', [-0.298096, -0.46721, 1.0]], ['2, k, 22', [-0.264869, -0.429989, 1.0]], ['2, k, 23', [0.275745, -0.486167, 1.0]], ['2, k, 24', [0.225824, -0.448345, 1.0]]]
[['2, k, 0', [-0.0236163, -0.372939, 1.0]], ['2, k, 1', [-0.0314428, -0.0465439, 1.0]], ['2, k, 2', [-0.0387034, 0.273237, 1.0]], ['2, k, 3', [-0.0278841, 0.424807, 1.0]], ['2, k, 4', [-0.215488, 0.163969, 1.0]], ['2, k, 5', [-0.277852, -0.117019, 1.0]], ['2, k, 6', [-0.313741, -0.365613, 1.0]], ['2, k, 7', [-0.309495, -0.40283, 1.0]], ['2, k, 8', [0.15004, 0.166571, 1.0]], ['2, k, 9', [0.230559, -0.119902, 1.0]], ['2, k, 10', [0.278795, -0.366102, 1.0]], ['2, k, 11', [0.27379, -0.428174, 1.0]], ['2, k, 12', [-0.106615, -0.36921, 1.0]], ['2, k, 13', [-0.169703, -0.816592, 1.0]], ['2, k, 14', [-0.173689, -1.23062, 1.0]], ['2, k, 15', [-0.148745, -1.26253, 1.0]], ['2, k, 16', [0.0599279, -0.367823, 1.0]], ['2, k, 17', [0.142447, -0.877971, 1.0]], ['2, k, 18', [0.223651, -1.25164, 1.0]], ['2, k, 19', [0.153853, -1.28613, 1.0]], ['2, k, 20', [-0.0369749, 0.194227, 1.0]], ['2, k, 21', [-0.303952, -0.46893, 1.0]], ['2, k, 22', [-0.261382, -0.419354, 1.0]], ['2, k, 23', [0.277581, -0.493893, 1.0]], ['2, k, 24', [0.22683, -0.44429, 1.0]]]
[['2, k, 0', [-0.0235403, -0.372515, 1.0]], ['2, k, 1', [-0.0312639, -0.0464215, 1.0]], ['2, k, 2', [-0.0382847, 0.273238, 1.0]], ['2, k, 3', [-0.0278655, 0.424687, 1.0]], ['2, k, 4', [-0.215478, 0.163936, 1.0]], ['2, k, 5', [-0.277743, -0.118133, 1.0]], ['2, k, 6', [-0.31254, -0.366963, 1.0]], ['2, k, 7', [-0.308588, -0.403324, 1.0]], ['2, k, 8', [0.150047, 0.166593, 1.0]], ['2, k, 9', [0.230379, -0.119889, 1.0]], ['2, k, 10', [0.278875, -0.36634, 1.0]], ['2, k, 11', [0.272843, -0.42637, 1.0]], ['2, k, 12', [-0.106535, -0.368829, 1.0]], ['2, k, 13', [-0.16976, -0.816521, 1.0]], ['2, k, 14', [-0.242706, -1.18059, 1.0]], ['2, k, 15', [-0.183594, -1.26563, 1.0]], ['2, k, 16', [0.0599987, -0.367369, 1.0]], ['2, k, 17', [0.142927, -0.877638, 1.0]], ['2, k, 18', [0.219522, -1.25135, 1.0]], ['2, k, 19', [0.166957, -1.2856, 1.0]], ['2, k, 20', [-0.0366456, 0.194264, 1.0]], ['2, k, 21', [-0.300736, -0.46756, 1.0]], ['2, k, 22', [-0.263512, -0.427433, 1.0]], ['2, k, 23', [0.271047, -0.491934, 1.0]], ['2, k, 24', [0.226217, -0.447131, 1.0]]]
[['2, k, 0', [-0.0227613, -0.372638, 1.0]], ['2, k, 1', [-0.030548, -0.0464386, 1.0]], ['2, k, 2', [-0.0375867, 0.27327, 1.0]], ['2, k, 3', [-0.0277945, 0.424492, 1.0]], ['2, k, 4', [-0.215459, 0.164353, 1.0]], ['2, k, 5', [-0.277328, -0.117974, 1.0]], ['2, k, 6', [-0.313205, -0.366519, 1.0]], ['2, k, 7', [-0.308505, -0.403482, 1.0]], ['2, k, 8', [0.151109, 0.166455, 1.0]], ['2, k, 9', [0.230509, -0.11979, 1.0]], ['2, k, 10', [0.278949, -0.366279, 1.0]], ['2, k, 11', [0.275558, -0.425559, 1.0]], ['2, k, 12', [-0.105672, -0.368716, 1.0]], ['2, k, 13', [-0.169008, -0.816678, 1.0]], ['2, k, 14', [-0.250528, -1.19608, 1.0]], ['2, k, 15', [-0.181438, -1.26496, 1.0]], ['2, k, 16', [0.0606995, -0.367689, 1.0]], ['2, k, 17', [0.1432, -0.877874, 1.0]], ['2, k, 18', [0.200791, -1.23928, 1.0]], ['2, k, 19', [0.19379, -1.2812, 1.0]], ['2, k, 20', [-0.0359508, 0.194283, 1.0]], ['2, k, 21', [-0.298035, -0.472416, 1.0]], ['2, k, 22', [-0.262494, -0.429367, 1.0]], ['2, k, 23', [0.284806, -0.483467, 1.0]], ['2, k, 24', [0.225895, -0.449992, 1.0]]]
[['2, k, 0', [-0.0227759, -0.372812, 1.0]], ['2, k, 1', [-0.0303155, -0.0464898, 1.0]], ['2, k, 2', [-0.0369154, 0.273326, 1.0]], ['2, k, 3', [-0.0277584, 0.424481, 1.0]], ['2, k, 4', [-0.215427, 0.164464, 1.0]], ['2, k, 5', [-0.277104, -0.117586, 1.0]], ['2, k, 6', [-0.312305, -0.36623, 1.0]], ['2, k, 7', [-0.308349, -0.401467, 1.0]], ['2, k, 8', [0.150317, 0.16675, 1.0]], ['2, k, 9', [0.230688, -0.119809, 1.0]], ['2, k, 10', [0.279155, -0.366339, 1.0]], ['2, k, 11', [0.272419, -0.427241, 1.0]], ['2, k, 12', [-0.105702, -0.368907, 1.0]], ['2, k, 13', [-0.16899, -0.817515, 1.0]], ['2, k, 14', [-0.272308, -1.22583, 1.0]], ['2, k, 15', [-0.16731, -1.2627, 1.0]], ['2, k, 16', [0.0606957, -0.367842, 1.0]], ['2, k, 17', [0.143396, -0.877515, 1.0]], ['2, k, 18', [0.227944, -1.25187, 1.0]], ['2, k, 19', [0.307723, -1.28525, 1.0]], ['2, k, 20', [-0.035411, 0.194303, 1.0]], ['2, k, 21', [-0.301282, -0.46641, 1.0]], ['2, k, 22', [-0.26266, -0.429205, 1.0]], ['2, k, 23', [0.271695, -0.493114, 1.0]], ['2, k, 24', [0.225683, -0.44522, 1.0]]]
[['2, k, 0', [-0.0228296, -0.373439, 1.0]], ['2, k, 1', [-0.0302327, -0.046673, 1.0]], ['2, k, 2', [-0.0368226, 0.273314, 1.0]], ['2, k, 3', [-0.0277517, 0.424315, 1.0]], ['2, k, 4', [-0.215132, 0.165809, 1.0]], ['2, k, 5', [-0.277119, -0.116891, 1.0]], ['2, k, 6', [-0.31206, -0.365654, 1.0]], ['2, k, 7', [-0.3056, -0.403361, 1.0]], ['2, k, 8', [0.150953, 0.16652, 1.0]], ['2, k, 9', [0.230692, -0.120356, 1.0]], ['2, k, 10', [0.279448, -0.366865, 1.0]], ['2, k, 11', [0.275284, -0.425354, 1.0]], ['2, k, 12', [-0.105749, -0.369151, 1.0]], ['2, k, 13', [-0.169085, -0.817753, 1.0]], ['2, k, 14', [-0.274159, -1.22359, 1.0]], ['2, k, 15', [-0.174337, -1.25789, 1.0]], ['2, k, 16', [0.0606429, -0.369029, 1.0]], ['2, k, 17', [0.14369, -0.877188, 1.0]], ['2, k, 18', [0.217842, -1.24485, 1.0]], ['2, k, 19', [0.130413, -1.28315, 1.0]], ['2, k, 20', [-0.0353215, 0.194265, 1.0]], ['2, k, 21', [-0.304383, -0.467248, 1.0]], ['2, k, 22', [-0.255047, -0.42506, 1.0]], ['2, k, 23', [0.26969, -0.491281, 1.0]], ['2, k, 24', [0.231953, -0.428785, 1.0]]]
[['2, k, 0', [-0.0225618, -0.37336, 1.0]], ['2, k, 1', [-0.0297704, -0.0466676, 1.0]], ['2, k, 2', [-0.0361404, 0.273251, 1.0]], ['2, k, 3', [-0.0277118, 0.424306, 1.0]], ['2, k, 4', [-0.214925, 0.166169, 1.0]], ['2, k, 5', [-0.277276, -0.117068, 1.0]], ['2, k, 6', [-0.311616, -0.366022, 1.0]], ['2, k, 7', [-0.305167, -0.405206, 1.0]], ['2, k, 8', [0.151327, 0.166944, 1.0]], ['2, k, 9', [0.230912, -0.120281, 1.0]], ['2, k, 10', [0.279591, -0.366891, 1.0]], ['2, k, 11', [0.273941, -0.428498, 1.0]], ['2, k, 12', [-0.105509, -0.369084, 1.0]], ['2, k, 13', [-0.168784, -0.816931, 1.0]], ['2, k, 14', [-0.280624, -1.2232, 1.0]], ['2, k, 15', [-0.165681, -1.26211, 1.0]], ['2, k, 16', [0.0609271, -0.368924, 1.0]], ['2, k, 17', [0.14337, -0.877153, 1.0]], ['2, k, 18', [0.256661, -1.25961, 1.0]], ['2, k, 19', [0.17292, -1.28587, 1.0]], ['2, k, 20', [-0.0346883, 0.194219, 1.0]], ['2, k, 21', [-0.303881, -0.468699, 1.0]], ['2, k, 22', [-0.256499, -0.43274, 1.0]], ['2, k, 23', [0.272887, -0.492241, 1.0]], ['2, k, 24', [0.225805, -0.443836, 1.0]]]
[['2, k, 0', [-0.0225223, -0.373533, 1.0]], ['2, k, 1', [-0.0295687, -0.0467249, 1.0]], ['2, k, 2', [-0.0356285, 0.27338, 1.0]], ['2, k, 3', [-0.0276411, 0.424153, 1.0]], ['2, k, 4', [-0.214509, 0.168176, 1.0]], ['2, k, 5', [-0.277296, -0.117433, 1.0]], ['2, k, 6', [-0.311369, -0.366697, 1.0]], ['2, k, 7', [-0.30413, -0.409797, 1.0]], ['2, k, 8', [0.151627, 0.167187, 1.0]], ['2, k, 9', [0.231658, -0.121379, 1.0]], ['2, k, 10', [0.279869, -0.368388, 1.0]], ['2, k, 11', [0.274318, -0.42692, 1.0]], ['2, k, 12', [-0.105494, -0.369124, 1.0]], ['2, k, 13', [-0.168704, -0.81707, 1.0]], ['2, k, 14', [-0.229251, -1.18648, 1.0]], ['2, k, 15', [-0.192167, -1.26782, 1.0]], ['2, k, 16', [0.0609982, -0.369313, 1.0]], ['2, k, 17', [0.143284, -0.876034, 1.0]], ['2, k, 18', [0.19864, -1.22787, 1.0]], ['2, k, 19', [0.186248, -1.28433, 1.0]], ['2, k, 20', [-0.0342576, 0.194285, 1.0]], ['2, k, 21', [-0.301423, -0.468796, 1.0]], ['2, k, 22', [-0.254499, -0.429009, 1.0]], ['2, k, 23', [0.27581, -0.491788, 1.0]], ['2, k, 24', [0.227707, -0.441195, 1.0]]]
[['2, k, 0', [-0.0224497, -0.373372, 1.0]], ['2, k, 1', [-0.0294045, -0.046607, 1.0]], ['2, k, 2', [-0.0354566, 0.273457, 1.0]], ['2, k, 3', [-0.0275939, 0.424007, 1.0]], ['2, k, 4', [-0.214299, 0.168377, 1.0]], ['2, k, 5', [-0.277351, -0.11737, 1.0]], ['2, k, 6', [-0.309917, -0.367114, 1.0]], ['2, k, 7', [-0.304939, -0.406177, 1.0]], ['2, k, 8', [0.150686, 0.167141, 1.0]], ['2, k, 9', [0.231668, -0.120434, 1.0]], ['2, k, 10', [0.279828, -0.367678, 1.0]], ['2, k, 11', [0.27301, -0.427186, 1.0]], ['2, k, 12', [-0.105452, -0.368963, 1.0]], ['2, k, 13', [-0.168888, -0.815606, 1.0]], ['2, k, 14', [-0.271249, -1.22222, 1.0]], ['2, k, 15', [-0.18189, -1.27058, 1.0]], ['2, k, 16', [0.0611318, -0.369143, 1.0]], ['2, k, 17', [0.14334, -0.876719, 1.0]], ['2, k, 18', [0.17, -1.24363, 1.0]], ['2, k, 19', [0.164785, -1.27868, 1.0]], ['2, k, 20', [-0.0340782, 0.194372, 1.0]], ['2, k, 21', [-0.30386, -0.467304, 1.0]], ['2, k, 22', [-0.254259, -0.427824, 1.0]], ['2, k, 23', [0.279602, -0.490656, 1.0]], ['2, k, 24', [0.226459, -0.442841, 1.0]]]
[['2, k, 0', [-0.022454, -0.373192, 1.0]], ['2, k, 1', [-0.0294059, -0.0465207, 1.0]], ['2, k, 2', [-0.0354922, 0.273558, 1.0]], ['2, k, 3', [-0.0276551, 0.42406, 1.0]], ['2, k, 4', [-0.213253, 0.170496, 1.0]], ['2, k, 5', [-0.277222, -0.117305, 1.0]], ['2, k, 6', [-0.309697, -0.367257, 1.0]], ['2, k, 7', [-0.300621, -0.406842, 1.0]], ['2, k, 8', [0.150356, 0.167281, 1.0]], ['2, k, 9', [0.231612, -0.119726, 1.0]], ['2, k, 10', [0.279962, -0.367214, 1.0]], ['2, k, 11', [0.274848, -0.422427, 1.0]], ['2, k, 12', [-0.105493, -0.368829, 1.0]], ['2, k, 13', [-0.168634, -0.815089, 1.0]], ['2, k, 14', [-0.247667, -1.13681, 1.0]], ['2, k, 15', [-0.193781, -1.24567, 1.0]], ['2, k, 16', [0.0611644, -0.368903, 1.0]], ['2, k, 17', [0.132191, -0.820152, 1.0]], ['2, k, 18', [0.170051, -1.24323, 1.0]], ['2, k, 19', [0.156812, -1.27882, 1.0]], ['2, k, 20', [-0.0340965, 0.194459, 1.0]], ['2, k, 21', [-0.300022, -0.467387, 1.0]], ['2, k, 22', [-0.254088, -0.419257, 1.0]], ['2, k, 23', [0.28504, -0.484815, 1.0]], ['2, k, 24', [0.233618, -0.440311, 1.0]]]
[['2, k, 0', [-0.0198853, -0.390006, 1.0]], ['2, k, 1', [-0.0277502, -0.0512965, 1.0]], ['2, k, 2', [-0.0348825, 0.273521, 1.0]], ['2, k, 3', [-0.0276215, 0.424551, 1.0]], ['2, k, 4', [-0.213475, 0.16622, 1.0]], ['2, k, 5', [-0.278567, -0.12069, 1.0]], ['2, k, 6', [-0.309881, -0.372661, 1.0]], ['2, k, 7', [-0.304784, -0.404277, 1.0]], ['2, k, 8', [0.150868, 0.165668, 1.0]], ['2, k, 9', [0.232049, -0.122289, 1.0]], ['2, k, 10', [0.281938, -0.371307, 1.0]], ['2, k, 11', [0.274792, -0.426435, 1.0]], ['2, k, 12', [-0.102909, -0.385806, 1.0]], ['2, k, 13', [-0.168572, -0.81498, 1.0]], ['2, k, 14', [-0.215471, -1.16893, 1.0]], ['2, k, 15', [-0.189961, -1.2405, 1.0]], ['2, k, 16', [0.0636208, -0.384718, 1.0]], ['2, k, 17', [0.134801, -0.806756, 1.0]], ['2, k, 18', [0.199367, -1.23658, 1.0]], ['2, k, 19', [0.182517, -1.26657, 1.0]], ['2, k, 20', [-0.033303, 0.193862, 1.0]], ['2, k, 21', [-0.303101, -0.469597, 1.0]], ['2, k, 22', [-0.258236, -0.430676, 1.0]], ['2, k, 23', [0.277252, -0.487782, 1.0]], ['2, k, 24', [0.228326, -0.439173, 1.0]]]
