[['2, k, 0', [-0.225772, -0.385829, 1.0]], ['2, k, 1', [-0.236861, -0.0903687, 1.0]], ['2, k, 2', [-0.246282, 0.198376, 1.0]], ['2, k, 3', [-0.257005, 0.326329, 1.0]], ['2, k, 4', [-0.431671, 0.101559, 1.0]], ['2, k, 5', [-0.541913, -0.0689145, 1.0]], ['2, k, 6', [-0.461992, -0.248217, 1.0]], ['2, k, 7', [-0.416484, -0.294821, 1.0]], ['2, k, 8', [-0.071522, 0.100917, 1.0]], ['2, k, 9', [0.0806157, -0.0491929, 1.0]], ['2, k, 10', [0.00171044, -0.228319, 1.0]], ['2, k, 11', [-0.0443701, -0.266473, 1.0]], ['2, k, 12', [-0.304693, -0.380131, 1.0]], ['2, k, 13', [-0.36144, -0.691083, 1.0]], ['2, k, 14', [-0.378532, -1.03775, 1.0]], ['2, k, 15', [-0.400391, -1.10449, 1.0]], ['2, k, 16', [-0.140455, -0.380668, 1.0]], ['2, k, 17', [-0.085295, -0.704227, 1.0]], ['2, k, 18', [-0.057117, -1.05869, 1.0]], ['2, k, 19', [-0.0615845, -1.11426, 1.0]], ['2, k, 20', [-0.244209, 0.12715, 1.0]], ['2, k, 21', [-0.400787, -0.361607, 1.0]], ['2, k, 22', [-0.390205, -0.253878, 1.0]], ['2, k, 23', [-0.0341375, -0.350729, 1.0]], ['2, k, 24', [-0.0730238, -0.268599, 1.0]]]
[['2, k, 0', [-0.225796, -0.385781, 1.0]], ['2, k, 1', [-0.236685, -0.090382, 1.0]], ['2, k, 2', [-0.245473, 0.198207, 1.0]], ['2, k, 3', [-0.256792, 0.325989, 1.0]], ['2, k, 4', [-0.431455, 0.101755, 1.0]], ['2, k, 5', [-0.542145, -0.0681462, 1.0]], ['2, k, 6', [-0.439633, -0.235176, 1.0]], ['2, k, 7', [-0.406765, -0.276982, 1.0]], ['2, k, 8', [-0.0711694, 0.100999, 1.0]], ['2, k, 9', [0.0810136, -0.0487788, 1.0]], ['2, k, 10', [0.00375003, -0.22801, 1.0]], ['2, k, 11', [-0.0405206, -0.25918, 1.0]], ['2, k, 12', [-0.30474, -0.380047, 1.0]], ['2, k, 13', [-0.361363, -0.694507, 1.0]], ['2, k, 14', [-0.37834, -1.03787, 1.0]], ['2, k, 15', [-0.400484, -1.10438, 1.0]], ['2, k, 16', [-0.140473, -0.380641, 1.0]], ['2, k, 17', [-0.0843709, -0.704258, 1.0]], ['2, k, 18', [-0.0571155, -1.05751, 1.0]], ['2, k, 19', [-0.0611084, -1.11408, 1.0]], ['2, k, 20', [-0.243599, 0.127032, 1.0]], ['2, k, 21', [-0.391268, -0.349626, 1.0]], ['2, k, 22', [-0.377437, -0.238815, 1.0]], ['2, k, 23', [-0.0288402, -0.341235, 1.0]], ['2, k, 24', [-0.0238054, -0.294767, 1.0]]]
[['2, k, 0', [-0.225732, -0.385729, 1.0]], ['2, k, 1', [-0.236259, -0.0903129, 1.0]], ['2, k, 2', [-0.244466, 0.198252, 1.0]], ['2, k, 3', [-0.256756, 0.32596, 1.0]], ['2, k, 4', [-0.431004, 0.101909, 1.0]], ['2, k, 5', [-0.542481, -0.0676058, 1.0]], ['2, k, 6', [-0.439823, -0.234595, 1.0]], ['2, k, 7', [-0.407841, -0.281635, 1.0]], ['2, k, 8', [-0.0711414, 0.100992, 1.0]], ['2, k, 9', [0.0814022, -0.0486735, 1.0]], ['2, k, 10', [0.0039455, -0.227887, 1.0]], ['2, k, 11', [-0.0403795, -0.260246, 1.0]], ['2, k, 12', [-0.30468, -0.379977, 1.0]], ['2, k, 13', [-0.361222, -0.695229, 1.0]], ['2, k, 14', [-0.378227, -1.03732, 1.0]], ['2, k, 15', [-0.400451, -1.10422, 1.0]], ['2, k, 16', [-0.140405, -0.380606, 1.0]], ['2, k, 17', [-0.0840958, -0.704218, 1.0]], ['2, k, 18', [-0.0571114, -1.05709, 1.0]], ['2, k, 19', [-0.0607851, -1.11427, 1.0]], ['2, k, 20', [-0.242749, 0.127086, 1.0]], ['2, k, 21', [-0.391537, -0.34987, 1.0]], ['2, k, 22', [-0.378507, -0.241065, 1.0]], ['2, k, 23', [-0.0276308, -0.341657, 1.0]], ['2, k, 24', [-0.0237127, -0.294862, 1.0]]]
[['2, k, 0', [-0.225775, -0.385728, 1.0]], ['2, k, 1', [-0.236217, -0.0903088, 1.0]], ['2, k, 2', [-0.244203, 0.19828, 1.0]], ['2, k, 3', [-0.256736, 0.325965, 1.0]], ['2, k, 4', [-0.430966, 0.101898, 1.0]], ['2, k, 5', [-0.542575, -0.0675033, 1.0]], ['2, k, 6', [-0.438337, -0.245116, 1.0]], ['2, k, 7', [-0.404104, -0.29594, 1.0]], ['2, k, 8', [-0.0711853, 0.100991, 1.0]], ['2, k, 9', [0.0820218, -0.0485201, 1.0]], ['2, k, 10', [0.00407563, -0.227551, 1.0]], ['2, k, 11', [-0.0412432, -0.258117, 1.0]], ['2, k, 12', [-0.304719, -0.379978, 1.0]], ['2, k, 13', [-0.361, -0.695143, 1.0]], ['2, k, 14', [-0.378257, -1.03724, 1.0]], ['2, k, 15', [-0.400446, -1.10421, 1.0]], ['2, k, 16', [-0.140451, -0.380604, 1.0]], ['2, k, 17', [-0.0839299, -0.704441, 1.0]], ['2, k, 18', [-0.0571176, -1.05714, 1.0]], ['2, k, 19', [-0.0611085, -1.11468, 1.0]], ['2, k, 20', [-0.242551, 0.127105, 1.0]], ['2, k, 21', [-0.378377, -0.357602, 1.0]], ['2, k, 22', [-0.370822, -0.245427, 1.0]], ['2, k, 23', [-0.0309566, -0.340255, 1.0]], ['2, k, 24', [-0.0239997, -0.295828, 1.0]]]
[['2, k, 0', [-0.225834, -0.385727, 1.0]], ['2, k, 1', [-0.236143, -0.0903151, 1.0]], ['2, k, 2', [-0.243856, 0.198266, 1.0]], ['2, k, 3', [-0.256629, 0.325975, 1.0]], ['2, k, 4', [-0.430927, 0.101953, 1.0]], ['2, k, 5', [-0.542543, -0.0674929, 1.0]], ['2, k, 6', [-0.43843, -0.234314, 1.0]], ['2, k, 7', [-0.410493, -0.274186, 1.0]], ['2, k, 8', [-0.0711996, 0.101062, 1.0]], ['2, k, 9', [0.0822574, -0.0483942, 1.0]], ['2, k, 10', [0.00411746, -0.227335, 1.0]], ['2, k, 11', [-0.0410374, -0.263122, 1.0]], ['2, k, 12', [-0.304783, -0.379975, 1.0]], ['2, k, 13', [-0.361009, -0.695069, 1.0]], ['2, k, 14', [-0.378313, -1.03716, 1.0]], ['2, k, 15', [-0.400765, -1.10377, 1.0]], ['2, k, 16', [-0.140511, -0.380604, 1.0]], ['2, k, 17', [-0.0837488, -0.70449, 1.0]], ['2, k, 18', [-0.0571731, -1.05728, 1.0]], ['2, k, 19', [-0.0610224, -1.11453, 1.0]], ['2, k, 20', [-0.242282, 0.127092, 1.0]], ['2, k, 21', [-0.397811, -0.344606, 1.0]], ['2, k, 22', [-0.385637, -0.255482, 1.0]], ['2, k, 23', [-0.0304969, -0.343872, 1.0]], ['2, k, 24', [-0.0258726, -0.298215, 1.0]]]
[['2, k, 0', [-0.226272, -0.38564, 1.0]], ['2, k, 1', [-0.236126, -0.0902801, 1.0]], ['2, k, 2', [-0.243331, 0.198313, 1.0]], ['2, k, 3', [-0.256623, 0.325976, 1.0]], ['2, k, 4', [-0.430854, 0.102103, 1.0]], ['2, k, 5', [-0.542652, -0.0671817, 1.0]], ['2, k, 6', [-0.438496, -0.234081, 1.0]], ['2, k, 7', [-0.411702, -0.273021, 1.0]], ['2, k, 8', [-0.0711802, 0.10103, 1.0]], ['2, k, 9', [0.0825738, -0.048501, 1.0]], ['2, k, 10', [0.00398113, -0.227236, 1.0]], ['2, k, 11', [-0.0414367, -0.262096, 1.0]], ['2, k, 12', [-0.305177, -0.37983, 1.0]], ['2, k, 13', [-0.361592, -0.695189, 1.0]], ['2, k, 14', [-0.378291, -1.03715, 1.0]], ['2, k, 15', [-0.400861, -1.10383, 1.0]], ['2, k, 16', [-0.140988, -0.380584, 1.0]], ['2, k, 17', [-0.0836363, -0.704477, 1.0]], ['2, k, 18', [-0.0570893, -1.05798, 1.0]], ['2, k, 19', [-0.0610532, -1.11449, 1.0]], ['2, k, 20', [-0.241926, 0.127137, 1.0]], ['2, k, 21', [-0.402465, -0.342125, 1.0]], ['2, k, 22', [-0.383454, -0.245922, 1.0]], ['2, k, 23', [-0.0318761, -0.340966, 1.0]], ['2, k, 24', [-0.026168, -0.296736, 1.0]]]
[['2, k, 0', [-0.227892, -0.385729, 1.0]], ['2, k, 1', [-0.236208, -0.0902989, 1.0]], ['2, k, 2', [-0.242756, 0.198291, 1.0]], ['2, k, 3', [-0.256604, 0.326081, 1.0]], ['2, k, 4', [-0.43075, 0.102349, 1.0]], ['2, k, 5', [-0.542611, -0.0658634, 1.0]], ['2, k, 6', [-0.44514, -0.237006, 1.0]], ['2, k, 7', [-0.416095, -0.283595, 1.0]], ['2, k, 8', [-0.0711638, 0.100984, 1.0]], ['2, k, 9', [0.0828851, -0.0487878, 1.0]], ['2, k, 10', [0.00389072, -0.227129, 1.0]], ['2, k, 11', [-0.043366, -0.261063, 1.0]], ['2, k, 12', [-0.306968, -0.380647, 1.0]], ['2, k, 13', [-0.362464, -0.694757, 1.0]], ['2, k, 14', [-0.378384, -1.03718, 1.0]], ['2, k, 15', [-0.40087, -1.10389, 1.0]], ['2, k, 16', [-0.142661, -0.380012, 1.0]], ['2, k, 17', [-0.0836708, -0.704462, 1.0]], ['2, k, 18', [-0.057031, -1.058, 1.0]], ['2, k, 19', [-0.0611928, -1.1144, 1.0]], ['2, k, 20', [-0.241617, 0.127114, 1.0]], ['2, k, 21', [-0.406123, -0.350652, 1.0]], ['2, k, 22', [-0.388787, -0.260699, 1.0]], ['2, k, 23', [-0.0386626, -0.340294, 1.0]], ['2, k, 24', [-0.0294624, -0.303951, 1.0]]]
[['2, k, 0', [-0.231571, -0.385931, 1.0]], ['2, k, 1', [-0.236683, -0.0903157, 1.0]], ['2, k, 2', [-0.242071, 0.198379, 1.0]], ['2, k, 3', [-0.256529, 0.326185, 1.0]], ['2, k, 4', [-0.430732, 0.102362, 1.0]], ['2, k, 5', [-0.542816, -0.0655136, 1.0]], ['2, k, 6', [-0.446444, -0.237385, 1.0]], ['2, k, 7', [-0.419842, -0.284552, 1.0]], ['2, k, 8', [-0.0712867, 0.101046, 1.0]], ['2, k, 9', [0.0830298, -0.0495599, 1.0]], ['2, k, 10', [0.00201844, -0.227118, 1.0]], ['2, k, 11', [-0.0455222, -0.257354, 1.0]], ['2, k, 12', [-0.310429, -0.381267, 1.0]], ['2, k, 13', [-0.364475, -0.693649, 1.0]], ['2, k, 14', [-0.378422, -1.0372, 1.0]], ['2, k, 15', [-0.401281, -1.10415, 1.0]], ['2, k, 16', [-0.146406, -0.379763, 1.0]], ['2, k, 17', [-0.0837995, -0.704633, 1.0]], ['2, k, 18', [-0.0569807, -1.05803, 1.0]], ['2, k, 19', [-0.0612836, -1.11428, 1.0]], ['2, k, 20', [-0.241307, 0.12716, 1.0]], ['2, k, 21', [-0.407114, -0.350739, 1.0]], ['2, k, 22', [-0.391781, -0.256679, 1.0]], ['2, k, 23', [-0.0441365, -0.342757, 1.0]], ['2, k, 24', [-0.0346877, -0.30867, 1.0]]]
[['2, k, 0', [-0.234975, -0.386, 1.0]], ['2, k, 1', [-0.237453, -0.0903318, 1.0]], ['2, k, 2', [-0.2418, 0.198407, 1.0]], ['2, k, 3', [-0.256516, 0.326287, 1.0]], ['2, k, 4', [-0.431005, 0.103125, 1.0]], ['2, k, 5', [-0.547761, -0.0490639, 1.0]], ['2, k, 6', [-0.481039, -0.234347, 1.0]], ['2, k, 7', [-0.436603, -0.286169, 1.0]], ['2, k, 8', [-0.0717684, 0.100593, 1.0]], ['2, k, 9', [0.0824586, -0.0525377, 1.0]], ['2, k, 10', [-8.15859e-05, -0.229228, 1.0]], ['2, k, 11', [-0.0504344, -0.264646, 1.0]], ['2, k, 12', [-0.313231, -0.381505, 1.0]], ['2, k, 13', [-0.366317, -0.693725, 1.0]], ['2, k, 14', [-0.378488, -1.03724, 1.0]], ['2, k, 15', [-0.4014, -1.1044, 1.0]], ['2, k, 16', [-0.150247, -0.379627, 1.0]], ['2, k, 17', [-0.0846131, -0.705092, 1.0]], ['2, k, 18', [-0.0568113, -1.05815, 1.0]], ['2, k, 19', [-0.0613967, -1.11423, 1.0]], ['2, k, 20', [-0.241249, 0.127175, 1.0]], ['2, k, 21', [-0.431583, -0.352819, 1.0]], ['2, k, 22', [-0.416416, -0.239344, 1.0]], ['2, k, 23', [-0.046799, -0.347523, 1.0]], ['2, k, 24', [-0.0365482, -0.296719, 1.0]]]
[['2, k, 0', [-0.239453, -0.386447, 1.0]], ['2, k, 1', [-0.238561, -0.090492, 1.0]], ['2, k, 2', [-0.241435, 0.198366, 1.0]], ['2, k, 3', [-0.256572, 0.326013, 1.0]], ['2, k, 4', [-0.431179, 0.103717, 1.0]], ['2, k, 5', [-0.54841, -0.045894, 1.0]], ['2, k, 6', [-0.482911, -0.231502, 1.0]], ['2, k, 7', [-0.441791, -0.284802, 1.0]], ['2, k, 8', [-0.0720484, 0.10029, 1.0]], ['2, k, 9', [0.0814857, -0.0549373, 1.0]], ['2, k, 10', [-0.00379809, -0.229683, 1.0]], ['2, k, 11', [-0.0530142, -0.262509, 1.0]], ['2, k, 12', [-0.31767, -0.381689, 1.0]], ['2, k, 13', [-0.368742, -0.692277, 1.0]], ['2, k, 14', [-0.378381, -1.03674, 1.0]], ['2, k, 15', [-0.402714, -1.10377, 1.0]], ['2, k, 16', [-0.154613, -0.380338, 1.0]], ['2, k, 17', [-0.086245, -0.705299, 1.0]], ['2, k, 18', [-0.0566415, -1.0586, 1.0]], ['2, k, 19', [-0.0612387, -1.11423, 1.0]], ['2, k, 20', [-0.241174, 0.127132, 1.0]], ['2, k, 21', [-0.433063, -0.3464, 1.0]], ['2, k, 22', [-0.422051, -0.241788, 1.0]], ['2, k, 23', [-0.0493344, -0.339221, 1.0]], ['2, k, 24', [-0.0414571, -0.309367, 1.0]]]
[['2, k, 0', [-0.242717, -0.386963, 1.0]], ['2, k, 1', [-0.239745, -0.0908216, 1.0]], ['2, k, 2', [-0.241054, 0.198138, 1.0]], ['2, k, 3', [-0.256623, 0.326036, 1.0]], ['2, k, 4', [-0.431549, 0.104029, 1.0]], ['2, k, 5', [-0.550366, -0.0435271, 1.0]], ['2, k, 6', [-0.484437, -0.228791, 1.0]], ['2, k, 7', [-0.445673, -0.282338, 1.0]], ['2, k, 8', [-0.0723065, 0.0996431, 1.0]], ['2, k, 9', [0.0805382, -0.0566782, 1.0]], ['2, k, 10', [-0.00583636, -0.230415, 1.0]], ['2, k, 11', [-0.0553339, -0.263837, 1.0]], ['2, k, 12', [-0.320928, -0.382018, 1.0]], ['2, k, 13', [-0.372792, -0.689004, 1.0]], ['2, k, 14', [-0.378392, -1.03689, 1.0]], ['2, k, 15', [-0.402942, -1.10375, 1.0]], ['2, k, 16', [-0.157728, -0.381023, 1.0]], ['2, k, 17', [-0.0903906, -0.703486, 1.0]], ['2, k, 18', [-0.0564154, -1.05936, 1.0]], ['2, k, 19', [-0.0612293, -1.11423, 1.0]], ['2, k, 20', [-0.241121, 0.126929, 1.0]], ['2, k, 21', [-0.438236, -0.339734, 1.0]], ['2, k, 22', [-0.423061, -0.300035, 1.0]], ['2, k, 23', [-0.0540418, -0.348125, 1.0]], ['2, k, 24', [-0.0438843, -0.302657, 1.0]]]
