[['2, k, 0', [0.00794072, -0.362769, 1.0]], ['2, k, 1', [0.00847528, -0.063714, 1.0]], ['2, k, 2', [0.00896562, 0.229719, 1.0]], ['2, k, 3', [0.0326478, 0.373375, 1.0]], ['2, k, 4', [-0.143471, 0.130687, 1.0]], ['2, k, 5', [-0.19285, -0.0664233, 1.0]], ['2, k, 6', [-0.190513, -0.263861, 1.0]], ['2, k, 7', [-0.195625, -0.341892, 1.0]], ['2, k, 8', [0.181182, 0.132908, 1.0]], ['2, k, 9', [0.198133, -0.071476, 1.0]], ['2, k, 10', [0.189956, -0.252184, 1.0]], ['2, k, 11', [0.179733, -0.349726, 1.0]], ['2, k, 12', [-0.0659666, -0.359328, 1.0]], ['2, k, 13', [-0.147524, -0.778212, 1.0]], ['2, k, 14', [-0.200455, -1.1401, 1.0]], ['2, k, 15', [-0.195435, -1.18945, 1.0]], ['2, k, 16', [0.0816683, -0.358282, 1.0]], ['2, k, 17', [0.147881, -0.771209, 1.0]], ['2, k, 18', [0.196995, -1.10357, 1.0]], ['2, k, 19', [0.201508, -1.14442, 1.0]], ['2, k, 20', [0.00885065, 0.157128, 1.0]], ['2, k, 21', [-0.193693, -0.400175, 1.0]], ['2, k, 22', [-0.226697, -0.335742, 1.0]], ['2, k, 23', [0.171718, -0.409204, 1.0]], ['2, k, 24', [0.205821, -0.330694, 1.0]]]
[['2, k, 0', [0.00798851, -0.36285, 1.0]], ['2, k, 1', [0.00844131, -0.063759, 1.0]], ['2, k, 2', [0.00875177, 0.229764, 1.0]], ['2, k, 3', [0.0327827, 0.373764, 1.0]], ['2, k, 4', [-0.144013, 0.132112, 1.0]], ['2, k, 5', [-0.194152, -0.0529472, 1.0]], ['2, k, 6', [-0.192137, -0.21948, 1.0]], ['2, k, 7', [-0.196785, -0.293983, 1.0]], ['2, k, 8', [0.18076, 0.13264, 1.0]], ['2, k, 9', [0.214709, -0.03775, 1.0]], ['2, k, 10', [0.195035, -0.209413, 1.0]], ['2, k, 11', [0.181198, -0.301334, 1.0]], ['2, k, 12', [-0.0659271, -0.35929, 1.0]], ['2, k, 13', [-0.14681, -0.77484, 1.0]], ['2, k, 14', [-0.192029, -1.13424, 1.0]], ['2, k, 15', [-0.197702, -1.18988, 1.0]], ['2, k, 16', [0.0817512, -0.358622, 1.0]], ['2, k, 17', [0.145689, -0.753353, 1.0]], ['2, k, 18', [0.195465, -1.10297, 1.0]], ['2, k, 19', [0.151065, -1.17962, 1.0]], ['2, k, 20', [0.00869279, 0.157144, 1.0]], ['2, k, 21', [-0.18944, -0.349731, 1.0]], ['2, k, 22', [-0.226276, -0.290162, 1.0]], ['2, k, 23', [0.17417, -0.354448, 1.0]], ['2, k, 24', [0.212711, -0.291436, 1.0]]]
[['2, k, 0', [0.0080727, -0.363684, 1.0]], ['2, k, 1', [0.00810846, -0.0640068, 1.0]], ['2, k, 2', [0.00781144, 0.230285, 1.0]], ['2, k, 3', [0.0322142, 0.374042, 1.0]], ['2, k, 4', [-0.144009, 0.132192, 1.0]], ['2, k, 5', [-0.193814, -0.027862, 1.0]], ['2, k, 6', [-0.193209, -0.170354, 1.0]], ['2, k, 7', [-0.195551, -0.234163, 1.0]], ['2, k, 8', [0.179291, 0.132099, 1.0]], ['2, k, 9', [0.212723, -0.0279768, 1.0]], ['2, k, 10', [0.197735, -0.158856, 1.0]], ['2, k, 11', [0.183863, -0.250839, 1.0]], ['2, k, 12', [-0.0658667, -0.359769, 1.0]], ['2, k, 13', [-0.147069, -0.774801, 1.0]], ['2, k, 14', [-0.19201, -1.13758, 1.0]], ['2, k, 15', [-0.197764, -1.19082, 1.0]], ['2, k, 16', [0.0818532, -0.359838, 1.0]], ['2, k, 17', [0.145772, -0.750697, 1.0]], ['2, k, 18', [0.194978, -1.10283, 1.0]], ['2, k, 19', [0.198614, -1.13965, 1.0]], ['2, k, 20', [0.00792786, 0.157439, 1.0]], ['2, k, 21', [-0.190463, -0.29744, 1.0]], ['2, k, 22', [-0.228172, -0.231815, 1.0]], ['2, k, 23', [0.184762, -0.312838, 1.0]], ['2, k, 24', [0.214009, -0.27728, 1.0]]]
[['2, k, 0', [0.00774751, -0.363908, 1.0]], ['2, k, 1', [0.00799911, -0.0639061, 1.0]], ['2, k, 2', [0.00805497, 0.230745, 1.0]], ['2, k, 3', [0.0322081, 0.374104, 1.0]], ['2, k, 4', [-0.141494, 0.136272, 1.0]], ['2, k, 5', [-0.199973, 0.0046245, 1.0]], ['2, k, 6', [-0.188807, -0.102589, 1.0]], ['2, k, 7', [-0.195218, -0.175289, 1.0]], ['2, k, 8', [0.17689, 0.130275, 1.0]], ['2, k, 9', [0.2276, 0.00536042, 1.0]], ['2, k, 10', [0.202085, -0.107565, 1.0]], ['2, k, 11', [0.188627, -0.185225, 1.0]], ['2, k, 12', [-0.0661919, -0.359168, 1.0]], ['2, k, 13', [-0.147176, -0.774731, 1.0]], ['2, k, 14', [-0.187027, -1.145, 1.0]], ['2, k, 15', [-0.197373, -1.1932, 1.0]], ['2, k, 16', [0.081432, -0.360969, 1.0]], ['2, k, 17', [0.147001, -0.753151, 1.0]], ['2, k, 18', [0.197083, -1.11375, 1.0]], ['2, k, 19', [0.101569, -1.16303, 1.0]], ['2, k, 20', [0.00806803, 0.157813, 1.0]], ['2, k, 21', [-0.204089, -0.22128, 1.0]], ['2, k, 22', [-0.231356, -0.168394, 1.0]], ['2, k, 23', [0.182954, -0.231224, 1.0]], ['2, k, 24', [0.218129, -0.200623, 1.0]]]
[['2, k, 0', [0.00686978, -0.364116, 1.0]], ['2, k, 1', [0.00732608, -0.064006, 1.0]], ['2, k, 2', [0.00761897, 0.23069, 1.0]], ['2, k, 3', [0.0333362, 0.37459, 1.0]], ['2, k, 4', [-0.141352, 0.136239, 1.0]], ['2, k, 5', [-0.193225, 0.0459882, 1.0]], ['2, k, 6', [-0.18106, -0.0388105, 1.0]], ['2, k, 7', [-0.190044, -0.103885, 1.0]], ['2, k, 8', [0.176517, 0.13125, 1.0]], ['2, k, 9', [0.227052, 0.0251674, 1.0]], ['2, k, 10', [0.205059, -0.0497876, 1.0]], ['2, k, 11', [0.188669, -0.113608, 1.0]], ['2, k, 12', [-0.0668463, -0.359533, 1.0]], ['2, k, 13', [-0.147136, -0.774669, 1.0]], ['2, k, 14', [-0.182838, -1.15219, 1.0]], ['2, k, 15', [-0.19768, -1.19284, 1.0]], ['2, k, 16', [0.0803629, -0.360883, 1.0]], ['2, k, 17', [0.147275, -0.754448, 1.0]], ['2, k, 18', [0.197297, -1.11307, 1.0]], ['2, k, 19', [0.200219, -1.15135, 1.0]], ['2, k, 20', [0.00757113, 0.157753, 1.0]], ['2, k, 21', [-0.182497, -0.146067, 1.0]], ['2, k, 22', [-0.223869, -0.111993, 1.0]], ['2, k, 23', [0.15774, -0.152714, 1.0]], ['2, k, 24', [0.217583, -0.140063, 1.0]]]
[['2, k, 0', [0.00713782, -0.362872, 1.0]], ['2, k, 1', [0.00771929, -0.0628532, 1.0]], ['2, k, 2', [0.00814594, 0.231652, 1.0]], ['2, k, 3', [0.0330082, 0.375523, 1.0]], ['2, k, 4', [-0.140709, 0.136716, 1.0]], ['2, k, 5', [-0.175564, 0.0198976, 1.0]], ['2, k, 6', [-0.205901, 0.0192391, 1.0]], ['2, k, 7', [-0.190988, -0.0206645, 1.0]], ['2, k, 8', [0.175182, 0.132199, 1.0]], ['2, k, 9', [0.24669, 0.0646839, 1.0]], ['2, k, 10', [0.204581, 0.0125555, 1.0]], ['2, k, 11', [0.194035, -0.0497571, 1.0]], ['2, k, 12', [-0.0664337, -0.358146, 1.0]], ['2, k, 13', [-0.148182, -0.774881, 1.0]], ['2, k, 14', [-0.182092, -1.14573, 1.0]], ['2, k, 15', [-0.20603, -1.19241, 1.0]], ['2, k, 16', [0.080509, -0.359796, 1.0]], ['2, k, 17', [0.147656, -0.751147, 1.0]], ['2, k, 18', [0.193987, -1.10466, 1.0]], ['2, k, 19', [0.147095, -1.1748, 1.0]], ['2, k, 20', [0.0080634, 0.158774, 1.0]], ['2, k, 21', [-0.186672, -0.0509754, 1.0]], ['2, k, 22', [-0.230191, -0.0240555, 1.0]], ['2, k, 23', [0.189365, -0.0900122, 1.0]], ['2, k, 24', [0.228731, -0.057543, 1.0]]]
[['2, k, 0', [0.0073258, -0.36242, 1.0]], ['2, k, 1', [0.00791926, -0.0625316, 1.0]], ['2, k, 2', [0.00835677, 0.231842, 1.0]], ['2, k, 3', [0.0326025, 0.376558, 1.0]], ['2, k, 4', [-0.138914, 0.136692, 1.0]], ['2, k, 5', [-0.168596, 0.0353623, 1.0]], ['2, k, 6', [-0.200589, 0.0408351, 1.0]], ['2, k, 7', [-0.194449, 0.0575771, 1.0]], ['2, k, 8', [0.172653, 0.135606, 1.0]], ['2, k, 9', [0.246374, 0.064569, 1.0]], ['2, k, 10', [0.204108, 0.0122216, 1.0]], ['2, k, 11', [0.200423, 0.0211083, 1.0]], ['2, k, 12', [-0.0662167, -0.358058, 1.0]], ['2, k, 13', [-0.148512, -0.775566, 1.0]], ['2, k, 14', [-0.181443, -1.14562, 1.0]], ['2, k, 15', [-0.201485, -1.19068, 1.0]], ['2, k, 16', [0.0806501, -0.35878, 1.0]], ['2, k, 17', [0.148108, -0.749093, 1.0]], ['2, k, 18', [0.195567, -1.10464, 1.0]], ['2, k, 19', [0.148394, -1.17613, 1.0]], ['2, k, 20', [0.00827131, 0.158997, 1.0]], ['2, k, 21', [-0.188028, 0.0301901, 1.0]], ['2, k, 22', [-0.228028, 0.0618992, 1.0]], ['2, k, 23', [0.175091, 0.000885636, 1.0]], ['2, k, 24', [0.233353, 0.0135717, 1.0]]]
[['2, k, 0', [0.00741097, -0.362265, 1.0]], ['2, k, 1', [0.00848942, -0.0621107, 1.0]], ['2, k, 2', [0.00979391, 0.232623, 1.0]], ['2, k, 3', [0.0339163, 0.378041, 1.0]], ['2, k, 4', [-0.137123, 0.136196, 1.0]], ['2, k, 5', [-0.166276, 0.00541397, 1.0]], ['2, k, 6', [-0.145343, 0.0386295, 1.0]], ['2, k, 7', [-0.193146, 0.140243, 1.0]], ['2, k, 8', [0.170032, 0.136396, 1.0]], ['2, k, 9', [0.230046, 0.0591202, 1.0]], ['2, k, 10', [0.215913, 0.0953831, 1.0]], ['2, k, 11', [0.206392, 0.094856, 1.0]], ['2, k, 12', [-0.0660442, -0.358045, 1.0]], ['2, k, 13', [-0.150061, -0.77705, 1.0]], ['2, k, 14', [-0.181902, -1.14752, 1.0]], ['2, k, 15', [-0.199936, -1.19358, 1.0]], ['2, k, 16', [0.0806665, -0.358486, 1.0]], ['2, k, 17', [0.148419, -0.748754, 1.0]], ['2, k, 18', [0.196157, -1.10741, 1.0]], ['2, k, 19', [0.199472, -1.14379, 1.0]], ['2, k, 20', [0.0094553, 0.159684, 1.0]], ['2, k, 21', [-0.206402, 0.123285, 1.0]], ['2, k, 22', [-0.21543, 0.116333, 1.0]], ['2, k, 23', [0.211609, 0.0627949, 1.0]], ['2, k, 24', [0.230675, 0.0853094, 1.0]]]
[['2, k, 0', [0.00750976, -0.361481, 1.0]], ['2, k, 1', [0.00885979, -0.0616631, 1.0]], ['2, k, 2', [0.0104768, 0.232783, 1.0]], ['2, k, 3', [0.0341887, 0.378018, 1.0]], ['2, k, 4', [-0.136578, 0.136417, 1.0]], ['2, k, 5', [-0.151636, 0.161508, 1.0]], ['2, k, 6', [-0.173023, 0.186938, 1.0]], ['2, k, 7', [-0.188507, 0.215794, 1.0]], ['2, k, 8', [0.169974, 0.136283, 1.0]], ['2, k, 9', [0.229614, 0.0578168, 1.0]], ['2, k, 10', [0.215946, 0.115482, 1.0]], ['2, k, 11', [0.207369, 0.171362, 1.0]], ['2, k, 12', [-0.0657609, -0.357039, 1.0]], ['2, k, 13', [-0.149897, -0.77729, 1.0]], ['2, k, 14', [-0.184235, -1.14816, 1.0]], ['2, k, 15', [-0.199262, -1.19332, 1.0]], ['2, k, 16', [0.080636, -0.357903, 1.0]], ['2, k, 17', [0.148352, -0.748623, 1.0]], ['2, k, 18', [0.195963, -1.10778, 1.0]], ['2, k, 19', [0.142822, -1.18262, 1.0]], ['2, k, 20', [0.0100499, 0.159922, 1.0]], ['2, k, 21', [-0.208957, 0.194286, 1.0]], ['2, k, 22', [-0.216017, 0.203625, 1.0]], ['2, k, 23', [0.208984, 0.169762, 1.0]], ['2, k, 24', [0.240944, 0.162198, 1.0]]]
[['2, k, 0', [0.00725962, -0.360725, 1.0]], ['2, k, 1', [0.00891207, -0.060946, 1.0]], ['2, k, 2', [0.0108766, 0.233657, 1.0]], ['2, k, 3', [0.0339902, 0.378191, 1.0]], ['2, k, 4', [-0.132219, 0.137955, 1.0]], ['2, k, 5', [-0.179618, 0.178169, 1.0]], ['2, k, 6', [-0.177084, 0.244501, 1.0]], ['2, k, 7', [-0.188412, 0.279627, 1.0]], ['2, k, 8', [0.163221, 0.143956, 1.0]], ['2, k, 9', [0.276937, 0.173796, 1.0]], ['2, k, 10', [0.239437, 0.205282, 1.0]], ['2, k, 11', [0.206297, 0.238699, 1.0]], ['2, k, 12', [-0.065901, -0.35574, 1.0]], ['2, k, 13', [-0.149881, -0.777134, 1.0]], ['2, k, 14', [-0.184957, -1.14989, 1.0]], ['2, k, 15', [-0.198838, -1.19376, 1.0]], ['2, k, 16', [0.080332, -0.357521, 1.0]], ['2, k, 17', [0.148524, -0.7455, 1.0]], ['2, k, 18', [0.196179, -1.10811, 1.0]], ['2, k, 19', [0.19989, -1.14394, 1.0]], ['2, k, 20', [0.01035, 0.160755, 1.0]], ['2, k, 21', [-0.189904, 0.301252, 1.0]], ['2, k, 22', [-0.213803, 0.259516, 1.0]], ['2, k, 23', [0.180919, 0.251361, 1.0]], ['2, k, 24', [0.234018, 0.234737, 1.0]]]
[['2, k, 0', [0.00726319, -0.361199, 1.0]], ['2, k, 1', [0.00958435, -0.0616403, 1.0]], ['2, k, 2', [0.0128616, 0.23228, 1.0]], ['2, k, 3', [0.035965, 0.379523, 1.0]], ['2, k, 4', [-0.122595, 0.13503, 1.0]], ['2, k, 5', [-0.19172, 0.213809, 1.0]], ['2, k, 6', [-0.17532, 0.303638, 1.0]], ['2, k, 7', [-0.187163, 0.341458, 1.0]], ['2, k, 8', [0.162331, 0.143991, 1.0]], ['2, k, 9', [0.290632, 0.23336, 1.0]], ['2, k, 10', [0.218371, 0.257549, 1.0]], ['2, k, 11', [0.206845, 0.295615, 1.0]], ['2, k, 12', [-0.0654702, -0.357688, 1.0]], ['2, k, 13', [-0.145567, -0.723381, 1.0]], ['2, k, 14', [-0.184451, -1.10147, 1.0]], ['2, k, 15', [-0.175733, -1.1399, 1.0]], ['2, k, 16', [0.0802572, -0.357513, 1.0]], ['2, k, 17', [0.146168, -0.72149, 1.0]], ['2, k, 18', [0.195088, -1.10378, 1.0]], ['2, k, 19', [0.1604, -1.1748, 1.0]], ['2, k, 20', [0.0119379, 0.159584, 1.0]], ['2, k, 21', [-0.197881, 0.364294, 1.0]], ['2, k, 22', [-0.215516, 0.342534, 1.0]], ['2, k, 23', [0.216141, 0.315058, 1.0]], ['2, k, 24', [0.242351, 0.300755, 1.0]]]
