[['2, k, 0', [-0.503394, -0.386346, 1.0]], ['2, k, 1', [-0.517188, -0.0900978, 1.0]], ['2, k, 2', [-0.527587, 0.198972, 1.0]], ['2, k, 3', [-0.50933, 0.324772, 1.0]], ['2, k, 4', [-0.665813, 0.0933412, 1.0]], ['2, k, 5', [-0.705947, 0.0184414, 1.0]], ['2, k, 6', [-0.707286, -0.0242685, 1.0]], ['2, k, 7', [-0.715601, -0.0730841, 1.0]], ['2, k, 8', [-0.364348, 0.108705, 1.0]], ['2, k, 9', [-0.377689, -0.164385, 1.0]], ['2, k, 10', [-0.319153, -0.09654, 1.0]], ['2, k, 11', [-0.273934, -0.0646816, 1.0]], ['2, k, 12', [-0.56473, -0.384102, 1.0]], ['2, k, 13', [-0.589164, -0.715448, 1.0]], ['2, k, 14', [-0.565655, -1.05813, 1.0]], ['2, k, 15', [-0.555731, -1.09067, 1.0]], ['2, k, 16', [-0.4273, -0.377286, 1.0]], ['2, k, 17', [-0.34374, -0.72081, 1.0]], ['2, k, 18', [-0.293296, -1.07031, 1.0]], ['2, k, 19', [-0.28125, -1.12988, 1.0]], ['2, k, 20', [-0.525567, 0.127705, 1.0]], ['2, k, 21', [-0.715109, -0.112458, 1.0]], ['2, k, 22', [-0.766963, -0.0773081, 1.0]], ['2, k, 23', [-0.243466, -0.108077, 1.0]], ['2, k, 24', [-0.228691, -0.0709546, 1.0]]]
[['2, k, 0', [-0.50102, -0.386584, 1.0]], ['2, k, 1', [-0.516692, -0.0900676, 1.0]], ['2, k, 2', [-0.527591, 0.199098, 1.0]], ['2, k, 3', [-0.508897, 0.325071, 1.0]], ['2, k, 4', [-0.665401, 0.0934555, 1.0]], ['2, k, 5', [-0.704463, 0.0245843, 1.0]], ['2, k, 6', [-0.688801, -0.0114147, 1.0]], ['2, k, 7', [-0.700171, -0.0380905, 1.0]], ['2, k, 8', [-0.364225, 0.108987, 1.0]], ['2, k, 9', [-0.500719, 0.0396244, 1.0]], ['2, k, 10', [-0.313891, -0.0158599, 1.0]], ['2, k, 11', [-0.279118, -0.037243, 1.0]], ['2, k, 12', [-0.562469, -0.384453, 1.0]], ['2, k, 13', [-0.586475, -0.722335, 1.0]], ['2, k, 14', [-0.566375, -1.07035, 1.0]], ['2, k, 15', [-0.568924, -1.13483, 1.0]], ['2, k, 16', [-0.424849, -0.37738, 1.0]], ['2, k, 17', [-0.343776, -0.719955, 1.0]], ['2, k, 18', [-0.293115, -1.07019, 1.0]], ['2, k, 19', [-0.281697, -1.12875, 1.0]], ['2, k, 20', [-0.525497, 0.127781, 1.0]], ['2, k, 21', [-0.704289, -0.0715343, 1.0]], ['2, k, 22', [-0.743384, -0.0402273, 1.0]], ['2, k, 23', [-0.252282, -0.0715966, 1.0]], ['2, k, 24', [-0.238874, -0.0390336, 1.0]]]
[['2, k, 0', [-0.499278, -0.386482, 1.0]], ['2, k, 1', [-0.515307, -0.0900114, 1.0]], ['2, k, 2', [-0.526888, 0.199129, 1.0]], ['2, k, 3', [-0.50791, 0.324995, 1.0]], ['2, k, 4', [-0.664112, 0.0938751, 1.0]], ['2, k, 5', [-0.688819, 0.0570763, 1.0]], ['2, k, 6', [-0.676997, 0.0242638, 1.0]], ['2, k, 7', [-0.683999, -0.00763066, 1.0]], ['2, k, 8', [-0.363348, 0.110941, 1.0]], ['2, k, 9', [-0.313684, 0.0820222, 1.0]], ['2, k, 10', [-0.295483, 0.0031999, 1.0]], ['2, k, 11', [-0.289737, -0.0116294, 1.0]], ['2, k, 12', [-0.56056, -0.384653, 1.0]], ['2, k, 13', [-0.585334, -0.722819, 1.0]], ['2, k, 14', [-0.56599, -1.07032, 1.0]], ['2, k, 15', [-0.568901, -1.13217, 1.0]], ['2, k, 16', [-0.42318, -0.376995, 1.0]], ['2, k, 17', [-0.344057, -0.72031, 1.0]], ['2, k, 18', [-0.293654, -1.07344, 1.0]], ['2, k, 19', [-0.282638, -1.12758, 1.0]], ['2, k, 20', [-0.524634, 0.127821, 1.0]], ['2, k, 21', [-0.690299, -0.0351651, 1.0]], ['2, k, 22', [-0.719898, -0.0108871, 1.0]], ['2, k, 23', [-0.286852, -0.0490663, 1.0]], ['2, k, 24', [-0.242631, -0.0204258, 1.0]]]
[['2, k, 0', [-0.495643, -0.38575, 1.0]], ['2, k, 1', [-0.513291, -0.0899538, 1.0]], ['2, k, 2', [-0.525954, 0.198846, 1.0]], ['2, k, 3', [-0.505113, 0.325496, 1.0]], ['2, k, 4', [-0.661684, 0.0943769, 1.0]], ['2, k, 5', [-0.674857, 0.0843065, 1.0]], ['2, k, 6', [-0.666992, 0.0393305, 1.0]], ['2, k, 7', [-0.668309, 0.0152346, 1.0]], ['2, k, 8', [-0.361807, 0.113908, 1.0]], ['2, k, 9', [-0.312771, 0.0862614, 1.0]], ['2, k, 10', [-0.301454, 0.0242492, 1.0]], ['2, k, 11', [-0.29851, 0.0104253, 1.0]], ['2, k, 12', [-0.556459, -0.384527, 1.0]], ['2, k, 13', [-0.582755, -0.723759, 1.0]], ['2, k, 14', [-0.563886, -1.06833, 1.0]], ['2, k, 15', [-0.569526, -1.12927, 1.0]], ['2, k, 16', [-0.419884, -0.375732, 1.0]], ['2, k, 17', [-0.343629, -0.719686, 1.0]], ['2, k, 18', [-0.293912, -1.07341, 1.0]], ['2, k, 19', [-0.282959, -1.12723, 1.0]], ['2, k, 20', [-0.523515, 0.127616, 1.0]], ['2, k, 21', [-0.677095, -0.00770897, 1.0]], ['2, k, 22', [-0.693617, 0.0204784, 1.0]], ['2, k, 23', [-0.301115, -0.0212519, 1.0]], ['2, k, 24', [-0.251272, -0.000393038, 1.0]]]
[['2, k, 0', [-0.491825, -0.38507, 1.0]], ['2, k, 1', [-0.509054, -0.0891539, 1.0]], ['2, k, 2', [-0.521585, 0.199717, 1.0]], ['2, k, 3', [-0.501111, 0.325247, 1.0]], ['2, k, 4', [-0.642924, 0.0999668, 1.0]], ['2, k, 5', [-0.67133, 0.0942737, 1.0]], ['2, k, 6', [-0.645991, 0.0427587, 1.0]], ['2, k, 7', [-0.65109, 0.032677, 1.0]], ['2, k, 8', [-0.353915, 0.118643, 1.0]], ['2, k, 9', [-0.313649, 0.0949487, 1.0]], ['2, k, 10', [-0.303549, 0.0442553, 1.0]], ['2, k, 11', [-0.3073, 0.0303644, 1.0]], ['2, k, 12', [-0.552671, -0.383943, 1.0]], ['2, k, 13', [-0.578819, -0.724638, 1.0]], ['2, k, 14', [-0.563322, -1.06842, 1.0]], ['2, k, 15', [-0.570624, -1.13118, 1.0]], ['2, k, 16', [-0.41633, -0.374968, 1.0]], ['2, k, 17', [-0.342616, -0.718895, 1.0]], ['2, k, 18', [-0.294391, -1.07645, 1.0]], ['2, k, 19', [-0.282895, -1.12386, 1.0]], ['2, k, 20', [-0.519162, 0.128475, 1.0]], ['2, k, 21', [-0.663221, 0.0152837, 1.0]], ['2, k, 22', [-0.682631, 0.0415962, 1.0]], ['2, k, 23', [-0.306771, 0.00270824, 1.0]], ['2, k, 24', [-0.270057, 0.0255427, 1.0]]]
[['2, k, 0', [-0.488736, -0.384874, 1.0]], ['2, k, 1', [-0.504083, -0.0887008, 1.0]], ['2, k, 2', [-0.51519, 0.200387, 1.0]], ['2, k, 3', [-0.496489, 0.326437, 1.0]], ['2, k, 4', [-0.636248, 0.101887, 1.0]], ['2, k, 5', [-0.65856, 0.0941317, 1.0]], ['2, k, 6', [-0.629549, 0.0489463, 1.0]], ['2, k, 7', [-0.634458, 0.0419342, 1.0]], ['2, k, 8', [-0.348365, 0.107075, 1.0]], ['2, k, 9', [-0.311583, 0.096148, 1.0]], ['2, k, 10', [-0.311774, 0.0546055, 1.0]], ['2, k, 11', [-0.318396, 0.0461611, 1.0]], ['2, k, 12', [-0.549184, -0.381766, 1.0]], ['2, k, 13', [-0.575134, -0.728203, 1.0]], ['2, k, 14', [-0.562838, -1.06837, 1.0]], ['2, k, 15', [-0.570466, -1.13141, 1.0]], ['2, k, 16', [-0.412927, -0.376646, 1.0]], ['2, k, 17', [-0.341721, -0.717502, 1.0]], ['2, k, 18', [-0.298898, -1.07998, 1.0]], ['2, k, 19', [-0.292315, -1.12702, 1.0]], ['2, k, 20', [-0.51305, 0.129102, 1.0]], ['2, k, 21', [-0.643848, 0.0298762, 1.0]], ['2, k, 22', [-0.663252, 0.0455471, 1.0]], ['2, k, 23', [-0.326951, 0.0204323, 1.0]], ['2, k, 24', [-0.282724, 0.0387444, 1.0]]]
[['2, k, 0', [-0.481069, -0.384906, 1.0]], ['2, k, 1', [-0.49602, -0.0889582, 1.0]], ['2, k, 2', [-0.507254, 0.199831, 1.0]], ['2, k, 3', [-0.491497, 0.326744, 1.0]], ['2, k, 4', [-0.630412, 0.10371, 1.0]], ['2, k, 5', [-0.652075, 0.0980795, 1.0]], ['2, k, 6', [-0.629952, 0.0642278, 1.0]], ['2, k, 7', [-0.619988, 0.0573284, 1.0]], ['2, k, 8', [-0.345134, 0.105628, 1.0]], ['2, k, 9', [-0.312153, 0.0987588, 1.0]], ['2, k, 10', [-0.320345, 0.070595, 1.0]], ['2, k, 11', [-0.324679, 0.0563221, 1.0]], ['2, k, 12', [-0.541617, -0.380232, 1.0]], ['2, k, 13', [-0.572419, -0.729107, 1.0]], ['2, k, 14', [-0.562766, -1.06831, 1.0]], ['2, k, 15', [-0.571932, -1.13301, 1.0]], ['2, k, 16', [-0.405836, -0.378201, 1.0]], ['2, k, 17', [-0.340666, -0.71851, 1.0]], ['2, k, 18', [-0.300818, -1.08062, 1.0]], ['2, k, 19', [-0.282672, -1.13384, 1.0]], ['2, k, 20', [-0.505045, 0.128628, 1.0]], ['2, k, 21', [-0.615497, 0.0397797, 1.0]], ['2, k, 22', [-0.646125, 0.0579281, 1.0]], ['2, k, 23', [-0.326499, 0.0363006, 1.0]], ['2, k, 24', [-0.289895, 0.0462992, 1.0]]]
[['2, k, 0', [-0.477512, -0.385317, 1.0]], ['2, k, 1', [-0.49048, -0.0890031, 1.0]], ['2, k, 2', [-0.499603, 0.200277, 1.0]], ['2, k, 3', [-0.486628, 0.326752, 1.0]], ['2, k, 4', [-0.623784, 0.106194, 1.0]], ['2, k, 5', [-0.642584, 0.100653, 1.0]], ['2, k, 6', [-0.62241, 0.0726958, 1.0]], ['2, k, 7', [-0.605915, 0.0491567, 1.0]], ['2, k, 8', [-0.340225, 0.102591, 1.0]], ['2, k, 9', [-0.311378, 0.0977397, 1.0]], ['2, k, 10', [-0.320402, 0.0722449, 1.0]], ['2, k, 11', [-0.330855, 0.0594666, 1.0]], ['2, k, 12', [-0.537868, -0.379474, 1.0]], ['2, k, 13', [-0.571051, -0.728648, 1.0]], ['2, k, 14', [-0.562249, -1.06861, 1.0]], ['2, k, 15', [-0.571296, -1.12756, 1.0]], ['2, k, 16', [-0.402382, -0.379825, 1.0]], ['2, k, 17', [-0.339364, -0.718643, 1.0]], ['2, k, 18', [-0.300109, -1.0822, 1.0]], ['2, k, 19', [-0.286237, -1.13124, 1.0]], ['2, k, 20', [-0.497918, 0.128944, 1.0]], ['2, k, 21', [-0.610097, 0.0378405, 1.0]], ['2, k, 22', [-0.632483, 0.0463283, 1.0]], ['2, k, 23', [-0.331989, 0.0426628, 1.0]], ['2, k, 24', [-0.299597, 0.0518342, 1.0]]]
[['2, k, 0', [-0.472754, -0.385638, 1.0]], ['2, k, 1', [-0.483306, -0.0892052, 1.0]], ['2, k, 2', [-0.490117, 0.200153, 1.0]], ['2, k, 3', [-0.481049, 0.3271, 1.0]], ['2, k, 4', [-0.615604, 0.109603, 1.0]], ['2, k, 5', [-0.630148, 0.0982207, 1.0]], ['2, k, 6', [-0.608076, 0.0916222, 1.0]], ['2, k, 7', [-0.594185, 0.0472882, 1.0]], ['2, k, 8', [-0.336132, 0.100138, 1.0]], ['2, k, 9', [-0.311915, 0.098251, 1.0]], ['2, k, 10', [-0.327771, 0.0743457, 1.0]], ['2, k, 11', [-0.350315, 0.0471249, 1.0]], ['2, k, 12', [-0.532813, -0.378326, 1.0]], ['2, k, 13', [-0.569476, -0.72815, 1.0]], ['2, k, 14', [-0.562007, -1.06848, 1.0]], ['2, k, 15', [-0.571429, -1.12814, 1.0]], ['2, k, 16', [-0.398, -0.38157, 1.0]], ['2, k, 17', [-0.33636, -0.718195, 1.0]], ['2, k, 18', [-0.300317, -1.07969, 1.0]], ['2, k, 19', [-0.285985, -1.12957, 1.0]], ['2, k, 20', [-0.488988, 0.128807, 1.0]], ['2, k, 21', [-0.600398, 0.0382732, 1.0]], ['2, k, 22', [-0.620671, 0.0451681, 1.0]], ['2, k, 23', [-0.35443, 0.0445257, 1.0]], ['2, k, 24', [-0.301305, 0.0520429, 1.0]]]
[['2, k, 0', [-0.467847, -0.387141, 1.0]], ['2, k, 1', [-0.477151, -0.0896857, 1.0]], ['2, k, 2', [-0.482817, 0.200804, 1.0]], ['2, k, 3', [-0.476854, 0.326564, 1.0]], ['2, k, 4', [-0.610486, 0.109697, 1.0]], ['2, k, 5', [-0.614929, 0.0927639, 1.0]], ['2, k, 6', [-0.602386, 0.0861157, 1.0]], ['2, k, 7', [-0.589135, 0.0462249, 1.0]], ['2, k, 8', [-0.332629, 0.0995137, 1.0]], ['2, k, 9', [-0.311928, 0.0980101, 1.0]], ['2, k, 10', [-0.338728, 0.0607089, 1.0]], ['2, k, 11', [-0.356448, 0.0464366, 1.0]], ['2, k, 12', [-0.52699, -0.382358, 1.0]], ['2, k, 13', [-0.567762, -0.729183, 1.0]], ['2, k, 14', [-0.561519, -1.06995, 1.0]], ['2, k, 15', [-0.572151, -1.13175, 1.0]], ['2, k, 16', [-0.393913, -0.381201, 1.0]], ['2, k, 17', [-0.333367, -0.717741, 1.0]], ['2, k, 18', [-0.298988, -1.07753, 1.0]], ['2, k, 19', [-0.285232, -1.13087, 1.0]], ['2, k, 20', [-0.481964, 0.129166, 1.0]], ['2, k, 21', [-0.591408, 0.0346007, 1.0]], ['2, k, 22', [-0.628629, 0.0376071, 1.0]], ['2, k, 23', [-0.362386, 0.0461775, 1.0]], ['2, k, 24', [-0.308472, 0.0524496, 1.0]]]
[['2, k, 0', [-0.465372, -0.387591, 1.0]], ['2, k, 1', [-0.47194, -0.0897688, 1.0]], ['2, k, 2', [-0.474162, 0.201245, 1.0]], ['2, k, 3', [-0.472732, 0.327232, 1.0]], ['2, k, 4', [-0.602566, 0.110817, 1.0]], ['2, k, 5', [-0.610453, 0.102014, 1.0]], ['2, k, 6', [-0.594751, 0.0572694, 1.0]], ['2, k, 7', [-0.581036, 0.0403684, 1.0]], ['2, k, 8', [-0.328153, 0.0994255, 1.0]], ['2, k, 9', [-0.315375, 0.096096, 1.0]], ['2, k, 10', [-0.327554, 0.0602771, 1.0]], ['2, k, 11', [-0.359539, 0.0445992, 1.0]], ['2, k, 12', [-0.524607, -0.383446, 1.0]], ['2, k, 13', [-0.565469, -0.730106, 1.0]], ['2, k, 14', [-0.560938, -1.07466, 1.0]], ['2, k, 15', [-0.571102, -1.13177, 1.0]], ['2, k, 16', [-0.391665, -0.380941, 1.0]], ['2, k, 17', [-0.331069, -0.717443, 1.0]], ['2, k, 18', [-0.298273, -1.07434, 1.0]], ['2, k, 19', [-0.284994, -1.13006, 1.0]], ['2, k, 20', [-0.474217, 0.129466, 1.0]], ['2, k, 21', [-0.576933, 0.0264072, 1.0]], ['2, k, 22', [-0.626712, 0.0288234, 1.0]], ['2, k, 23', [-0.366151, 0.0440979, 1.0]], ['2, k, 24', [-0.311972, 0.0496754, 1.0]]]
