[['2, k, 0', [-0.347483, -0.23298, 1.0]], ['2, k, 1', [-0.330249, 0.0727182, 1.0]], ['2, k, 2', [-0.311473, 0.370516, 1.0]], ['2, k, 3', [-0.309581, 0.510892, 1.0]], ['2, k, 4', [-0.515284, 0.282583, 1.0]], ['2, k, 5', [-0.649181, 0.0903015, 1.0]], ['2, k, 6', [-0.621895, -0.154291, 1.0]], ['2, k, 7', [-0.554749, -0.225758, 1.0]], ['2, k, 8', [-0.130748, 0.286448, 1.0]], ['2, k, 9', [-0.0213478, 0.0896609, 1.0]], ['2, k, 10', [-0.0716712, -0.14862, 1.0]], ['2, k, 11', [-0.1074, -0.162462, 1.0]], ['2, k, 12', [-0.43026, -0.230526, 1.0]], ['2, k, 13', [-0.449118, -0.6702, 1.0]], ['2, k, 14', [-0.476636, -1.03086, 1.0]], ['2, k, 15', [-0.486926, -1.10777, 1.0]], ['2, k, 16', [-0.254905, -0.228879, 1.0]], ['2, k, 17', [-0.261603, -0.674751, 1.0]], ['2, k, 18', [-0.266898, -1.03398, 1.0]], ['2, k, 19', [-0.245535, -1.09637, 1.0]], ['2, k, 20', [-0.316448, 0.297232, 1.0]], ['2, k, 21', [-0.550906, -0.327098, 1.0]], ['2, k, 22', [-0.511871, -0.21972, 1.0]], ['2, k, 23', [-0.156625, -0.24459, 1.0]], ['2, k, 24', [-0.154701, -0.126511, 1.0]]]
[['2, k, 0', [-0.347592, -0.233093, 1.0]], ['2, k, 1', [-0.330301, 0.0726838, 1.0]], ['2, k, 2', [-0.311494, 0.370517, 1.0]], ['2, k, 3', [-0.309585, 0.510886, 1.0]], ['2, k, 4', [-0.515038, 0.282785, 1.0]], ['2, k, 5', [-0.649132, 0.090232, 1.0]], ['2, k, 6', [-0.575927, -0.158269, 1.0]], ['2, k, 7', [-0.555976, -0.204211, 1.0]], ['2, k, 8', [-0.130748, 0.286405, 1.0]], ['2, k, 9', [-0.021323, 0.0897194, 1.0]], ['2, k, 10', [-0.0716756, -0.14863, 1.0]], ['2, k, 11', [-0.114154, -0.197516, 1.0]], ['2, k, 12', [-0.430351, -0.230581, 1.0]], ['2, k, 13', [-0.449361, -0.669936, 1.0]], ['2, k, 14', [-0.47612, -1.03021, 1.0]], ['2, k, 15', [-0.486403, -1.09169, 1.0]], ['2, k, 16', [-0.255033, -0.229065, 1.0]], ['2, k, 17', [-0.261366, -0.67445, 1.0]], ['2, k, 18', [-0.266747, -1.03407, 1.0]], ['2, k, 19', [-0.247377, -1.08345, 1.0]], ['2, k, 20', [-0.316474, 0.297227, 1.0]], ['2, k, 21', [-0.535285, -0.296943, 1.0]], ['2, k, 22', [-0.519331, -0.207005, 1.0]], ['2, k, 23', [-0.151022, -0.242377, 1.0]], ['2, k, 24', [-0.132221, -0.174178, 1.0]]]
[['2, k, 0', [-0.347598, -0.233031, 1.0]], ['2, k, 1', [-0.330292, 0.0727058, 1.0]], ['2, k, 2', [-0.311461, 0.370506, 1.0]], ['2, k, 3', [-0.309576, 0.510892, 1.0]], ['2, k, 4', [-0.514957, 0.282776, 1.0]], ['2, k, 5', [-0.649173, 0.0899492, 1.0]], ['2, k, 6', [-0.5757, -0.158224, 1.0]], ['2, k, 7', [-0.556678, -0.204643, 1.0]], ['2, k, 8', [-0.130739, 0.286375, 1.0]], ['2, k, 9', [-0.0213271, 0.0897501, 1.0]], ['2, k, 10', [-0.071484, -0.148683, 1.0]], ['2, k, 11', [-0.113607, -0.196879, 1.0]], ['2, k, 12', [-0.430357, -0.230505, 1.0]], ['2, k, 13', [-0.449486, -0.66984, 1.0]], ['2, k, 14', [-0.476121, -1.03007, 1.0]], ['2, k, 15', [-0.487298, -1.0866, 1.0]], ['2, k, 16', [-0.255039, -0.229016, 1.0]], ['2, k, 17', [-0.261145, -0.674171, 1.0]], ['2, k, 18', [-0.266741, -1.03386, 1.0]], ['2, k, 19', [-0.246994, -1.0831, 1.0]], ['2, k, 20', [-0.316449, 0.297226, 1.0]], ['2, k, 21', [-0.536844, -0.297233, 1.0]], ['2, k, 22', [-0.522565, -0.214018, 1.0]], ['2, k, 23', [-0.150913, -0.2422, 1.0]], ['2, k, 24', [-0.1322, -0.173931, 1.0]]]
[['2, k, 0', [-0.347766, -0.233831, 1.0]], ['2, k, 1', [-0.330343, 0.0724747, 1.0]], ['2, k, 2', [-0.311465, 0.3705, 1.0]], ['2, k, 3', [-0.309525, 0.510942, 1.0]], ['2, k, 4', [-0.514917, 0.28278, 1.0]], ['2, k, 5', [-0.64956, 0.0897477, 1.0]], ['2, k, 6', [-0.575393, -0.15817, 1.0]], ['2, k, 7', [-0.556731, -0.207371, 1.0]], ['2, k, 8', [-0.130735, 0.286324, 1.0]], ['2, k, 9', [-0.0213195, 0.0897583, 1.0]], ['2, k, 10', [-0.0714758, -0.148758, 1.0]], ['2, k, 11', [-0.113955, -0.197029, 1.0]], ['2, k, 12', [-0.430519, -0.231256, 1.0]], ['2, k, 13', [-0.449517, -0.669951, 1.0]], ['2, k, 14', [-0.475856, -1.0303, 1.0]], ['2, k, 15', [-0.488593, -1.08504, 1.0]], ['2, k, 16', [-0.255208, -0.229856, 1.0]], ['2, k, 17', [-0.262669, -0.697267, 1.0]], ['2, k, 18', [-0.266265, -1.0345, 1.0]], ['2, k, 19', [-0.245271, -1.08602, 1.0]], ['2, k, 20', [-0.316459, 0.297189, 1.0]], ['2, k, 21', [-0.537157, -0.297407, 1.0]], ['2, k, 22', [-0.517689, -0.286555, 1.0]], ['2, k, 23', [-0.151673, -0.242763, 1.0]], ['2, k, 24', [-0.132292, -0.174138, 1.0]]]
[['2, k, 0', [-0.347769, -0.233833, 1.0]], ['2, k, 1', [-0.33035, 0.0724716, 1.0]], ['2, k, 2', [-0.311478, 0.370498, 1.0]], ['2, k, 3', [-0.309504, 0.510943, 1.0]], ['2, k, 4', [-0.514751, 0.282746, 1.0]], ['2, k, 5', [-0.649581, 0.0897066, 1.0]], ['2, k, 6', [-0.575385, -0.15816, 1.0]], ['2, k, 7', [-0.557333, -0.203242, 1.0]], ['2, k, 8', [-0.130704, 0.286316, 1.0]], ['2, k, 9', [-0.02123, 0.0899521, 1.0]], ['2, k, 10', [-0.0713677, -0.148651, 1.0]], ['2, k, 11', [-0.113665, -0.19639, 1.0]], ['2, k, 12', [-0.430521, -0.231258, 1.0]], ['2, k, 13', [-0.449454, -0.670186, 1.0]], ['2, k, 14', [-0.474325, -1.03161, 1.0]], ['2, k, 15', [-0.488495, -1.08447, 1.0]], ['2, k, 16', [-0.25521, -0.229856, 1.0]], ['2, k, 17', [-0.262064, -0.687123, 1.0]], ['2, k, 18', [-0.265842, -1.03457, 1.0]], ['2, k, 19', [-0.244668, -1.08618, 1.0]], ['2, k, 20', [-0.31647, 0.297187, 1.0]], ['2, k, 21', [-0.534598, -0.29544, 1.0]], ['2, k, 22', [-0.535575, -0.212911, 1.0]], ['2, k, 23', [-0.150905, -0.242174, 1.0]], ['2, k, 24', [-0.131804, -0.173213, 1.0]]]
[['2, k, 0', [-0.347732, -0.233781, 1.0]], ['2, k, 1', [-0.330313, 0.0724796, 1.0]], ['2, k, 2', [-0.311363, 0.370486, 1.0]], ['2, k, 3', [-0.30947, 0.51094, 1.0]], ['2, k, 4', [-0.514741, 0.282767, 1.0]], ['2, k, 5', [-0.649279, 0.089637, 1.0]], ['2, k, 6', [-0.574869, -0.164025, 1.0]], ['2, k, 7', [-0.557721, -0.213199, 1.0]], ['2, k, 8', [-0.130663, 0.286313, 1.0]], ['2, k, 9', [-0.0212149, 0.0899548, 1.0]], ['2, k, 10', [-0.0713739, -0.148713, 1.0]], ['2, k, 11', [-0.111896, -0.198776, 1.0]], ['2, k, 12', [-0.430482, -0.231198, 1.0]], ['2, k, 13', [-0.4495, -0.670117, 1.0]], ['2, k, 14', [-0.47355, -1.03086, 1.0]], ['2, k, 15', [-0.488192, -1.08276, 1.0]], ['2, k, 16', [-0.255174, -0.229811, 1.0]], ['2, k, 17', [-0.261575, -0.683144, 1.0]], ['2, k, 18', [-0.264803, -1.03465, 1.0]], ['2, k, 19', [-0.244484, -1.08603, 1.0]], ['2, k, 20', [-0.316382, 0.297181, 1.0]], ['2, k, 21', [-0.544925, -0.303636, 1.0]], ['2, k, 22', [-0.529603, -0.22068, 1.0]], ['2, k, 23', [-0.14559, -0.241196, 1.0]], ['2, k, 24', [-0.131994, -0.174157, 1.0]]]
[['2, k, 0', [-0.347501, -0.234088, 1.0]], ['2, k, 1', [-0.330224, 0.0723547, 1.0]], ['2, k, 2', [-0.311352, 0.370474, 1.0]], ['2, k, 3', [-0.309439, 0.510962, 1.0]], ['2, k, 4', [-0.514689, 0.28278, 1.0]], ['2, k, 5', [-0.649299, 0.0895574, 1.0]], ['2, k, 6', [-0.576575, -0.163135, 1.0]], ['2, k, 7', [-0.555014, -0.212956, 1.0]], ['2, k, 8', [-0.130542, 0.286211, 1.0]], ['2, k, 9', [-0.0211847, 0.0899776, 1.0]], ['2, k, 10', [-0.0713723, -0.148701, 1.0]], ['2, k, 11', [-0.112372, -0.198424, 1.0]], ['2, k, 12', [-0.430261, -0.231452, 1.0]], ['2, k, 13', [-0.449518, -0.670108, 1.0]], ['2, k, 14', [-0.473486, -1.03096, 1.0]], ['2, k, 15', [-0.488697, -1.08264, 1.0]], ['2, k, 16', [-0.254937, -0.230162, 1.0]], ['2, k, 17', [-0.261026, -0.679665, 1.0]], ['2, k, 18', [-0.264999, -1.03443, 1.0]], ['2, k, 19', [-0.244623, -1.08533, 1.0]], ['2, k, 20', [-0.316358, 0.29715, 1.0]], ['2, k, 21', [-0.535128, -0.30198, 1.0]], ['2, k, 22', [-0.519436, -0.287432, 1.0]], ['2, k, 23', [-0.147679, -0.24083, 1.0]], ['2, k, 24', [-0.132028, -0.174251, 1.0]]]
[['2, k, 0', [-0.347243, -0.234271, 1.0]], ['2, k, 1', [-0.330087, 0.0722738, 1.0]], ['2, k, 2', [-0.311302, 0.370469, 1.0]], ['2, k, 3', [-0.309345, 0.511047, 1.0]], ['2, k, 4', [-0.514667, 0.282726, 1.0]], ['2, k, 5', [-0.648717, 0.0892224, 1.0]], ['2, k, 6', [-0.576261, -0.162564, 1.0]], ['2, k, 7', [-0.554376, -0.210455, 1.0]], ['2, k, 8', [-0.130398, 0.286095, 1.0]], ['2, k, 9', [-0.0210894, 0.0901847, 1.0]], ['2, k, 10', [-0.0712916, -0.148471, 1.0]], ['2, k, 11', [-0.111899, -0.198604, 1.0]], ['2, k, 12', [-0.430002, -0.231623, 1.0]], ['2, k, 13', [-0.449508, -0.669807, 1.0]], ['2, k, 14', [-0.473396, -1.03078, 1.0]], ['2, k, 15', [-0.489421, -1.08191, 1.0]], ['2, k, 16', [-0.254688, -0.230349, 1.0]], ['2, k, 17', [-0.261102, -0.678894, 1.0]], ['2, k, 18', [-0.265622, -1.03461, 1.0]], ['2, k, 19', [-0.245034, -1.08445, 1.0]], ['2, k, 20', [-0.31629, 0.297131, 1.0]], ['2, k, 21', [-0.530039, -0.302575, 1.0]], ['2, k, 22', [-0.516051, -0.21295, 1.0]], ['2, k, 23', [-0.147839, -0.241084, 1.0]], ['2, k, 24', [-0.132238, -0.174253, 1.0]]]
[['2, k, 0', [-0.347276, -0.234199, 1.0]], ['2, k, 1', [-0.330024, 0.0722399, 1.0]], ['2, k, 2', [-0.31089, 0.370146, 1.0]], ['2, k, 3', [-0.309291, 0.511091, 1.0]], ['2, k, 4', [-0.514427, 0.28277, 1.0]], ['2, k, 5', [-0.648181, 0.0889786, 1.0]], ['2, k, 6', [-0.5767, -0.16174, 1.0]], ['2, k, 7', [-0.554751, -0.21345, 1.0]], ['2, k, 8', [-0.130232, 0.285964, 1.0]], ['2, k, 9', [-0.0211071, 0.0901297, 1.0]], ['2, k, 10', [-0.0712605, -0.148515, 1.0]], ['2, k, 11', [-0.112323, -0.199397, 1.0]], ['2, k, 12', [-0.430039, -0.231512, 1.0]], ['2, k, 13', [-0.449512, -0.669858, 1.0]], ['2, k, 14', [-0.473239, -1.03087, 1.0]], ['2, k, 15', [-0.489426, -1.08191, 1.0]], ['2, k, 16', [-0.254715, -0.230307, 1.0]], ['2, k, 17', [-0.261139, -0.677968, 1.0]], ['2, k, 18', [-0.26598, -1.03476, 1.0]], ['2, k, 19', [-0.244888, -1.08412, 1.0]], ['2, k, 20', [-0.315991, 0.296902, 1.0]], ['2, k, 21', [-0.537071, -0.303684, 1.0]], ['2, k, 22', [-0.517922, -0.293615, 1.0]], ['2, k, 23', [-0.145674, -0.241353, 1.0]], ['2, k, 24', [-0.131149, -0.17411, 1.0]]]
[['2, k, 0', [-0.346864, -0.234383, 1.0]], ['2, k, 1', [-0.329787, 0.0721037, 1.0]], ['2, k, 2', [-0.310816, 0.370095, 1.0]], ['2, k, 3', [-0.309155, 0.511193, 1.0]], ['2, k, 4', [-0.514287, 0.282788, 1.0]], ['2, k, 5', [-0.647724, 0.0887517, 1.0]], ['2, k, 6', [-0.59711, -0.153622, 1.0]], ['2, k, 7', [-0.557203, -0.217923, 1.0]], ['2, k, 8', [-0.130076, 0.285848, 1.0]], ['2, k, 9', [-0.0211303, 0.0901058, 1.0]], ['2, k, 10', [-0.0711159, -0.148587, 1.0]], ['2, k, 11', [-0.113412, -0.1972, 1.0]], ['2, k, 12', [-0.429563, -0.231291, 1.0]], ['2, k, 13', [-0.449535, -0.669913, 1.0]], ['2, k, 14', [-0.473291, -1.03087, 1.0]], ['2, k, 15', [-0.490258, -1.08226, 1.0]], ['2, k, 16', [-0.254194, -0.231145, 1.0]], ['2, k, 17', [-0.261014, -0.677274, 1.0]], ['2, k, 18', [-0.265263, -1.03498, 1.0]], ['2, k, 19', [-0.244923, -1.08401, 1.0]], ['2, k, 20', [-0.315877, 0.296826, 1.0]], ['2, k, 21', [-0.534702, -0.311318, 1.0]], ['2, k, 22', [-0.519699, -0.29399, 1.0]], ['2, k, 23', [-0.150852, -0.242077, 1.0]], ['2, k, 24', [-0.132154, -0.173967, 1.0]]]
[['2, k, 0', [-0.347016, -0.234381, 1.0]], ['2, k, 1', [-0.329812, 0.072098, 1.0]], ['2, k, 2', [-0.310773, 0.370126, 1.0]], ['2, k, 3', [-0.309059, 0.511254, 1.0]], ['2, k, 4', [-0.514487, 0.28276, 1.0]], ['2, k, 5', [-0.647374, 0.0886265, 1.0]], ['2, k, 6', [-0.596928, -0.153734, 1.0]], ['2, k, 7', [-0.555819, -0.224033, 1.0]], ['2, k, 8', [-0.130008, 0.285794, 1.0]], ['2, k, 9', [-0.0211186, 0.0902022, 1.0]], ['2, k, 10', [-0.0710207, -0.148481, 1.0]], ['2, k, 11', [-0.115504, -0.200629, 1.0]], ['2, k, 12', [-0.429719, -0.230573, 1.0]], ['2, k, 13', [-0.449734, -0.670781, 1.0]], ['2, k, 14', [-0.473016, -1.03125, 1.0]], ['2, k, 15', [-0.490067, -1.08238, 1.0]], ['2, k, 16', [-0.254525, -0.231988, 1.0]], ['2, k, 17', [-0.261049, -0.691592, 1.0]], ['2, k, 18', [-0.264921, -1.03714, 1.0]], ['2, k, 19', [-0.243865, -1.08623, 1.0]], ['2, k, 20', [-0.315846, 0.296845, 1.0]], ['2, k, 21', [-0.531226, -0.316103, 1.0]], ['2, k, 22', [-0.517844, -0.298326, 1.0]], ['2, k, 23', [-0.154889, -0.24519, 1.0]], ['2, k, 24', [-0.132222, -0.174356, 1.0]]]
