[['2, k, 0', [-0.262287, -0.624473, 1.0]], ['2, k, 1', [-0.260058, -0.32867, 1.0]], ['2, k, 2', [-0.256553, -0.0379651, 1.0]], ['2, k, 3', [-0.230471, 0.0548331, 1.0]], ['2, k, 4', [-0.397186, -0.119903, 1.0]], ['2, k, 5', [-0.529855, -0.0802829, 1.0]], ['2, k, 6', [-0.560294, 0.0237977, 1.0]], ['2, k, 7', [-0.545826, 0.11749, 1.0]], ['2, k, 8', [-0.0976254, -0.108023, 1.0]], ['2, k, 9', [0.0721074, -0.0710552, 1.0]], ['2, k, 10', [0.147963, 0.0298084, 1.0]], ['2, k, 11', [0.17715, 0.122789, 1.0]], ['2, k, 12', [-0.327105, -0.619049, 1.0]], ['2, k, 13', [-0.347879, -0.928473, 1.0]], ['2, k, 14', [-0.373488, -1.38032, 1.0]], ['2, k, 15', [-0.368161, -1.40111, 1.0]], ['2, k, 16', [-0.19067, -0.613738, 1.0]], ['2, k, 17', [-0.103026, -0.950623, 1.0]], ['2, k, 18', [-0.0671854, -1.38619, 1.0]], ['2, k, 19', [-0.0598017, -1.40509, 1.0]], ['2, k, 20', [-0.257658, -0.109977, 1.0]], ['2, k, 21', [-0.523728, 0.149924, 1.0]], ['2, k, 22', [-0.576324, 0.136633, 1.0]], ['2, k, 23', [0.168281, 0.143402, 1.0]], ['2, k, 24', [0.216166, 0.139571, 1.0]]]
[['2, k, 0', [-0.24113, -0.59349, 1.0]], ['2, k, 1', [-0.253947, -0.320814, 1.0]], ['2, k, 2', [-0.256133, -0.0379678, 1.0]], ['2, k, 3', [-0.231784, 0.0949893, 1.0]], ['2, k, 4', [-0.397107, -0.119671, 1.0]], ['2, k, 5', [-0.521266, -0.0912991, 1.0]], ['2, k, 6', [-0.550808, -0.0325763, 1.0]], ['2, k, 7', [-0.540259, 0.0468763, 1.0]], ['2, k, 8', [-0.0976285, -0.107219, 1.0]], ['2, k, 9', [0.0594617, -0.0965441, 1.0]], ['2, k, 10', [0.145337, -0.027844, 1.0]], ['2, k, 11', [0.177477, 0.0514331, 1.0]], ['2, k, 12', [-0.306699, -0.590096, 1.0]], ['2, k, 13', [-0.347747, -0.927988, 1.0]], ['2, k, 14', [-0.374116, -1.38106, 1.0]], ['2, k, 15', [-0.368583, -1.41129, 1.0]], ['2, k, 16', [-0.169437, -0.58182, 1.0]], ['2, k, 17', [-0.103029, -0.950301, 1.0]], ['2, k, 18', [-0.0672444, -1.38626, 1.0]], ['2, k, 19', [-0.0582759, -1.41418, 1.0]], ['2, k, 20', [-0.256707, -0.109321, 1.0]], ['2, k, 21', [-0.522609, 0.0764614, 1.0]], ['2, k, 22', [-0.575083, 0.0648089, 1.0]], ['2, k, 23', [0.141011, 0.0537688, 1.0]], ['2, k, 24', [0.220693, 0.0674926, 1.0]]]
[['2, k, 0', [-0.229291, -0.644618, 1.0]], ['2, k, 1', [-0.242522, -0.367355, 1.0]], ['2, k, 2', [-0.254276, -0.0945897, 1.0]], ['2, k, 3', [-0.238516, 0.0489378, 1.0]], ['2, k, 4', [-0.393624, -0.133331, 1.0]], ['2, k, 5', [-0.519647, -0.120555, 1.0]], ['2, k, 6', [-0.545841, -0.0861659, 1.0]], ['2, k, 7', [-0.531129, -0.0248903, 1.0]], ['2, k, 8', [-0.0888457, -0.131726, 1.0]], ['2, k, 9', [0.0273429, -0.106702, 1.0]], ['2, k, 10', [0.114531, -0.0745601, 1.0]], ['2, k, 11', [0.180359, -0.0231475, 1.0]], ['2, k, 12', [-0.294374, -0.636773, 1.0]], ['2, k, 13', [-0.354776, -1.00925, 1.0]], ['2, k, 14', [-0.38167, -1.4299, 1.0]], ['2, k, 15', [-0.360852, -1.48778, 1.0]], ['2, k, 16', [-0.158388, -0.636097, 1.0]], ['2, k, 17', [-0.105298, -1.03289, 1.0]], ['2, k, 18', [-0.0655876, -1.3931, 1.0]], ['2, k, 19', [-0.0514244, -1.42234, 1.0]], ['2, k, 20', [-0.251591, -0.162219, 1.0]], ['2, k, 21', [-0.508813, -0.00238366, 1.0]], ['2, k, 22', [-0.579524, -0.0171668, 1.0]], ['2, k, 23', [0.161315, -0.0281115, 1.0]], ['2, k, 24', [0.224791, -0.0172465, 1.0]]]
[['2, k, 0', [-0.229472, -0.649693, 1.0]], ['2, k, 1', [-0.241243, -0.352044, 1.0]], ['2, k, 2', [-0.249887, -0.0292085, 1.0]], ['2, k, 3', [-0.236487, 0.080257, 1.0]], ['2, k, 4', [-0.377825, -0.160182, 1.0]], ['2, k, 5', [-0.516938, -0.183171, 1.0]], ['2, k, 6', [-0.514967, -0.138696, 1.0]], ['2, k, 7', [-0.525351, -0.0979086, 1.0]], ['2, k, 8', [-0.10041, -0.06916, 1.0]], ['2, k, 9', [-0.00855382, -0.0829496, 1.0]], ['2, k, 10', [0.104006, -0.100228, 1.0]], ['2, k, 11', [0.185603, -0.10764, 1.0]], ['2, k, 12', [-0.291465, -0.664538, 1.0]], ['2, k, 13', [-0.354697, -1.01308, 1.0]], ['2, k, 14', [-0.378058, -1.41368, 1.0]], ['2, k, 15', [-0.369153, -1.44891, 1.0]], ['2, k, 16', [-0.159151, -0.635301, 1.0]], ['2, k, 17', [-0.105042, -1.03471, 1.0]], ['2, k, 18', [-0.0655254, -1.38723, 1.0]], ['2, k, 19', [-0.0495653, -1.41664, 1.0]], ['2, k, 20', [-0.247723, -0.106625, 1.0]], ['2, k, 21', [-0.464449, -0.0919937, 1.0]], ['2, k, 22', [-0.566396, -0.0893824, 1.0]], ['2, k, 23', [0.209107, -0.13266, 1.0]], ['2, k, 24', [0.229118, -0.0986733, 1.0]]]
[['2, k, 0', [-0.230235, -0.628622, 1.0]], ['2, k, 1', [-0.240344, -0.334079, 1.0]], ['2, k, 2', [-0.24969, -0.0295727, 1.0]], ['2, k, 3', [-0.236232, 0.0996653, 1.0]], ['2, k, 4', [-0.393446, -0.092572, 1.0]], ['2, k, 5', [-0.515397, -0.159417, 1.0]], ['2, k, 6', [-0.511951, -0.170855, 1.0]], ['2, k, 7', [-0.525068, -0.175903, 1.0]], ['2, k, 8', [-0.0928767, -0.0858997, 1.0]], ['2, k, 9', [0.0175074, -0.146939, 1.0]], ['2, k, 10', [0.0987675, -0.172896, 1.0]], ['2, k, 11', [0.180861, -0.194202, 1.0]], ['2, k, 12', [-0.295871, -0.607701, 1.0]], ['2, k, 13', [-0.354931, -1.01315, 1.0]], ['2, k, 14', [-0.377848, -1.41354, 1.0]], ['2, k, 15', [-0.37088, -1.44954, 1.0]], ['2, k, 16', [-0.159253, -0.622012, 1.0]], ['2, k, 17', [-0.105391, -1.03434, 1.0]], ['2, k, 18', [-0.0652367, -1.38773, 1.0]], ['2, k, 19', [-0.0509349, -1.41834, 1.0]], ['2, k, 20', [-0.247649, -0.106536, 1.0]], ['2, k, 21', [-0.558734, -0.177942, 1.0]], ['2, k, 22', [-0.580543, -0.177593, 1.0]], ['2, k, 23', [0.202654, -0.222983, 1.0]], ['2, k, 24', [0.102642, -0.191122, 1.0]]]
[['2, k, 0', [-0.230403, -0.625531, 1.0]], ['2, k, 1', [-0.240663, -0.330549, 1.0]], ['2, k, 2', [-0.249758, -0.0296429, 1.0]], ['2, k, 3', [-0.235425, 0.0998734, 1.0]], ['2, k, 4', [-0.396861, -0.096583, 1.0]], ['2, k, 5', [-0.513619, -0.188082, 1.0]], ['2, k, 6', [-0.518627, -0.221682, 1.0]], ['2, k, 7', [-0.527226, -0.255664, 1.0]], ['2, k, 8', [-0.0909617, -0.0980266, 1.0]], ['2, k, 9', [0.0496841, -0.218258, 1.0]], ['2, k, 10', [0.120704, -0.254392, 1.0]], ['2, k, 11', [0.188488, -0.278404, 1.0]], ['2, k, 12', [-0.295917, -0.607641, 1.0]], ['2, k, 13', [-0.355072, -1.01091, 1.0]], ['2, k, 14', [-0.377214, -1.41223, 1.0]], ['2, k, 15', [-0.366766, -1.48064, 1.0]], ['2, k, 16', [-0.159323, -0.618769, 1.0]], ['2, k, 17', [-0.105326, -1.03348, 1.0]], ['2, k, 18', [-0.0652736, -1.38765, 1.0]], ['2, k, 19', [-0.050167, -1.41883, 1.0]], ['2, k, 20', [-0.247752, -0.106212, 1.0]], ['2, k, 21', [-0.530082, -0.256071, 1.0]], ['2, k, 22', [-0.579975, -0.261817, 1.0]], ['2, k, 23', [0.204272, -0.306753, 1.0]], ['2, k, 24', [0.107949, -0.278065, 1.0]]]
[['2, k, 0', [-0.231436, -0.629545, 1.0]], ['2, k, 1', [-0.240883, -0.33071, 1.0]], ['2, k, 2', [-0.249866, -0.0297002, 1.0]], ['2, k, 3', [-0.235309, 0.100707, 1.0]], ['2, k, 4', [-0.398871, -0.0999532, 1.0]], ['2, k, 5', [-0.512043, -0.215675, 1.0]], ['2, k, 6', [-0.528629, -0.293593, 1.0]], ['2, k, 7', [-0.528402, -0.333764, 1.0]], ['2, k, 8', [-0.0923551, -0.104897, 1.0]], ['2, k, 9', [0.0441345, -0.24006, 1.0]], ['2, k, 10', [0.11665, -0.310706, 1.0]], ['2, k, 11', [0.186265, -0.357028, 1.0]], ['2, k, 12', [-0.297451, -0.617047, 1.0]], ['2, k, 13', [-0.355178, -1.01032, 1.0]], ['2, k, 14', [-0.378082, -1.41424, 1.0]], ['2, k, 15', [-0.365597, -1.48344, 1.0]], ['2, k, 16', [-0.160187, -0.622796, 1.0]], ['2, k, 17', [-0.104514, -1.0314, 1.0]], ['2, k, 18', [-0.0630498, -1.39473, 1.0]], ['2, k, 19', [-0.047732, -1.42625, 1.0]], ['2, k, 20', [-0.247873, -0.106192, 1.0]], ['2, k, 21', [-0.541579, -0.335749, 1.0]], ['2, k, 22', [-0.561544, -0.314015, 1.0]], ['2, k, 23', [0.207427, -0.383514, 1.0]], ['2, k, 24', [0.110345, -0.351024, 1.0]]]
[['2, k, 0', [-0.231068, -0.630547, 1.0]], ['2, k, 1', [-0.240949, -0.330743, 1.0]], ['2, k, 2', [-0.250281, -0.0297979, 1.0]], ['2, k, 3', [-0.23512, 0.101445, 1.0]], ['2, k, 4', [-0.405702, -0.104942, 1.0]], ['2, k, 5', [-0.51202, -0.237251, 1.0]], ['2, k, 6', [-0.536585, -0.349668, 1.0]], ['2, k, 7', [-0.528091, -0.407809, 1.0]], ['2, k, 8', [-0.0880735, -0.115041, 1.0]], ['2, k, 9', [0.0508245, -0.285597, 1.0]], ['2, k, 10', [0.134994, -0.372067, 1.0]], ['2, k, 11', [0.184001, -0.429477, 1.0]], ['2, k, 12', [-0.296933, -0.618394, 1.0]], ['2, k, 13', [-0.355023, -1.00998, 1.0]], ['2, k, 14', [-0.377905, -1.41273, 1.0]], ['2, k, 15', [-0.36966, -1.45001, 1.0]], ['2, k, 16', [-0.159662, -0.624134, 1.0]], ['2, k, 17', [-0.103891, -1.02683, 1.0]], ['2, k, 18', [-0.0630079, -1.39473, 1.0]], ['2, k, 19', [-0.0473131, -1.42642, 1.0]], ['2, k, 20', [-0.24818, -0.106098, 1.0]], ['2, k, 21', [-0.524243, -0.411494, 1.0]], ['2, k, 22', [-0.561042, -0.384838, 1.0]], ['2, k, 23', [0.20545, -0.459204, 1.0]], ['2, k, 24', [0.121185, -0.428305, 1.0]]]
[['2, k, 0', [-0.230892, -0.629494, 1.0]], ['2, k, 1', [-0.24107, -0.330297, 1.0]], ['2, k, 2', [-0.250671, -0.0305104, 1.0]], ['2, k, 3', [-0.234949, 0.101936, 1.0]], ['2, k, 4', [-0.410789, -0.108228, 1.0]], ['2, k, 5', [-0.516876, -0.276664, 1.0]], ['2, k, 6', [-0.529161, -0.402419, 1.0]], ['2, k, 7', [-0.527969, -0.473614, 1.0]], ['2, k, 8', [-0.0858248, -0.117333, 1.0]], ['2, k, 9', [0.0483915, -0.298958, 1.0]], ['2, k, 10', [0.149791, -0.429278, 1.0]], ['2, k, 11', [0.179619, -0.493124, 1.0]], ['2, k, 12', [-0.296824, -0.617814, 1.0]], ['2, k, 13', [-0.355025, -1.0099, 1.0]], ['2, k, 14', [-0.377198, -1.40731, 1.0]], ['2, k, 15', [-0.368294, -1.44532, 1.0]], ['2, k, 16', [-0.159352, -0.623021, 1.0]], ['2, k, 17', [-0.103955, -1.02633, 1.0]], ['2, k, 18', [-0.0630037, -1.3947, 1.0]], ['2, k, 19', [-0.0466302, -1.4268, 1.0]], ['2, k, 20', [-0.248421, -0.106158, 1.0]], ['2, k, 21', [-0.527561, -0.484027, 1.0]], ['2, k, 22', [-0.578894, -0.470425, 1.0]], ['2, k, 23', [0.199682, -0.518623, 1.0]], ['2, k, 24', [0.114245, -0.49674, 1.0]]]
[['2, k, 0', [-0.231222, -0.628253, 1.0]], ['2, k, 1', [-0.24133, -0.329521, 1.0]], ['2, k, 2', [-0.250765, -0.0309271, 1.0]], ['2, k, 3', [-0.234362, 0.102202, 1.0]], ['2, k, 4', [-0.413587, -0.111709, 1.0]], ['2, k, 5', [-0.516574, -0.297587, 1.0]], ['2, k, 6', [-0.530475, -0.463954, 1.0]], ['2, k, 7', [-0.530168, -0.532765, 1.0]], ['2, k, 8', [-0.0843228, -0.121036, 1.0]], ['2, k, 9', [0.0428627, -0.318704, 1.0]], ['2, k, 10', [0.142111, -0.479151, 1.0]], ['2, k, 11', [0.168956, -0.547875, 1.0]], ['2, k, 12', [-0.297789, -0.617053, 1.0]], ['2, k, 13', [-0.355078, -1.00886, 1.0]], ['2, k, 14', [-0.376434, -1.41013, 1.0]], ['2, k, 15', [-0.367062, -1.4487, 1.0]], ['2, k, 16', [-0.158997, -0.621533, 1.0]], ['2, k, 17', [-0.103879, -1.02594, 1.0]], ['2, k, 18', [-0.0644167, -1.39756, 1.0]], ['2, k, 19', [-0.0478632, -1.43058, 1.0]], ['2, k, 20', [-0.248563, -0.106087, 1.0]], ['2, k, 21', [-0.525964, -0.551546, 1.0]], ['2, k, 22', [-0.578232, -0.526503, 1.0]], ['2, k, 23', [0.189589, -0.582434, 1.0]], ['2, k, 24', [0.0862015, -0.554204, 1.0]]]
[['2, k, 0', [-0.231449, -0.626484, 1.0]], ['2, k, 1', [-0.241925, -0.328437, 1.0]], ['2, k, 2', [-0.251542, -0.0314789, 1.0]], ['2, k, 3', [-0.233948, 0.102324, 1.0]], ['2, k, 4', [-0.413063, -0.11125, 1.0]], ['2, k, 5', [-0.509657, -0.322921, 1.0]], ['2, k, 6', [-0.533314, -0.510455, 1.0]], ['2, k, 7', [-0.532976, -0.588076, 1.0]], ['2, k, 8', [-0.0835441, -0.124135, 1.0]], ['2, k, 9', [0.0404972, -0.333211, 1.0]], ['2, k, 10', [0.140212, -0.525654, 1.0]], ['2, k, 11', [0.163697, -0.591612, 1.0]], ['2, k, 12', [-0.298595, -0.614681, 1.0]], ['2, k, 13', [-0.355171, -1.00737, 1.0]], ['2, k, 14', [-0.376075, -1.40273, 1.0]], ['2, k, 15', [-0.366612, -1.44141, 1.0]], ['2, k, 16', [-0.158657, -0.620574, 1.0]], ['2, k, 17', [-0.10295, -1.02692, 1.0]], ['2, k, 18', [-0.0639038, -1.39881, 1.0]], ['2, k, 19', [-0.0472535, -1.43231, 1.0]], ['2, k, 20', [-0.24931, -0.10598, 1.0]], ['2, k, 21', [-0.530429, -0.610737, 1.0]], ['2, k, 22', [-0.583318, -0.58399, 1.0]], ['2, k, 23', [0.183653, -0.637986, 1.0]], ['2, k, 24', [0.0762835, -0.603951, 1.0]]]
