[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [448.418, 231.043, 1.0]], ['2, k, 2', [416.055, 238.406, 1.0]], ['2, k, 3', [388.199, 239.898, 1.0]], ['2, k, 4', [369.105, 241.314, 1.0]], ['2, k, 5', [479.278, 226.687, 1.0]], ['2, k, 6', [504.247, 231.127, 1.0]], ['2, k, 7', [518.926, 239.905, 1.0]], ['2, k, 8', [452.796, 344.157, 1.0]], ['2, k, 9', [430.782, 344.155, 1.0]], ['2, k, 10', [438.14, 416.108, 1.0]], ['2, k, 11', [441.104, 474.79, 1.0]], ['2, k, 12', [474.827, 344.159, 1.0]], ['2, k, 13', [470.443, 416.057, 1.0]], ['2, k, 14', [468.983, 476.331, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.032, 507.156, 1.0]], ['2, k, 20', [476.358, 501.329, 1.0]], ['2, k, 21', [464.641, 479.272, 1.0]], ['2, k, 22', [438.124, 499.818, 1.0]], ['2, k, 23', [429.288, 496.851, 1.0]], ['2, k, 24', [448.408, 476.307, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [446.965, 231.044, 1.0]], ['2, k, 2', [414.644, 238.423, 1.0]], ['2, k, 3', [388.214, 239.877, 1.0]], ['2, k, 4', [369.084, 241.303, 1.0]], ['2, k, 5', [477.833, 226.68, 1.0]], ['2, k, 6', [502.768, 231.096, 1.0]], ['2, k, 7', [518.902, 239.902, 1.0]], ['2, k, 8', [452.775, 344.155, 1.0]], ['2, k, 9', [429.409, 344.156, 1.0]], ['2, k, 10', [438.146, 416.136, 1.0]], ['2, k, 11', [441.118, 474.785, 1.0]], ['2, k, 12', [474.806, 344.156, 1.0]], ['2, k, 13', [470.429, 416.091, 1.0]], ['2, k, 14', [469.005, 476.329, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.061, 507.166, 1.0]], ['2, k, 20', [476.366, 501.339, 1.0]], ['2, k, 21', [466.037, 477.836, 1.0]], ['2, k, 22', [438.139, 499.821, 1.0]], ['2, k, 23', [429.304, 496.853, 1.0]], ['2, k, 24', [448.416, 476.283, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [446.95, 229.631, 1.0]], ['2, k, 2', [414.645, 236.962, 1.0]], ['2, k, 3', [388.201, 239.843, 1.0]], ['2, k, 4', [369.079, 241.298, 1.0]], ['2, k, 5', [477.818, 226.616, 1.0]], ['2, k, 6', [502.759, 231.073, 1.0]], ['2, k, 7', [518.942, 239.896, 1.0]], ['2, k, 8', [452.802, 344.164, 1.0]], ['2, k, 9', [430.799, 344.169, 1.0]], ['2, k, 10', [438.14, 416.154, 1.0]], ['2, k, 11', [441.111, 474.781, 1.0]], ['2, k, 12', [474.828, 344.163, 1.0]], ['2, k, 13', [470.439, 416.065, 1.0]], ['2, k, 14', [469.001, 476.309, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [433.749, 203.156, 1.0]], ['2, k, 18', [461.64, 201.671, 1.0]], ['2, k, 19', [466.07, 507.155, 1.0]], ['2, k, 20', [476.375, 501.324, 1.0]], ['2, k, 21', [466.025, 477.81, 1.0]], ['2, k, 22', [438.138, 499.816, 1.0]], ['2, k, 23', [429.303, 496.85, 1.0]], ['2, k, 24', [448.405, 476.275, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [449.871, 229.607, 1.0]], ['2, k, 2', [416.158, 233.999, 1.0]], ['2, k, 3', [389.678, 239.872, 1.0]], ['2, k, 4', [369.118, 239.925, 1.0]], ['2, k, 5', [479.285, 226.651, 1.0]], ['2, k, 6', [502.8, 231.112, 1.0]], ['2, k, 7', [520.365, 239.901, 1.0]], ['2, k, 8', [452.803, 342.669, 1.0]], ['2, k, 9', [430.786, 342.656, 1.0]], ['2, k, 10', [438.158, 416.066, 1.0]], ['2, k, 11', [441.123, 474.797, 1.0]], ['2, k, 12', [474.846, 342.671, 1.0]], ['2, k, 13', [470.426, 413.188, 1.0]], ['2, k, 14', [469.019, 476.318, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.062, 507.153, 1.0]], ['2, k, 20', [476.368, 501.324, 1.0]], ['2, k, 21', [466.037, 477.846, 1.0]], ['2, k, 22', [438.129, 499.824, 1.0]], ['2, k, 23', [429.292, 496.854, 1.0]], ['2, k, 24', [448.423, 476.31, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [446.958, 229.654, 1.0]], ['2, k, 2', [414.614, 236.97, 1.0]], ['2, k, 3', [389.668, 239.86, 1.0]], ['2, k, 4', [369.106, 239.907, 1.0]], ['2, k, 5', [479.244, 226.656, 1.0]], ['2, k, 6', [504.256, 232.527, 1.0]], ['2, k, 7', [520.35, 239.905, 1.0]], ['2, k, 8', [452.803, 342.667, 1.0]], ['2, k, 9', [430.791, 342.66, 1.0]], ['2, k, 10', [438.141, 414.673, 1.0]], ['2, k, 11', [441.114, 473.417, 1.0]], ['2, k, 12', [474.842, 342.666, 1.0]], ['2, k, 13', [468.996, 411.725, 1.0]], ['2, k, 14', [469.009, 476.277, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.065, 507.146, 1.0]], ['2, k, 20', [476.374, 501.317, 1.0]], ['2, k, 21', [466.046, 477.789, 1.0]], ['2, k, 22', [438.142, 499.815, 1.0]], ['2, k, 23', [429.301, 496.848, 1.0]], ['2, k, 24', [448.404, 476.282, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [448.411, 229.61, 1.0]], ['2, k, 2', [416.064, 234.028, 1.0]], ['2, k, 3', [383.832, 239.845, 1.0]], ['2, k, 4', [364.686, 239.944, 1.0]], ['2, k, 5', [479.269, 226.618, 1.0]], ['2, k, 6', [504.252, 231.127, 1.0]], ['2, k, 7', [520.365, 239.92, 1.0]], ['2, k, 8', [452.798, 342.673, 1.0]], ['2, k, 9', [430.792, 341.219, 1.0]], ['2, k, 10', [438.132, 414.617, 1.0]], ['2, k, 11', [441.114, 474.794, 1.0]], ['2, k, 12', [474.84, 342.705, 1.0]], ['2, k, 13', [468.997, 408.803, 1.0]], ['2, k, 14', [468.978, 474.89, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.055, 505.719, 1.0]], ['2, k, 20', [476.369, 501.294, 1.0]], ['2, k, 21', [466.023, 476.396, 1.0]], ['2, k, 22', [438.124, 499.811, 1.0]], ['2, k, 23', [429.296, 496.847, 1.0]], ['2, k, 24', [448.399, 476.314, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [449.866, 229.573, 1.0]], ['2, k, 2', [416.116, 231.099, 1.0]], ['2, k, 3', [382.312, 238.441, 1.0]], ['2, k, 4', [358.904, 241.305, 1.0]], ['2, k, 5', [480.72, 226.617, 1.0]], ['2, k, 6', [504.256, 232.526, 1.0]], ['2, k, 7', [520.35, 239.934, 1.0]], ['2, k, 8', [452.792, 342.681, 1.0]], ['2, k, 9', [429.411, 341.235, 1.0]], ['2, k, 10', [438.116, 413.165, 1.0]], ['2, k, 11', [441.118, 474.782, 1.0]], ['2, k, 12', [474.839, 344.112, 1.0]], ['2, k, 13', [468.993, 408.778, 1.0]], ['2, k, 14', [469.011, 474.884, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.064, 505.712, 1.0]], ['2, k, 20', [476.371, 501.288, 1.0]], ['2, k, 21', [466.056, 476.378, 1.0]], ['2, k, 22', [438.124, 499.803, 1.0]], ['2, k, 23', [429.292, 495.448, 1.0]], ['2, k, 24', [448.408, 476.297, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [449.882, 229.563, 1.0]], ['2, k, 2', [416.109, 231.085, 1.0]], ['2, k, 3', [380.86, 239.812, 1.0]], ['2, k, 4', [358.818, 239.947, 1.0]], ['2, k, 5', [480.746, 226.611, 1.0]], ['2, k, 6', [504.23, 231.13, 1.0]], ['2, k, 7', [520.359, 239.937, 1.0]], ['2, k, 8', [452.787, 344.132, 1.0]], ['2, k, 9', [429.413, 344.113, 1.0]], ['2, k, 10', [438.12, 416.091, 1.0]], ['2, k, 11', [441.13, 474.798, 1.0]], ['2, k, 12', [474.826, 344.159, 1.0]], ['2, k, 13', [468.999, 416.082, 1.0]], ['2, k, 14', [469.009, 476.33, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.071, 507.144, 1.0]], ['2, k, 20', [476.376, 501.311, 1.0]], ['2, k, 21', [466.042, 479.249, 1.0]], ['2, k, 22', [438.132, 499.807, 1.0]], ['2, k, 23', [429.3, 496.836, 1.0]], ['2, k, 24', [448.427, 476.309, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [449.876, 229.553, 1.0]], ['2, k, 2', [416.11, 231.065, 1.0]], ['2, k, 3', [380.906, 239.815, 1.0]], ['2, k, 4', [358.812, 239.945, 1.0]], ['2, k, 5', [482.178, 226.621, 1.0]], ['2, k, 6', [505.713, 232.569, 1.0]], ['2, k, 7', [520.409, 241.295, 1.0]], ['2, k, 8', [452.771, 342.686, 1.0]], ['2, k, 9', [429.39, 342.666, 1.0]], ['2, k, 10', [438.116, 414.662, 1.0]], ['2, k, 11', [441.129, 474.795, 1.0]], ['2, k, 12', [474.824, 344.109, 1.0]], ['2, k, 13', [469.008, 414.659, 1.0]], ['2, k, 14', [469.014, 476.336, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.065, 507.156, 1.0]], ['2, k, 20', [476.374, 501.322, 1.0]], ['2, k, 21', [466.042, 479.263, 1.0]], ['2, k, 22', [438.133, 499.808, 1.0]], ['2, k, 23', [429.303, 496.839, 1.0]], ['2, k, 24', [448.422, 476.312, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [449.871, 229.557, 1.0]], ['2, k, 2', [416.107, 231.07, 1.0]], ['2, k, 3', [380.911, 239.807, 1.0]], ['2, k, 4', [358.812, 239.939, 1.0]], ['2, k, 5', [480.746, 226.617, 1.0]], ['2, k, 6', [504.248, 232.527, 1.0]], ['2, k, 7', [520.381, 239.944, 1.0]], ['2, k, 8', [451.408, 342.673, 1.0]], ['2, k, 9', [429.355, 342.656, 1.0]], ['2, k, 10', [438.106, 416.054, 1.0]], ['2, k, 11', [441.137, 474.805, 1.0]], ['2, k, 12', [474.797, 342.691, 1.0]], ['2, k, 13', [468.978, 414.645, 1.0]], ['2, k, 14', [469.012, 476.328, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [470.441, 201.715, 1.0]], ['2, k, 19', [466.07, 507.15, 1.0]], ['2, k, 20', [476.378, 501.313, 1.0]], ['2, k, 21', [466.049, 479.249, 1.0]], ['2, k, 22', [438.116, 499.814, 1.0]], ['2, k, 23', [429.288, 496.845, 1.0]], ['2, k, 24', [448.439, 476.316, 1.0]]]
[['2, k, 0', [0.0, 0.0, 1.0]], ['2, k, 1', [449.899, 229.566, 1.0]], ['2, k, 2', [416.13, 231.075, 1.0]], ['2, k, 3', [382.324, 238.442, 1.0]], ['2, k, 4', [358.802, 241.284, 1.0]], ['2, k, 5', [482.182, 226.627, 1.0]], ['2, k, 6', [504.221, 231.119, 1.0]], ['2, k, 7', [518.933, 239.912, 1.0]], ['2, k, 8', [451.387, 341.219, 1.0]], ['2, k, 9', [429.338, 341.196, 1.0]], ['2, k, 10', [438.099, 416.048, 1.0]], ['2, k, 11', [441.132, 474.798, 1.0]], ['2, k, 12', [474.776, 341.235, 1.0]], ['2, k, 13', [468.973, 411.717, 1.0]], ['2, k, 14', [469.001, 476.293, 1.0]], ['2, k, 15', [0.0, 0.0, 1.0]], ['2, k, 16', [0.0, 0.0, 1.0]], ['2, k, 17', [0.0, 0.0, 1.0]], ['2, k, 18', [0.0, 0.0, 1.0]], ['2, k, 19', [466.068, 507.156, 1.0]], ['2, k, 20', [476.372, 501.317, 1.0]], ['2, k, 21', [466.044, 477.809, 1.0]], ['2, k, 22', [438.124, 499.812, 1.0]], ['2, k, 23', [429.293, 496.843, 1.0]], ['2, k, 24', [448.426, 476.312, 1.0]]]
