[[0, 0, 0, 0, 1.0], [1, 385.304, 228.18, 0.809057, 1.0], [2, 345.677, 229.569, 0.780214, 1.0], [3, 291.296, 254.591, 0.676043, 1.0], [4, 234.004, 286.866, 0.822077, 1.0], [5, 429.343, 228.075, 0.712152, 1.0], [6, 452.856, 256.057, 0.793774, 1.0], [7, 451.398, 285.396, 0.861318, 1.0], [8, 395.539, 355.868, 0.664862, 1.0], [9, 370.565, 357.329, 0.656266, 1.0], [10, 380.797, 446.955, 0.76489, 1.0], [11, 391.099, 518.912, 0.746634, 1.0], [12, 423.437, 352.978, 0.615905, 1.0], [13, 436.682, 441.075, 0.76154, 1.0], [14, 448.433, 514.513, 0.746297, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 446.96, 524.875, 0.408334, 1.0], [20, 455.785, 524.818, 0.475123, 1.0], [21, 441.149, 520.381, 0.596501, 1.0], [22, 380.87, 536.564, 0.368722, 1.0], [23, 372.054, 526.285, 0.425838, 1.0], [24, 395.551, 523.276, 0.610345, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 385.299, 229.541, 0.819903, 1.0], [2, 345.646, 229.62, 0.784815, 1.0], [3, 289.831, 257.519, 0.674455, 1.0], [4, 236.941, 288.366, 0.820858, 1.0], [5, 429.322, 228.088, 0.728881, 1.0], [6, 452.869, 261.888, 0.823133, 1.0], [7, 451.374, 288.297, 0.896756, 1.0], [8, 395.591, 357.341, 0.672662, 1.0], [9, 370.599, 357.372, 0.671248, 1.0], [10, 380.815, 449.876, 0.791885, 1.0], [11, 391.104, 518.939, 0.756203, 1.0], [12, 424.918, 355.907, 0.636618, 1.0], [13, 438.093, 442.525, 0.755646, 1.0], [14, 448.442, 514.543, 0.748674, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 446.955, 526.255, 0.417092, 1.0], [20, 455.774, 524.827, 0.483522, 1.0], [21, 442.529, 520.388, 0.591706, 1.0], [22, 380.877, 536.565, 0.366669, 1.0], [23, 372.057, 526.29, 0.422372, 1.0], [24, 395.549, 523.291, 0.617902, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 386.751, 229.606, 0.826484, 1.0], [2, 345.645, 229.666, 0.769921, 1.0], [3, 288.374, 261.888, 0.706148, 1.0], [4, 236.944, 294.235, 0.784372, 1.0], [5, 429.343, 228.146, 0.758168, 1.0], [6, 452.887, 263.337, 0.838382, 1.0], [7, 451.377, 291.294, 0.84229, 1.0], [8, 397.035, 357.398, 0.674791, 1.0], [9, 370.639, 358.822, 0.669489, 1.0], [10, 380.814, 449.875, 0.785429, 1.0], [11, 391.1, 518.929, 0.753873, 1.0], [12, 426.394, 357.355, 0.660939, 1.0], [13, 438.107, 442.537, 0.758331, 1.0], [14, 449.83, 515.987, 0.746401, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 445.484, 526.255, 0.415498, 1.0], [20, 454.343, 524.846, 0.474119, 1.0], [21, 442.541, 520.404, 0.571959, 1.0], [22, 380.872, 536.564, 0.375469, 1.0], [23, 372.053, 526.275, 0.436127, 1.0], [24, 395.547, 523.286, 0.619167, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 388.191, 229.616, 0.821275, 1.0], [2, 347.045, 229.666, 0.763824, 1.0], [3, 297.142, 261.895, 0.72475, 1.0], [4, 239.874, 295.692, 0.792326, 1.0], [5, 429.345, 228.164, 0.76739, 1.0], [6, 454.272, 263.435, 0.855659, 1.0], [7, 451.375, 297.119, 0.868995, 1.0], [8, 398.475, 357.387, 0.678302, 1.0], [9, 372.056, 358.802, 0.676779, 1.0], [10, 380.79, 449.871, 0.782472, 1.0], [11, 391.092, 518.938, 0.75629, 1.0], [12, 426.402, 357.344, 0.666878, 1.0], [13, 438.135, 442.526, 0.759039, 1.0], [14, 448.449, 515.988, 0.742533, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 445.478, 526.259, 0.406886, 1.0], [20, 455.748, 524.853, 0.463991, 1.0], [21, 442.533, 521.79, 0.568242, 1.0], [22, 380.87, 536.565, 0.367869, 1.0], [23, 372.048, 526.288, 0.423587, 1.0], [24, 395.544, 523.29, 0.631314, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 389.697, 229.635, 0.825772, 1.0], [2, 347.048, 231.067, 0.747419, 1.0], [3, 294.235, 263.412, 0.723788, 1.0], [4, 241.305, 298.627, 0.841486, 1.0], [5, 430.791, 228.194, 0.770505, 1.0], [6, 454.297, 264.863, 0.846469, 1.0], [7, 451.389, 298.657, 0.912362, 1.0], [8, 398.484, 358.809, 0.67744, 1.0], [9, 372.057, 358.842, 0.675757, 1.0], [10, 380.789, 449.883, 0.783639, 1.0], [11, 391.104, 518.921, 0.762335, 1.0], [12, 426.4, 357.366, 0.664007, 1.0], [13, 438.137, 442.542, 0.753704, 1.0], [14, 448.436, 514.544, 0.742582, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 445.502, 524.88, 0.402774, 1.0], [20, 455.763, 524.838, 0.466236, 1.0], [21, 441.154, 520.404, 0.580839, 1.0], [22, 380.878, 536.563, 0.373172, 1.0], [23, 372.057, 526.272, 0.434861, 1.0], [24, 395.553, 523.273, 0.641841, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 391.122, 229.68, 0.820873, 1.0], [2, 347.068, 231.111, 0.744295, 1.0], [3, 295.689, 264.809, 0.723639, 1.0], [4, 241.293, 301.597, 0.816486, 1.0], [5, 430.853, 229.573, 0.775029, 1.0], [6, 454.315, 266.374, 0.81684, 1.0], [7, 451.411, 300.133, 0.91513, 1.0], [8, 398.501, 357.403, 0.686113, 1.0], [9, 372.079, 358.823, 0.679861, 1.0], [10, 380.782, 448.437, 0.764191, 1.0], [11, 391.111, 520.355, 0.770502, 1.0], [12, 426.419, 357.345, 0.665744, 1.0], [13, 438.145, 441.119, 0.77819, 1.0], [14, 448.433, 513.084, 0.760563, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 446.958, 524.8, 0.458822, 1.0], [20, 455.767, 523.408, 0.518969, 1.0], [21, 442.538, 520.343, 0.594222, 1.0], [22, 380.865, 536.566, 0.34422, 1.0], [23, 372.052, 526.308, 0.393584, 1.0], [24, 395.563, 523.301, 0.635633, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 391.137, 231.062, 0.817618, 1.0], [2, 347.08, 232.551, 0.737129, 1.0], [3, 297.146, 264.872, 0.733253, 1.0], [4, 241.417, 303.053, 0.790441, 1.0], [5, 430.84, 229.596, 0.777414, 1.0], [6, 454.356, 270.72, 0.800789, 1.0], [7, 451.418, 304.531, 0.852314, 1.0], [8, 399.966, 358.809, 0.685595, 1.0], [9, 373.503, 358.857, 0.671895, 1.0], [10, 379.366, 449.889, 0.759043, 1.0], [11, 391.119, 520.336, 0.77459, 1.0], [12, 427.818, 357.362, 0.674221, 1.0], [13, 438.148, 441.137, 0.773101, 1.0], [14, 448.439, 514.498, 0.756234, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 446.935, 524.806, 0.447991, 1.0], [20, 455.758, 524.775, 0.508291, 1.0], [21, 442.548, 520.361, 0.58608, 1.0], [22, 380.868, 536.566, 0.349288, 1.0], [23, 372.054, 526.3, 0.404733, 1.0], [24, 395.578, 523.278, 0.642206, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 391.111, 232.563, 0.780337, 1.0], [2, 347.081, 236.936, 0.725294, 1.0], [3, 297.127, 266.318, 0.696657, 1.0], [4, 241.415, 308.859, 0.783381, 1.0], [5, 430.799, 229.646, 0.770917, 1.0], [6, 455.777, 272.203, 0.80778, 1.0], [7, 452.781, 308.849, 0.867829, 1.0], [8, 401.412, 358.812, 0.686853, 1.0], [9, 373.539, 358.853, 0.666173, 1.0], [10, 377.956, 451.407, 0.755606, 1.0], [11, 391.107, 518.915, 0.763514, 1.0], [12, 427.851, 357.365, 0.674862, 1.0], [13, 438.172, 441.135, 0.772907, 1.0], [14, 448.434, 514.513, 0.748477, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 446.945, 524.819, 0.432847, 1.0], [20, 455.77, 524.787, 0.490051, 1.0], [21, 442.537, 520.395, 0.588001, 1.0], [22, 380.859, 536.564, 0.347016, 1.0], [23, 372.051, 526.28, 0.406002, 1.0], [24, 395.575, 521.883, 0.629543, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 392.543, 235.451, 0.785665, 1.0], [2, 347.137, 238.425, 0.737072, 1.0], [3, 298.591, 267.826, 0.682763, 1.0], [4, 244.295, 310.335, 0.782507, 1.0], [5, 430.831, 231.045, 0.747849, 1.0], [6, 455.784, 273.686, 0.834455, 1.0], [7, 452.775, 310.326, 0.90297, 1.0], [8, 401.418, 358.806, 0.676362, 1.0], [9, 373.534, 358.837, 0.65024, 1.0], [10, 376.448, 451.337, 0.74044, 1.0], [11, 391.126, 517.453, 0.767298, 1.0], [12, 427.842, 357.364, 0.666088, 1.0], [13, 439.546, 442.532, 0.755816, 1.0], [14, 448.41, 513.067, 0.748504, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 445.49, 524.767, 0.456169, 1.0], [20, 454.336, 523.395, 0.507222, 1.0], [21, 442.548, 520.352, 0.571737, 1.0], [22, 380.863, 536.559, 0.357456, 1.0], [23, 372.058, 524.869, 0.431766, 1.0], [24, 395.587, 521.835, 0.658659, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 392.567, 238.443, 0.826864, 1.0], [2, 347.128, 239.913, 0.758832, 1.0], [3, 295.68, 275.069, 0.7003, 1.0], [4, 242.833, 311.918, 0.816064, 1.0], [5, 432.258, 234.018, 0.706693, 1.0], [6, 455.788, 275.128, 0.857708, 1.0], [7, 452.818, 310.432, 0.928523, 1.0], [8, 402.843, 358.804, 0.686221, 1.0], [9, 376.438, 358.848, 0.645387, 1.0], [10, 373.536, 452.785, 0.755849, 1.0], [11, 391.138, 517.466, 0.766418, 1.0], [12, 427.857, 357.353, 0.678857, 1.0], [13, 438.105, 439.648, 0.744912, 1.0], [14, 448.427, 513.075, 0.736458, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 445.499, 523.42, 0.498986, 1.0], [20, 454.334, 523.382, 0.543164, 1.0], [21, 444.015, 520.365, 0.540579, 1.0], [22, 380.865, 536.56, 0.354707, 1.0], [23, 372.078, 524.884, 0.422278, 1.0], [24, 395.61, 521.833, 0.636051, 1.0]]
[[0, 0, 0, 0, 1.0], [1, 392.6, 239.865, 0.850119, 1.0], [2, 347.144, 241.325, 0.751652, 1.0], [3, 298.619, 275.098, 0.775645, 1.0], [4, 250.117, 310.417, 0.793341, 1.0], [5, 432.287, 236.939, 0.708877, 1.0], [6, 457.214, 276.608, 0.84116, 1.0], [7, 452.85, 313.334, 0.888224, 1.0], [8, 401.452, 358.835, 0.693094, 1.0], [9, 375.011, 358.862, 0.656514, 1.0], [10, 373.511, 451.365, 0.753605, 1.0], [11, 391.13, 515.989, 0.773483, 1.0], [12, 427.854, 357.375, 0.683832, 1.0], [13, 438.107, 441.061, 0.762677, 1.0], [14, 448.433, 514.501, 0.74006, 1.0], [15, 0, 0, 0, 1.0], [16, 0, 0, 0, 1.0], [17, 0, 0, 0, 1.0], [18, 0, 0, 0, 1.0], [19, 444.013, 523.421, 0.477428, 1.0], [20, 454.28, 523.408, 0.520326, 1.0], [21, 444.03, 520.374, 0.537417, 1.0], [22, 380.864, 536.557, 0.367274, 1.0], [23, 372.072, 524.86, 0.448416, 1.0], [24, 395.602, 520.4, 0.655328, 1.0]]
