[['2, k, 0', [9.41872, 86.60564, 1.0]], ['2, k, 1', [9.862278947397746, 116.1021451334244, 1.0]], ['2, k, 2', [10.182240495251683, 138.35214065310163, 1.0]], ['2, k, 3', [10.266671537768321, 144.66525251962352, 1.0]], ['2, k, 4', [27.89999384781314, 135.22517052348567, 1.0]], ['2, k, 5', [54.91091162806009, 130.8456669814613, 1.0]], ['2, k, 6', [65.64071320000491, 150.83612801694062, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.198410700994703, 135.29295981194247, 1.0]], ['2, k, 9', [-31.40882309028041, 134.1574021776435, 1.0]], ['2, k, 10', [-39.25223215246941, 154.74321365300955, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.41724768820943, 86.36925324558928, 1.0]], ['2, k, 13', [21.701258736304823, 44.813326280614746, 1.0]], ['2, k, 14', [23.778251068661593, 11.105039732899314, 1.0]], ['2, k, 15', [23.313096901017527, 8.462837604328607, 1.0]], ['2, k, 16', [1.163295346638126, 86.61860553121222, 1.0]], ['2, k, 17', [-1.0954509461265034, 46.08412831810198, 1.0]], ['2, k, 18', [-3.283068499223041, 9.8759202278181, 1.0]], ['2, k, 19', [-3.3563319637927957, 7.255096204429398, 1.0]], ['2, k, 20', [10.182240495251683, 138.35214065310163, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.386516666666665, 86.60940333333333, 1.0]], ['2, k, 1', [9.802467918078024, 116.10624830533183, 1.0]], ['2, k, 2', [10.091583095924488, 138.35664559825466, 1.0]], ['2, k, 3', [10.165851524739052, 144.66980523658336, 1.0]], ['2, k, 4', [27.842810772298808, 135.229818666372, 1.0]], ['2, k, 5', [54.80494273953715, 130.77351026645394, 1.0]], ['2, k, 6', [65.45858750633668, 150.6497378112274, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.262159527222549, 135.36243151318104, 1.0]], ['2, k, 9', [-31.455899431345678, 134.2161746718666, 1.0]], ['2, k, 10', [-39.26326031991608, 154.85387564168101, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.379082768802032, 86.37160305226494, 1.0]], ['2, k, 13', [21.665915515363444, 44.831259886613346, 1.0]], ['2, k, 14', [23.772215655048708, 11.191792500115497, 1.0]], ['2, k, 15', [23.31052041808874, 8.549267590632045, 1.0]], ['2, k, 16', [1.1349415100977485, 86.62408007211404, 1.0]], ['2, k, 17', [-1.2118199902547446, 46.118223137928325, 1.0]], ['2, k, 18', [-3.2866868382289143, 9.916880125967673, 1.0]], ['2, k, 19', [-3.3579896892097514, 7.2959453115614465, 1.0]], ['2, k, 20', [10.091583095924488, 138.35664559825466, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.354325999999999, 86.60411200000001, 1.0]], ['2, k, 1', [9.757615447872237, 116.10216946894315, 1.0]], ['2, k, 2', [10.03232827211709, 138.35392706559674, 1.0]], ['2, k, 3', [10.101932993358206, 144.66701513672123, 1.0]], ['2, k, 4', [27.802611467974074, 135.22367241552297, 1.0]], ['2, k, 5', [54.70830651861895, 130.75340846052697, 1.0]], ['2, k, 6', [65.35049930981023, 150.5131262206845, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.317267558808632, 135.3903762318226, 1.0]], ['2, k, 9', [-31.499245390160375, 134.2733163801982, 1.0]], ['2, k, 10', [-39.26783090448701, 154.9353739752154, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.345481714924723, 86.36659395193179, 1.0]], ['2, k, 13', [21.633749188013983, 44.829819365062306, 1.0]], ['2, k, 14', [23.759093520456513, 11.212393649929986, 1.0]], ['2, k, 15', [23.305139056244105, 8.569616323570617, 1.0]], ['2, k, 16', [1.1041182091088775, 86.61682226568146, 1.0]], ['2, k, 17', [-1.2569447052959508, 46.07576677698342, 1.0]], ['2, k, 18', [-3.308713318312506, 9.90128955880337, 1.0]], ['2, k, 19', [-3.3722592089257613, 7.280144833415183, 1.0]], ['2, k, 20', [10.03232827211709, 138.35392706559674, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.327112, 86.60412199999999, 1.0]], ['2, k, 1', [9.723617303206732, 116.10462177837945, 1.0]], ['2, k, 2', [9.991708210471025, 138.3590843285815, 1.0]], ['2, k, 3', [10.05926970857899, 144.67225834313308, 1.0]], ['2, k, 4', [27.77643032764564, 135.21746562041434, 1.0]], ['2, k, 5', [54.65682139705147, 130.76183252355466, 1.0]], ['2, k, 6', [65.25138770809794, 150.46543592657713, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.34923251007099, 135.40502546712733, 1.0]], ['2, k, 9', [-31.52826726138494, 134.32050733193162, 1.0]], ['2, k, 10', [-39.28020588263668, 154.98895553891182, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.314709451530053, 86.36548365657308, 1.0]], ['2, k, 13', [21.57872672925178, 44.81438453198404, 1.0]], ['2, k, 14', [23.727566281836964, 11.244037847881238, 1.0]], ['2, k, 15', [23.280829926220015, 8.60186378621794, 1.0]], ['2, k, 16', [1.0793701698337514, 86.61839092978681, 1.0]], ['2, k, 17', [-1.2995887655758969, 46.07462156658321, 1.0]], ['2, k, 18', [-3.328718538743394, 9.930524649940864, 1.0]], ['2, k, 19', [-3.3849327838596333, 7.309213154170754, 1.0]], ['2, k, 20', [9.991708210471025, 138.3590843285815, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.297970000000001, 86.60079599999999, 1.0]], ['2, k, 1', [9.689602432856121, 116.10566402524321, 1.0]], ['2, k, 2', [9.954750261943184, 138.36435230690213, 1.0]], ['2, k, 3', [10.021713438310051, 144.67759257511005, 1.0]], ['2, k, 4', [27.740240964115895, 135.21611311568378, 1.0]], ['2, k, 5', [54.605134499621784, 130.73782942416915, 1.0]], ['2, k, 6', [65.20841485784827, 150.38278810888875, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.39518343485539, 135.41145649421054, 1.0]], ['2, k, 9', [-31.575718774482905, 134.3541612396187, 1.0]], ['2, k, 10', [-39.33280408903781, 154.99093752937134, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.2826118198003, 86.3632058335118, 1.0]], ['2, k, 13', [21.526257408041193, 44.830381565826364, 1.0]], ['2, k, 14', [23.707380375534775, 11.260633727046418, 1.0]], ['2, k, 15', [23.26811592099225, 8.618482124619726, 1.0]], ['2, k, 16', [1.052109852534402, 86.61459840260845, 1.0]], ['2, k, 17', [-1.324759809525709, 46.05064891031406, 1.0]], ['2, k, 18', [-3.345849735132297, 9.953962722486999, 1.0]], ['2, k, 19', [-3.394446186494679, 7.33266677796645, 1.0]], ['2, k, 20', [9.954750261943184, 138.36435230690213, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.265274, 86.59305199999999, 1.0]], ['2, k, 1', [9.64500203600161, 116.1027129952893, 1.0]], ['2, k, 2', [9.898440057153152, 138.36573679798022, 1.0]], ['2, k, 3', [9.961812260286134, 144.6789238368085, 1.0]], ['2, k, 4', [27.681760181466622, 135.21210993414655, 1.0]], ['2, k, 5', [54.52659399305987, 130.68219688986093, 1.0]], ['2, k, 6', [65.16664255056236, 150.24630766452228, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.450690947677455, 135.4259843152961, 1.0]], ['2, k, 9', [-31.632078775736993, 134.38739815804587, 1.0]], ['2, k, 10', [-39.38065743847327, 155.00949685020754, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.24836135879042, 86.35819659487777, 1.0]], ['2, k, 13', [21.452931499313518, 44.90804137090922, 1.0]], ['2, k, 14', [23.655313714668946, 11.306861856411395, 1.0]], ['2, k, 15', [23.220158375860965, 8.664927777639457, 1.0]], ['2, k, 16', [1.0209622738682747, 86.60468326386216, 1.0]], ['2, k, 17', [-1.3576041896120756, 46.01782606747566, 1.0]], ['2, k, 18', [-3.3572398958228353, 9.986670886077768, 1.0]], ['2, k, 19', [-3.401052029920224, 7.365214326407921, 1.0]], ['2, k, 20', [9.898440057153152, 138.36573679798022, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.239048, 86.58854400000001, 1.0]], ['2, k, 1', [9.610887708165313, 116.10315649812584, 1.0]], ['2, k, 2', [9.855985867818411, 138.3699396559742, 1.0]], ['2, k, 3', [9.916947566112688, 144.68314263777035, 1.0]], ['2, k, 4', [27.630341876281083, 135.21066727969435, 1.0]], ['2, k, 5', [54.50447911620195, 130.64852121302144, 1.0]], ['2, k, 6', [65.1899939270665, 150.16507532024812, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.503380074011265, 135.43832295479513, 1.0]], ['2, k, 9', [-31.686385486284056, 134.41422443892205, 1.0]], ['2, k, 10', [-39.40455760931266, 155.01414277606216, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.218582108209844, 86.35510379758847, 1.0]], ['2, k, 13', [21.41235669760806, 44.86925310088165, 1.0]], ['2, k, 14', [23.62306674623958, 11.347140178417504, 1.0]], ['2, k, 15', [23.190168436461402, 8.705366242280792, 1.0]], ['2, k, 16', [0.9961439382968322, 86.59883586010135, 1.0]], ['2, k, 17', [-1.3879329246071355, 45.993410552600615, 1.0]], ['2, k, 18', [-3.374650274972549, 10.032821697698907, 1.0]], ['2, k, 19', [-3.4161964896901664, 7.411353443877788, 1.0]], ['2, k, 20', [9.855985867818411, 138.3699396559742, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.211127999999999, 86.585094, 1.0]], ['2, k, 1', [9.579126616650427, 116.1038077947746, 1.0]], ['2, k, 2', [9.81986636656293, 138.37258712907476, 1.0]], ['2, k, 3', [9.879706741506531, 144.6857813811057, 1.0]], ['2, k, 4', [27.596692724298578, 135.20955351255682, 1.0]], ['2, k, 5', [54.51801690462775, 130.64532668770724, 1.0]], ['2, k, 6', [65.23780776631023, 150.1766058601615, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.538703192582172, 135.44706185827837, 1.0]], ['2, k, 9', [-31.72404041225231, 134.4329844695304, 1.0]], ['2, k, 10', [-39.41782967821514, 155.0047579188203, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.187561633925565, 86.35043386362729, 1.0]], ['2, k, 13', [21.384188125799604, 44.784595947198724, 1.0]], ['2, k, 14', [23.598064008337136, 11.387738210186939, 1.0]], ['2, k, 15', [23.16716672588336, 8.746018354937695, 1.0]], ['2, k, 16', [0.9695883407642825, 86.59720457557863, 1.0]], ['2, k, 17', [-1.4211380962844893, 45.94874614805266, 1.0]], ['2, k, 18', [-3.4082640728777034, 10.045244401467315, 1.0]], ['2, k, 19', [-3.447945821614509, 7.423463204639351, 1.0]], ['2, k, 20', [9.81986636656293, 138.37258712907476, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.182697999999998, 86.579356, 1.0]], ['2, k, 1', [9.547270644785822, 116.10100591038815, 1.0]], ['2, k, 2', [9.783353879306171, 138.37163495882652, 1.0]], ['2, k, 3', [9.841882314816672, 144.6847667222362, 1.0]], ['2, k, 4', [27.565954500760885, 135.2061375339062, 1.0]], ['2, k, 5', [54.52989557665919, 130.65722253224575, 1.0]], ['2, k, 6', [65.2541478411147, 150.2311157159458, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.569435790785384, 135.45225528702343, 1.0]], ['2, k, 9', [-31.749908841846413, 134.44139476923897, 1.0]], ['2, k, 10', [-39.42222950856981, 154.99116361299627, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.15916268442151, 86.34249149285718, 1.0]], ['2, k, 13', [21.358156745261006, 44.73214515377315, 1.0]], ['2, k, 14', [23.572609655471606, 11.419718444130979, 1.0]], ['2, k, 15', [23.142551419114177, 8.777794251431462, 1.0]], ['2, k, 16', [0.9431033322681035, 86.59344523564218, 1.0]], ['2, k, 17', [-1.4519728507646765, 45.924863896588164, 1.0]], ['2, k, 18', [-3.4424825214450276, 10.029090217371312, 1.0]], ['2, k, 19', [-3.4814704671661496, 7.4069785992502, 1.0]], ['2, k, 20', [9.783353879306171, 138.37163495882652, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.161816, 86.577962, 1.0]], ['2, k, 1', [9.523262995079632, 116.10070295173642, 1.0]], ['2, k, 2', [9.754536466274226, 138.37278594999535, 1.0]], ['2, k, 3', [9.811680133037559, 144.68578802761004, 1.0]], ['2, k, 4', [27.548245036557333, 135.20663204659098, 1.0]], ['2, k, 5', [54.5524898664713, 130.66593105608862, 1.0]], ['2, k, 6', [65.2914748697169, 150.29921434861268, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.595719668138326, 135.45925724540757, 1.0]], ['2, k, 9', [-31.768974737714213, 134.44512116706707, 1.0]], ['2, k, 10', [-39.41512738114443, 154.97244959737912, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.13819759888149, 86.33846360326142, 1.0]], ['2, k, 13', [21.34106282518885, 44.64268984776897, 1.0]], ['2, k, 14', [23.552896134996722, 11.454428388853408, 1.0]], ['2, k, 15', [23.123271899396368, 8.81209829599121, 1.0]], ['2, k, 16', [0.9236166008005409, 86.59380465476387, 1.0]], ['2, k, 17', [-1.469029867126027, 45.90075064649596, 1.0]], ['2, k, 18', [-3.4752484688542555, 9.984218638465045, 1.0]], ['2, k, 19', [-3.5137959832445174, 7.361506286385298, 1.0]], ['2, k, 20', [9.754536466274226, 138.37278594999535, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [9.142544, 86.575788, 1.0]], ['2, k, 1', [9.50148904756268, 116.09926421325453, 1.0]], ['2, k, 2', [9.729188700749441, 138.37311260161036, 1.0]], ['2, k, 3', [9.785555725272998, 144.68591192899953, 1.0]], ['2, k, 4', [27.5325696743121, 135.20820493197792, 1.0]], ['2, k, 5', [54.57927711035036, 130.66178069356422, 1.0]], ['2, k, 6', [65.33416989340085, 150.35951380159815, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-8.615990402652164, 135.46566452898094, 1.0]], ['2, k, 9', [-31.78272237659126, 134.44785129338652, 1.0]], ['2, k, 10', [-39.40451955251572, 154.96467351588433, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [17.11952788405123, 86.3334664920136, 1.0]], ['2, k, 13', [21.336858514473096, 44.524106044364494, 1.0]], ['2, k, 14', [23.543608320581153, 11.44116526850054, 1.0]], ['2, k, 15', [23.115521930760085, 8.798146779718401, 1.0]], ['2, k, 16', [0.905693838425444, 86.59341924214925, 1.0]], ['2, k, 17', [-1.4877815596633348, 45.88921407051779, 1.0]], ['2, k, 18', [-3.5069045015472535, 9.949936319125264, 1.0]], ['2, k, 19', [-3.544166515424614, 7.326059222409993, 1.0]], ['2, k, 20', [9.729188700749441, 138.37311260161036, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
