[['2, k, 0', [-15.41321, 84.94503, 1.0]], ['2, k, 1', [-12.84328272302431, 115.7067665889196, 1.0]], ['2, k, 2', [-10.847113589519298, 138.89346345203887, 1.0]], ['2, k, 3', [-10.267341027429543, 145.45201880885725, 1.0]], ['2, k, 4', [4.0893102036085995, 133.54624949435978, 1.0]], ['2, k, 5', [30.921761572127522, 145.03693083796114, 1.0]], ['2, k, 6', [36.83484293932912, 165.50254365204623, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.3782512706656, 134.2534003982198, 1.0]], ['2, k, 9', [-50.912930107166886, 134.17321862757709, 1.0]], ['2, k, 10', [-61.572857018000775, 151.37499014609898, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.974987875075165, 85.09820619458368, 1.0]], ['2, k, 13', [-3.6197842217034726, 48.88207122656387, 1.0]], ['2, k, 14', [-0.5630950592691986, 10.15393591670042, 1.0]], ['2, k, 15', [-7.330374099252085, 3.8239335767823786, 1.0]], ['2, k, 16', [-20.315084454316526, 84.69836285582342, 1.0]], ['2, k, 17', [-12.830159408652058, 48.67361177568053, 1.0]], ['2, k, 18', [-7.563966410057835, 11.238388253904084, 1.0]], ['2, k, 19', [-12.32116511618274, 4.21742718540313, 1.0]], ['2, k, 20', [-10.847113589519298, 138.89346345203887, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.411933333333332, 84.94503, 1.0]], ['2, k, 1', [-12.845964187067661, 115.7068528572303, 1.0]], ['2, k, 2', [-10.85598389883481, 138.88562453582222, 1.0]], ['2, k, 3', [-10.278872486751052, 145.44403195267873, 1.0]], ['2, k, 4', [4.083234774439717, 133.54662955824833, 1.0]], ['2, k, 5', [30.913883645773062, 145.04712607643708, 1.0]], ['2, k, 6', [36.82562462869141, 165.54371725109038, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.38773918744663, 134.2377668803906, 1.0]], ['2, k, 9', [-50.773099316138186, 134.03985189973608, 1.0]], ['2, k, 10', [-61.52788535228488, 151.22087220510156, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.973300704692274, 85.09751574627975, 1.0]], ['2, k, 13', [-3.6185668955200816, 48.88123790601925, 1.0]], ['2, k, 14', [-0.5412420735041965, 10.179531962330977, 1.0]], ['2, k, 15', [-7.303048266719248, 3.8267215446297262, 1.0]], ['2, k, 16', [-20.31595301398777, 84.70030973504763, 1.0]], ['2, k, 17', [-12.991966274931226, 48.65267707871992, 1.0]], ['2, k, 18', [-7.5417898892788875, 11.12614518016288, 1.0]], ['2, k, 19', [-12.339102358469022, 4.215851902207942, 1.0]], ['2, k, 20', [-10.85598389883481, 138.88562453582222, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.401081999999999, 84.937896, 1.0]], ['2, k, 1', [-12.84611806408199, 115.70600446968194, 1.0]], ['2, k, 2', [-10.865241910377362, 138.88661720461184, 1.0]], ['2, k, 3', [-10.291134198158806, 145.44485231925603, 1.0]], ['2, k, 4', [4.071413115878078, 133.55782989985428, 1.0]], ['2, k, 5', [30.900148624634582, 145.07307156458378, 1.0]], ['2, k, 6', [36.84262225328814, 165.5412188788929, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.25212770118796, 134.2155358156481, 1.0]], ['2, k, 9', [-50.88948862970761, 134.28018418272367, 1.0]], ['2, k, 10', [-61.70606407302424, 151.44112574604668, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.9539792735094, 85.0838936973059, 1.0]], ['2, k, 13', [-3.581082484867385, 48.872461401115515, 1.0]], ['2, k, 14', [-0.4960525561646967, 10.192648952497706, 1.0]], ['2, k, 15', [-7.270388780191187, 3.82645998340041, 1.0]], ['2, k, 16', [-20.317920226713632, 84.69938705977975, 1.0]], ['2, k, 17', [-13.130958831359706, 48.63242929246188, 1.0]], ['2, k, 18', [-7.49945574981269, 11.071904803316201, 1.0]], ['2, k, 19', [-12.20033918831301, 4.247752171402639, 1.0]], ['2, k, 20', [-10.865241910377362, 138.88661720461184, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.379694, 84.90892600000001, 1.0]], ['2, k, 1', [-12.839913555091572, 115.68806393332783, 1.0]], ['2, k, 2', [-10.871997186763773, 138.872859346928, 1.0]], ['2, k, 3', [-10.302467779270096, 145.43078356312597, 1.0]], ['2, k, 4', [4.043569551176713, 133.56140960861583, 1.0]], ['2, k, 5', [30.855024371859187, 145.11268940272456, 1.0]], ['2, k, 6', [36.77733230438941, 165.618351444257, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.179573770735097, 134.1603916988412, 1.0]], ['2, k, 9', [-51.17214041972073, 134.81290363380424, 1.0]], ['2, k, 10', [-61.888970004379736, 152.02572369079897, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.911239393422367, 85.0324483359059, 1.0]], ['2, k, 13', [-3.5749285555949672, 48.823938928489994, 1.0]], ['2, k, 14', [-0.5481514166471131, 10.1826291549173, 1.0]], ['2, k, 15', [-7.319546787436967, 3.813031577465506, 1.0]], ['2, k, 16', [-20.30430143842757, 84.665117369714, 1.0]], ['2, k, 17', [-13.161624571020095, 48.601996480096794, 1.0]], ['2, k, 18', [-7.503765877348458, 11.037724346083074, 1.0]], ['2, k, 19', [-12.175195360454945, 4.235149881971087, 1.0]], ['2, k, 20', [-10.871997186763773, 138.872859346928, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.353013999999998, 84.89076800000001, 1.0]], ['2, k, 1', [-12.819632698275896, 115.67531416034572, 1.0]], ['2, k, 2', [-10.85852532300894, 138.86389209931474, 1.0]], ['2, k, 3', [-10.291670023966795, 145.4216284723234, 1.0]], ['2, k, 4', [4.043501850586166, 133.56340247382892, 1.0]], ['2, k, 5', [30.849980049479143, 145.14577216096663, 1.0]], ['2, k, 6', [36.783436274005936, 165.6911547676483, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-28.50813757780014, 134.0427919717218, 1.0]], ['2, k, 9', [-51.35318232581052, 134.80445695824952, 1.0]], ['2, k, 10', [-62.05597564680037, 152.0307873008876, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.872708910314303, 84.99836660274907, 1.0]], ['2, k, 13', [-3.5451817795651888, 48.783482127894345, 1.0]], ['2, k, 14', [-0.5508057005489366, 10.1699728651313, 1.0]], ['2, k, 15', [-7.290161110974299, 3.805032160756352, 1.0]], ['2, k, 16', [-20.28035739412974, 84.64909577093339, 1.0]], ['2, k, 17', [-13.195629997150547, 48.578263841248, 1.0]], ['2, k, 18', [-7.491114941210996, 11.01012936952646, 1.0]], ['2, k, 19', [-12.201459785831966, 4.221509936771863, 1.0]], ['2, k, 20', [-10.85852532300894, 138.86389209931474, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.323584, 84.88046999999999, 1.0]], ['2, k, 1', [-12.791694473579206, 115.67125093962386, 1.0]], ['2, k, 2', [-10.832136486348132, 138.86640155092624, 1.0]], ['2, k, 3', [-10.2661630452239, 145.42398707493166, 1.0]], ['2, k, 4', [4.060956670782552, 133.57590402460443, 1.0]], ['2, k, 5', [30.864464192043723, 145.17813276783687, 1.0]], ['2, k, 6', [36.84621290582854, 165.7341115653716, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.367968592092666, 133.86838585065013, 1.0]], ['2, k, 9', [-51.67009787064863, 134.24081457008327, 1.0]], ['2, k, 10', [-62.433342747832484, 151.4165565190788, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.863572963621206, 84.98079114755052, 1.0]], ['2, k, 13', [-3.5394401967354874, 48.76147642748021, 1.0]], ['2, k, 14', [-0.5571824649563086, 10.152586344486458, 1.0]], ['2, k, 15', [-7.230983958901797, 3.7784641369867336, 1.0]], ['2, k, 16', [-20.249538524144885, 84.64102047794775, 1.0]], ['2, k, 17', [-13.199158011006679, 48.566599691728314, 1.0]], ['2, k, 18', [-7.47917858283673, 11.03458440011066, 1.0]], ['2, k, 19', [-12.209698553418235, 4.157610732027488, 1.0]], ['2, k, 20', [-10.832136486348132, 138.86640155092624, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.293135999999999, 84.876566, 1.0]], ['2, k, 1', [-12.751932719009744, 115.66927229011758, 1.0]], ['2, k, 2', [-10.784970980590863, 138.86739180804253, 1.0]], ['2, k, 3', [-10.21723937932329, 145.4246540965808, 1.0]], ['2, k, 4', [4.099155108085416, 133.58637502805652, 1.0]], ['2, k, 5', [30.895618865064552, 145.2035175476106, 1.0]], ['2, k, 6', [36.89155235027662, 165.77964926915604, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.95740749992946, 133.74681868554572, 1.0]], ['2, k, 9', [-51.874727295365545, 133.7971818602506, 1.0]], ['2, k, 10', [-62.782335097285845, 150.9052214508397, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.85926608567889, 84.97220235422414, 1.0]], ['2, k, 13', [-3.5472432201092747, 48.747570241671646, 1.0]], ['2, k, 14', [-0.5776474555213027, 10.131276303944752, 1.0]], ['2, k, 15', [-7.189422997032095, 3.7699931304366174, 1.0]], ['2, k, 16', [-20.210038977232607, 84.63737899841328, 1.0]], ['2, k, 17', [-13.217712120750562, 48.553144068984025, 1.0]], ['2, k, 18', [-7.453337977832967, 11.071688882975998, 1.0]], ['2, k, 19', [-12.249065243782892, 4.123652117449681, 1.0]], ['2, k, 20', [-10.784970980590863, 138.86739180804253, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.266041999999999, 84.881564, 1.0]], ['2, k, 1', [-12.70995103998106, 115.67041708406984, 1.0]], ['2, k, 2', [-10.731670329853896, 138.86657146471816, 1.0]], ['2, k, 3', [-10.160860360124992, 145.42349831094856, 1.0]], ['2, k, 4', [4.153303187008728, 133.58415293493616, 1.0]], ['2, k, 5', [30.944534064261763, 145.2046260162497, 1.0]], ['2, k, 6', [36.92958972253969, 165.72698071969793, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-30.17023992759444, 133.68969687372308, 1.0]], ['2, k, 9', [-51.13088641049713, 133.7587597161819, 1.0]], ['2, k, 10', [-62.09101071932779, 150.95741611058583, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.826256477058273, 84.97670935723781, 1.0]], ['2, k, 13', [-3.529841192586127, 48.74319874278124, 1.0]], ['2, k, 14', [-0.5678435217806044, 10.121367504596712, 1.0]], ['2, k, 15', [-7.122115751784541, 3.778453830474702, 1.0]], ['2, k, 16', [-20.17198944573768, 84.64402755514082, 1.0]], ['2, k, 17', [-13.150040079850426, 48.56279646459021, 1.0]], ['2, k, 18', [-7.442984041485959, 11.10786247145051, 1.0]], ['2, k, 19', [-12.260133395334243, 4.123948802468266, 1.0]], ['2, k, 20', [-10.731670329853896, 138.86657146471816, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.250556, 84.910048, 1.0]], ['2, k, 1', [-12.676992545567224, 115.6902017025625, 1.0]], ['2, k, 2', [-10.683887674535264, 138.88196847120093, 1.0]], ['2, k, 3', [-10.108699598521145, 145.43856186596054, 1.0]], ['2, k, 4', [4.2150347170751346, 133.59149278872997, 1.0]], ['2, k, 5', [31.00703003978607, 145.20824400000876, 1.0]], ['2, k, 6', [36.98105521426269, 165.6759960588293, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-30.370757293676228, 133.64018363862576, 1.0]], ['2, k, 9', [-50.96693236881634, 133.46066777529802, 1.0]], ['2, k, 10', [-62.10971405264871, 150.5252719600737, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.799025291123346, 85.01740004228188, 1.0]], ['2, k, 13', [-3.5159827155130925, 48.76768841660358, 1.0]], ['2, k, 14', [-0.5482759895327689, 10.108994505464906, 1.0]], ['2, k, 15', [-7.0685144825482915, 3.8112291361253092, 1.0]], ['2, k, 16', [-20.144346277547992, 84.68168499109402, 1.0]], ['2, k, 17', [-13.06649207784532, 48.60467105284359, 1.0]], ['2, k, 18', [-7.444927247213876, 11.139585545222168, 1.0]], ['2, k, 19', [-12.293719913564047, 4.196465100857732, 1.0]], ['2, k, 20', [-10.683887674535264, 138.88196847120093, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.2379, 84.931296, 1.0]], ['2, k, 1', [-12.644608291934233, 115.70884928368486, 1.0]], ['2, k, 2', [-10.634849201895287, 138.89800892453673, 1.0]], ['2, k, 3', [-10.05472207725672, 145.45428607632329, 1.0]], ['2, k, 4', [4.26853794447088, 133.59948877985065, 1.0]], ['2, k, 5', [31.065216978928923, 145.2163764752788, 1.0]], ['2, k, 6', [37.060577003006856, 165.62165763829822, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-30.11090914221338, 133.69764982652333, 1.0]], ['2, k, 9', [-50.632006618019695, 133.33549748321607, 1.0]], ['2, k, 10', [-61.93660279351007, 150.3658035223147, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.824632883476994, 85.04976673280673, 1.0]], ['2, k, 13', [-3.556024893534942, 48.797291429184405, 1.0]], ['2, k, 14', [-0.5614587406004419, 10.116385845281755, 1.0]], ['2, k, 15', [-7.076741339533726, 3.848825499107689, 1.0]], ['2, k, 16', [-20.120708879459155, 84.71255535835097, 1.0]], ['2, k, 17', [-12.978371866125727, 48.658045069604604, 1.0]], ['2, k, 18', [-7.44375191782543, 11.194212636182264, 1.0]], ['2, k, 19', [-12.379536140169934, 4.2377175778858645, 1.0]], ['2, k, 20', [-10.634849201895287, 138.89800892453673, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-15.226882, 84.94578800000001, 1.0]], ['2, k, 1', [-12.610272733554362, 115.72054108830378, 1.0]], ['2, k, 2', [-10.579983537427344, 138.9072742112551, 1.0]], ['2, k, 3', [-9.993606473184883, 145.46304740449048, 1.0]], ['2, k, 4', [4.3293795803938995, 133.60087762476385, 1.0]], ['2, k, 5', [31.125582645356168, 145.22272045189777, 1.0]], ['2, k, 6', [37.116702084814506, 165.5496330820013, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-29.328871649678312, 133.7940274023832, 1.0]], ['2, k, 9', [-49.945293614496734, 133.3912780628201, 1.0]], ['2, k, 10', [-61.43253343543173, 150.47825836653698, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [-9.845171185849644, 85.06881693843034, 1.0]], ['2, k, 13', [-3.590257018850231, 48.812289596780346, 1.0]], ['2, k, 14', [-0.5552527962709681, 10.133952237998258, 1.0]], ['2, k, 15', [-7.064924051368427, 3.8669538903920477, 1.0]], ['2, k, 16', [-20.101376499843035, 84.73940150334138, 1.0]], ['2, k, 17', [-12.892807531325662, 48.6995805527959, 1.0]], ['2, k, 18', [-7.431787533167808, 11.232503602791084, 1.0]], ['2, k, 19', [-12.365261693871798, 4.326230509046837, 1.0]], ['2, k, 20', [-10.579983537427344, 138.9072742112551, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
