[['2, k, 0', [-0.31034, 83.49033, 1.0]], ['2, k, 1', [1.1639185125221954, 112.0919898297875, 1.0]], ['2, k, 2', [2.2577051990966575, 133.69210621102005, 1.0]], ['2, k, 3', [2.5675931106153063, 139.82360544922267, 1.0]], ['2, k, 4', [16.385274360353776, 133.32722012956043, 1.0]], ['2, k, 5', [32.72717222989688, 119.25174202004253, 1.0]], ['2, k, 6', [48.74341749427856, 131.56299842575172, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.101839319285526, 132.47592961765505, 1.0]], ['2, k, 9', [-28.19268339924986, 116.03255650461651, 1.0]], ['2, k, 10', [-43.750627991807846, 125.8734232387902, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.289463855128395, 83.23887228542212, 1.0]], ['2, k, 13', [7.046727584018139, 45.175221954739655, 1.0]], ['2, k, 14', [4.843646239441277, 10.18406337618677, 1.0]], ['2, k, 15', [3.6338591237227913, 6.486104531953657, 1.0]], ['2, k, 16', [-6.922766461017949, 83.63290210162519, 1.0]], ['2, k, 17', [-8.240068463613635, 48.708372011224974, 1.0]], ['2, k, 18', [-7.727455040409077, 10.95596381356134, 1.0]], ['2, k, 19', [-8.15864690447684, 2.811835755646454, 1.0]], ['2, k, 20', [2.2577051990966575, 133.69210621102005, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.37256, 83.49278, 1.0]], ['2, k, 1', [1.070431835408442, 112.09593182466593, 1.0]], ['2, k, 2', [2.1374200407092365, 133.69712456895783, 1.0]], ['2, k, 3', [2.4391109753679387, 139.82892710012132, 1.0]], ['2, k, 4', [16.265383177088992, 133.30835488108937, 1.0]], ['2, k, 5', [32.57789744677693, 119.20580215656113, 1.0]], ['2, k, 6', [48.203764673388804, 131.15212146781883, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.200041456423167, 132.48060414275977, 1.0]], ['2, k, 9', [-28.322515433458953, 116.06451416092054, 1.0]], ['2, k, 10', [-43.859119996703505, 125.95655805807978, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.23740356376373, 83.23923003742318, 1.0]], ['2, k, 13', [7.040777251275446, 45.161373868107226, 1.0]], ['2, k, 14', [4.843874547575161, 9.84791276903158, 1.0]], ['2, k, 15', [3.624331511194903, 6.151842560850323, 1.0]], ['2, k, 16', [-6.991707845269434, 83.63974389605075, 1.0]], ['2, k, 17', [-8.256936454327708, 48.74206480952508, 1.0]], ['2, k, 18', [-7.6974361287280955, 10.886959440270694, 1.0]], ['2, k, 19', [-8.52703267736143, 4.963392328774292, 1.0]], ['2, k, 20', [2.1374200407092365, 133.69712456895783, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.409678, 83.48611600000001, 1.0]], ['2, k, 1', [1.0205629330938077, 112.08923749606822, 1.0]], ['2, k, 2', [2.0782008754603565, 133.69101756392442, 1.0]], ['2, k, 3', [2.377551612091598, 139.82303386820794, 1.0]], ['2, k, 4', [16.19762922450806, 133.2910338238493, 1.0]], ['2, k, 5', [32.51898390449878, 119.18232937282713, 1.0]], ['2, k, 6', [48.01548988753697, 131.0246358898484, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.28242458726136, 132.45306196407867, 1.0]], ['2, k, 9', [-28.3561835158621, 116.07507147362492, 1.0]], ['2, k, 10', [-43.91484487023944, 125.9189790236974, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.207017519948774, 83.23684833847692, 1.0]], ['2, k, 13', [7.015680995192792, 45.42615656029632, 1.0]], ['2, k, 14', [4.84461820727798, 9.84575029550222, 1.0]], ['2, k, 15', [3.6276546661700086, 6.149940769691803, 1.0]], ['2, k, 16', [-7.034210974256451, 83.62922535338572, 1.0]], ['2, k, 17', [-8.260289058934129, 48.741562829457166, 1.0]], ['2, k, 18', [-7.591682716552212, 11.581432793405881, 1.0]], ['2, k, 19', [-8.49018646562411, 6.537769071597078, 1.0]], ['2, k, 20', [2.0782008754603565, 133.69101756392442, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.447548, 83.487376, 1.0]], ['2, k, 1', [0.9757420861423003, 112.09008264041361, 1.0]], ['2, k, 2', [2.029111285807109, 133.69200682626874, 1.0]], ['2, k, 3', [2.327089796809936, 139.82407850736462, 1.0]], ['2, k, 4', [16.139430581347685, 133.29866752315317, 1.0]], ['2, k, 5', [32.47743569172017, 119.18255809566696, 1.0]], ['2, k, 6', [48.05760289957201, 130.95503040834916, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.391522883382077, 132.45986657500086, 1.0]], ['2, k, 9', [-28.381157215227407, 116.0750806781522, 1.0]], ['2, k, 10', [-43.94731678258499, 125.90397005335326, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.174169799795791, 83.23880686006791, 1.0]], ['2, k, 13', [6.985360203396448, 45.407443203623515, 1.0]], ['2, k, 14', [4.836809048672225, 9.781165446191686, 1.0]], ['2, k, 15', [3.6143041406000624, 6.085189416515516, 1.0]], ['2, k, 16', [-7.073487877875097, 83.63080605496532, 1.0]], ['2, k, 17', [-8.259633664355508, 48.748504587526675, 1.0]], ['2, k, 18', [-7.5068963680939795, 11.586209607654816, 1.0]], ['2, k, 19', [-8.660390501190438, 5.608945671424741, 1.0]], ['2, k, 20', [2.029111285807109, 133.69200682626874, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.482308, 83.477892, 1.0]], ['2, k, 1', [0.9326590645599147, 112.08016661242378, 1.0]], ['2, k, 2', [1.9809979592006948, 133.68241126396293, 1.0]], ['2, k, 3', [2.277486580701425, 139.81461468889336, 1.0]], ['2, k, 4', [16.08642705844501, 133.3025310492605, 1.0]], ['2, k, 5', [32.42731529941994, 119.16945973519388, 1.0]], ['2, k, 6', [48.1028235633596, 130.97114233184342, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.490715489130244, 132.45024667377473, 1.0]], ['2, k, 9', [-28.420766590111683, 116.10259300054692, 1.0]], ['2, k, 10', [-44.01211305853581, 125.88857906012052, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.14366296688685, 83.22823224815488, 1.0]], ['2, k, 13', [6.955165494965608, 45.38349244742655, 1.0]], ['2, k, 14', [4.8213842283994195, 9.782355222029892, 1.0]], ['2, k, 15', [3.6041374392307484, 6.0872746789694405, 1.0]], ['2, k, 16', [-7.1120787665002565, 83.62088129817283, 1.0]], ['2, k, 17', [-8.251746616162881, 48.739044346449056, 1.0]], ['2, k, 18', [-7.466200343647091, 11.685278543695546, 1.0]], ['2, k, 19', [-8.55961963104609, 6.404937713264554, 1.0]], ['2, k, 20', [1.9809979592006948, 133.68241126396293, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.5253260000000001, 83.46240399999999, 1.0]], ['2, k, 1', [0.8750158267527431, 112.06514218573717, 1.0]], ['2, k, 2', [1.9113325670408254, 133.66788365742994, 1.0]], ['2, k, 3', [2.2041948994597393, 139.80020535674976, 1.0]], ['2, k, 4', [16.009258401189705, 133.28520521213918, 1.0]], ['2, k, 5', [32.348454451934536, 119.14829176247439, 1.0]], ['2, k, 6', [48.185279709759, 131.050595937498, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.593115328733113, 132.42935775325532, 1.0]], ['2, k, 9', [-28.489237689630592, 116.12355727226866, 1.0]], ['2, k, 10', [-44.1108878448498, 125.85647746513037, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.0979625610203065, 83.20964657181966, 1.0]], ['2, k, 13', [6.914359342470426, 45.4043603259661, 1.0]], ['2, k, 14', [4.786909735225104, 9.768575741262318, 1.0]], ['2, k, 15', [3.577612173226803, 6.07103950470519, 1.0]], ['2, k, 16', [-7.168251983767949, 83.60642394796625, 1.0]], ['2, k, 17', [-8.276193088292827, 48.722479287596485, 1.0]], ['2, k, 18', [-7.479805050659284, 11.842385746332269, 1.0]], ['2, k, 19', [-8.557085011403405, 6.8598930851965365, 1.0]], ['2, k, 20', [1.9113325670408254, 133.66788365742994, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.565246, 83.4524, 1.0]], ['2, k, 1', [0.8207185389838184, 112.05804411401392, 1.0]], ['2, k, 2', [1.843045630515968, 133.66313296637614, 1.0]], ['2, k, 3', [2.131557138972969, 139.79577702897794, 1.0]], ['2, k, 4', [15.949311126971839, 133.2735299814202, 1.0]], ['2, k, 5', [32.277547557927704, 119.14384875112337, 1.0]], ['2, k, 6', [48.38192515319851, 131.16706375450516, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.701384486412621, 132.41951952609918, 1.0]], ['2, k, 9', [-28.565011966564384, 116.15786586988273, 1.0]], ['2, k, 10', [-44.21157992476297, 125.84393798950288, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.058423819444554, 83.19647105753876, 1.0]], ['2, k, 13', [6.872166420927591, 45.25501202727789, 1.0]], ['2, k, 14', [4.774815599649952, 9.679579764150006, 1.0]], ['2, k, 15', [3.5749393417094897, 5.980609942681186, 1.0]], ['2, k, 16', [-7.217396611337526, 83.59870602395573, 1.0]], ['2, k, 17', [-8.296117455052045, 48.71343897721047, 1.0]], ['2, k, 18', [-7.4918109524695575, 11.522700623338856, 1.0]], ['2, k, 19', [-8.551372593349544, 6.760337436336912, 1.0]], ['2, k, 20', [1.843045630515968, 133.66313296637614, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.60357, 83.442306, 1.0]], ['2, k, 1', [0.7681526091495313, 112.05148108374618, 1.0]], ['2, k, 2', [1.7738531018901538, 133.6597651887467, 1.0]], ['2, k, 3', [2.056790204605962, 139.79284438485752, 1.0]], ['2, k, 4', [15.896968526253538, 133.26256168491238, 1.0]], ['2, k, 5', [32.206227927456894, 119.14567347816262, 1.0]], ['2, k, 6', [48.42970621888897, 131.1748464381998, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.751486974976208, 132.41035456474853, 1.0]], ['2, k, 9', [-28.59911391037951, 116.16989475825221, 1.0]], ['2, k, 10', [-44.26226930361876, 125.82315482449984, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.027460562834953, 83.18250042234763, 1.0]], ['2, k, 13', [6.804239522289272, 45.15609948047489, 1.0]], ['2, k, 14', [4.763037425957484, 9.813147678895533, 1.0]], ['2, k, 15', [3.56871240160386, 6.114303759816899, 1.0]], ['2, k, 16', [-7.263861814040473, 83.59162951165936, 1.0]], ['2, k, 17', [-8.330717845178016, 48.71355008796528, 1.0]], ['2, k, 18', [-7.502606850623311, 11.344531117501361, 1.0]], ['2, k, 19', [-8.545363444085323, 6.761940477151408, 1.0]], ['2, k, 20', [1.7738531018901538, 133.6597651887467, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.640024, 83.428012, 1.0]], ['2, k, 1', [0.7184257790080927, 112.0425470652178, 1.0]], ['2, k, 2', [1.7108956075319204, 133.65530571825465, 1.0]], ['2, k, 3', [1.9895338476795357, 139.78886082842882, 1.0]], ['2, k, 4', [15.856623096704059, 133.25232821380743, 1.0]], ['2, k, 5', [32.12602032933533, 119.14775118800964, 1.0]], ['2, k, 6', [48.3051872840567, 131.1796784043074, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.753613789903357, 132.40479669194096, 1.0]], ['2, k, 9', [-28.59679128400333, 116.17488791957004, 1.0]], ['2, k, 10', [-44.27194064865606, 125.80424190516548, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.001056941333966, 83.1653842558272, 1.0]], ['2, k, 13', [6.7850978152017625, 45.17377815926691, 1.0]], ['2, k, 14', [4.749411518380592, 10.038061401787957, 1.0]], ['2, k, 15', [3.5617951293164536, 6.339770730702551, 1.0]], ['2, k, 16', [-7.308875421424991, 83.57925736748535, 1.0]], ['2, k, 17', [-8.372682081231194, 48.71651310273692, 1.0]], ['2, k, 18', [-7.560378426074786, 11.424778838279202, 1.0]], ['2, k, 19', [-8.631940454612073, 6.792013387260877, 1.0]], ['2, k, 20', [1.7108956075319204, 133.65530571825465, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.6625460000000001, 83.42419400000001, 1.0]], ['2, k, 1', [0.6835336839816555, 112.04585014424566, 1.0]], ['2, k, 2', [1.6651668431093607, 133.66467213884206, 1.0]], ['2, k, 3', [1.94043738128635, 139.7987973721393, 1.0]], ['2, k, 4', [15.837728101190692, 133.25835890342424, 1.0]], ['2, k, 5', [32.071380041025385, 119.17338323393746, 1.0]], ['2, k, 6', [48.280833758553186, 131.26614009605706, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.755872206142179, 132.41601232264935, 1.0]], ['2, k, 9', [-28.59315637377372, 116.18752864920314, 1.0]], ['2, k, 10', [-44.27727720418511, 125.7971836211081, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.991235366249737, 83.16434849665116, 1.0]], ['2, k, 13', [6.801934109886819, 45.2556412300544, 1.0]], ['2, k, 14', [4.752421192929735, 10.236288090904537, 1.0]], ['2, k, 15', [3.573048272011097, 6.538292884028503, 1.0]], ['2, k, 16', [-7.331482544102039, 83.57364343472172, 1.0]], ['2, k, 17', [-8.398801479223579, 48.714165649504054, 1.0]], ['2, k, 18', [-7.605651000223963, 11.43124576576335, 1.0]], ['2, k, 19', [-8.688177344275115, 6.800583838170036, 1.0]], ['2, k, 20', [1.6651668431093607, 133.66467213884206, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.67473, 83.42417400000001, 1.0]], ['2, k, 1', [0.6640462593828826, 112.05149063843774, 1.0]], ['2, k, 2', [1.6423986875601797, 133.67504717851673, 1.0]], ['2, k, 3', [1.9171268083080548, 139.8098023092582, 1.0]], ['2, k, 4', [15.843849639771149, 133.26853862828386, 1.0]], ['2, k, 5', [32.04580642137529, 119.21549566592992, 1.0]], ['2, k, 6', [48.339166911078465, 131.41629023077195, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-13.737477782849949, 132.42692428970233, 1.0]], ['2, k, 9', [-28.557414353176803, 116.19269866488105, 1.0]], ['2, k, 10', [-44.2492630242504, 125.7883870462597, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.990888378196129, 83.16900265142407, 1.0]], ['2, k, 13', [6.832495061046023, 45.45658055876948, 1.0]], ['2, k, 14', [4.756500366624632, 10.495960031091144, 1.0]], ['2, k, 15', [3.585657104944732, 6.798343095642321, 1.0]], ['2, k, 16', [-7.340423580140641, 83.5704147596064, 1.0]], ['2, k, 17', [-8.415602721616548, 48.723004843563864, 1.0]], ['2, k, 18', [-7.636946555016264, 11.375772169286698, 1.0]], ['2, k, 19', [-8.703811916299689, 6.843350049239682, 1.0]], ['2, k, 20', [1.6423986875601797, 133.67504717851673, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
