[['2, k, 0', [-3.12058, 81.97907, 1.0]], ['2, k, 1', [-1.2748676606103346, 112.34849626022489, 1.0]], ['2, k, 2', [0.13636164210553736, 135.2144802395461, 1.0]], ['2, k, 3', [0.5296599473911918, 141.68225289797962, 1.0]], ['2, k, 4', [16.30627868100016, 129.19621900885392, 1.0]], ['2, k, 5', [23.12491830872942, 103.87660873222649, 1.0]], ['2, k, 6', [23.493349278666805, 82.35498896102337, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.19857635833246, 133.53190356618623, 1.0]], ['2, k, 9', [-40.00544468019381, 134.5906796772331, 1.0]], ['2, k, 10', [-48.448060559335474, 154.99588123345993, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.366071794186228, 81.43174192226886, 1.0]], ['2, k, 13', [8.427901409760427, 45.969048675016126, 1.0]], ['2, k, 14', [9.586816276058261, 12.177002429368798, 1.0]], ['2, k, 15', [7.665944834016262, 9.418320387578076, 1.0]], ['2, k, 16', [-10.470790463894758, 82.3489426743563, 1.0]], ['2, k, 17', [-12.779772600513294, 47.988647720258484, 1.0]], ['2, k, 18', [-15.567441953627213, 12.07679514698986, 1.0]], ['2, k, 19', [-17.078474515620826, 9.301878307277132, 1.0]], ['2, k, 20', [0.13636164210553736, 135.2144802395461, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.09787, 81.97609999999999, 1.0]], ['2, k, 1', [-1.2697047360534475, 112.34658512582752, 1.0]], ['2, k, 2', [0.1311045101372715, 135.21328325704465, 1.0]], ['2, k, 3', [0.5200687873652088, 141.68144924650204, 1.0]], ['2, k, 4', [16.318414165289347, 129.18747213059592, 1.0]], ['2, k, 5', [23.105531515604007, 103.95542541808626, 1.0]], ['2, k, 6', [23.48072395380907, 82.41001584159386, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.190642877996172, 133.52995214728375, 1.0]], ['2, k, 9', [-40.005742456031115, 134.53627306221836, 1.0]], ['2, k, 10', [-48.52154744197203, 154.75091524537447, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.39693284948749, 81.43249975838633, 1.0]], ['2, k, 13', [8.454980420191887, 45.94667701052781, 1.0]], ['2, k, 14', [9.622621643019604, 12.037923910864045, 1.0]], ['2, k, 15', [7.7144830769114865, 9.27917167334301, 1.0]], ['2, k, 16', [-10.45543082237289, 82.34230331999888, 1.0]], ['2, k, 17', [-12.757474635624629, 47.98782254867321, 1.0]], ['2, k, 18', [-15.54593463445734, 11.73782461919081, 1.0]], ['2, k, 19', [-17.04579349012219, 8.966313709320874, 1.0]], ['2, k, 20', [0.1311045101372715, 135.21328325704465, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.079972, 81.973896, 1.0]], ['2, k, 1', [-1.262714072515545, 112.3450664322706, 1.0]], ['2, k, 2', [0.13043654835063945, 135.21227785958985, 1.0]], ['2, k, 3', [0.5168109742885356, 141.68066291886026, 1.0]], ['2, k, 4', [16.341812383227072, 129.19079444840432, 1.0]], ['2, k, 5', [23.112890095006733, 103.92814370684931, 1.0]], ['2, k, 6', [23.459192501981008, 82.4050352942261, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.18590512507927, 133.5204305867603, 1.0]], ['2, k, 9', [-40.00806929579186, 134.48464950640843, 1.0]], ['2, k, 10', [-48.72182651221014, 154.56673765328227, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.4192623789011485, 81.43255980261596, 1.0]], ['2, k, 13', [8.46435367446996, 45.90872514801769, 1.0]], ['2, k, 14', [9.616747937475514, 11.98187634960702, 1.0]], ['2, k, 15', [7.721519200189255, 9.223503715628755, 1.0]], ['2, k, 16', [-10.443117064462031, 82.33786011986373, 1.0]], ['2, k, 17', [-12.752395461218589, 47.94286025871832, 1.0]], ['2, k, 18', [-15.493738738917635, 11.512549080292558, 1.0]], ['2, k, 19', [-16.98023901809653, 8.744182491856868, 1.0]], ['2, k, 20', [0.13043654835063945, 135.21227785958985, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.061266, 81.974886, 1.0]], ['2, k, 1', [-1.2558692989757978, 112.3440099258787, 1.0]], ['2, k, 2', [0.13030803387259593, 135.21052739867406, 1.0]], ['2, k, 3', [0.5135565030655611, 141.67918239917637, 1.0]], ['2, k, 4', [16.35317069851237, 129.18994474033053, 1.0]], ['2, k, 5', [23.11150801837273, 103.93633189860608, 1.0]], ['2, k, 6', [23.435369360332725, 82.41738745945327, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.1808756029163, 133.5099474588151, 1.0]], ['2, k, 9', [-40.01000898481468, 134.43995933745205, 1.0]], ['2, k, 10', [-48.80979026168197, 154.42089926658605, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.442279960581424, 81.43896001216888, 1.0]], ['2, k, 13', [8.486313230051444, 45.85419086342008, 1.0]], ['2, k, 14', [9.621899290037064, 11.937109281299776, 1.0]], ['2, k, 15', [7.737457819315495, 9.17867842323797, 1.0]], ['2, k, 16', [-10.428938378117076, 82.33641534935451, 1.0]], ['2, k, 17', [-12.74605156506225, 47.907601927976664, 1.0]], ['2, k, 18', [-15.466784388916654, 11.855856607751065, 1.0]], ['2, k, 19', [-16.9420536244061, 9.080584845438377, 1.0]], ['2, k, 20', [0.13030803387259593, 135.21052739867406, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.045184, 81.97704, 1.0]], ['2, k, 1', [-1.2464565109855703, 112.34595641758153, 1.0]], ['2, k, 2', [0.13423433717410427, 135.21405599236934, 1.0]], ['2, k, 3', [0.5151435315761931, 141.68292843780117, 1.0]], ['2, k, 4', [16.36722845131208, 129.192240123023, 1.0]], ['2, k, 5', [23.11810884438298, 103.91271643912812, 1.0]], ['2, k, 6', [23.44147300510742, 82.41744332231647, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.175380563883152, 133.5149165955935, 1.0]], ['2, k, 9', [-40.00859122854275, 134.42270265419376, 1.0]], ['2, k, 10', [-49.029855650383965, 154.2423432488054, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.459921377243399, 81.44540451702085, 1.0]], ['2, k, 13', [8.498855483041538, 45.8326098420223, 1.0]], ['2, k, 14', [9.633158659180584, 11.91918362234825, 1.0]], ['2, k, 15', [7.757168952237504, 9.160514811710156, 1.0]], ['2, k, 16', [-10.417308802560841, 82.33751053031641, 1.0]], ['2, k, 17', [-12.745957172082178, 47.87461202615195, 1.0]], ['2, k, 18', [-15.427949528016848, 12.011254643794388, 1.0]], ['2, k, 19', [-16.8947726150215, 9.233346166288552, 1.0]], ['2, k, 20', [0.13423433717410427, 135.21405599236934, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.036408, 81.981376, 1.0]], ['2, k, 1', [-1.2427798523231002, 112.35007988268515, 1.0]], ['2, k, 2', [0.13316207906926003, 135.21915382335874, 1.0]], ['2, k, 3', [0.5121521178530195, 141.68790138743952, 1.0]], ['2, k, 4', [16.381278521834798, 129.19745732788897, 1.0]], ['2, k, 5', [23.127066123919427, 103.87563677943132, 1.0]], ['2, k, 6', [23.45438672683414, 82.38931862214723, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.176630059164818, 133.53482568930485, 1.0]], ['2, k, 9', [-40.01575316233232, 134.3584771957709, 1.0]], ['2, k, 10', [-49.47718049277562, 153.79972828980277, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.46604581657828, 81.4524668999845, 1.0]], ['2, k, 13', [8.49781648639065, 45.83670998857833, 1.0]], ['2, k, 14', [9.629280207473926, 11.899359577375122, 1.0]], ['2, k, 15', [7.759776940746974, 9.140298891270017, 1.0]], ['2, k, 16', [-10.411604469103944, 82.34086768721714, 1.0]], ['2, k, 17', [-12.75774466928106, 47.81703507388411, 1.0]], ['2, k, 18', [-15.427674431426775, 12.386248845822934, 1.0]], ['2, k, 19', [-16.88791178469587, 9.609016692311062, 1.0]], ['2, k, 20', [0.13316207906926003, 135.21915382335874, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.0282780000000002, 81.98623, 1.0]], ['2, k, 1', [-1.2374140821360864, 112.35041846525974, 1.0]], ['2, k, 2', [0.13491325847963895, 135.21194258809646, 1.0]], ['2, k, 3', [0.5127088586415387, 141.67702871381815, 1.0]], ['2, k, 4', [16.382377290674224, 129.19827261104788, 1.0]], ['2, k, 5', [23.12689196699045, 103.88294894849162, 1.0]], ['2, k, 6', [23.452487293358605, 82.40322106072291, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.172078541627766, 133.55277296989803, 1.0]], ['2, k, 9', [-40.01566270739522, 134.02212954302018, 1.0]], ['2, k, 10', [-50.08602208437336, 152.87074007976182, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.466663510365571, 81.45915087899155, 1.0]], ['2, k, 13', [8.497393952992018, 45.838855744215834, 1.0]], ['2, k, 14', [9.63055068093352, 12.003870348162621, 1.0]], ['2, k, 15', [7.764261590913283, 9.243782736503931, 1.0]], ['2, k, 16', [-10.408683411310466, 82.3454454107784, 1.0]], ['2, k, 17', [-12.761778405441627, 47.77659964811468, 1.0]], ['2, k, 18', [-15.42341783041186, 12.723367580602506, 1.0]], ['2, k, 19', [-16.881086397584326, 9.946812357457208, 1.0]], ['2, k, 20', [0.13491325847963895, 135.21194258809646, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.020704, 81.990676, 1.0]], ['2, k, 1', [-1.2330748861861538, 112.34811908549234, 1.0]], ['2, k, 2', [0.1341119737600489, 135.1994368767007, 1.0]], ['2, k, 3', [0.5105680357034641, 141.65986150798085, 1.0]], ['2, k, 4', [16.387167849450222, 129.21305016463367, 1.0]], ['2, k, 5', [23.134926923856256, 103.92331810680611, 1.0]], ['2, k, 6', [23.458309134960423, 82.44783904442616, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.164562317101005, 133.56104925085955, 1.0]], ['2, k, 9', [-39.977763135438465, 133.2029177024825, 1.0]], ['2, k, 10', [-50.73277268023466, 151.35027436432458, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.460265867430968, 81.46610815906627, 1.0]], ['2, k, 13', [8.487463590840292, 45.902205700314944, 1.0]], ['2, k, 14', [9.631384746923022, 12.111914801031233, 1.0]], ['2, k, 15', [7.765754021850136, 9.351923914790286, 1.0]], ['2, k, 16', [-10.406980930865632, 82.34976522019188, 1.0]], ['2, k, 17', [-12.756001890264685, 47.77176667686879, 1.0]], ['2, k, 18', [-15.430892957681325, 12.83915888945112, 1.0]], ['2, k, 19', [-16.888705553362865, 10.064287165759609, 1.0]], ['2, k, 20', [0.1341119737600489, 135.1994368767007, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.018376, 81.9923, 1.0]], ['2, k, 1', [-1.2322793926451745, 112.34499024423732, 1.0]], ['2, k, 2', [0.13217530180769038, 135.18570878282844, 1.0]], ['2, k, 3', [0.5084164458285854, 141.6409281628183, 1.0]], ['2, k, 4', [16.402795394449903, 129.23182657936388, 1.0]], ['2, k, 5', [23.163472394934246, 103.9463250592565, 1.0]], ['2, k, 6', [23.492274579191836, 82.47636076533271, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.155116576138255, 133.5085208784814, 1.0]], ['2, k, 9', [-39.864225935567774, 131.7974485054362, 1.0]], ['2, k, 10', [-51.3382523294353, 149.09973305399157, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.440851735715757, 81.46519262037971, 1.0]], ['2, k, 13', [8.469862682506907, 45.908774445745216, 1.0]], ['2, k, 14', [9.64443036217021, 12.127214462472573, 1.0]], ['2, k, 15', [7.780110379948989, 9.366417072386465, 1.0]], ['2, k, 16', [-10.412732791025931, 82.35053149526424, 1.0]], ['2, k, 17', [-12.755803798838357, 47.76790267870278, 1.0]], ['2, k, 18', [-15.487650218412297, 12.402775602598787, 1.0]], ['2, k, 19', [-16.945027789800918, 9.628213523692553, 1.0]], ['2, k, 20', [0.13217530180769038, 135.18570878282844, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.0183760000000004, 81.990498, 1.0]], ['2, k, 1', [-1.2325013305097006, 112.33111331796921, 1.0]], ['2, k, 2', [0.12966966820866857, 135.1520505006386, 1.0]], ['2, k, 3', [0.5059540498006776, 141.59987137827423, 1.0]], ['2, k, 4', [16.410226741348247, 129.24494343802792, 1.0]], ['2, k, 5', [23.196720709367447, 104.00493264676817, 1.0]], ['2, k, 6', [23.525608261871447, 82.5298657802488, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.11627947129048, 133.37104482058356, 1.0]], ['2, k, 9', [-39.64440536536867, 130.28583676634585, 1.0]], ['2, k, 10', [-51.84464039755427, 146.5990604576598, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.421322059580778, 81.45924948851041, 1.0]], ['2, k, 13', [8.472076767724658, 45.927660410059026, 1.0]], ['2, k, 14', [9.679994422810548, 12.277673483587755, 1.0]], ['2, k, 15', [7.820218815226674, 9.51447581635428, 1.0]], ['2, k, 16', [-10.419377156139387, 82.3460931650297, 1.0]], ['2, k, 17', [-12.742979075888435, 47.755297368367934, 1.0]], ['2, k, 18', [-15.480198213442517, 12.127040988264426, 1.0]], ['2, k, 19', [-16.934854755338964, 9.349685921003182, 1.0]], ['2, k, 20', [0.12966966820866857, 135.1520505006386, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.021644, 81.986668, 1.0]], ['2, k, 1', [-1.2388076384430917, 112.31199789719214, 1.0]], ['2, k, 2', [0.11888037633946158, 135.10910302954522, 1.0]], ['2, k, 3', [0.4940566980472724, 141.54830354408642, 1.0]], ['2, k, 4', [16.40441218798742, 129.2538076631097, 1.0]], ['2, k, 5', [23.280106070936064, 104.0875088537902, 1.0]], ['2, k, 6', [23.619909175472394, 82.58475882061683, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.076909542009822, 133.19367367355153, 1.0]], ['2, k, 9', [-39.404854198605804, 128.8924482690083, 1.0]], ['2, k, 10', [-52.215001239539816, 143.87817819899152, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [4.401515785556096, 81.45096363489009, 1.0]], ['2, k, 13', [8.484816509546153, 45.9041810850824, 1.0]], ['2, k, 14', [9.731480056045617, 12.396252800940182, 1.0]], ['2, k, 15', [7.878857343055474, 9.629707456660412, 1.0]], ['2, k, 16', [-10.428986749492775, 82.33601630572815, 1.0]], ['2, k, 17', [-12.730012421654777, 47.763030019050724, 1.0]], ['2, k, 18', [-15.479908581230253, 11.842601757914636, 1.0]], ['2, k, 19', [-16.9297152859287, 9.062571784796134, 1.0]], ['2, k, 20', [0.11888037633946158, 135.10910302954522, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
