[['2, k, 0', [-1.76273, 89.85195, 1.0]], ['2, k, 1', [-1.0220963631390831, 121.26201706810264, 1.0]], ['2, k, 2', [-0.47274829222155335, 144.90871770808513, 1.0]], ['2, k, 3', [-0.31647423583687717, 151.5970565694939, 1.0]], ['2, k, 4', [16.52358897546534, 139.7411487120867, 1.0]], ['2, k, 5', [22.590454767322043, 112.43720276242084, 1.0]], ['2, k, 6', [22.206905898112137, 87.48435578560344, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-17.95048069644577, 139.42759928942183, 1.0]], ['2, k, 9', [-21.193927730942825, 112.02743148044688, 1.0]], ['2, k, 10', [-21.188455527489143, 87.95116566004964, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.980369301515287, 89.6068539438682, 1.0]], ['2, k, 13', [8.344546714413797, 48.480002281684555, 1.0]], ['2, k, 14', [8.357993577248664, 11.61858919999105, 1.0]], ['2, k, 15', [9.227653895648364, 3.492690022226295, 1.0]], ['2, k, 16', [-9.456146654136841, 89.80609435285724, 1.0]], ['2, k, 17', [-12.506832906725512, 48.58223880694834, 1.0]], ['2, k, 18', [-15.230534466010534, 11.929119843501027, 1.0]], ['2, k, 19', [-16.12180006272443, 4.419021572610813, 1.0]], ['2, k, 20', [-0.47274829222155335, 144.90871770808513, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.7599333333333333, 89.84893, 1.0]], ['2, k, 1', [-1.0244598700057534, 121.24872888824561, 1.0]], ['2, k, 2', [-0.4785924066908156, 144.8862309439273, 1.0]], ['2, k, 3', [-0.3231170389263493, 151.57426596904608, 1.0]], ['2, k, 4', [16.54099928000548, 139.75407428731904, 1.0]], ['2, k, 5', [22.584703882394358, 112.40709061016541, 1.0]], ['2, k, 6', [22.23459826301797, 87.53172165780583, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-17.970283541268184, 139.4244572779004, 1.0]], ['2, k, 9', [-21.23077244615805, 111.99084686713904, 1.0]], ['2, k, 10', [-21.32807855411916, 88.33265005287811, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.986643339704965, 89.60300209146598, 1.0]], ['2, k, 13', [8.340919434625647, 48.59999828412114, 1.0]], ['2, k, 14', [8.366251153052117, 11.720489585833505, 1.0]], ['2, k, 15', [9.140125611061679, 3.70785984026522, 1.0]], ['2, k, 16', [-9.450634741873435, 89.80511093362547, 1.0]], ['2, k, 17', [-12.48133521263314, 48.70250359080075, 1.0]], ['2, k, 18', [-15.215485271831584, 11.92545755944932, 1.0]], ['2, k, 19', [-16.114196750206563, 4.44835896804108, 1.0]], ['2, k, 20', [-0.4785924066908156, 144.8862309439273, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.7641559999999998, 89.847538, 1.0]], ['2, k, 1', [-1.0341216506258222, 121.24077100749614, 1.0]], ['2, k, 2', [-0.4928447211799594, 144.87240442794993, 1.0]], ['2, k, 3', [-0.3388555215397956, 151.56014884823907, 1.0]], ['2, k, 4', [16.533958302195867, 139.7516075562667, 1.0]], ['2, k, 5', [22.559545094840292, 112.41110940852191, 1.0]], ['2, k, 6', [22.232489277145433, 87.58339313757908, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-17.993592250546783, 139.44303053882996, 1.0]], ['2, k, 9', [-21.247886276022584, 111.97340147210302, 1.0]], ['2, k, 10', [-21.356623044178395, 88.4171519199297, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.980570423224035, 89.60145624414692, 1.0]], ['2, k, 13', [8.33078375091568, 48.67021097095579, 1.0]], ['2, k, 14', [8.368744067454081, 11.814692203387501, 1.0]], ['2, k, 15', [9.093184836641989, 3.8201593406103216, 1.0]], ['2, k, 16', [-9.4568854089184, 89.8051642080085, 1.0]], ['2, k, 17', [-12.467000162470633, 48.824228982342746, 1.0]], ['2, k, 18', [-15.205134241317815, 11.951505225489292, 1.0]], ['2, k, 19', [-16.11698516660184, 4.463700138117004, 1.0]], ['2, k, 20', [-0.4928447211799594, 144.87240442794993, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.7640639999999999, 89.84555399999999, 1.0]], ['2, k, 1', [-1.0393888674731355, 121.23403568727305, 1.0]], ['2, k, 2', [-0.501766299467842, 144.86138130109586, 1.0]], ['2, k, 3', [-0.3489422356980043, 151.54890130248663, 1.0]], ['2, k, 4', [16.530969227477676, 139.7469431252503, 1.0]], ['2, k, 5', [22.552708735847617, 112.39912346322711, 1.0]], ['2, k, 6', [22.213317344311335, 87.51544655649728, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.007900665880346, 139.44868451623114, 1.0]], ['2, k, 9', [-21.265998075477082, 111.96822225663084, 1.0]], ['2, k, 10', [-21.392865014685356, 88.51747946890494, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.979959998194152, 89.60025230094196, 1.0]], ['2, k, 13', [8.325601553021437, 48.73457097404358, 1.0]], ['2, k, 14', [8.36925737604873, 11.88092085031974, 1.0]], ['2, k, 15', [9.061863370243557, 3.9315560829495864, 1.0]], ['2, k, 16', [-9.46034577632861, 89.80477023806212, 1.0]], ['2, k, 17', [-12.458351000880683, 48.9220096068494, 1.0]], ['2, k, 18', [-15.205451761476114, 11.95917670743782, 1.0]], ['2, k, 19', [-16.081125158240802, 4.468925092409819, 1.0]], ['2, k, 20', [-0.501766299467842, 144.86138130109586, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.767496, 89.84605400000001, 1.0]], ['2, k, 1', [-1.046804122720026, 121.22855957584969, 1.0]], ['2, k, 2', [-0.512462407437223, 144.85233190139706, 1.0]], ['2, k, 3', [-0.36089002550752497, 151.53955853865745, 1.0]], ['2, k, 4', [16.521243812853875, 139.74231366278912, 1.0]], ['2, k, 5', [22.53528981879101, 112.38517298741584, 1.0]], ['2, k, 6', [22.17752495293399, 87.38128738577139, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.02276399496197, 139.45087963894412, 1.0]], ['2, k, 9', [-21.284537639163883, 111.95667360752229, 1.0]], ['2, k, 10', [-21.439989017648603, 88.49089593198777, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.9781069498706305, 89.6016990419687, 1.0]], ['2, k, 13', [8.330321412460048, 48.79063751191082, 1.0]], ['2, k, 14', [8.362717347359382, 11.934243997245261, 1.0]], ['2, k, 15', [9.009995975572721, 4.047834354512489, 1.0]], ['2, k, 16', [-9.464030319568645, 89.80680236419823, 1.0]], ['2, k, 17', [-12.451936083550425, 48.994506159288754, 1.0]], ['2, k, 18', [-15.207320795445298, 11.98166518554018, 1.0]], ['2, k, 19', [-16.057515575866283, 4.507405503569085, 1.0]], ['2, k, 20', [-0.512462407437223, 144.85233190139706, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.76833, 89.84979999999999, 1.0]], ['2, k, 1', [-1.0503527096499254, 121.23265563766485, 1.0]], ['2, k, 2', [-0.5191947597139512, 144.857077690671, 1.0]], ['2, k, 3', [-0.36901880907472656, 151.54383568997628, 1.0]], ['2, k, 4', [16.522373609568948, 139.75028115451425, 1.0]], ['2, k, 5', [22.53014601142496, 112.38626870786443, 1.0]], ['2, k, 6', [22.182654638637338, 87.3374133731105, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.046342633681018, 139.46290516497464, 1.0]], ['2, k, 9', [-21.280077481468222, 111.96838676439188, 1.0]], ['2, k, 10', [-21.446494297602296, 88.6100919676317, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.979910618722508, 89.60614232921657, 1.0]], ['2, k, 13', [8.350376289869766, 48.732981881390096, 1.0]], ['2, k, 14', [8.368350659417889, 11.875395434733363, 1.0]], ['2, k, 15', [8.923927475526387, 3.9448580604058323, 1.0]], ['2, k, 16', [-9.464188354198386, 89.81027016049421, 1.0]], ['2, k, 17', [-12.461130995530533, 48.9945295433193, 1.0]], ['2, k, 18', [-15.19501781080113, 11.982056389615025, 1.0]], ['2, k, 19', [-16.018257857127693, 4.492718047615403, 1.0]], ['2, k, 20', [-0.5191947597139512, 144.857077690671, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.769858, 89.851438, 1.0]], ['2, k, 1', [-1.053164078829638, 121.23337508529173, 1.0]], ['2, k, 2', [-0.5231652307398736, 144.85824904006353, 1.0]], ['2, k, 3', [-0.3735065939573722, 151.54436795917417, 1.0]], ['2, k, 4', [16.53011512199016, 139.75556762389087, 1.0]], ['2, k, 5', [22.540550582640677, 112.38189714179359, 1.0]], ['2, k, 6', [22.189179092745384, 87.17432934184247, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.056502450334136, 139.47749757147574, 1.0]], ['2, k, 9', [-21.277886100548244, 111.99788570206863, 1.0]], ['2, k, 10', [-21.434080241132865, 88.58822852149858, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.980476695042505, 89.60596994762888, 1.0]], ['2, k, 13', [8.366372262983367, 48.678965990456675, 1.0]], ['2, k, 14', [8.377313013225805, 11.849913906287746, 1.0]], ['2, k, 15', [8.898834620466372, 3.879555407176997, 1.0]], ['2, k, 16', [-9.464569924999227, 89.81156133044952, 1.0]], ['2, k, 17', [-12.460204774170137, 49.02942846971882, 1.0]], ['2, k, 18', [-15.186535055906333, 11.977057141271743, 1.0]], ['2, k, 19', [-16.021567653487107, 4.459073975741985, 1.0]], ['2, k, 20', [-0.5231652307398736, 144.85824904006353, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.7725540000000002, 89.85455199999998, 1.0]], ['2, k, 1', [-1.0557345400787685, 121.23370493906165, 1.0]], ['2, k, 2', [-0.5251452704344889, 144.85889948700452, 1.0]], ['2, k, 3', [-0.37516869819186904, 151.5443758555158, 1.0]], ['2, k, 4', [16.537081975394255, 139.75872354480362, 1.0]], ['2, k, 5', [22.546975126003417, 112.3776894205, 1.0]], ['2, k, 6', [22.202313709142793, 87.12480853638257, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.09398970944696, 139.4770358915939, 1.0]], ['2, k, 9', [-21.295171393107665, 112.01527533895577, 1.0]], ['2, k, 10', [-21.432596128985224, 88.50355689084276, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.977051050852514, 89.60896701513809, 1.0]], ['2, k, 13', [8.373465586154415, 48.62047377764503, 1.0]], ['2, k, 14', [8.378831107539236, 11.847012582679376, 1.0]], ['2, k, 15', [8.884191945512793, 3.824276583645352, 1.0]], ['2, k, 16', [-9.466618471842215, 89.81477844983999, 1.0]], ['2, k, 17', [-12.462649287793257, 48.95855827971652, 1.0]], ['2, k, 18', [-15.172522961400869, 11.954887048079904, 1.0]], ['2, k, 19', [-16.106756213659946, 4.4350213326122825, 1.0]], ['2, k, 20', [-0.5251452704344889, 144.85889948700452, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.777298, 89.85977399999999, 1.0]], ['2, k, 1', [-1.0563583672118226, 121.23665140995581, 1.0]], ['2, k, 2', [-0.5200435220272958, 144.86176553740876, 1.0]], ['2, k, 3', [-0.36745570585826354, 151.54657928778053, 1.0]], ['2, k, 4', [16.55318413248541, 139.75837335612258, 1.0]], ['2, k, 5', [22.563777144701863, 112.38484957698728, 1.0]], ['2, k, 6', [22.255300157128644, 87.48037871938476, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.10289124266387, 139.47463906447172, 1.0]], ['2, k, 9', [-21.274161820884466, 112.01943103154393, 1.0]], ['2, k, 10', [-21.3867535866839, 88.3990042972208, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.9683223211906755, 89.61283306956716, 1.0]], ['2, k, 13', [8.385319319768353, 48.46627886793082, 1.0]], ['2, k, 14', [8.388074637291632, 11.84413556893714, 1.0]], ['2, k, 15', [8.882134720867073, 3.7863537632154696, 1.0]], ['2, k, 16', [-9.469894818731339, 89.82086978360505, 1.0]], ['2, k, 17', [-12.460575426229273, 48.8974832407638, 1.0]], ['2, k, 18', [-15.15556688829116, 11.938661410375083, 1.0]], ['2, k, 19', [-16.144993156029013, 4.467109958445544, 1.0]], ['2, k, 20', [-0.5200435220272958, 144.86176553740876, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.785736, 89.86311799999999, 1.0]], ['2, k, 1', [-1.0607747976875808, 121.23651420926814, 1.0]], ['2, k, 2', [-0.5194150446319803, 144.85914253338368, 1.0]], ['2, k, 3', [-0.36466988070340417, 151.543335239951, 1.0]], ['2, k, 4', [16.564122528809747, 139.75248444597784, 1.0]], ['2, k, 5', [22.572638890653735, 112.40018380935174, 1.0]], ['2, k, 6', [22.271522088630405, 87.78804203385715, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.08852782260396, 139.45873120016586, 1.0]], ['2, k, 9', [-21.240669117676703, 112.00716738792495, 1.0]], ['2, k, 10', [-21.326091873851123, 88.36061124015714, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.957501515554819, 89.61522043330619, 1.0]], ['2, k, 13', [8.390075510400234, 48.355332452140914, 1.0]], ['2, k, 14', [8.38976474349728, 11.870511850205311, 1.0]], ['2, k, 15', [8.881024143572644, 3.7341088345255358, 1.0]], ['2, k, 16', [-9.476992334887454, 89.82499869665885, 1.0]], ['2, k, 17', [-12.459261455649242, 48.862987793724805, 1.0]], ['2, k, 18', [-15.147216692881111, 11.911675324700681, 1.0]], ['2, k, 19', [-16.17228844324882, 4.428210856222393, 1.0]], ['2, k, 20', [-0.5194150446319803, 144.85914253338368, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-1.7940239999999998, 89.86751799999999, 1.0]], ['2, k, 1', [-1.0650704293820192, 121.23569983309207, 1.0]], ['2, k, 2', [-0.5184577441688458, 144.85562693861027, 1.0]], ['2, k, 3', [-0.36164664481466247, 151.53925912613235, 1.0]], ['2, k, 4', [16.570248693357943, 139.7481120365987, 1.0]], ['2, k, 5', [22.577530962902028, 112.40399347029184, 1.0]], ['2, k, 6', [22.270661512318885, 87.95734625715781, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.068888274646927, 139.43730365217934, 1.0]], ['2, k, 9', [-21.209855856839596, 111.9881055725586, 1.0]], ['2, k, 10', [-21.283170770005206, 88.55561464956624, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.947927652987435, 89.61886302265304, 1.0]], ['2, k, 13', [8.390142406205076, 48.31854359803543, 1.0]], ['2, k, 14', [8.387002594410738, 11.910399726679628, 1.0]], ['2, k, 15', [8.86837897164922, 3.7640240094021653, 1.0]], ['2, k, 16', [-9.482967346980852, 89.82970708857103, 1.0]], ['2, k, 17', [-12.456550927096202, 48.83975431408026, 1.0]], ['2, k, 18', [-15.140165967198413, 11.893052239104357, 1.0]], ['2, k, 19', [-16.1796534075421, 4.424436057439409, 1.0]], ['2, k, 20', [-0.5184577441688458, 144.85562693861027, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
