[['2, k, 0', [4.14153, 88.80524, 1.0]], ['2, k, 1', [5.930339910095659, 122.1658557444309, 1.0]], ['2, k, 2', [7.211346482570755, 147.4475670353029, 1.0]], ['2, k, 3', [7.516494247897126, 154.65936692905015, 1.0]], ['2, k, 4', [25.43188961153121, 139.9812955362073, 1.0]], ['2, k, 5', [52.97330955560523, 147.2486560176948, 1.0]], ['2, k, 6', [54.786385659157126, 165.56611106263406, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.27184233825554, 148.75408850155944, 1.0]], ['2, k, 9', [-42.8763361080134, 148.40145669778195, 1.0]], ['2, k, 10', [-53.49997658224483, 159.26268981492566, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [8.923953285559385, 88.90747766720675, 1.0]], ['2, k, 13', [23.866780847504096, 52.02238928324424, 1.0]], ['2, k, 14', [41.45191038748615, 12.969701492261002, 1.0]], ['2, k, 15', [40.1794588786091, 4.123058577210074, 1.0]], ['2, k, 16', [-0.7281529359045313, 88.50199546776253, 1.0]], ['2, k, 17', [-19.683293461512818, 49.17748339292957, 1.0]], ['2, k, 18', [-32.89482762095059, 14.534467290897659, 1.0]], ['2, k, 19', [-41.08477742074994, 7.017747194704379, 1.0]], ['2, k, 20', [7.211346482570755, 147.4475670353029, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [4.059183333333333, 88.98222666666668, 1.0]], ['2, k, 1', [5.845181131202261, 122.24234221018212, 1.0]], ['2, k, 2', [7.121528947019642, 147.46363720128505, 1.0]], ['2, k, 3', [7.423363435432041, 154.65676400728194, 1.0]], ['2, k, 4', [25.366659876061995, 139.98603152473694, 1.0]], ['2, k, 5', [52.905471297726464, 147.302242726521, 1.0]], ['2, k, 6', [54.75106686873206, 165.5066378014205, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-18.37908336743916, 148.73443271222115, 1.0]], ['2, k, 9', [-42.83217221141712, 148.180515984393, 1.0]], ['2, k, 10', [-53.51631733214641, 158.95854881316714, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [8.853597397203039, 89.03672137002722, 1.0]], ['2, k, 13', [24.208261600536645, 52.211270424088596, 1.0]], ['2, k, 14', [42.09340910561768, 13.178518848303305, 1.0]], ['2, k, 15', [40.89875582964365, 4.336941095943578, 1.0]], ['2, k, 16', [-0.8310710728377968, 88.73916408373955, 1.0]], ['2, k, 17', [-19.761194882525658, 49.21189345861517, 1.0]], ['2, k, 18', [-32.93176348859815, 14.520822805417943, 1.0]], ['2, k, 19', [-41.120163201780855, 7.0124544754247005, 1.0]], ['2, k, 20', [7.121528947019642, 147.46363720128505, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [3.822762, 90.25568000000001, 1.0]], ['2, k, 1', [5.405631568569124, 122.67370702879404, 1.0]], ['2, k, 2', [6.5753060128943766, 147.50698649350483, 1.0]], ['2, k, 3', [6.822483505152431, 154.5810657625851, 1.0]], ['2, k, 4', [25.061226627964366, 139.94985996722673, 1.0]], ['2, k, 5', [53.02708329302803, 147.3229955664207, 1.0]], ['2, k, 6', [56.166535027211374, 165.49866807599648, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-19.30605948345329, 148.63712196709972, 1.0]], ['2, k, 9', [-43.67541917021328, 148.17172159248585, 1.0]], ['2, k, 10', [-53.46318582041053, 158.9309679259056, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [8.614652010088808, 90.2061773091554, 1.0]], ['2, k, 13', [24.4585789334186, 52.37598577565209, 1.0]], ['2, k, 14', [42.23272240019381, 13.184485055855383, 1.0]], ['2, k, 15', [40.978762057637574, 4.341503904918133, 1.0]], ['2, k, 16', [-1.1389994791524467, 90.41245895422598, 1.0]], ['2, k, 17', [-19.710370255699914, 49.03809041922036, 1.0]], ['2, k, 18', [-32.211775193921184, 14.026388818289298, 1.0]], ['2, k, 19', [-40.378942227560245, 6.406389832221254, 1.0]], ['2, k, 20', [6.5753060128943766, 147.50698649350483, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [3.6169340000000005, 90.98899200000001, 1.0]], ['2, k, 1', [5.051875262554981, 122.97197725949043, 1.0]], ['2, k, 2', [6.110223132573583, 147.52512418002496, 1.0]], ['2, k, 3', [6.330992092890542, 154.50569155052204, 1.0]], ['2, k, 4', [24.706625084380796, 139.9063257909018, 1.0]], ['2, k, 5', [52.80532870911259, 147.29499611129552, 1.0]], ['2, k, 6', [56.4009282244534, 165.4062897660782, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-19.89552303590644, 148.51496104684102, 1.0]], ['2, k, 9', [-44.16475295391902, 148.27802010775528, 1.0]], ['2, k, 10', [-53.58928929850616, 158.98866313895158, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [8.444569177425594, 90.8660096180162, 1.0]], ['2, k, 13', [25.293688705943012, 52.75506292840946, 1.0]], ['2, k, 14', [43.99632593503259, 13.730298087028515, 1.0]], ['2, k, 15', [42.867282478574666, 4.894937120285185, 1.0]], ['2, k, 16', [-1.3121212830771336, 91.29512814168827, 1.0]], ['2, k, 17', [-20.40303977345387, 49.281314833247414, 1.0]], ['2, k, 18', [-32.4116447211115, 14.081273528182692, 1.0]], ['2, k, 19', [-40.62433698171514, 6.455543826952099, 1.0]], ['2, k, 20', [6.110223132573583, 147.52512418002496, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [3.250078, 91.778672, 1.0]], ['2, k, 1', [4.613903209073907, 123.2960793289037, 1.0]], ['2, k, 2', [5.593083745656014, 147.50455377237384, 1.0]], ['2, k, 3', [5.802022373592098, 154.37242446041415, 1.0]], ['2, k, 4', [24.30775183146701, 139.84300545115573, 1.0]], ['2, k, 5', [52.40334306771139, 147.2917136315142, 1.0]], ['2, k, 6', [56.072307171259375, 165.46973473423589, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-20.447426764559896, 148.31990587973928, 1.0]], ['2, k, 9', [-44.57303931328819, 148.31649322879332, 1.0]], ['2, k, 10', [-53.93342940010977, 158.57759998021078, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [8.355251330297161, 91.55015168008279, 1.0]], ['2, k, 13', [25.812735373439597, 52.90960250253456, 1.0]], ['2, k, 14', [45.52761324501827, 14.198625442100884, 1.0]], ['2, k, 15', [44.48078518051775, 5.374445622686055, 1.0]], ['2, k, 16', [-1.616505687065676, 92.20073633756476, 1.0]], ['2, k, 17', [-21.31706824380182, 49.59212398925681, 1.0]], ['2, k, 18', [-32.77734794473864, 14.154261106254786, 1.0]], ['2, k, 19', [-40.948742462612856, 6.520700962527117, 1.0]], ['2, k, 20', [5.593083745656014, 147.50455377237384, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [2.7258260000000005, 92.46415400000001, 1.0]], ['2, k, 1', [4.343127907590504, 123.56155591275545, 1.0]], ['2, k, 2', [5.465538344588029, 147.43279276433455, 1.0]], ['2, k, 3', [5.692962099621872, 154.1943262931526, 1.0]], ['2, k, 4', [24.240775237302824, 139.59321019762342, 1.0]], ['2, k, 5', [52.15777843703091, 147.1641105906708, 1.0]], ['2, k, 6', [55.41297501084476, 165.13093945337002, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-20.51837389228336, 148.09131425493217, 1.0]], ['2, k, 9', [-44.543961901649716, 147.30790287196953, 1.0]], ['2, k, 10', [-54.46090128048897, 157.36918914678608, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [8.314270660142807, 92.12260495165884, 1.0]], ['2, k, 13', [26.282623727520384, 52.92014812326017, 1.0]], ['2, k, 14', [47.10886238161265, 14.676538477638587, 1.0]], ['2, k, 15', [45.79039971881347, 6.072562827953259, 1.0]], ['2, k, 16', [-2.121930341132744, 92.979452051317, 1.0]], ['2, k, 17', [-22.45152749588376, 50.055177793903965, 1.0]], ['2, k, 18', [-33.46839764220086, 14.324074525649124, 1.0]], ['2, k, 19', [-41.518608748130475, 6.689722362733149, 1.0]], ['2, k, 20', [5.465538344588029, 147.43279276433455, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [1.9736980000000002, 92.464504, 1.0]], ['2, k, 1', [3.8252906150846977, 123.6413447507316, 1.0]], ['2, k, 2', [5.133190142601638, 147.32109165377565, 1.0]], ['2, k, 3', [5.407938464476716, 154.01948182604806, 1.0]], ['2, k, 4', [23.70822084965142, 138.91889544523775, 1.0]], ['2, k, 5', [51.252676554764136, 146.7640191694657, 1.0]], ['2, k, 6', [53.793827840583596, 164.5265038362852, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-20.728282547757853, 147.902880391803, 1.0]], ['2, k, 9', [-44.61015352130589, 146.06169759869815, 1.0]], ['2, k, 10', [-55.031536433382286, 155.51448138518109, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [7.754202386215523, 92.08050423917109, 1.0]], ['2, k, 13', [25.065603404586682, 52.51695447613617, 1.0]], ['2, k, 14', [47.06811327280079, 14.821922636409667, 1.0]], ['2, k, 15', [44.761569898508604, 6.782918598934099, 1.0]], ['2, k, 16', [-2.880811751616449, 92.81551180485964, 1.0]], ['2, k, 17', [-23.48286406592128, 50.50549558744077, 1.0]], ['2, k, 18', [-34.158184925018055, 14.430958442811857, 1.0]], ['2, k, 19', [-42.01732490133267, 6.797442146786361, 1.0]], ['2, k, 20', [5.133190142601638, 147.32109165377565, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [0.754256, 91.72918800000001, 1.0]], ['2, k, 1', [2.8619839490370147, 123.53825584889968, 1.0]], ['2, k, 2', [4.335244535287409, 147.24111441433658, 1.0]], ['2, k, 3', [4.663607982561217, 153.92207403063463, 1.0]], ['2, k, 4', [22.680480475196255, 138.29028581023653, 1.0]], ['2, k, 5', [49.870501120848665, 146.33301884286644, 1.0]], ['2, k, 6', [51.665643182903224, 163.90391083212256, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-21.427863670712874, 147.77207858128526, 1.0]], ['2, k, 9', [-45.07641185306373, 145.00431201117496, 1.0]], ['2, k, 10', [-55.88641197968392, 153.9731836046892, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [6.50073715118076, 91.36233502660859, 1.0]], ['2, k, 13', [22.95310245054177, 52.00816104815632, 1.0]], ['2, k, 14', [46.12984283025251, 14.832490454088557, 1.0]], ['2, k, 15', [42.96557910744322, 6.938399697451322, 1.0]], ['2, k, 16', [-4.07925291764096, 91.86054694147057, 1.0]], ['2, k, 17', [-24.565663122490975, 50.81003215116783, 1.0]], ['2, k, 18', [-34.73282383499665, 14.376932117206167, 1.0]], ['2, k, 19', [-42.33745999768721, 6.7959548801855885, 1.0]], ['2, k, 20', [4.335244535287409, 147.24111441433658, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-0.561736, 90.83281000000001, 1.0]], ['2, k, 1', [1.7265058092766352, 123.2464095064816, 1.0]], ['2, k, 2', [3.316892601537847, 147.18280876709503, 1.0]], ['2, k, 3', [3.6838918442494712, 153.8937403199206, 1.0]], ['2, k, 4', [21.487639782546108, 137.76986126855442, 1.0]], ['2, k, 5', [48.36796074848769, 145.844840366426, 1.0]], ['2, k, 6', [49.47961065926845, 163.09268530679037, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-22.35917919689511, 147.65330243259086, 1.0]], ['2, k, 9', [-45.75192877432256, 144.27636528828316, 1.0]], ['2, k, 10', [-56.8184262456274, 152.88118702270984, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [5.131474854469327, 90.55192637949267, 1.0]], ['2, k, 13', [21.071892017769443, 51.47383872583804, 1.0]], ['2, k, 14', [45.50062970472517, 14.98562762592119, 1.0]], ['2, k, 15', [41.78354010363946, 7.556355884315295, 1.0]], ['2, k, 16', [-5.480385963973758, 90.77397915628306, 1.0]], ['2, k, 17', [-25.90084123484477, 51.28503600863621, 1.0]], ['2, k, 18', [-35.398771533497495, 14.463190842661618, 1.0]], ['2, k, 19', [-42.75743504891763, 6.949992236438915, 1.0]], ['2, k, 20', [3.316892601537847, 147.18280876709503, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-2.035994, 89.37509200000001, 1.0]], ['2, k, 1', [0.3480980518426988, 122.77517598796744, 1.0]], ['2, k, 2', [1.9903196007277608, 147.1832176775962, 1.0]], ['2, k, 3', [2.3788104970634407, 154.00194893806903, 1.0]], ['2, k, 4', [20.120269486644037, 137.3843220426566, 1.0]], ['2, k, 5', [46.89547131638559, 145.6194271957, 1.0]], ['2, k, 6', [47.50666845143061, 162.4759948717556, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-23.64280970652707, 147.56088641575934, 1.0]], ['2, k, 9', [-46.89485408405264, 144.13118525789955, 1.0]], ['2, k, 10', [-58.34291006462715, 152.86386239726446, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [3.372819161492941, 89.18455741653048, 1.0]], ['2, k, 13', [18.68393895725478, 51.316501153981534, 1.0]], ['2, k, 14', [44.57813733612385, 15.79747142553142, 1.0]], ['2, k, 15', [40.207170207766005, 8.346239865463192, 1.0]], ['2, k, 16', [-6.999599106973536, 89.20115765229014, 1.0]], ['2, k, 17', [-27.220145611964867, 51.66593050668387, 1.0]], ['2, k, 18', [-35.87718419027726, 14.483923684243692, 1.0]], ['2, k, 19', [-42.96970777597242, 7.052994434631605, 1.0]], ['2, k, 20', [1.9903196007277608, 147.1832176775962, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
[['2, k, 0', [-3.512018, 87.693522, 1.0]], ['2, k, 1', [-1.0855627992732324, 121.99822953382224, 1.0]], ['2, k, 2', [0.5864656237797778, 147.0578564257176, 1.0]], ['2, k, 3', [0.986053904282238, 154.0487129380084, 1.0]], ['2, k, 4', [18.815671863301304, 136.85077294294706, 1.0]], ['2, k, 5', [45.62108814584677, 145.40475080396138, 1.0]], ['2, k, 6', [45.792184348584065, 161.86103339323924, 1.0]], ['2, k, 7', [0.0, 0.0, 1.0]], ['2, k, 8', [-24.995498142921253, 147.3754184948317, 1.0]], ['2, k, 9', [-48.18007744265307, 144.1144938232489, 1.0]], ['2, k, 10', [-59.72091997349955, 152.82311460455665, 1.0]], ['2, k, 11', [0.0, 0.0, 1.0]], ['2, k, 12', [1.5379329588437876, 87.59461424199444, 1.0]], ['2, k, 13', [16.218118435885085, 51.04597699292894, 1.0]], ['2, k, 14', [43.636225204346665, 16.632941326109254, 1.0]], ['2, k, 15', [38.6754972405775, 9.177903569310706, 1.0]], ['2, k, 16', [-8.562918156109232, 87.4189490005861, 1.0]], ['2, k, 17', [-28.800353073687774, 52.08877769145419, 1.0]], ['2, k, 18', [-36.28273208178503, 14.66967699957226, 1.0]], ['2, k, 19', [-43.19168676341488, 7.312953963556715, 1.0]], ['2, k, 20', [0.5864656237797778, 147.0578564257176, 1.0]], ['2, k, 21', [0.0, 0.0, 1.0]], ['2, k, 22', [0.0, 0.0, 1.0]], ['2, k, 23', [0.0, 0.0, 1.0]], ['2, k, 24', [0.0, 0.0, 1.0]]]
